"ScramblingfromtheRough_RANKTHISWEEK_2013","ScramblingfromtheRough_RANKLASTWEEK_2013","ScramblingfromtheRough_PLAYERNAME_2013","ScramblingfromtheRough_ROUNDS_2013","ScramblingfromtheRough_Pct_2013","ScramblingfromtheRough_SUCCESSES_2013","ScramblingfromtheRough_ATTEMPTS_2013","stat_name","year"
1,1,"Steve Stricker",51,78.69,48,61,"ScramblingfromtheRough",2013
2,2,"Ian Poulter",59,69.66,62,89,"ScramblingfromtheRough",2013
3,3,"Henrik Stenson",65,67.57,50,74,"ScramblingfromtheRough",2013
4,4,"Freddie Jacobson",63,67.52,79,117,"ScramblingfromtheRough",2013
5,5,"David Lynn",70,66.67,112,168,"ScramblingfromtheRough",2013
6,6,"Peter Hanson",45,66.36,71,107,"ScramblingfromtheRough",2013
7,7,"Matt Jones",83,66.25,106,160,"ScramblingfromtheRough",2013
8,8,"Scott Langley",79,65.77,98,149,"ScramblingfromtheRough",2013
9,9,"Sergio Garcia",65,65.22,60,92,"ScramblingfromtheRough",2013
9,9,"Richard Lee",81,65.22,105,161,"ScramblingfromtheRough",2013
11,11,"Bo Van Pelt",72,64.91,74,114,"ScramblingfromtheRough",2013
12,12,"Brandt Snedeker",79,64.62,84,130,"ScramblingfromtheRough",2013
13,13,"Charlie Wi",75,64.53,111,172,"ScramblingfromtheRough",2013
14,14,"Lee Williams",62,64.49,89,138,"ScramblingfromtheRough",2013
15,15,"Jonas Blixt",76,63.98,119,186,"ScramblingfromtheRough",2013
16,16,"Luke Guthrie",82,63.78,125,196,"ScramblingfromtheRough",2013
17,17,"Bill Haas",85,63.58,96,151,"ScramblingfromtheRough",2013
18,18,"KJ Choi",85,63.25,74,117,"ScramblingfromtheRough",2013
19,19,"Stuart Appleby",88,63.19,115,182,"ScramblingfromtheRough",2013
20,20,"James Driscoll",76,62.58,102,163,"ScramblingfromtheRough",2013
21,21,"Ted Potter Jr",65,62.5,80,128,"ScramblingfromtheRough",2013
22,22,"Chris Kirk",89,62.2,102,164,"ScramblingfromtheRough",2013
23,23,"John Huh",88,61.78,97,157,"ScramblingfromtheRough",2013
24,24,"Tim Clark",64,61.47,67,109,"ScramblingfromtheRough",2013
25,25,"Martin Flores",83,61.45,110,179,"ScramblingfromtheRough",2013
26,26,"Brian Gay",79,61.43,137,223,"ScramblingfromtheRough",2013
27,27,"Ryan Moore",72,61.33,92,150,"ScramblingfromtheRough",2013
28,28,"Graeme McDowell",53,61.22,60,98,"ScramblingfromtheRough",2013
29,29,"Robert Streb",75,61.07,91,149,"ScramblingfromtheRough",2013
30,30,"Chris Stroud",88,60.96,114,187,"ScramblingfromtheRough",2013
31,31,"Brendon de Jonge",110,60.95,128,210,"ScramblingfromtheRough",2013
31,31,"Jimmy Walker",84,60.95,103,169,"ScramblingfromtheRough",2013
33,33,"Justin Leonard",86,60.75,113,186,"ScramblingfromtheRough",2013
34,34,"YE Yang",56,60.71,68,112,"ScramblingfromtheRough",2013
35,35,"Zach Johnson",84,60.65,94,155,"ScramblingfromtheRough",2013
36,36,"Phil Mickelson",78,60.63,97,160,"ScramblingfromtheRough",2013
37,37,"Brendan Steele",86,60.36,102,169,"ScramblingfromtheRough",2013
38,38,"Russell Henley",80,60.12,98,163,"ScramblingfromtheRough",2013
39,39,"Geoff Ogilvy",57,60,78,130,"ScramblingfromtheRough",2013
39,39,"Brian Stuard",78,60,93,155,"ScramblingfromtheRough",2013
41,41,"Graham DeLaet",94,59.87,91,152,"ScramblingfromtheRough",2013
42,42,"Cameron Percy",68,59.85,82,137,"ScramblingfromtheRough",2013
43,43,"Jason Dufner",78,59.84,76,127,"ScramblingfromtheRough",2013
44,44,"Bryce Molder",82,59.77,104,174,"ScramblingfromtheRough",2013
45,45,"Fabian Gomez",65,59.73,89,149,"ScramblingfromtheRough",2013
46,46,"Kevin Streelman",86,59.65,102,171,"ScramblingfromtheRough",2013
47,47,"Erik Compton",74,59.63,96,161,"ScramblingfromtheRough",2013
48,48,"Keegan Bradley",88,59.62,93,156,"ScramblingfromtheRough",2013
49,49,"DA Points",87,59.55,106,178,"ScramblingfromtheRough",2013
50,50,"Jim Furyk",80,59.52,75,126,"ScramblingfromtheRough",2013
50,50,"Rory Sabbatini",86,59.52,100,168,"ScramblingfromtheRough",2013
52,52,"DH Lee",65,59.38,76,128,"ScramblingfromtheRough",2013
53,53,"Ernie Els",63,59.22,61,103,"ScramblingfromtheRough",2013
53,53,"David Hearn",88,59.22,106,179,"ScramblingfromtheRough",2013
55,55,"Rickie Fowler",75,59.15,97,164,"ScramblingfromtheRough",2013
56,56,"Ben Crane",62,59.09,78,132,"ScramblingfromtheRough",2013
57,57,"Jordan Spieth",82,58.94,89,151,"ScramblingfromtheRough",2013
58,58,"Carl Pettersson",82,58.7,81,138,"ScramblingfromtheRough",2013
59,59,"Ben Kohles",75,58.6,92,157,"ScramblingfromtheRough",2013
59,59,"Nick Watney",88,58.6,92,157,"ScramblingfromtheRough",2013
