"Round1ScoringAverage_RANKTHISWEEK_2007","Round1ScoringAverage_RANKLASTWEEK_2007","Round1ScoringAverage_PLAYERNAME_2007","Round1ScoringAverage__2007","Round1ScoringAverage_AVG_2007","Round1ScoringAverage_TOTALSTROKES_2007","Round1ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Jim Furyk",NA,69.45,1528,22,"Round1ScoringAverage",2007
2,2,"Justin Rose",NA,69.6,1044,15,"Round1ScoringAverage",2007
2,2,"Tiger Woods",NA,69.6,1044,15,"Round1ScoringAverage",2007
4,4,"Jeff Overton",NA,69.74,1325,19,"Round1ScoringAverage",2007
5,5,"Scott Verplank",NA,69.77,1535,22,"Round1ScoringAverage",2007
6,6,"KJ Choi",NA,69.96,1679,24,"Round1ScoringAverage",2007
7,7,"Freddie Jacobson",NA,70,1400,20,"Round1ScoringAverage",2007
8,8,"Jay Williamson",NA,70.14,982,14,"Round1ScoringAverage",2007
9,9,"Craig Kanada",NA,70.18,2386,34,"Round1ScoringAverage",2007
10,10,"Kevin Na",NA,70.19,1825,26,"Round1ScoringAverage",2007
11,11,"Cliff Kresge",NA,70.23,2107,30,"Round1ScoringAverage",2007
12,12,"Briny Baird",NA,70.26,2178,31,"Round1ScoringAverage",2007
12,12,"Arron Oberholser",NA,70.26,1335,19,"Round1ScoringAverage",2007
14,14,"Rory Sabbatini",NA,70.27,1546,22,"Round1ScoringAverage",2007
15,15,"Tim Clark",NA,70.28,1265,18,"Round1ScoringAverage",2007
15,15,"Sergio Garcia",NA,70.28,1265,18,"Round1ScoringAverage",2007
17,17,"Ernie Els",NA,70.33,1055,15,"Round1ScoringAverage",2007
18,18,"Cameron Beckman",NA,70.34,2040,29,"Round1ScoringAverage",2007
19,19,"Brian Gay",NA,70.38,2252,32,"Round1ScoringAverage",2007
20,20,"Steve Stricker",NA,70.41,1549,22,"Round1ScoringAverage",2007
21,21,"Ryuji Imada",NA,70.42,2183,31,"Round1ScoringAverage",2007
21,21,"Camilo Villegas",NA,70.42,1690,24,"Round1ScoringAverage",2007
23,23,"Carl Pettersson",NA,70.43,2113,30,"Round1ScoringAverage",2007
24,24,"Jesper Parnevik",NA,70.44,1902,27,"Round1ScoringAverage",2007
24,24,"Charlie Wi",NA,70.44,1902,27,"Round1ScoringAverage",2007
26,26,"Michael Allen",NA,70.45,1550,22,"Round1ScoringAverage",2007
27,27,"Heath Slocum",NA,70.46,1973,28,"Round1ScoringAverage",2007
28,28,"Charles Warren",NA,70.48,2044,29,"Round1ScoringAverage",2007
29,29,"Anders Hansen",NA,70.53,1199,17,"Round1ScoringAverage",2007
29,29,"Tom Lehman",NA,70.53,1340,19,"Round1ScoringAverage",2007
31,31,"Kenny Perry",NA,70.54,1693,24,"Round1ScoringAverage",2007
32,32,"Rocco Mediate",NA,70.55,1552,22,"Round1ScoringAverage",2007
33,33,"Alex Cejka",NA,70.58,1694,24,"Round1ScoringAverage",2007
33,33,"Daniel Chopra",NA,70.58,2329,33,"Round1ScoringAverage",2007
35,35,"Woody Austin",NA,70.59,1906,27,"Round1ScoringAverage",2007
36,36,"Stewart Cink",NA,70.63,1695,24,"Round1ScoringAverage",2007
36,36,"Will Ma Kenzie",NA,70.63,2119,30,"Round1ScoringAverage",2007
38,38,"Michael Sim",NA,70.65,1201,17,"Round1ScoringAverage",2007
39,39,"Bob Heintz",NA,70.67,1908,27,"Round1ScoringAverage",2007
40,40,"Corey Pavin",NA,70.68,1767,25,"Round1ScoringAverage",2007
41,41,"Nathan Green",NA,70.69,2050,29,"Round1ScoringAverage",2007
41,41,"Matt Kuchar",NA,70.69,1838,26,"Round1ScoringAverage",2007
43,43,"Padraig Harrington",NA,70.71,1202,17,"Round1ScoringAverage",2007
44,44,"Steve Allan",NA,70.72,1273,18,"Round1ScoringAverage",2007
44,44,"Brandt Snedeker",NA,70.72,2051,29,"Round1ScoringAverage",2007
46,46,"Marco Dawson",NA,70.74,1627,23,"Round1ScoringAverage",2007
46,46,"Hunter Mahan",NA,70.74,1910,27,"Round1ScoringAverage",2007
46,46,"John Senden",NA,70.74,1910,27,"Round1ScoringAverage",2007
49,49,"Craig Barlow",NA,70.75,1132,16,"Round1ScoringAverage",2007
49,49,"Rich Beem",NA,70.75,1981,28,"Round1ScoringAverage",2007
49,49,"Brian Davis",NA,70.75,1981,28,"Round1ScoringAverage",2007
49,49,"Sean OHair",NA,70.75,1981,28,"Round1ScoringAverage",2007
53,53,"Steve Flesch",NA,70.77,2194,31,"Round1ScoringAverage",2007
54,54,"Tommy Armour III",NA,70.79,1699,24,"Round1ScoringAverage",2007
55,55,"Robert Garrigus",NA,70.86,1984,28,"Round1ScoringAverage",2007
56,56,"Steve Elkington",NA,70.88,1772,25,"Round1ScoringAverage",2007
56,56,"Chris Riley",NA,70.88,1205,17,"Round1ScoringAverage",2007
58,58,"Jason Gore",NA,70.89,1914,27,"Round1ScoringAverage",2007
58,58,"Tag Ridings",NA,70.89,1276,18,"Round1ScoringAverage",2007
60,60,"Jeff Quinney",NA,70.9,2056,29,"Round1ScoringAverage",2007
61,61,"Bart Bryant",NA,70.92,1702,24,"Round1ScoringAverage",2007
61,61,"Rod Pampling",NA,70.92,1702,24,"Round1ScoringAverage",2007
63,63,"Lucas Glover",NA,70.93,1915,27,"Round1ScoringAverage",2007
63,63,"Frank Lickliter II",NA,70.93,2057,29,"Round1ScoringAverage",2007
63,63,"Peter Lonard",NA,70.93,1915,27,"Round1ScoringAverage",2007
63,63,"John Rollins",NA,70.93,1986,28,"Round1ScoringAverage",2007
67,67,"Aaron Baddeley",NA,70.95,1561,22,"Round1ScoringAverage",2007
68,68,"Bob Estes",NA,70.96,1987,28,"Round1ScoringAverage",2007
68,68,"Nick Watney",NA,70.96,1845,26,"Round1ScoringAverage",2007
70,70,"Jason Dufner",NA,70.97,2271,32,"Round1ScoringAverage",2007
70,70,"Steve Marino",NA,70.97,2200,31,"Round1ScoringAverage",2007
72,72,"Robert Allenby",NA,71,1917,27,"Round1ScoringAverage",2007
72,72,"DJ Brigman",NA,71,1562,22,"Round1ScoringAverage",2007
72,72,"Jose Coceres",NA,71,1207,17,"Round1ScoringAverage",2007
72,72,"Phil Mickelson",NA,71,1420,20,"Round1ScoringAverage",2007
72,72,"Kevin Sutherland",NA,71,1775,25,"Round1ScoringAverage",2007
77,77,"John Merrick",NA,71.03,2060,29,"Round1ScoringAverage",2007
77,77,"Bo Van Pelt",NA,71.03,2131,30,"Round1ScoringAverage",2007
79,79,"Andrew Buckle",NA,71.04,1847,26,"Round1ScoringAverage",2007
79,79,"Jeff Maggert",NA,71.04,1776,25,"Round1ScoringAverage",2007
81,81,"Jarrod Lyle",NA,71.08,1706,24,"Round1ScoringAverage",2007
82,82,"Brendon de Jonge",NA,71.12,1849,26,"Round1ScoringAverage",2007
83,83,"Ryan Armour",NA,71.13,2276,32,"Round1ScoringAverage",2007
83,83,"Jonathan Byrd",NA,71.13,1636,23,"Round1ScoringAverage",2007
83,83,"Brett Quigley",NA,71.13,1707,24,"Round1ScoringAverage",2007
86,86,"Ryan Moore",NA,71.14,1992,28,"Round1ScoringAverage",2007
86,86,"Michael Putnam",NA,71.14,2063,29,"Round1ScoringAverage",2007
88,88,"Vijay Singh",NA,71.15,1850,26,"Round1ScoringAverage",2007
89,89,"Justin Leonard",NA,71.17,2064,29,"Round1ScoringAverage",2007
90,90,"Steve Lowery",NA,71.18,1566,22,"Round1ScoringAverage",2007
91,91,"Kent Jones",NA,71.2,2136,30,"Round1ScoringAverage",2007
92,92,"John Mallinger",NA,71.21,2065,29,"Round1ScoringAverage",2007
92,92,"Vaughn Taylor",NA,71.21,1994,28,"Round1ScoringAverage",2007
94,94,"Gavin Coles",NA,71.22,1923,27,"Round1ScoringAverage",2007
95,95,"Bill Haas",NA,71.23,2137,30,"Round1ScoringAverage",2007
96,96,"Mathew Goggin",NA,71.24,2066,29,"Round1ScoringAverage",2007
96,96,"Doug LaBelle II",NA,71.24,2351,33,"Round1ScoringAverage",2007
96,96,"Chris Tidland",NA,71.24,1496,21,"Round1ScoringAverage",2007
99,99,"Trevor Immelman",NA,71.25,1425,20,"Round1ScoringAverage",2007
100,100,"Charley Hoffman",NA,71.27,2138,30,"Round1ScoringAverage",2007
