"DrivingPctAll_RANKTHISWEEK_2013","DrivingPctAll_RANKLASTWEEK_2013","DrivingPctAll_PLAYERNAME_2013","DrivingPctAll_ROUNDS_2013","DrivingPctAll_Pct_2013","DrivingPctAll_TOTALDRIVESFOR_2013","DrivingPctAll_TOTALDRIVESOVERALL_2013","DrivingPctAll_RELATIVETOPAR_2013","stat_name","year"
1,1,"Michael Bradley",56,13.55,81,598,0.21,"DrivingPctAll",2013
2,2,"Mike Weir",60,10.38,68,655,0.338,"DrivingPctAll",2013
3,3,"Michael Thompson",66,9.86,73,740,0.082,"DrivingPctAll",2013
4,4,"Chris Stroud",88,9.48,103,1087,0.136,"DrivingPctAll",2013
5,5,"Bryce Molder",82,9.21,91,988,0.055,"DrivingPctAll",2013
6,6,"Jim Furyk",80,9.08,81,892,-0.099,"DrivingPctAll",2013
7,7,"Stephen Ames",49,9.02,55,610,0.2,"DrivingPctAll",2013
8,8,"Luke Donald",60,8.91,57,640,-0.053,"DrivingPctAll",2013
9,9,"Mark Wilson",56,8.71,61,700,-0.082,"DrivingPctAll",2013
10,10,"Bob Estes",66,8.56,74,864,0.041,"DrivingPctAll",2013
10,10,"Ted Potter Jr",65,8.56,66,771,0.197,"DrivingPctAll",2013
12,12,"Jin Park",52,8.51,51,599,0.196,"DrivingPctAll",2013
13,13,"Justin Hicks",79,8.5,78,918,0.051,"DrivingPctAll",2013
13,13,"Johnson Wagner",64,8.5,62,729,0.21,"DrivingPctAll",2013
15,15,"Rickie Fowler",75,8.44,70,829,0.043,"DrivingPctAll",2013
16,16,"Richard Lee",81,8.28,83,1002,0.096,"DrivingPctAll",2013
17,17,"Marc Leishman",77,8.27,74,895,0.081,"DrivingPctAll",2013
18,18,"Trevor Immelman",73,8.23,71,863,0.225,"DrivingPctAll",2013
19,19,"Jonas Blixt",76,8.22,77,937,0.065,"DrivingPctAll",2013
19,19,"Brandt Jobe",62,8.22,61,742,0.049,"DrivingPctAll",2013
21,21,"Charlie Beljan",62,8.05,62,770,0.065,"DrivingPctAll",2013
22,22,"Scott Langley",79,7.97,71,891,0.169,"DrivingPctAll",2013
23,23,"Ken Duke",87,7.93,83,1047,0.193,"DrivingPctAll",2013
24,24,"JJ Henry",83,7.92,82,1035,-0.024,"DrivingPctAll",2013
24,24,"Dicky Pride",71,7.92,65,821,0.138,"DrivingPctAll",2013
26,26,"Graham DeLaet",94,7.89,89,1128,0.079,"DrivingPctAll",2013
27,27,"Robert Allenby",58,7.86,57,725,0.193,"DrivingPctAll",2013
28,28,"John Huh",88,7.8,82,1051,0.073,"DrivingPctAll",2013
29,29,"Ben Curtis",59,7.73,50,647,0.18,"DrivingPctAll",2013
30,30,"Brad Fritsch",81,7.7,73,948,0.151,"DrivingPctAll",2013
31,31,"Chad Campbell",78,7.66,77,1005,0.039,"DrivingPctAll",2013
32,32,"Brian Stuard",78,7.65,67,876,0.075,"DrivingPctAll",2013
33,33,"Casey Wittenberg",72,7.64,65,851,0.308,"DrivingPctAll",2013
34,34,"Ryan Moore",72,7.63,61,799,-0.016,"DrivingPctAll",2013
35,35,"Lee Williams",62,7.61,54,710,0.056,"DrivingPctAll",2013
36,36,"Chris Kirk",89,7.59,86,1133,0.198,"DrivingPctAll",2013
37,37,"Zach Johnson",84,7.58,71,937,-0.014,"DrivingPctAll",2013
38,38,"Tiger Woods",61,7.48,45,602,0.267,"DrivingPctAll",2013
39,39,"Daniel Summerhays",83,7.37,80,1086,0.113,"DrivingPctAll",2013
40,40,"Stuart Appleby",88,7.36,81,1100,0.136,"DrivingPctAll",2013
41,41,"Tim Herron",45,7.35,45,612,-0.022,"DrivingPctAll",2013
42,42,"Graeme McDowell",53,7.34,38,518,-0.026,"DrivingPctAll",2013
43,43,"Greg Chalmers",77,7.29,71,974,0.338,"DrivingPctAll",2013
44,44,"Aaron Baddeley",68,7.2,59,820,0.254,"DrivingPctAll",2013
44,44,"Stewart Cink",71,7.2,56,778,0.286,"DrivingPctAll",2013
44,44,"DJ Trahan",48,7.2,38,528,0.158,"DrivingPctAll",2013
47,47,"Aaron Watkins",46,7.16,35,489,0.429,"DrivingPctAll",2013
48,48,"John Merrick",79,7.15,68,951,0.044,"DrivingPctAll",2013
49,49,"DA Points",87,7.07,67,948,0.179,"DrivingPctAll",2013
50,50,"Sangmoon Bae",83,6.99,70,1002,0.186,"DrivingPctAll",2013
51,51,"Charlie Wi",75,6.97,64,918,0.156,"DrivingPctAll",2013
52,52,"Troy Matteson",68,6.94,57,821,0.158,"DrivingPctAll",2013
53,53,"Steve Stricker",51,6.9,34,493,-0.176,"DrivingPctAll",2013
54,54,"Brendon de Jonge",110,6.88,93,1352,0.054,"DrivingPctAll",2013
54,54,"Charl Schwartzel",69,6.88,52,756,0.058,"DrivingPctAll",2013
56,56,"Brian Davis",91,6.83,79,1157,0.114,"DrivingPctAll",2013
57,57,"Doug LaBelle II",72,6.8,56,823,0.107,"DrivingPctAll",2013
58,58,"Brian Gay",79,6.77,67,990,0.164,"DrivingPctAll",2013
59,59,"Matt Jones",83,6.76,66,976,-0.03,"DrivingPctAll",2013
60,60,"Tag Ridings",69,6.7,54,806,0.315,"DrivingPctAll",2013
61,61,"DH Lee",65,6.68,54,808,0.222,"DrivingPctAll",2013
61,61,"Henrik Norlander",70,6.68,55,823,0.127,"DrivingPctAll",2013
63,63,"Kevin Streelman",86,6.66,63,946,-0.016,"DrivingPctAll",2013
64,64,"Jerry Kelly",75,6.63,59,890,0.119,"DrivingPctAll",2013
64,64,"Sean OHair",56,6.63,47,709,0.043,"DrivingPctAll",2013
66,66,"Ben Kohles",75,6.61,57,862,0.246,"DrivingPctAll",2013
67,67,"George McNeill",68,6.59,59,895,0.169,"DrivingPctAll",2013
68,68,"Colt Knost",69,6.58,53,806,0.321,"DrivingPctAll",2013
69,69,"Scott Piercy",78,6.56,57,869,0.211,"DrivingPctAll",2013
70,70,"Angel Cabrera",73,6.55,52,794,0,"DrivingPctAll",2013
70,70,"Kevin Stadler",83,6.55,63,962,0.079,"DrivingPctAll",2013
72,72,"Ricky Barnes",74,6.51,59,906,0.085,"DrivingPctAll",2013
73,73,"Carl Pettersson",82,6.48,58,895,0.293,"DrivingPctAll",2013
73,73,"Shawn Stefani",63,6.48,45,694,0.111,"DrivingPctAll",2013
75,75,"Matt Kuchar",93,6.44,62,963,-0.016,"DrivingPctAll",2013
76,76,"Erik Compton",74,6.41,58,905,0.103,"DrivingPctAll",2013
77,77,"Bobby Gates",49,6.4,34,531,0.235,"DrivingPctAll",2013
78,78,"James Driscoll",76,6.39,56,877,0.304,"DrivingPctAll",2013
78,78,"Hunter Mahan",91,6.39,61,955,-0.049,"DrivingPctAll",2013
80,80,"KJ Choi",85,6.38,56,878,0.071,"DrivingPctAll",2013
80,80,"Robert Streb",75,6.38,55,862,0.255,"DrivingPctAll",2013
