"ScramblingfromtheFringe_RANKTHISWEEK_2005","ScramblingfromtheFringe_RANKLASTWEEK_2005","ScramblingfromtheFringe_PLAYERNAME_2005","ScramblingfromtheFringe_ROUNDS_2005","ScramblingfromtheFringe_Pct_2005","ScramblingfromtheFringe_SUCCESSES_2005","ScramblingfromtheFringe_ATTEMPTS_2005","stat_name","year"
1,1,"Justin Leonard",78,97.26,71,73,"ScramblingfromtheFringe",2005
2,2,"Chris DiMarco",83,96.47,82,85,"ScramblingfromtheFringe",2005
3,3,"Richard Johnson",50,96,48,50,"ScramblingfromtheFringe",2005
4,4,"Luke Donald",67,95.35,41,43,"ScramblingfromtheFringe",2005
5,5,"Bernhard Langer",67,94.83,55,58,"ScramblingfromtheFringe",2005
6,6,"Loren Roberts",54,94.29,66,70,"ScramblingfromtheFringe",2005
7,7,"Chad Campbell",95,93.67,74,79,"ScramblingfromtheFringe",2005
8,8,"Vijay Singh",111,91.96,103,112,"ScramblingfromtheFringe",2005
9,9,"Jerry Kelly",101,91.82,101,110,"ScramblingfromtheFringe",2005
10,10,"Phil Mickelson",81,91.67,55,60,"ScramblingfromtheFringe",2005
10,10,"Phillip Price",77,91.67,88,96,"ScramblingfromtheFringe",2005
12,12,"Kent Jones",99,90.91,100,110,"ScramblingfromtheFringe",2005
13,13,"Shigeki Maruyama",99,90.82,89,98,"ScramblingfromtheFringe",2005
14,14,"Mathias Gronberg",60,90.7,78,86,"ScramblingfromtheFringe",2005
15,15,"Retief Goosen",71,90.48,57,63,"ScramblingfromtheFringe",2005
16,16,"Bob Tway",87,90.43,85,94,"ScramblingfromtheFringe",2005
17,17,"Craig Barlow",81,90.41,66,73,"ScramblingfromtheFringe",2005
18,18,"JP Hayes",63,90.24,74,82,"ScramblingfromtheFringe",2005
18,18,"Charlie Wi",67,90.24,74,82,"ScramblingfromtheFringe",2005
20,20,"Dan Forsman",52,90.2,46,51,"ScramblingfromtheFringe",2005
21,21,"Kevin Stadler",96,90.15,119,132,"ScramblingfromtheFringe",2005
22,22,"Scott McCarron",78,90.14,64,71,"ScramblingfromtheFringe",2005
23,23,"Jason Allred",75,90,63,70,"ScramblingfromtheFringe",2005
23,23,"Tom Lehman",69,90,54,60,"ScramblingfromtheFringe",2005
25,25,"Rod Pampling",89,89.81,97,108,"ScramblingfromtheFringe",2005
26,26,"Carl Pettersson",109,89.72,96,107,"ScramblingfromtheFringe",2005
27,27,"Jose Maria Olazabal",55,89.66,52,58,"ScramblingfromtheFringe",2005
28,28,"Ian Poulter",62,89.47,34,38,"ScramblingfromtheFringe",2005
29,29,"DA Points",94,89.43,110,123,"ScramblingfromtheFringe",2005
30,30,"Zach Johnson",96,89.13,82,92,"ScramblingfromtheFringe",2005
31,31,"Stewart Cink",98,88.89,80,90,"ScramblingfromtheFringe",2005
31,31,"Greg Owen",84,88.89,88,99,"ScramblingfromtheFringe",2005
31,31,"Patrick Sheehan",114,88.89,120,135,"ScramblingfromtheFringe",2005
34,34,"Lee Janzen",75,88.75,71,80,"ScramblingfromtheFringe",2005
35,35,"Skip Kendall",80,88.68,94,106,"ScramblingfromtheFringe",2005
36,36,"Dudley Hart",84,88.43,107,121,"ScramblingfromtheFringe",2005
37,37,"Dean Wilson",86,88.42,84,95,"ScramblingfromtheFringe",2005
38,38,"Rich Beem",66,88.33,53,60,"ScramblingfromtheFringe",2005
38,38,"Sergio Garcia",73,88.33,53,60,"ScramblingfromtheFringe",2005
40,40,"Kenny Perry",82,88.31,68,77,"ScramblingfromtheFringe",2005
41,41,"Andrew Magee",82,88.3,83,94,"ScramblingfromtheFringe",2005
42,42,"Jonathan Byrd",103,88.28,113,128,"ScramblingfromtheFringe",2005
43,43,"Jesper Parnevik",84,88.24,105,119,"ScramblingfromtheFringe",2005
44,44,"Ryan Palmer",101,88.17,82,93,"ScramblingfromtheFringe",2005
45,45,"Ben Crane",78,88.04,81,92,"ScramblingfromtheFringe",2005
46,46,"Billy Andrade",83,87.96,95,108,"ScramblingfromtheFringe",2005
46,46,"Glen Day",80,87.96,95,108,"ScramblingfromtheFringe",2005
48,48,"Tom Byrum",83,87.93,102,116,"ScramblingfromtheFringe",2005
49,49,"Darron Stiles",78,87.91,80,91,"ScramblingfromtheFringe",2005
50,50,"Briny Baird",98,87.88,87,99,"ScramblingfromtheFringe",2005
51,51,"Duffy Waldorf",86,87.85,94,107,"ScramblingfromtheFringe",2005
52,52,"Rory Sabbatini",81,87.65,71,81,"ScramblingfromtheFringe",2005
53,53,"Pat Perez",89,87.63,85,97,"ScramblingfromtheFringe",2005
54,54,"Scott Gutschewski",86,87.62,92,105,"ScramblingfromtheFringe",2005
54,54,"Corey Pavin",77,87.62,92,105,"ScramblingfromtheFringe",2005
56,56,"Todd Fischer",99,87.6,113,129,"ScramblingfromtheFringe",2005
56,56,"JL Lewis",98,87.6,106,121,"ScramblingfromtheFringe",2005
58,58,"Jason Bohn",91,87.5,105,120,"ScramblingfromtheFringe",2005
58,58,"John Daly",78,87.5,70,80,"ScramblingfromtheFringe",2005
58,58,"Harrison Frazar",105,87.5,112,128,"ScramblingfromtheFringe",2005
58,58,"Mario Tiziani",67,87.5,56,64,"ScramblingfromtheFringe",2005
58,58,"David Toms",87,87.5,70,80,"ScramblingfromtheFringe",2005
63,63,"Brenden Pappas",51,87.3,55,63,"ScramblingfromtheFringe",2005
64,64,"Justin Rose",99,87.29,103,118,"ScramblingfromtheFringe",2005
65,65,"Jose Coceres",56,87.23,82,94,"ScramblingfromtheFringe",2005
65,65,"Brad Faxon",75,87.23,82,94,"ScramblingfromtheFringe",2005
67,67,"Matt Kuchar",60,87.01,67,77,"ScramblingfromtheFringe",2005
68,68,"Jim Furyk",94,86.96,80,92,"ScramblingfromtheFringe",2005
68,68,"Bill Glasson",54,86.96,60,69,"ScramblingfromtheFringe",2005
70,70,"Joey Sindelar",104,86.86,119,137,"ScramblingfromtheFringe",2005
71,71,"Kevin Na",88,86.82,112,129,"ScramblingfromtheFringe",2005
72,72,"Kevin Sutherland",89,86.79,92,106,"ScramblingfromtheFringe",2005
73,73,"Peter Lonard",85,86.75,72,83,"ScramblingfromtheFringe",2005
74,74,"Alex Cejka",84,86.73,85,98,"ScramblingfromtheFringe",2005
75,75,"Marco Dawson",82,86.67,91,105,"ScramblingfromtheFringe",2005
75,75,"Steve Stricker",62,86.67,65,75,"ScramblingfromtheFringe",2005
77,77,"Nick Watney",91,86.6,84,97,"ScramblingfromtheFringe",2005
78,78,"Steve Flesch",90,86.59,71,82,"ScramblingfromtheFringe",2005
79,79,"Steve Lowery",100,86.52,122,141,"ScramblingfromtheFringe",2005
80,80,"Mike Weir",71,86.44,51,59,"ScramblingfromtheFringe",2005
81,81,"KJ Choi",78,86.36,57,66,"ScramblingfromtheFringe",2005
81,81,"Tjaart van der Walt",56,86.36,57,66,"ScramblingfromtheFringe",2005
83,83,"Geoff Ogilvy",97,86.32,82,95,"ScramblingfromtheFringe",2005
84,84,"Daniel Chopra",108,86.3,126,146,"ScramblingfromtheFringe",2005
85,85,"Mark Brooks",72,86.21,75,87,"ScramblingfromtheFringe",2005
86,86,"Brendan Jones",81,86.17,81,94,"ScramblingfromtheFringe",2005
87,87,"Hideto Tanihara",50,86.15,56,65,"ScramblingfromtheFringe",2005
88,88,"Michael Allen",90,86.07,105,122,"ScramblingfromtheFringe",2005
89,89,"Doug Barron",70,86,86,100,"ScramblingfromtheFringe",2005
89,89,"John Senden",101,86,129,150,"ScramblingfromtheFringe",2005
91,91,"Tim Herron",100,85.95,104,121,"ScramblingfromtheFringe",2005
92,92,"Stuart Appleby",84,85.94,55,64,"ScramblingfromtheFringe",2005
93,93,"Bob Heintz",67,85.92,61,71,"ScramblingfromtheFringe",2005
93,93,"Tiger Woods",76,85.92,61,71,"ScramblingfromtheFringe",2005
95,95,"Scott Verplank",87,85.88,73,85,"ScramblingfromtheFringe",2005
96,96,"Joey Snyder III",102,85.85,91,106,"ScramblingfromtheFringe",2005
97,97,"Brian Bateman",98,85.71,102,119,"ScramblingfromtheFringe",2005
97,97,"Steve Elkington",67,85.71,60,70,"ScramblingfromtheFringe",2005
97,97,"Ryuji Imada",78,85.71,78,91,"ScramblingfromtheFringe",2005
97,97,"Davis Love III",80,85.71,60,70,"ScramblingfromtheFringe",2005
101,101,"Tim Petrovic",97,85.58,89,104,"ScramblingfromtheFringe",2005
102,102,"Rocco Mediate",73,85.57,83,97,"ScramblingfromtheFringe",2005
103,103,"Carlos Franco",78,85.56,77,90,"ScramblingfromtheFringe",2005
104,104,"Arjun Atwal",65,85.48,53,62,"ScramblingfromtheFringe",2005
105,105,"Woody Austin",100,85.4,117,137,"ScramblingfromtheFringe",2005
106,106,"Steve Allan",102,85.37,105,123,"ScramblingfromtheFringe",2005
107,107,"Chris Riley",67,85.33,64,75,"ScramblingfromtheFringe",2005
108,108,"Rob Rashell",65,85.23,75,88,"ScramblingfromtheFringe",2005
109,109,"Padraig Harrington",50,85.19,46,54,"ScramblingfromtheFringe",2005
109,109,"Hidemichi Tanaka",106,85.19,115,135,"ScramblingfromtheFringe",2005
