"BogeyAvoidance_RANKTHISWEEK_2005","BogeyAvoidance_RANKLASTWEEK_2005","BogeyAvoidance_PLAYERNAME_2005","BogeyAvoidance_ROUNDS_2005","BogeyAvoidance_PctMAKESBOGEY_2005","BogeyAvoidance_BOGEYS_2005","BogeyAvoidance_HOLESPLAYED_2005","stat_name","year"
87,87,"JL Lewis",98,17.06,301,1764,"BogeyAvoidance",2005
88,88,"Adam Scott",72,17.08,209,1224,"BogeyAvoidance",2005
89,89,"Tom Lehman",69,17.16,207,1206,"BogeyAvoidance",2005
90,90,"Vaughn Taylor",99,17.17,306,1782,"BogeyAvoidance",2005
91,91,"Brian Davis",75,17.19,232,1350,"BogeyAvoidance",2005
92,92,"Roland Thatcher",75,17.2,226,1314,"BogeyAvoidance",2005
93,93,"Bernhard Langer",67,17.25,208,1206,"BogeyAvoidance",2005
94,94,"Jonathan Kaye",77,17.27,230,1332,"BogeyAvoidance",2005
95,95,"KJ Choi",78,17.28,227,1314,"BogeyAvoidance",2005
96,96,"Brandt Jobe",96,17.33,287,1656,"BogeyAvoidance",2005
97,97,"James Driscoll",73,17.37,222,1278,"BogeyAvoidance",2005
98,98,"Gavin Coles",70,17.38,219,1260,"BogeyAvoidance",2005
99,99,"Joey Snyder III",102,17.4,307,1764,"BogeyAvoidance",2005
100,100,"DA Points",94,17.41,282,1620,"BogeyAvoidance",2005
101,101,"Brad Faxon",75,17.45,223,1278,"BogeyAvoidance",2005
102,102,"Tom Byrum",83,17.47,261,1494,"BogeyAvoidance",2005
103,103,"Stephen Ames",82,17.51,249,1422,"BogeyAvoidance",2005
103,103,"Kevin Na",88,17.51,271,1548,"BogeyAvoidance",2005
105,105,"Mark Calcavecchia",92,17.53,284,1620,"BogeyAvoidance",2005
106,106,"Aaron Baddeley",84,17.55,259,1476,"BogeyAvoidance",2005
107,107,"Brett Wetterich",76,17.57,234,1332,"BogeyAvoidance",2005
108,108,"Hunter Haas",83,17.58,250,1422,"BogeyAvoidance",2005
109,109,"Arjun Atwal",65,17.61,206,1170,"BogeyAvoidance",2005
110,110,"Matt Gogel",78,17.62,241,1368,"BogeyAvoidance",2005
111,111,"Glen Hnatiuk",59,17.68,175,990,"BogeyAvoidance",2005
112,112,"Robert Gamez",91,17.7,290,1638,"BogeyAvoidance",2005
113,113,"Robert Damron",89,17.73,284,1602,"BogeyAvoidance",2005
114,114,"Billy Andrade",83,17.74,265,1494,"BogeyAvoidance",2005
115,115,"Kent Jones",99,17.75,310,1746,"BogeyAvoidance",2005
115,115,"Duffy Waldorf",86,17.75,262,1476,"BogeyAvoidance",2005
117,117,"Mark OMeara",66,17.76,211,1188,"BogeyAvoidance",2005
117,117,"Tjaart van der Walt",56,17.76,179,1008,"BogeyAvoidance",2005
119,119,"Jonathan Byrd",103,17.79,317,1782,"BogeyAvoidance",2005
120,120,"Todd Fischer",99,17.81,311,1746,"BogeyAvoidance",2005
121,121,"Steve Lowery",100,17.82,308,1728,"BogeyAvoidance",2005
121,121,"DJ Trahan",81,17.82,247,1386,"BogeyAvoidance",2005
123,123,"Rod Pampling",89,17.86,270,1512,"BogeyAvoidance",2005
123,123,"Charlie Wi",67,17.86,209,1170,"BogeyAvoidance",2005
125,125,"Fred Couples",72,17.89,219,1224,"BogeyAvoidance",2005
125,125,"Tag Ridings",93,17.89,293,1638,"BogeyAvoidance",2005
127,127,"JP Hayes",63,17.9,203,1134,"BogeyAvoidance",2005
128,128,"Ryan Palmer",101,17.93,313,1746,"BogeyAvoidance",2005
129,129,"Glen Day",80,17.95,252,1404,"BogeyAvoidance",2005
130,130,"Freddie Jacobson",72,18,230,1278,"BogeyAvoidance",2005
131,131,"Lee Janzen",75,18.04,237,1314,"BogeyAvoidance",2005
132,132,"Woody Austin",100,18.06,325,1800,"BogeyAvoidance",2005
132,132,"Cameron Beckman",96,18.06,299,1656,"BogeyAvoidance",2005
134,134,"Brent Geiberger",61,18.08,192,1062,"BogeyAvoidance",2005
135,135,"Craig Barlow",81,18.11,251,1386,"BogeyAvoidance",2005
136,136,"John Huston",90,18.15,281,1548,"BogeyAvoidance",2005
137,137,"John Rollins",97,18.19,311,1710,"BogeyAvoidance",2005
138,138,"Hunter Mahan",103,18.21,331,1818,"BogeyAvoidance",2005
139,139,"Tom Gillis",77,18.22,246,1350,"BogeyAvoidance",2005
140,140,"Jeff Maggert",79,18.24,243,1332,"BogeyAvoidance",2005
141,141,"Bill Glasson",54,18.27,171,936,"BogeyAvoidance",2005
142,142,"Joe Ogilvie",103,18.29,326,1782,"BogeyAvoidance",2005
143,143,"David Hearn",68,18.3,224,1224,"BogeyAvoidance",2005
144,144,"Alex Cejka",84,18.31,267,1458,"BogeyAvoidance",2005
145,145,"Patrick Sheehan",114,18.33,363,1980,"BogeyAvoidance",2005
146,146,"Jeff Hart",63,18.4,202,1098,"BogeyAvoidance",2005
147,147,"Bob Heintz",67,18.41,222,1206,"BogeyAvoidance",2005
148,148,"Jose Coceres",56,18.42,179,972,"BogeyAvoidance",2005
148,148,"Will Ma Kenzie",75,18.42,242,1314,"BogeyAvoidance",2005
148,148,"Kevin Stadler",96,18.42,305,1656,"BogeyAvoidance",2005
151,151,"Frank Lickliter II",100,18.46,319,1728,"BogeyAvoidance",2005
151,151,"Chris Smith",93,18.46,309,1674,"BogeyAvoidance",2005
153,153,"Paul Gow",78,18.47,246,1332,"BogeyAvoidance",2005
154,154,"Skip Kendall",80,18.52,260,1404,"BogeyAvoidance",2005
154,154,"Franklin Langham",91,18.52,290,1566,"BogeyAvoidance",2005
154,154,"Peter Lonard",85,18.52,280,1512,"BogeyAvoidance",2005
157,157,"Larry Mize",54,18.56,167,900,"BogeyAvoidance",2005
158,158,"Shaun Micheel",81,18.57,264,1422,"BogeyAvoidance",2005
159,159,"Brian Bateman",98,18.62,315,1692,"BogeyAvoidance",2005
160,160,"Charles Warren",89,18.65,292,1566,"BogeyAvoidance",2005
161,161,"Michael Allen",90,18.7,303,1620,"BogeyAvoidance",2005
162,162,"Paul Claxton",79,18.71,266,1422,"BogeyAvoidance",2005
163,163,"Mike Weir",71,18.77,223,1188,"BogeyAvoidance",2005
164,164,"Mark Brooks",72,18.9,245,1296,"BogeyAvoidance",2005
165,165,"Ted Purdy",122,18.94,416,2196,"BogeyAvoidance",2005
166,166,"Justin Bolli",65,18.96,215,1134,"BogeyAvoidance",2005
167,167,"Scott McCarron",78,18.99,253,1332,"BogeyAvoidance",2005
168,168,"Brenden Pappas",51,19.06,175,918,"BogeyAvoidance",2005
169,169,"Todd Hamilton",94,19.11,313,1638,"BogeyAvoidance",2005
170,170,"Danny Briggs",70,19.12,234,1224,"BogeyAvoidance",2005
171,171,"John Cook",72,19.13,241,1260,"BogeyAvoidance",2005
172,172,"Paul Azinger",66,19.28,229,1188,"BogeyAvoidance",2005
172,172,"Jay Haas",54,19.28,177,918,"BogeyAvoidance",2005
174,174,"Michael Long",72,19.29,243,1260,"BogeyAvoidance",2005
175,175,"Bradley Hughes",52,19.34,181,936,"BogeyAvoidance",2005
176,176,"Rory Sabbatini",81,19.52,274,1404,"BogeyAvoidance",2005
177,177,"Jim Carter",62,19.54,211,1080,"BogeyAvoidance",2005
178,178,"Andrew Magee",82,19.66,276,1404,"BogeyAvoidance",2005
179,179,"Steve Allan",102,19.67,347,1764,"BogeyAvoidance",2005
180,180,"Padraig Harrington",50,19.79,171,864,"BogeyAvoidance",2005
181,181,"Chris Anderson",66,19.8,221,1116,"BogeyAvoidance",2005
182,182,"Steve Jones",56,19.96,194,972,"BogeyAvoidance",2005
183,183,"Chris Riley",67,19.97,230,1152,"BogeyAvoidance",2005
184,184,"Ben Curtis",65,20,234,1170,"BogeyAvoidance",2005
184,184,"Steve Flesch",90,20,306,1530,"BogeyAvoidance",2005
186,186,"Lee Westwood",50,20.02,173,864,"BogeyAvoidance",2005
187,187,"Ian Poulter",62,20.34,205,1008,"BogeyAvoidance",2005
188,188,"Hank Kuehne",84,20.42,294,1440,"BogeyAvoidance",2005
189,189,"John Daly",78,20.47,280,1368,"BogeyAvoidance",2005
190,190,"Rob Rashell",65,20.68,242,1170,"BogeyAvoidance",2005
191,191,"Dennis Paulson",63,20.72,235,1134,"BogeyAvoidance",2005
192,192,"Rich Beem",66,20.79,232,1116,"BogeyAvoidance",2005
193,193,"Mark Hensby",70,20.83,255,1224,"BogeyAvoidance",2005
194,194,"Len Mattiace",86,21.03,318,1512,"BogeyAvoidance",2005
195,195,"Hideto Tanihara",50,21.18,183,864,"BogeyAvoidance",2005
196,196,"Matt Davidson",53,21.59,206,954,"BogeyAvoidance",2005
197,197,"DJ Brigman",76,21.6,280,1296,"BogeyAvoidance",2005
198,198,"Jason Allred",75,22.07,290,1314,"BogeyAvoidance",2005
198,198,"Scott Hend",75,22.07,290,1314,"BogeyAvoidance",2005
200,200,"John Elliott",58,22.72,229,1008,"BogeyAvoidance",2005
201,201,"Craig Perks",67,22.82,267,1170,"BogeyAvoidance",2005
202,202,"Thomas Levet",54,23.17,221,954,"BogeyAvoidance",2005
