"AveragePuttingDistanceAll3putts_RANKTHISWEEK_2012","AveragePuttingDistanceAll3putts_RANKLASTWEEK_2012","AveragePuttingDistanceAll3putts_PLAYERNAME_2012","AveragePuttingDistanceAll3putts_ROUNDS_2012","AveragePuttingDistanceAll3putts_AVG_2012","AveragePuttingDistanceAll3putts_DISTANCEFEET_2012","AveragePuttingDistanceAll3putts_TOTALPUTTS_2012","stat_name","year"
1,1,"Bill Haas",79,NA,1738,35,"AveragePuttingDistanceAll3putts",2012
1,1,"Spencer Levin",81,NA,1341.917,27,"AveragePuttingDistanceAll3putts",2012
3,3,"Jimmy Walker",101,NA,1961.333,40,"AveragePuttingDistanceAll3putts",2012
4,4,"KJ Choi",71,NA,1377.083,29,"AveragePuttingDistanceAll3putts",2012
5,5,"Brendan Steele",77,NA,2348.167,50,"AveragePuttingDistanceAll3putts",2012
6,6,"Steve Stricker",73,NA,934.5,20,"AveragePuttingDistanceAll3putts",2012
7,7,"Martin Flores",95,NA,1474,32,"AveragePuttingDistanceAll3putts",2012
8,8,"Bryce Molder",83,NA,1378.25,30,"AveragePuttingDistanceAll3putts",2012
9,9,"Troy Kelly",68,NA,1370.583,30,"AveragePuttingDistanceAll3putts",2012
10,10,"Troy Matteson",100,NA,2407.667,53,"AveragePuttingDistanceAll3putts",2012
11,11,"Phil Mickelson",79,NA,1395.583,31,"AveragePuttingDistanceAll3putts",2012
12,12,"Charles Howell III",98,NA,1932.583,43,"AveragePuttingDistanceAll3putts",2012
12,12,"William McGirt",96,NA,1526.25,34,"AveragePuttingDistanceAll3putts",2012
14,14,"Keegan Bradley",90,NA,2062.333,46,"AveragePuttingDistanceAll3putts",2012
15,15,"David Hearn",95,NA,2060.25,46,"AveragePuttingDistanceAll3putts",2012
16,16,"Roberto Castro",92,NA,1961.25,44,"AveragePuttingDistanceAll3putts",2012
17,17,"Ben Curtis",62,NA,712.083,16,"AveragePuttingDistanceAll3putts",2012
18,18,"Blake Adams",107,NA,2266.167,51,"AveragePuttingDistanceAll3putts",2012
19,19,"Jhonattan Vegas",77,NA,1996.833,45,"AveragePuttingDistanceAll3putts",2012
20,20,"Jim Furyk",85,NA,884.417,20,"AveragePuttingDistanceAll3putts",2012
20,20,"Scott Piercy",95,NA,2033.833,46,"AveragePuttingDistanceAll3putts",2012
22,22,"Harris English",98,NA,2296,52,"AveragePuttingDistanceAll3putts",2012
23,23,"Jason Bohn",81,NA,1363,31,"AveragePuttingDistanceAll3putts",2012
23,23,"Will Claxton",99,NA,2068.167,47,"AveragePuttingDistanceAll3putts",2012
25,25,"Justin Leonard",79,NA,1833.5,42,"AveragePuttingDistanceAll3putts",2012
26,26,"Rory McIlroy",60,NA,863.75,20,"AveragePuttingDistanceAll3putts",2012
26,26,"Carl Pettersson",92,NA,1295.167,30,"AveragePuttingDistanceAll3putts",2012
28,28,"Graham DeLaet",79,NA,2155.167,50,"AveragePuttingDistanceAll3putts",2012
28,28,"Kevin Kisner",69,NA,602.667,14,"AveragePuttingDistanceAll3putts",2012
30,30,"Luke Donald",63,NA,644.75,15,"AveragePuttingDistanceAll3putts",2012
31,31,"Louis Oosthuizen",65,NA,1113.583,26,"AveragePuttingDistanceAll3putts",2012
32,32,"Stewart Cink",71,NA,1282.083,30,"AveragePuttingDistanceAll3putts",2012
32,32,"Billy Hurley III",70,NA,1197.333,28,"AveragePuttingDistanceAll3putts",2012
32,32,"Russell Knox",72,NA,1026.333,24,"AveragePuttingDistanceAll3putts",2012
35,35,"Matt Jones",53,NA,1106.917,26,"AveragePuttingDistanceAll3putts",2012
35,35,"Josh Teater",97,NA,2599.75,61,"AveragePuttingDistanceAll3putts",2012
