"BirdietoBogeyRatio_RANKTHISWEEK_2005","BirdietoBogeyRatio_RANKLASTWEEK_2005","BirdietoBogeyRatio_PLAYERNAME_2005","BirdietoBogeyRatio_ROUNDS_2005","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2005","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2005","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2005","stat_name","year"
1,1,"Tiger Woods",76,1.96,348,178,"BirdietoBogeyRatio",2005
2,2,"Vijay Singh",111,1.79,445,249,"BirdietoBogeyRatio",2005
3,3,"Jim Furyk",94,1.65,362,220,"BirdietoBogeyRatio",2005
4,4,"Phil Mickelson",81,1.62,330,204,"BirdietoBogeyRatio",2005
5,5,"Richard Johnson",50,1.49,194,130,"BirdietoBogeyRatio",2005
6,6,"David Toms",87,1.43,320,224,"BirdietoBogeyRatio",2005
7,7,"Jeff Brehaut",71,1.42,252,177,"BirdietoBogeyRatio",2005
7,7,"Dudley Hart",84,1.42,317,223,"BirdietoBogeyRatio",2005
9,9,"Harrison Frazar",105,1.4,406,289,"BirdietoBogeyRatio",2005
9,9,"Sergio Garcia",73,1.4,261,186,"BirdietoBogeyRatio",2005
9,9,"Billy Mayfair",114,1.4,425,304,"BirdietoBogeyRatio",2005
9,9,"Jose Maria Olazabal",55,1.4,194,139,"BirdietoBogeyRatio",2005
9,9,"Justin Rose",99,1.4,356,254,"BirdietoBogeyRatio",2005
9,9,"Scott Verplank",87,1.4,352,252,"BirdietoBogeyRatio",2005
15,15,"Olin Browne",99,1.38,344,249,"BirdietoBogeyRatio",2005
15,15,"Dan Forsman",52,1.38,191,138,"BirdietoBogeyRatio",2005
15,15,"Tim Herron",100,1.38,391,283,"BirdietoBogeyRatio",2005
15,15,"Kenny Perry",82,1.38,313,226,"BirdietoBogeyRatio",2005
19,19,"Geoff Ogilvy",97,1.36,369,272,"BirdietoBogeyRatio",2005
19,19,"Heath Slocum",103,1.36,355,261,"BirdietoBogeyRatio",2005
19,19,"Kevin Sutherland",89,1.36,308,226,"BirdietoBogeyRatio",2005
22,22,"Bart Bryant",91,1.35,344,255,"BirdietoBogeyRatio",2005
22,22,"Carl Pettersson",109,1.35,387,286,"BirdietoBogeyRatio",2005
22,22,"Phillip Price",77,1.35,266,197,"BirdietoBogeyRatio",2005
22,22,"John Senden",101,1.35,366,272,"BirdietoBogeyRatio",2005
22,22,"Joey Sindelar",104,1.35,387,287,"BirdietoBogeyRatio",2005
27,27,"Marco Dawson",82,1.34,315,235,"BirdietoBogeyRatio",2005
27,27,"Davis Love III",80,1.34,290,217,"BirdietoBogeyRatio",2005
27,27,"Steve Stricker",62,1.34,243,182,"BirdietoBogeyRatio",2005
30,30,"Darron Stiles",78,1.33,287,216,"BirdietoBogeyRatio",2005
30,30,"Bo Van Pelt",112,1.33,436,328,"BirdietoBogeyRatio",2005
32,32,"Arjun Atwal",65,1.32,272,206,"BirdietoBogeyRatio",2005
32,32,"Luke Donald",67,1.32,210,159,"BirdietoBogeyRatio",2005
32,32,"Bob Tway",87,1.32,295,224,"BirdietoBogeyRatio",2005
35,35,"Retief Goosen",71,1.31,235,180,"BirdietoBogeyRatio",2005
35,35,"Scott Gutschewski",86,1.31,328,251,"BirdietoBogeyRatio",2005
35,35,"Dean Wilson",86,1.31,324,247,"BirdietoBogeyRatio",2005
38,38,"Doug Barron",70,1.3,249,191,"BirdietoBogeyRatio",2005
38,38,"Tim Clark",92,1.3,348,267,"BirdietoBogeyRatio",2005
38,38,"Ben Crane",78,1.3,291,223,"BirdietoBogeyRatio",2005
38,38,"Brett Quigley",96,1.3,337,260,"BirdietoBogeyRatio",2005
42,42,"Stewart Cink",98,1.29,322,250,"BirdietoBogeyRatio",2005
42,42,"Chris DiMarco",83,1.29,269,208,"BirdietoBogeyRatio",2005
42,42,"Lucas Glover",88,1.29,327,254,"BirdietoBogeyRatio",2005
42,42,"Zach Johnson",96,1.29,356,276,"BirdietoBogeyRatio",2005
42,42,"Shigeki Maruyama",99,1.29,358,277,"BirdietoBogeyRatio",2005
47,47,"Jason Bohn",91,1.28,328,256,"BirdietoBogeyRatio",2005
47,47,"Tag Ridings",93,1.28,376,293,"BirdietoBogeyRatio",2005
49,49,"Daniel Chopra",108,1.27,386,305,"BirdietoBogeyRatio",2005
49,49,"Loren Roberts",54,1.27,183,144,"BirdietoBogeyRatio",2005
49,49,"Mark Wilson",74,1.27,255,201,"BirdietoBogeyRatio",2005
52,52,"Briny Baird",98,1.26,352,280,"BirdietoBogeyRatio",2005
52,52,"Bob Estes",92,1.26,322,256,"BirdietoBogeyRatio",2005
52,52,"JJ Henry",102,1.26,352,280,"BirdietoBogeyRatio",2005
52,52,"Nick Watney",91,1.26,326,259,"BirdietoBogeyRatio",2005
56,56,"Jeff Sluman",94,1.25,325,261,"BirdietoBogeyRatio",2005
56,56,"Hidemichi Tanaka",106,1.25,370,295,"BirdietoBogeyRatio",2005
56,56,"Vaughn Taylor",99,1.25,384,306,"BirdietoBogeyRatio",2005
59,59,"Robert Allenby",95,1.24,339,273,"BirdietoBogeyRatio",2005
59,59,"Steve Elkington",67,1.24,223,180,"BirdietoBogeyRatio",2005
59,59,"Justin Leonard",78,1.24,271,218,"BirdietoBogeyRatio",2005
59,59,"Brenden Pappas",51,1.24,217,175,"BirdietoBogeyRatio",2005
59,59,"Tom Pernice Jr",111,1.24,381,308,"BirdietoBogeyRatio",2005
64,64,"Stuart Appleby",84,1.23,286,232,"BirdietoBogeyRatio",2005
64,64,"Chad Campbell",95,1.23,334,271,"BirdietoBogeyRatio",2005
64,64,"Ryan Palmer",101,1.23,386,313,"BirdietoBogeyRatio",2005
64,64,"Brett Wetterich",76,1.23,287,234,"BirdietoBogeyRatio",2005
68,68,"Fred Couples",72,1.22,267,219,"BirdietoBogeyRatio",2005
68,68,"Ryuji Imada",78,1.22,280,229,"BirdietoBogeyRatio",2005
68,68,"Jonathan Kaye",77,1.22,281,230,"BirdietoBogeyRatio",2005
68,68,"Neal Lancaster",95,1.22,349,287,"BirdietoBogeyRatio",2005
68,68,"Sean OHair",103,1.22,366,300,"BirdietoBogeyRatio",2005
68,68,"Arron Oberholser",65,1.22,220,181,"BirdietoBogeyRatio",2005
