"MoneyLeaders_RANKTHISWEEK_2010","MoneyLeaders_RANKLASTWEEK_2010","MoneyLeaders_PLAYERNAME_2010","MoneyLeaders_EVENTS_2010","MoneyLeaders_MONEY_2010","MoneyLeaders_YTDVICTORIES_2010","stat_name","year"
1,1,"Matt Kuchar",26,4910477,1,"MoneyLeaders",2010
2,2,"Jim Furyk",21,4809622,3,"MoneyLeaders",2010
3,3,"Ernie Els",20,4558861,2,"MoneyLeaders",2010
4,4,"Dustin Johnson",23,4473122,2,"MoneyLeaders",2010
5,5,"Steve Stricker",19,4190235,2,"MoneyLeaders",2010
6,6,"Phil Mickelson",20,3821733,1,"MoneyLeaders",2010
7,7,"Luke Donald",20,3665234,NA,"MoneyLeaders",2010
8,8,"Paul Casey",17,3613194,NA,"MoneyLeaders",2010
9,9,"Justin Rose",22,3603331,2,"MoneyLeaders",2010
10,10,"Hunter Mahan",25,3574550,2,"MoneyLeaders",2010
11,11,"Tim Clark",24,3530002,1,"MoneyLeaders",2010
12,12,"Jeff Overton",26,3456356,NA,"MoneyLeaders",2010
13,13,"Bo Van Pelt",28,3336258,NA,"MoneyLeaders",2010
14,14,"Retief Goosen",19,3218089,NA,"MoneyLeaders",2010
15,15,"Bubba Watson",22,3198998,1,"MoneyLeaders",2010
16,16,"Camilo Villegas",20,3035523,1,"MoneyLeaders",2010
17,17,"Ryan Palmer",27,2985296,1,"MoneyLeaders",2010
18,18,"Robert Allenby",22,2974997,NA,"MoneyLeaders",2010
19,19,"Zach Johnson",25,2916993,1,"MoneyLeaders",2010
20,20,"Bill Haas",25,2905136,2,"MoneyLeaders",2010
21,21,"Jason Day",24,2904327,1,"MoneyLeaders",2010
22,22,"Rickie Fowler",28,2857108,NA,"MoneyLeaders",2010
23,23,"Ben Crane",24,2841500,1,"MoneyLeaders",2010
24,24,"Anthony Kim",14,2574921,1,"MoneyLeaders",2010
25,25,"Charley Hoffman",24,2559646,1,"MoneyLeaders",2010
26,26,"Rory McIlroy",16,2554280,1,"MoneyLeaders",2010
27,27,"Nick Watney",24,2536714,NA,"MoneyLeaders",2010
28,28,"Adam Scott",20,2489402,1,"MoneyLeaders",2010
29,29,"Geoff Ogilvy",19,2393045,1,"MoneyLeaders",2010
30,30,"Heath Slocum",25,2387687,1,"MoneyLeaders",2010
31,31,"JB Holmes",26,2386248,NA,"MoneyLeaders",2010
32,32,"Ryan Moore",24,2374823,NA,"MoneyLeaders",2010
33,33,"KJ Choi",22,2199962,NA,"MoneyLeaders",2010
34,34,"Brendon de Jonge",32,2167978,NA,"MoneyLeaders",2010
35,35,"Martin Laird",26,2137928,NA,"MoneyLeaders",2010
36,36,"Ian Poulter",15,2079664,1,"MoneyLeaders",2010
37,37,"Kevin Na",26,2021815,NA,"MoneyLeaders",2010
38,38,"Stuart Appleby",31,1965825,1,"MoneyLeaders",2010
39,39,"Carl Pettersson",29,1934465,1,"MoneyLeaders",2010
40,40,"Jason Bohn",25,1904763,1,"MoneyLeaders",2010
41,41,"Sean OHair",25,1859040,NA,"MoneyLeaders",2010
42,42,"Vaughn Taylor",26,1838861,NA,"MoneyLeaders",2010
43,43,"Ricky Barnes",28,1835195,NA,"MoneyLeaders",2010
44,44,"Freddie Jacobson",24,1666252,NA,"MoneyLeaders",2010
45,45,"Scott Verplank",22,1653190,NA,"MoneyLeaders",2010
46,46,"Brian Davis",32,1640516,NA,"MoneyLeaders",2010
47,47,"DJ Trahan",27,1619693,NA,"MoneyLeaders",2010
48,48,"Brandt Snedeker",26,1602690,NA,"MoneyLeaders",2010
49,49,"David Toms",25,1590998,NA,"MoneyLeaders",2010
