"BestSubParRoundsStreak_RANKTHISWEEK_2011","BestSubParRoundsStreak_RANKLASTWEEK_2011","BestSubParRoundsStreak_PLAYERNAME_2011","BestSubParRoundsStreak__2011","BestSubParRoundsStreak_CAREERBESTSTREAK_2011","BestSubParRoundsStreak_BESTYTDSTREAK_2011","BestSubParRoundsStreak_CURRENTSTREAK_2011","stat_name","year"
1,1,"Tim Petrovic",NA,26,8,NA,"BestSubParRoundsStreak",2011
2,2,"Jeff Sluman",NA,23,NA,NA,"BestSubParRoundsStreak",2011
3,3,"Tim Clark",NA,22,5,NA,"BestSubParRoundsStreak",2011
3,3,"Fred Couples",NA,22,3,NA,"BestSubParRoundsStreak",2011
3,3,"Scott McCarron",NA,22,5,NA,"BestSubParRoundsStreak",2011
6,6,"Stuart Appleby",NA,21,4,NA,"BestSubParRoundsStreak",2011
6,6,"Bob Estes",NA,21,5,NA,"BestSubParRoundsStreak",2011
6,6,"Scott Verplank",NA,21,6,NA,"BestSubParRoundsStreak",2011
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2011
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2011
11,11,"Ben Crane",NA,19,7,NA,"BestSubParRoundsStreak",2011
11,11,"Joe Durant",NA,19,4,NA,"BestSubParRoundsStreak",2011
11,11,"Jesper Parnevik",NA,19,4,NA,"BestSubParRoundsStreak",2011
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2011
15,15,"Glen Day",NA,18,NA,NA,"BestSubParRoundsStreak",2011
15,15,"Chris DiMarco",NA,18,4,NA,"BestSubParRoundsStreak",2011
15,15,"Retief Goosen",NA,18,4,NA,"BestSubParRoundsStreak",2011
15,15,"Charles Howell III",NA,18,11,NA,"BestSubParRoundsStreak",2011
15,15,"Ryan Moore",NA,18,5,NA,"BestSubParRoundsStreak",2011
15,15,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2011
21,21,"Ronnie Black",NA,17,NA,NA,"BestSubParRoundsStreak",2011
21,21,"Jonathan Byrd",NA,17,7,NA,"BestSubParRoundsStreak",2011
21,21,"Brendon de Jonge",NA,17,6,NA,"BestSubParRoundsStreak",2011
21,21,"Luke Donald",NA,17,17,NA,"BestSubParRoundsStreak",2011
21,21,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2011
21,21,"Donnie Hammond",NA,17,NA,NA,"BestSubParRoundsStreak",2011
21,21,"Jerry Kelly",NA,17,11,NA,"BestSubParRoundsStreak",2011
21,21,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2011
21,21,"Shigeki Maruyama",NA,17,2,NA,"BestSubParRoundsStreak",2011
21,21,"Mark OMeara",NA,17,1,NA,"BestSubParRoundsStreak",2011
21,21,"Vijay Singh",NA,17,9,NA,"BestSubParRoundsStreak",2011
21,21,"Kirk Triplett",NA,17,6,NA,"BestSubParRoundsStreak",2011
21,21,"Tiger Woods",NA,17,3,NA,"BestSubParRoundsStreak",2011
34,34,"Ken Green",NA,16,NA,NA,"BestSubParRoundsStreak",2011
34,34,"Bill Haas",NA,16,12,NA,"BestSubParRoundsStreak",2011
34,34,"Lee Janzen",NA,16,6,NA,"BestSubParRoundsStreak",2011
34,34,"Matt Kuchar",NA,16,14,NA,"BestSubParRoundsStreak",2011
34,34,"Troy Matteson",NA,16,3,NA,"BestSubParRoundsStreak",2011
34,34,"Blaine McCallister",NA,16,NA,NA,"BestSubParRoundsStreak",2011
34,34,"Steve Pate",NA,16,3,NA,"BestSubParRoundsStreak",2011
34,34,"Corey Pavin",NA,16,1,NA,"BestSubParRoundsStreak",2011
34,34,"Kenny Perry",NA,16,5,NA,"BestSubParRoundsStreak",2011
34,34,"Chez Reavie",NA,16,16,NA,"BestSubParRoundsStreak",2011
34,34,"Chris Riley",NA,16,5,NA,"BestSubParRoundsStreak",2011
34,34,"Mike Weir",NA,16,1,NA,"BestSubParRoundsStreak",2011
46,46,"Stephen Ames",NA,15,5,NA,"BestSubParRoundsStreak",2011
46,46,"Brian Davis",NA,15,7,NA,"BestSubParRoundsStreak",2011
46,46,"Carlos Franco",NA,15,1,NA,"BestSubParRoundsStreak",2011
46,46,"Scott Hoch",NA,15,NA,NA,"BestSubParRoundsStreak",2011
46,46,"Tom Kite",NA,15,NA,NA,"BestSubParRoundsStreak",2011
46,46,"Davis Love III",NA,15,6,NA,"BestSubParRoundsStreak",2011
46,46,"Andrew Magee",NA,15,NA,NA,"BestSubParRoundsStreak",2011
46,46,"Scott Simpson",NA,15,NA,NA,"BestSubParRoundsStreak",2011
46,46,"Chris Smith",NA,15,1,NA,"BestSubParRoundsStreak",2011
46,46,"Craig Stadler",NA,15,1,NA,"BestSubParRoundsStreak",2011
