"ScramblingfromtheSand_RANKTHISWEEK_2005","ScramblingfromtheSand_RANKLASTWEEK_2005","ScramblingfromtheSand_PLAYERNAME_2005","ScramblingfromtheSand_ROUNDS_2005","ScramblingfromtheSand_Pct_2005","ScramblingfromtheSand_SUCCESSES_2005","ScramblingfromtheSand_ATTEMPTS_2005","stat_name","year"
1,1,"Pat Perez",89,74.07,60,81,"ScramblingfromtheSand",2005
2,2,"Richard Johnson",50,73.33,22,30,"ScramblingfromtheSand",2005
3,3,"Luke Donald",67,72,36,50,"ScramblingfromtheSand",2005
4,4,"Davis Love III",80,67.86,38,56,"ScramblingfromtheSand",2005
5,5,"Stephen Ames",82,67.06,57,85,"ScramblingfromtheSand",2005
6,6,"Kevin Sutherland",89,65.82,52,79,"ScramblingfromtheSand",2005
7,7,"Kirk Triplett",55,65.22,30,46,"ScramblingfromtheSand",2005
8,8,"Joe Ogilvie",103,64.35,74,115,"ScramblingfromtheSand",2005
9,9,"Vijay Singh",111,64.04,57,89,"ScramblingfromtheSand",2005
10,10,"Geoff Ogilvy",97,62.38,63,101,"ScramblingfromtheSand",2005
11,11,"Craig Barlow",81,62.3,38,61,"ScramblingfromtheSand",2005
12,12,"Brett Quigley",96,62.16,69,111,"ScramblingfromtheSand",2005
13,13,"Jim Furyk",94,61.73,50,81,"ScramblingfromtheSand",2005
14,14,"Phil Mickelson",81,61.29,38,62,"ScramblingfromtheSand",2005
15,15,"Padraig Harrington",50,61.11,22,36,"ScramblingfromtheSand",2005
16,16,"Shigeki Maruyama",99,61.06,69,113,"ScramblingfromtheSand",2005
17,17,"Jose Maria Olazabal",55,60.87,28,46,"ScramblingfromtheSand",2005
18,18,"Tjaart van der Walt",56,60.38,32,53,"ScramblingfromtheSand",2005
19,19,"Jose Coceres",56,60.32,38,63,"ScramblingfromtheSand",2005
20,20,"Brian Davis",75,60,45,75,"ScramblingfromtheSand",2005
21,21,"Mark Wilson",74,59.77,52,87,"ScramblingfromtheSand",2005
22,22,"Charlie Wi",67,59.09,52,88,"ScramblingfromtheSand",2005
23,23,"Omar Uresti",84,59.04,49,83,"ScramblingfromtheSand",2005
24,24,"Mark OMeara",66,58.9,43,73,"ScramblingfromtheSand",2005
25,25,"Daniel Chopra",108,58.62,68,116,"ScramblingfromtheSand",2005
25,25,"Robert Damron",89,58.62,68,116,"ScramblingfromtheSand",2005
27,27,"Ben Crane",78,58.33,49,84,"ScramblingfromtheSand",2005
27,27,"Ryuji Imada",78,58.33,49,84,"ScramblingfromtheSand",2005
29,29,"Rich Beem",66,58.21,39,67,"ScramblingfromtheSand",2005
30,30,"James Driscoll",73,58.11,43,74,"ScramblingfromtheSand",2005
