"PuttingAverage_RANKTHISWEEK_2014","PuttingAverage_RANKLASTWEEK_2014","PuttingAverage_PLAYERNAME_2014","PuttingAverage_ROUNDS_2014","PuttingAverage_AVG_2014","PuttingAverage_GIRPUTTS_2014","PuttingAverage_GREENSHIT_2014","PuttingAverage_BIRDIECONVERSION_2014","PuttingAverage_GIRRANK_2014","stat_name","year"
1,1,"Rory McIlroy",66,1.708,1366,800,36.84,6,"PuttingAverage",2014
2,2,"Jordan Spieth",102,1.717,1892,1102,34.24,152,"PuttingAverage",2014
3,3,"Dustin Johnson",58,1.726,1205,698,33,21,"PuttingAverage",2014
4,4,"Adam Scott",68,1.732,1458,842,33.89,10,"PuttingAverage",2014
4,4,"Jimmy Walker",98,1.732,2023,1168,33.5,28,"PuttingAverage",2014
6,6,"Ryo Ishikawa",75,1.734,1521,877,32.72,92,"PuttingAverage",2014
7,7,"Chris Stroud",88,1.735,1792,1033,31.49,80,"PuttingAverage",2014
8,8,"Jerry Kelly",80,1.736,1639,944,30.19,71,"PuttingAverage",2014
9,9,"Bubba Watson",76,1.737,1551,893,32.4,24,"PuttingAverage",2014
10,10,"Ryan Palmer",85,1.738,1773,1020,32.71,46,"PuttingAverage",2014
11,11,"Charl Schwartzel",64,1.739,1233,709,33.76,126,"PuttingAverage",2014
12,12,"Luke Guthrie",85,1.744,1695,972,31.4,126,"PuttingAverage",2014
12,12,"JB Holmes",86,1.744,1645,943,32.56,163,"PuttingAverage",2014
12,12,"Brendon Todd",108,1.744,2170,1244,29.87,119,"PuttingAverage",2014
15,15,"Matt Jones",83,1.745,1649,945,29.96,137,"PuttingAverage",2014
16,16,"Aaron Baddeley",74,1.746,1353,775,32,174,"PuttingAverage",2014
16,16,"Freddie Jacobson",91,1.746,1790,1025,30.18,151,"PuttingAverage",2014
18,18,"KJ Choi",80,1.747,1562,894,29.79,154,"PuttingAverage",2014
18,18,"Graeme McDowell",66,1.747,1282,734,29.69,65,"PuttingAverage",2014
20,20,"Greg Chalmers",85,1.748,1526,873,29.93,173,"PuttingAverage",2014
20,20,"Jason Kokrak",65,1.748,1337,765,31.41,74,"PuttingAverage",2014
22,22,"Stuart Appleby",92,1.749,1784,1020,30.09,145,"PuttingAverage",2014
22,22,"Troy Merritt",62,1.749,1270,726,29.01,87,"PuttingAverage",2014
22,22,"Ian Poulter",57,1.749,1100,629,32.11,153,"PuttingAverage",2014
22,22,"Brian Stuard",91,1.749,1749,1000,30.63,122,"PuttingAverage",2014
26,26,"Sergio Garcia",61,1.75,1255,717,29.97,14,"PuttingAverage",2014
26,26,"Morgan Hoffmann",103,1.75,1957,1118,31.84,147,"PuttingAverage",2014
26,26,"Brooks Koepka",56,1.75,1146,655,32.67,90,"PuttingAverage",2014
29,29,"Kevin Chappell",100,1.753,2048,1168,30.64,28,"PuttingAverage",2014
29,29,"Phil Mickelson",71,1.753,1462,834,31.29,79,"PuttingAverage",2014
29,29,"Kevin Na",94,1.753,1920,1095,30.77,98,"PuttingAverage",2014
32,32,"Paul Casey",56,1.754,1163,663,31.12,65,"PuttingAverage",2014
32,32,"Scott Langley",95,1.754,1884,1074,28.98,114,"PuttingAverage",2014
32,32,"Ryan Moore",86,1.754,1803,1028,30.53,23,"PuttingAverage",2014
32,32,"Lee Westwood",57,1.754,1126,642,32.45,123,"PuttingAverage",2014
36,36,"Tim Clark",75,1.755,1523,868,28.29,110,"PuttingAverage",2014
36,36,"Rickie Fowler",91,1.755,1732,987,32.52,100,"PuttingAverage",2014
