"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2015","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2015","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2015","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2015","ofPotentialPtswonFedExCupRegularSeason_Pct_2015","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2015","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2015","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2015","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2015","stat_name","year"
1,1,"Jordan Spieth",25,39.14,4169,10650,4,14,"ofPotentialPtswonFedExCupRegularSeason",2015
2,2,"Bubba Watson",19,31.46,2407,7650,2,7,"ofPotentialPtswonFedExCupRegularSeason",2015
3,3,"Rory McIlroy",12,31.35,1567,5000,2,6,"ofPotentialPtswonFedExCupRegularSeason",2015
4,4,"Jason Day",20,30.35,2459,8100,3,8,"ofPotentialPtswonFedExCupRegularSeason",2015
5,5,"Justin Rose",20,21.37,1742,8150,1,7,"ofPotentialPtswonFedExCupRegularSeason",2015
6,6,"Dustin Johnson",21,19.98,1718,8600,1,8,"ofPotentialPtswonFedExCupRegularSeason",2015
7,7,"Jimmy Walker",24,19.85,2014,10150,2,6,"ofPotentialPtswonFedExCupRegularSeason",2015
8,8,"Rickie Fowler",21,17.31,1498,8650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2015
9,9,"Jim Furyk",19,17.3,1401,8100,1,6,"ofPotentialPtswonFedExCupRegularSeason",2015
10,10,"Brooks Koepka",23,16.09,1544,9600,1,8,"ofPotentialPtswonFedExCupRegularSeason",2015
11,11,"Henrik Stenson",16,15.49,952,6150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
12,12,"Zach Johnson",25,14.71,1559,10600,1,8,"ofPotentialPtswonFedExCupRegularSeason",2015
13,13,"Sergio Garcia",15,14.69,1051,7150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
14,14,"JB Holmes",25,13.93,1484,10650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2015
15,15,"Paul Casey",24,13.76,1389,10100,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2015
16,16,"Patrick Reed",27,13.67,1593,11650,1,3,"ofPotentialPtswonFedExCupRegularSeason",2015
17,17,"Robert Streb",30,13.39,1720,12850,1,9,"ofPotentialPtswonFedExCupRegularSeason",2015
18,18,"Brandt Snedeker",27,13.2,1537,11650,1,8,"ofPotentialPtswonFedExCupRegularSeason",2015
19,19,"Hideki Matsuyama",25,12.9,1374,10650,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2015
20,20,"Charley Hoffman",28,12.71,1512,11900,1,6,"ofPotentialPtswonFedExCupRegularSeason",2015
21,21,"Louis Oosthuizen",20,12.57,1088,8650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2015
22,22,"Bill Haas",25,12.03,1281,10650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2015
23,23,"Chris Kirk",21,11.51,1087,9450,1,3,"ofPotentialPtswonFedExCupRegularSeason",2015
24,24,"Ryan Moore",24,11.35,1208,10650,1,4,"ofPotentialPtswonFedExCupRegularSeason",2015
25,25,"Kevin Kisner",30,11.15,1416,12700,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2015
26,26,"Matt Kuchar",25,10.98,1164,10600,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
27,27,"David Lingmerth",28,10.7,1305,12200,1,4,"ofPotentialPtswonFedExCupRegularSeason",2015
28,28,"Phil Mickelson",19,10.54,849,8050,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
29,29,"Ben Martin",27,10.27,1217,11850,1,5,"ofPotentialPtswonFedExCupRegularSeason",2015
30,30,"Danny Lee",36,9.94,1561,15700,1,7,"ofPotentialPtswonFedExCupRegularSeason",2015
31,31,"Webb Simpson",22,9.93,953,9600,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
32,32,"Gary Woodland",24,9.83,1037,10550,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
33,33,"Scott Piercy",28,9.55,1127,11800,1,4,"ofPotentialPtswonFedExCupRegularSeason",2015
34,34,"Ian Poulter",19,9.53,777,8150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
35,35,"Steven Bowditch",32,9.33,1287,13800,1,2,"ofPotentialPtswonFedExCupRegularSeason",2015
36,36,"Russell Henley",24,9.26,986,10650,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
37,37,"Kevin Na",27,9.11,1062,11650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2015
38,38,"Will Wilcox",17,9.02,649,7200,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
39,39,"Brendan Steele",24,8.69,895,10300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
40,40,"Jason Bohn",27,8.64,1037,12000,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
41,41,"Shawn Stefani",26,8.58,987,11500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
42,42,"Ryan Palmer",22,8.47,817,9650,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
43,43,"James Hahn",28,8.29,1012,12200,1,2,"ofPotentialPtswonFedExCupRegularSeason",2015
44,44,"Adam Scott",15,8.18,585,7150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
45,45,"Marc Leishman",23,8.13,854,10500,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
46,46,"Tim Clark",13,8.08,481,5950,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
47,47,"Davis Love III",18,8.01,649,8100,1,2,"ofPotentialPtswonFedExCupRegularSeason",2015
48,48,"Sangmoon Bae",30,7.97,1025,12850,1,4,"ofPotentialPtswonFedExCupRegularSeason",2015
49,49,"Justin Thomas",30,7.46,1007,13500,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2015
