"OverallPuttingAverage_RANKTHISWEEK_2015","OverallPuttingAverage_RANKLASTWEEK_2015","OverallPuttingAverage_PLAYERNAME_2015","OverallPuttingAverage_ROUNDS_2015","OverallPuttingAverage_AVG_2015","OverallPuttingAverage_OFPUTTS_2015","OverallPuttingAverage_OFHOLES_2015","stat_name","year"
1,1,"Jordan Spieth",91,1.545,2448,1584,"OverallPuttingAverage",2015
2,2,"Patrick Reed",103,1.549,2788,1800,"OverallPuttingAverage",2015
3,3,"Matt Jones",89,1.551,2401,1548,"OverallPuttingAverage",2015
4,4,"Rickie Fowler",76,1.558,2019,1296,"OverallPuttingAverage",2015
5,5,"Jonas Blixt",78,1.565,2085,1332,"OverallPuttingAverage",2015
6,6,"Steven Bowditch",103,1.567,2905,1854,"OverallPuttingAverage",2015
7,7,"Phil Mickelson",70,1.568,1976,1260,"OverallPuttingAverage",2015
8,8,"Danny Lee",120,1.57,3392,2160,"OverallPuttingAverage",2015
8,8,"Brandt Snedeker",98,1.57,2685,1710,"OverallPuttingAverage",2015
10,10,"Aaron Baddeley",76,1.571,2093,1332,"OverallPuttingAverage",2015
10,10,"Hunter Mahan",88,1.571,2376,1512,"OverallPuttingAverage",2015
12,12,"Morgan Hoffmann",85,1.572,2405,1530,"OverallPuttingAverage",2015
13,13,"Ricky Barnes",82,1.573,2208,1404,"OverallPuttingAverage",2015
13,13,"JB Holmes",89,1.573,2407,1530,"OverallPuttingAverage",2015
15,15,"Andrew Putnam",68,1.574,1813,1152,"OverallPuttingAverage",2015
16,16,"Kevin Na",98,1.575,2693,1710,"OverallPuttingAverage",2015
17,17,"Ian Poulter",68,1.576,1844,1170,"OverallPuttingAverage",2015
18,18,"Derek Fathauer",81,1.577,2186,1386,"OverallPuttingAverage",2015
18,18,"Matt Kuchar",97,1.577,2669,1692,"OverallPuttingAverage",2015
18,18,"Brendon Todd",96,1.577,2640,1674,"OverallPuttingAverage",2015
21,21,"Sean OHair",86,1.579,2444,1548,"OverallPuttingAverage",2015
