"ScramblingRoughRTPScore_RANKTHISWEEK_2008","ScramblingRoughRTPScore_RANKLASTWEEK_2008","ScramblingRoughRTPScore_PLAYERNAME_2008","ScramblingRoughRTPScore_ROUNDS_2008","ScramblingRoughRTPScore_AVGRTP_2008","ScramblingRoughRTPScore_TOTALHOLES_2008","ScramblingRoughRTPScore_TOTALRTP_2008","stat_name","year"
1,1,"Steve Stricker",75,0.321,137,44,"ScramblingRoughRTPScore",2008
2,2,"Justin Leonard",101,0.343,169,58,"ScramblingRoughRTPScore",2008
3,3,"Eric Axley",113,0.344,259,89,"ScramblingRoughRTPScore",2008
4,4,"Chris Riley",51,0.356,101,36,"ScramblingRoughRTPScore",2008
5,5,"Stephen Ames",83,0.36,150,54,"ScramblingRoughRTPScore",2008
6,6,"Brian Gay",102,0.366,202,74,"ScramblingRoughRTPScore",2008
7,7,"Shigeki Maruyama",50,0.378,135,51,"ScramblingRoughRTPScore",2008
8,8,"Carl Pettersson",110,0.385,252,97,"ScramblingRoughRTPScore",2008
9,9,"Billy Mayfair",103,0.389,216,84,"ScramblingRoughRTPScore",2008
10,10,"Tim Petrovic",97,0.393,211,83,"ScramblingRoughRTPScore",2008
11,11,"Charlie Wi",97,0.395,200,79,"ScramblingRoughRTPScore",2008
12,12,"Vijay Singh",82,0.397,146,58,"ScramblingRoughRTPScore",2008
12,12,"Heath Slocum",104,0.397,174,69,"ScramblingRoughRTPScore",2008
14,14,"Matt Kuchar",88,0.399,173,69,"ScramblingRoughRTPScore",2008
15,15,"Brandt Snedeker",85,0.4,165,66,"ScramblingRoughRTPScore",2008
16,16,"Charles Howell III",101,0.401,217,87,"ScramblingRoughRTPScore",2008
16,16,"Scott Verplank",82,0.401,147,59,"ScramblingRoughRTPScore",2008
18,18,"Shane Bertsch",96,0.402,224,90,"ScramblingRoughRTPScore",2008
18,18,"Kevin Sutherland",98,0.402,204,82,"ScramblingRoughRTPScore",2008
