"TenthTeeEarlyRound2ScoringAverage_RANKTHISWEEK_2015","TenthTeeEarlyRound2ScoringAverage_RANKLASTWEEK_2015","TenthTeeEarlyRound2ScoringAverage_PLAYERNAME_2015","TenthTeeEarlyRound2ScoringAverage__2015","TenthTeeEarlyRound2ScoringAverage_AVG_2015","TenthTeeEarlyRound2ScoringAverage_TOTALSTROKES_2015","TenthTeeEarlyRound2ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Scott Stallings",NA,65,65,1,"TenthTeeEarlyRound2ScoringAverage",2015
2,2,"Jordan Spieth",NA,66.89,602,9,"TenthTeeEarlyRound2ScoringAverage",2015
3,3,"Ben Crane",NA,67,67,1,"TenthTeeEarlyRound2ScoringAverage",2015
3,3,"Lucas Glover",NA,67,67,1,"TenthTeeEarlyRound2ScoringAverage",2015
3,3,"Vijay Singh",NA,67,67,1,"TenthTeeEarlyRound2ScoringAverage",2015
6,6,"Tony Finau",NA,67.29,471,7,"TenthTeeEarlyRound2ScoringAverage",2015
7,7,"Ben Martin",NA,67.6,338,5,"TenthTeeEarlyRound2ScoringAverage",2015
8,8,"Henrik Stenson",NA,67.67,406,6,"TenthTeeEarlyRound2ScoringAverage",2015
9,9,"Charles Howell III",NA,67.75,271,4,"TenthTeeEarlyRound2ScoringAverage",2015
10,10,"Robert Streb",NA,67.88,543,8,"TenthTeeEarlyRound2ScoringAverage",2015
11,11,"Jason Day",NA,68,408,6,"TenthTeeEarlyRound2ScoringAverage",2015
11,11,"Russell Knox",NA,68,408,6,"TenthTeeEarlyRound2ScoringAverage",2015
11,11,"Brendon Todd",NA,68,68,1,"TenthTeeEarlyRound2ScoringAverage",2015
11,11,"Gary Woodland",NA,68,136,2,"TenthTeeEarlyRound2ScoringAverage",2015
15,15,"Brendan Steele",NA,68.2,341,5,"TenthTeeEarlyRound2ScoringAverage",2015
16,16,"Mark Hubbard",NA,68.25,273,4,"TenthTeeEarlyRound2ScoringAverage",2015
