"OfficialWorldGolfRanking_RANKTHISWEEK_2016","OfficialWorldGolfRanking_RANKLASTWEEK_2016","OfficialWorldGolfRanking_PLAYERNAME_2016","OfficialWorldGolfRanking_EVENTS_2016","OfficialWorldGolfRanking_AVGPOINTS_2016","OfficialWorldGolfRanking_TOTALPOINTS_2016","OfficialWorldGolfRanking_POINTSLOST_2016","OfficialWorldGolfRanking_POINTSGAINED_2016","OfficialWorldGolfRanking_COUNTRY_2016","stat_name","year"
1,1,"Jason Day",41,11.9,488.01,-123.6,174.03,NA,"OfficialWorldGolfRanking",2016
2,2,"Jordan Spieth",52,11.08,576.32,-178.31,154.59,NA,"OfficialWorldGolfRanking",2016
3,3,"Rory McIlroy",44,9.06,398.44,-182.86,108.26,NA,"OfficialWorldGolfRanking",2016
4,4,"Bubba Watson",46,8.1,372.43,-120.92,127.44,NA,"OfficialWorldGolfRanking",2016
5,5,"Rickie Fowler",51,7.69,392.06,-123.46,144.81,NA,"OfficialWorldGolfRanking",2016
6,6,"Henrik Stenson",48,7.34,352.47,-115.81,94,NA,"OfficialWorldGolfRanking",2016
7,7,"Adam Scott",43,6.92,297.49,-69.5,180.3,NA,"OfficialWorldGolfRanking",2016
8,8,"Dustin Johnson",40,6.69,267.47,-75.3,97.72,NA,"OfficialWorldGolfRanking",2016
9,9,"Danny Willett",52,6.22,323.26,-56.37,180.47,NA,"OfficialWorldGolfRanking",2016
10,10,"Justin Rose",52,6.03,313.72,-118.72,67.28,NA,"OfficialWorldGolfRanking",2016
11,11,"Branden Grace",52,5.37,279.38,-56.93,120.8,NA,"OfficialWorldGolfRanking",2016
12,12,"Patrick Reed",52,5.21,271.03,-74.65,96.25,NA,"OfficialWorldGolfRanking",2016
13,13,"Louis Oosthuizen",47,4.97,233.62,-56.02,102.72,NA,"OfficialWorldGolfRanking",2016
14,14,"Hideki Matsuyama",52,4.55,236.6,-73.32,101.96,NA,"OfficialWorldGolfRanking",2016
15,15,"Sergio Garcia",47,4.2,197.28,-81.92,69.11,NA,"OfficialWorldGolfRanking",2016
16,16,"Brandt Snedeker",52,4.11,213.53,-49.67,129.02,NA,"OfficialWorldGolfRanking",2016
17,20,"Phil Mickelson",41,4.08,167.29,-45.59,94.95,NA,"OfficialWorldGolfRanking",2016
18,17,"Zach Johnson",51,4,203.9,-65.13,43.16,NA,"OfficialWorldGolfRanking",2016
19,19,"JB Holmes",47,3.83,179.8,-58.91,68.36,NA,"OfficialWorldGolfRanking",2016
20,18,"Brooks Koepka",52,3.79,197.2,-66.89,55.74,NA,"OfficialWorldGolfRanking",2016
21,21,"Charl Schwartzel",52,3.71,192.8,-46.25,88.03,NA,"OfficialWorldGolfRanking",2016
22,22,"Kevin Kisner",52,3.53,183.65,-49.91,28.21,NA,"OfficialWorldGolfRanking",2016
23,23,"Paul Casey",52,3.48,180.75,-53.11,53.27,NA,"OfficialWorldGolfRanking",2016
24,24,"Byeong Hun An",52,3.43,178.12,-41.17,56.84,NA,"OfficialWorldGolfRanking",2016
25,25,"Jim Furyk",40,3.32,132.82,-91.91,NA,NA,"OfficialWorldGolfRanking",2016
26,26,"Kevin Na",52,3.16,164.45,-59.98,45.17,NA,"OfficialWorldGolfRanking",2016
27,27,"Bill Haas",51,3.13,159.39,-50.21,69.14,NA,"OfficialWorldGolfRanking",2016
28,28,"Jimmy Walker",52,3.11,161.52,-66.35,56.92,NA,"OfficialWorldGolfRanking",2016
29,30,"Rafa Cabrera Bello",52,3.1,161.15,-26.13,114.34,NA,"OfficialWorldGolfRanking",2016
