"ScoringAverageActual_RANKTHISWEEK_2015","ScoringAverageActual_RANKLASTWEEK_2015","ScoringAverageActual_PLAYERNAME_2015","ScoringAverageActual_ROUNDS_2015","ScoringAverageActual_AVG_2015","ScoringAverageActual_TOTALSTROKES_2015","ScoringAverageActual_TOTALROUNDS_2015","stat_name","year"
1,1,"Jason Day",75,68.89,4960,72,"ScoringAverageActual",2015
2,2,"Jordan Spieth",91,69.09,6080,88,"ScoringAverageActual",2015
3,3,"Will Wilcox",58,69.28,3741,54,"ScoringAverageActual",2015
4,4,"Bubba Watson",71,69.29,4712,68,"ScoringAverageActual",2015
5,5,"Justin Thomas",106,69.61,7379,106,"ScoringAverageActual",2015
6,6,"Henrik Stenson",63,69.65,4179,60,"ScoringAverageActual",2015
7,7,"Zach Johnson",90,69.67,6061,87,"ScoringAverageActual",2015
8,8,"Jason Bohn",95,69.72,6623,95,"ScoringAverageActual",2015
9,9,"Paul Casey",87,69.77,5721,82,"ScoringAverageActual",2015
10,10,"Dustin Johnson",75,69.82,5027,72,"ScoringAverageActual",2015
11,11,"Hideki Matsuyama",95,69.84,6355,91,"ScoringAverageActual",2015
12,12,"Robert Streb",110,69.86,7685,110,"ScoringAverageActual",2015
13,13,"Jerry Kelly",79,69.87,5520,79,"ScoringAverageActual",2015
13,13,"Matt Kuchar",97,69.87,6568,94,"ScoringAverageActual",2015
15,15,"Justin Rose",69,69.91,4614,66,"ScoringAverageActual",2015
16,16,"Brooks Koepka",84,69.95,5666,81,"ScoringAverageActual",2015
17,17,"Harris English",105,69.99,7139,102,"ScoringAverageActual",2015
18,18,"Rory Sabbatini",81,70,5670,81,"ScoringAverageActual",2015
19,19,"Tony Finau",106,70.03,7423,106,"ScoringAverageActual",2015
20,20,"Russell Knox",96,70.07,6727,96,"ScoringAverageActual",2015
21,21,"Danny Lee",120,70.08,8409,120,"ScoringAverageActual",2015
22,22,"Patrick Rodgers",57,70.09,3715,53,"ScoringAverageActual",2015
23,23,"Brandt Snedeker",98,70.11,6660,95,"ScoringAverageActual",2015
24,24,"Patrick Reed",103,70.13,7013,100,"ScoringAverageActual",2015
24,24,"Webb Simpson",81,70.13,5470,78,"ScoringAverageActual",2015
26,26,"Brendan Steele",88,70.14,5892,84,"ScoringAverageActual",2015
26,26,"Daniel Summerhays",101,70.14,7084,101,"ScoringAverageActual",2015
28,28,"Shawn Stefani",94,70.15,6594,94,"ScoringAverageActual",2015
29,29,"Daniel Berger",97,70.16,6806,97,"ScoringAverageActual",2015
29,29,"Chad Collins",79,70.16,5543,79,"ScoringAverageActual",2015
31,31,"Jonathan Byrd",69,70.17,4561,65,"ScoringAverageActual",2015
31,31,"Colt Knost",90,70.17,6035,86,"ScoringAverageActual",2015
