"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2014","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2014","AverageDistanceofEagleputtsmade_PLAYERNAME_2014","AverageDistanceofEagleputtsmade_ROUNDS_2014","AverageDistanceofEagleputtsmade_AVG_2014","AverageDistanceofEagleputtsmade_TOTDISTFT_2014","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2014","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2014","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2014","stat_name","year"
1,1,"Graeme McDowell",66,NA,74.75,1,75,75,"AverageDistanceofEagleputtsmade",2014
2,2,"Jim Furyk",84,NA,53.167,1,53,53,"AverageDistanceofEagleputtsmade",2014
3,3,"Josh Teater",90,NA,80.167,2,45,35,"AverageDistanceofEagleputtsmade",2014
4,4,"Tim Clark",75,NA,37.167,1,37,37,"AverageDistanceofEagleputtsmade",2014
5,5,"Tim Wilkinson",86,NA,72,2,57,15,"AverageDistanceofEagleputtsmade",2014
6,6,"Jonathan Byrd",76,NA,35.583,1,36,36,"AverageDistanceofEagleputtsmade",2014
7,7,"David Toms",64,NA,70.75,2,64,7,"AverageDistanceofEagleputtsmade",2014
8,8,"Bronson La Cassie",51,NA,65.583,2,50,16,"AverageDistanceofEagleputtsmade",2014
9,9,"Brad Fritsch",50,NA,31.167,1,31,31,"AverageDistanceofEagleputtsmade",2014
10,10,"Angel Cabrera",69,NA,60.417,2,44,16,"AverageDistanceofEagleputtsmade",2014
11,11,"Nicholas Thompson",85,NA,176.25,6,51,4,"AverageDistanceofEagleputtsmade",2014
12,12,"Retief Goosen",94,NA,29.167,1,29,29,"AverageDistanceofEagleputtsmade",2014
13,13,"JB Holmes",86,NA,57.667,2,49,9,"AverageDistanceofEagleputtsmade",2014
14,14,"DH Lee",54,NA,27.833,1,28,28,"AverageDistanceofEagleputtsmade",2014
15,15,"Graham DeLaet",80,NA,107.333,4,51,6,"AverageDistanceofEagleputtsmade",2014
16,16,"Bryce Molder",77,NA,53.5,2,30,23,"AverageDistanceofEagleputtsmade",2014
17,17,"Kyle Stanley",87,NA,51.083,2,33,18,"AverageDistanceofEagleputtsmade",2014
18,18,"Charlie Wi",72,NA,75.417,3,33,16,"AverageDistanceofEagleputtsmade",2014
19,19,"Luke Guthrie",85,NA,75.167,3,41,9,"AverageDistanceofEagleputtsmade",2014
20,20,"Patrick Reed",92,NA,173.083,7,63,6,"AverageDistanceofEagleputtsmade",2014
21,21,"Ricky Barnes",92,NA,122.333,5,66,3,"AverageDistanceofEagleputtsmade",2014
22,22,"Andres Romero",81,NA,193.583,8,42,8,"AverageDistanceofEagleputtsmade",2014
23,23,"Chesson Hadley",84,NA,24.083,1,24,24,"AverageDistanceofEagleputtsmade",2014
24,24,"Danny Lee",84,NA,47.833,2,40,7,"AverageDistanceofEagleputtsmade",2014
25,25,"Paul Casey",56,NA,94.917,4,36,9,"AverageDistanceofEagleputtsmade",2014
26,26,"Carl Pettersson",91,NA,141.833,6,35,11,"AverageDistanceofEagleputtsmade",2014
27,27,"Luke Donald",57,NA,23.25,1,23,23,"AverageDistanceofEagleputtsmade",2014
27,27,"Ted Potter Jr",68,NA,23.25,1,23,23,"AverageDistanceofEagleputtsmade",2014
27,27,"Daniel Summerhays",98,NA,162.667,7,68,2,"AverageDistanceofEagleputtsmade",2014
30,30,"Jhonattan Vegas",77,NA,67.417,3,45,6,"AverageDistanceofEagleputtsmade",2014
31,31,"Brian Harman",111,NA,201.417,9,51,4,"AverageDistanceofEagleputtsmade",2014
32,32,"Ben Crane",81,NA,44.583,2,43,2,"AverageDistanceofEagleputtsmade",2014
32,32,"John Rollins",84,NA,22.333,1,22,22,"AverageDistanceofEagleputtsmade",2014
34,34,"Jordan Spieth",102,NA,44.417,2,28,17,"AverageDistanceofEagleputtsmade",2014
35,35,"Kevin Stadler",90,NA,88,4,36,8,"AverageDistanceofEagleputtsmade",2014
36,36,"Seung Yul Noh",92,NA,87.417,4,41,4,"AverageDistanceofEagleputtsmade",2014
37,37,"Jason Dufner",57,NA,65.25,3,58,3,"AverageDistanceofEagleputtsmade",2014
38,38,"Shawn Stefani",60,NA,130,6,64,3,"AverageDistanceofEagleputtsmade",2014
39,39,"Morgan Hoffmann",103,NA,107.667,5,35,11,"AverageDistanceofEagleputtsmade",2014
40,40,"Bill Haas",107,NA,128.5,6,29,13,"AverageDistanceofEagleputtsmade",2014
