"GoodDrivePercentage_RANKTHISWEEK_2014","GoodDrivePercentage_RANKLASTWEEK_2014","GoodDrivePercentage_PLAYERNAME_2014","GoodDrivePercentage_ROUNDS_2014","GoodDrivePercentage_Pct_2014","GoodDrivePercentage_HIT_2014","GoodDrivePercentage_TOTALATTEMPTS_2014","stat_name","year"
1,1,"David Toms",64,89.13,771,865,"GoodDrivePercentage",2014
2,2,"Justin Hicks",103,89.05,1228,1379,"GoodDrivePercentage",2014
3,3,"Boo Weekley",73,87.51,883,1009,"GoodDrivePercentage",2014
4,4,"Jim Furyk",84,87.35,974,1115,"GoodDrivePercentage",2014
5,5,"Henrik Stenson",56,87.04,658,756,"GoodDrivePercentage",2014
6,6,"Heath Slocum",71,86.62,835,964,"GoodDrivePercentage",2014
7,7,"Ted Potter Jr",68,86.47,818,946,"GoodDrivePercentage",2014
8,8,"Sergio Garcia",61,86.21,700,812,"GoodDrivePercentage",2014
8,8,"John Merrick",87,86.21,1000,1160,"GoodDrivePercentage",2014
10,10,"Daniel Summerhays",98,86.15,1176,1365,"GoodDrivePercentage",2014
11,11,"Jeff Maggert",54,85.94,648,754,"GoodDrivePercentage",2014
12,12,"Jhonattan Vegas",77,85.88,900,1048,"GoodDrivePercentage",2014
13,13,"Hunter Mahan",88,85.87,1021,1189,"GoodDrivePercentage",2014
14,14,"Andrew Svoboda",77,85.86,923,1075,"GoodDrivePercentage",2014
15,15,"Russell Knox",92,85.71,1098,1281,"GoodDrivePercentage",2014
16,16,"Ryan Moore",86,85.68,1011,1180,"GoodDrivePercentage",2014
17,17,"Ken Duke",80,85.5,932,1090,"GoodDrivePercentage",2014
18,18,"Billy Hurley III",86,85.43,1026,1201,"GoodDrivePercentage",2014
19,19,"Zach Johnson",97,85.36,1149,1346,"GoodDrivePercentage",2014
20,20,"Tim Clark",75,85.29,893,1047,"GoodDrivePercentage",2014
21,21,"Matt Kuchar",91,85.23,1050,1232,"GoodDrivePercentage",2014
21,21,"Bubba Watson",76,85.23,871,1022,"GoodDrivePercentage",2014
23,23,"Justin Rose",70,85.02,806,948,"GoodDrivePercentage",2014
24,24,"Kevin Chappell",100,84.84,1136,1339,"GoodDrivePercentage",2014
25,25,"Kevin Na",94,84.8,1110,1309,"GoodDrivePercentage",2014
25,25,"Kevin Streelman",79,84.8,926,1092,"GoodDrivePercentage",2014
27,27,"Kevin Stadler",90,84.79,1054,1243,"GoodDrivePercentage",2014
28,28,"Scott Brown",100,84.63,1184,1399,"GoodDrivePercentage",2014
