"PuttsMadePerEventOver10_RANKTHISWEEK_2009","PuttsMadePerEventOver10_RANKLASTWEEK_2009","PuttsMadePerEventOver10_PLAYERNAME_2009","PuttsMadePerEventOver10_ROUNDS_2009","PuttsMadePerEventOver10_PUTTSMADE_2009","stat_name","year"
1,1,"Luke Donald",79,7.8,"PuttsMadePerEventOver10",2009
2,2,"Geoff Ogilvy",78,7.1,"PuttsMadePerEventOver10",2009
3,3,"Hunter Mahan",94,6.8,"PuttsMadePerEventOver10",2009
3,3,"Kenny Perry",92,6.8,"PuttsMadePerEventOver10",2009
5,5,"Ben Curtis",63,6.7,"PuttsMadePerEventOver10",2009
6,6,"Matt Kuchar",82,6.6,"PuttsMadePerEventOver10",2009
7,7,"Zach Johnson",94,6.4,"PuttsMadePerEventOver10",2009
7,7,"Kevin Na",91,6.4,"PuttsMadePerEventOver10",2009
7,7,"Tiger Woods",64,6.4,"PuttsMadePerEventOver10",2009
10,10,"Stephen Ames",77,6.3,"PuttsMadePerEventOver10",2009
10,10,"Sergio Garcia",59,6.3,"PuttsMadePerEventOver10",2009
12,12,"Tim Clark",81,6.2,"PuttsMadePerEventOver10",2009
12,12,"Jason Day",61,6.2,"PuttsMadePerEventOver10",2009
12,12,"Jim Furyk",86,6.2,"PuttsMadePerEventOver10",2009
12,12,"Justin Leonard",95,6.2,"PuttsMadePerEventOver10",2009
16,16,"Pat Perez",74,6.1,"PuttsMadePerEventOver10",2009
16,16,"Justin Rose",71,6.1,"PuttsMadePerEventOver10",2009
16,16,"David Toms",98,6.1,"PuttsMadePerEventOver10",2009
19,19,"Greg Chalmers",85,6,"PuttsMadePerEventOver10",2009
19,19,"Brian Gay",96,6,"PuttsMadePerEventOver10",2009
19,19,"Rod Pampling",72,6,"PuttsMadePerEventOver10",2009
19,19,"Ted Purdy",101,6,"PuttsMadePerEventOver10",2009
19,19,"Steve Stricker",81,6,"PuttsMadePerEventOver10",2009
19,19,"Mark Wilson",99,6,"PuttsMadePerEventOver10",2009
25,25,"John Senden",100,5.9,"PuttsMadePerEventOver10",2009
25,25,"Scott Verplank",88,5.9,"PuttsMadePerEventOver10",2009
25,25,"Mike Weir",85,5.9,"PuttsMadePerEventOver10",2009
28,28,"Matt Bettencourt",98,5.8,"PuttsMadePerEventOver10",2009
28,28,"Dustin Johnson",85,5.8,"PuttsMadePerEventOver10",2009
28,28,"Jerry Kelly",90,5.8,"PuttsMadePerEventOver10",2009
28,28,"Brandt Snedeker",81,5.8,"PuttsMadePerEventOver10",2009
32,32,"Retief Goosen",74,5.7,"PuttsMadePerEventOver10",2009
32,32,"Michael Letzig",96,5.7,"PuttsMadePerEventOver10",2009
32,32,"George McNeill",82,5.7,"PuttsMadePerEventOver10",2009
32,32,"Chris Riley",77,5.7,"PuttsMadePerEventOver10",2009
36,36,"Stewart Cink",79,5.6,"PuttsMadePerEventOver10",2009
36,36,"Ben Crane",93,5.6,"PuttsMadePerEventOver10",2009
36,36,"Charley Hoffman",97,5.6,"PuttsMadePerEventOver10",2009
36,36,"Ryuji Imada",85,5.6,"PuttsMadePerEventOver10",2009
36,36,"Lee Janzen",74,5.6,"PuttsMadePerEventOver10",2009
36,36,"Bryce Molder",69,5.6,"PuttsMadePerEventOver10",2009
36,36,"DA Points",99,5.6,"PuttsMadePerEventOver10",2009
43,43,"Jonathan Byrd",89,5.5,"PuttsMadePerEventOver10",2009
43,43,"Chad Campbell",90,5.5,"PuttsMadePerEventOver10",2009
43,43,"Marc Leishman",91,5.5,"PuttsMadePerEventOver10",2009
43,43,"Phil Mickelson",66,5.5,"PuttsMadePerEventOver10",2009
43,43,"Aron Price",89,5.5,"PuttsMadePerEventOver10",2009
43,43,"Webb Simpson",94,5.5,"PuttsMadePerEventOver10",2009
49,49,"Lucas Glover",93,5.4,"PuttsMadePerEventOver10",2009
49,49,"Freddie Jacobson",83,5.4,"PuttsMadePerEventOver10",2009
49,49,"Anthony Kim",76,5.4,"PuttsMadePerEventOver10",2009
49,49,"Jeff Klauk",97,5.4,"PuttsMadePerEventOver10",2009
49,49,"Tom Lehman",55,5.4,"PuttsMadePerEventOver10",2009
49,49,"Carl Pettersson",86,5.4,"PuttsMadePerEventOver10",2009
49,49,"Nick Watney",86,5.4,"PuttsMadePerEventOver10",2009
49,49,"Boo Weekley",79,5.4,"PuttsMadePerEventOver10",2009
49,49,"YE Yang",83,5.4,"PuttsMadePerEventOver10",2009
58,58,"JJ Henry",97,5.3,"PuttsMadePerEventOver10",2009
58,58,"James Nitties",86,5.3,"PuttsMadePerEventOver10",2009
58,58,"Sean OHair",80,5.3,"PuttsMadePerEventOver10",2009
58,58,"Nick OHern",90,5.3,"PuttsMadePerEventOver10",2009
58,58,"Kevin Streelman",97,5.3,"PuttsMadePerEventOver10",2009
58,58,"Bo Van Pelt",100,5.3,"PuttsMadePerEventOver10",2009
58,58,"Camilo Villegas",76,5.3,"PuttsMadePerEventOver10",2009
65,65,"Martin Laird",72,5.2,"PuttsMadePerEventOver10",2009
65,65,"Ian Poulter",59,5.2,"PuttsMadePerEventOver10",2009
65,65,"Charlie Wi",92,5.2,"PuttsMadePerEventOver10",2009
68,68,"Woody Austin",84,5.1,"PuttsMadePerEventOver10",2009
68,68,"Mark Brooks",55,5.1,"PuttsMadePerEventOver10",2009
68,68,"Jason Dufner",90,5.1,"PuttsMadePerEventOver10",2009
68,68,"Ernie Els",70,5.1,"PuttsMadePerEventOver10",2009
68,68,"Harrison Frazar",93,5.1,"PuttsMadePerEventOver10",2009
68,68,"Nathan Green",104,5.1,"PuttsMadePerEventOver10",2009
68,68,"Bob Heintz",59,5.1,"PuttsMadePerEventOver10",2009
68,68,"Steve Marino",98,5.1,"PuttsMadePerEventOver10",2009
68,68,"Troy Matteson",95,5.1,"PuttsMadePerEventOver10",2009
68,68,"Kevin Sutherland",96,5.1,"PuttsMadePerEventOver10",2009
78,78,"Cameron Beckman",87,5,"PuttsMadePerEventOver10",2009
78,78,"Bart Bryant",58,5,"PuttsMadePerEventOver10",2009
78,78,"Bob Estes",78,5,"PuttsMadePerEventOver10",2009
78,78,"Paul Goydos",79,5,"PuttsMadePerEventOver10",2009
78,78,"Bill Lunde",83,5,"PuttsMadePerEventOver10",2009
78,78,"Scott McCarron",91,5,"PuttsMadePerEventOver10",2009
78,78,"Parker McLachlin",71,5,"PuttsMadePerEventOver10",2009
78,78,"Ryan Moore",89,5,"PuttsMadePerEventOver10",2009
86,86,"Robert Allenby",71,4.9,"PuttsMadePerEventOver10",2009
86,86,"Angel Cabrera",55,4.9,"PuttsMadePerEventOver10",2009
86,86,"Padraig Harrington",66,4.9,"PuttsMadePerEventOver10",2009
86,86,"Matt Jones",56,4.9,"PuttsMadePerEventOver10",2009
86,86,"Spencer Levin",75,4.9,"PuttsMadePerEventOver10",2009
86,86,"Joe Ogilvie",85,4.9,"PuttsMadePerEventOver10",2009
86,86,"Rory Sabbatini",81,4.9,"PuttsMadePerEventOver10",2009
86,86,"Patrick Sheehan",51,4.9,"PuttsMadePerEventOver10",2009
86,86,"Chris Stroud",88,4.9,"PuttsMadePerEventOver10",2009
86,86,"Vaughn Taylor",88,4.9,"PuttsMadePerEventOver10",2009
86,86,"DJ Trahan",96,4.9,"PuttsMadePerEventOver10",2009
86,86,"Dean Wilson",81,4.9,"PuttsMadePerEventOver10",2009
98,98,"Chris DiMarco",97,4.8,"PuttsMadePerEventOver10",2009
98,98,"David Mathis",82,4.8,"PuttsMadePerEventOver10",2009
98,98,"Rocco Mediate",79,4.8,"PuttsMadePerEventOver10",2009
98,98,"John Rollins",92,4.8,"PuttsMadePerEventOver10",2009
98,98,"Bubba Watson",73,4.8,"PuttsMadePerEventOver10",2009
103,103,"Michael Allen",73,4.7,"PuttsMadePerEventOver10",2009
103,103,"Brian Davis",103,4.7,"PuttsMadePerEventOver10",2009
103,103,"Davis Love III",89,4.7,"PuttsMadePerEventOver10",2009
103,103,"John Mallinger",90,4.7,"PuttsMadePerEventOver10",2009
103,103,"John Merrick",91,4.7,"PuttsMadePerEventOver10",2009
103,103,"Jeff Overton",92,4.7,"PuttsMadePerEventOver10",2009
103,103,"Corey Pavin",73,4.7,"PuttsMadePerEventOver10",2009
103,103,"Scott Piercy",85,4.7,"PuttsMadePerEventOver10",2009
