"FedExCupSeasonPoints_RANKTHISWEEK_2007","FedExCupSeasonPoints_RANKLASTWEEK_2007","FedExCupSeasonPoints_PLAYERNAME_2007","FedExCupSeasonPoints_EVENTS_2007","FedExCupSeasonPoints_POINTS_2007","FedExCupSeasonPoints_OFWINS_2007","FedExCupSeasonPoints_OFTOP10S_2007","FedExCupSeasonPoints_POINTSBEHINDLEAD_2007","FedExCupSeasonPoints_RESETPOINTS_2007","stat_name","year"
1,1,"Tiger Woods",13,30574,5,9,NA,NA,"FedExCupSeasonPoints",2007
2,2,"Vijay Singh",23,19129,2,6,11445,NA,"FedExCupSeasonPoints",2007
3,3,"Jim Furyk",19,16691,1,8,13883,NA,"FedExCupSeasonPoints",2007
4,4,"Phil Mickelson",18,16037,2,5,14537,NA,"FedExCupSeasonPoints",2007
5,5,"KJ Choi",21,15485,2,6,15089,NA,"FedExCupSeasonPoints",2007
6,6,"Rory Sabbatini",19,13548,1,6,17026,NA,"FedExCupSeasonPoints",2007
7,7,"Zach Johnson",19,13341,2,4,17233,NA,"FedExCupSeasonPoints",2007
8,8,"Charles Howell III",21,12126,1,5,18448,NA,"FedExCupSeasonPoints",2007
9,9,"Brandt Snedeker",25,11870,1,6,18704,NA,"FedExCupSeasonPoints",2007
10,10,"Adam Scott",15,11196,1,5,19378,NA,"FedExCupSeasonPoints",2007
11,11,"Scott Verplank",18,10691,1,8,19883,NA,"FedExCupSeasonPoints",2007
12,12,"Steve Stricker",19,10621,NA,6,19953,NA,"FedExCupSeasonPoints",2007
13,13,"Sergio Garcia",15,10547,NA,5,20027,NA,"FedExCupSeasonPoints",2007
14,14,"Woody Austin",22,10483,1,3,20091,NA,"FedExCupSeasonPoints",2007
15,15,"Hunter Mahan",23,10185,1,5,20389,NA,"FedExCupSeasonPoints",2007
16,16,"John Rollins",23,9708,NA,4,20866,NA,"FedExCupSeasonPoints",2007
17,17,"Boo Weekley",23,9591,1,4,20983,NA,"FedExCupSeasonPoints",2007
18,18,"Aaron Baddeley",18,9402,1,5,21172,NA,"FedExCupSeasonPoints",2007
19,19,"Ernie Els",13,8980,NA,4,21594,NA,"FedExCupSeasonPoints",2007
20,20,"Mark Calcavecchia",20,8966,1,4,21608,NA,"FedExCupSeasonPoints",2007
21,21,"Padraig Harrington",15,8783,1,3,21791,NA,"FedExCupSeasonPoints",2007
22,22,"Justin Rose",12,8698,NA,6,21876,NA,"FedExCupSeasonPoints",2007
23,23,"Luke Donald",17,8676,NA,5,21898,NA,"FedExCupSeasonPoints",2007
24,24,"Geoff Ogilvy",18,8623,NA,5,21951,NA,"FedExCupSeasonPoints",2007
25,25,"David Toms",19,8251,NA,7,22323,NA,"FedExCupSeasonPoints",2007
26,26,"Jonathan Byrd",19,7757,1,3,22817,NA,"FedExCupSeasonPoints",2007
27,27,"Robert Allenby",20,7536,NA,7,23038,NA,"FedExCupSeasonPoints",2007
28,28,"Stewart Cink",19,7080,NA,5,23494,NA,"FedExCupSeasonPoints",2007
29,29,"Heath Slocum",20,6801,NA,4,23773,NA,"FedExCupSeasonPoints",2007
30,30,"Stuart Appleby",20,6799,NA,3,23775,NA,"FedExCupSeasonPoints",2007
31,31,"Henrik Stenson",11,6718,1,2,23856,NA,"FedExCupSeasonPoints",2007
32,32,"Jerry Kelly",21,6679,NA,6,23895,NA,"FedExCupSeasonPoints",2007
33,33,"Bubba Watson",20,6589,NA,5,23985,NA,"FedExCupSeasonPoints",2007
34,34,"Ken Duke",23,6436,NA,4,24138,NA,"FedExCupSeasonPoints",2007
35,35,"Nick Watney",19,6420,1,2,24154,NA,"FedExCupSeasonPoints",2007
36,36,"Tim Clark",13,6342,NA,3,24232,NA,"FedExCupSeasonPoints",2007
37,37,"Trevor Immelman",18,6309,NA,4,24265,NA,"FedExCupSeasonPoints",2007
38,38,"Mark Wilson",20,6225,1,2,24349,NA,"FedExCupSeasonPoints",2007
39,39,"Pat Perez",22,6212,NA,5,24362,NA,"FedExCupSeasonPoints",2007
40,40,"Billy Mayfair",23,6109,NA,5,24465,NA,"FedExCupSeasonPoints",2007
