"Par3BirdieorBetterLeaders_RANKTHISWEEK_2006","Par3BirdieorBetterLeaders_RANKLASTWEEK_2006","Par3BirdieorBetterLeaders_PLAYERNAME_2006","Par3BirdieorBetterLeaders_ROUNDS_2006","Par3BirdieorBetterLeaders_Pct_2006","Par3BirdieorBetterLeaders_PAR3BIRDIESORBETTER_2006","Par3BirdieorBetterLeaders_PAR3HOLES_2006","stat_name","year"
1,1,"Kirk Triplett",58,21.24,48,226,"Par3BirdieorBetterLeaders",2006
2,2,"Tom Pernice Jr",108,17.84,76,426,"Par3BirdieorBetterLeaders",2006
3,3,"Jonathan Byrd",66,16.85,46,273,"Par3BirdieorBetterLeaders",2006
4,4,"Tommy Armour III",65,16.79,45,268,"Par3BirdieorBetterLeaders",2006
5,5,"Luke Donald",66,16.6,42,253,"Par3BirdieorBetterLeaders",2006
6,6,"Jose Maria Olazabal",62,16.31,38,233,"Par3BirdieorBetterLeaders",2006
7,7,"Phil Mickelson",74,16.19,45,278,"Par3BirdieorBetterLeaders",2006
8,8,"Scott Verplank",88,16.15,57,353,"Par3BirdieorBetterLeaders",2006
9,9,"Olin Browne",108,16.11,67,416,"Par3BirdieorBetterLeaders",2006
10,10,"Adam Scott",70,16.06,44,274,"Par3BirdieorBetterLeaders",2006
11,11,"Jim Furyk",89,16.05,56,349,"Par3BirdieorBetterLeaders",2006
12,12,"Wes Short Jr",96,16,60,375,"Par3BirdieorBetterLeaders",2006
13,13,"Skip Kendall",72,15.7,46,293,"Par3BirdieorBetterLeaders",2006
14,14,"Shigeki Maruyama",94,15.59,58,372,"Par3BirdieorBetterLeaders",2006
15,15,"Brian Gay",107,15.56,68,437,"Par3BirdieorBetterLeaders",2006
16,16,"Ben Crane",85,15.53,50,322,"Par3BirdieorBetterLeaders",2006
17,17,"Bo Van Pelt",102,15.5,64,413,"Par3BirdieorBetterLeaders",2006
18,18,"Sean OHair",100,15.31,60,392,"Par3BirdieorBetterLeaders",2006
19,19,"Stewart Cink",93,15.28,55,360,"Par3BirdieorBetterLeaders",2006
20,20,"Ron Whittaker",81,15.26,49,321,"Par3BirdieorBetterLeaders",2006
21,21,"David Duval",71,15.16,42,277,"Par3BirdieorBetterLeaders",2006
22,22,"Billy Andrade",78,15.13,46,304,"Par3BirdieorBetterLeaders",2006
23,23,"Duffy Waldorf",96,15.08,57,378,"Par3BirdieorBetterLeaders",2006
24,24,"Jeff Sluman",101,14.98,62,414,"Par3BirdieorBetterLeaders",2006
25,25,"Hunter Mahan",98,14.96,60,401,"Par3BirdieorBetterLeaders",2006
26,26,"Tim Clark",80,14.91,48,322,"Par3BirdieorBetterLeaders",2006
27,27,"Tiger Woods",55,14.9,31,208,"Par3BirdieorBetterLeaders",2006
28,28,"Woody Austin",107,14.87,65,437,"Par3BirdieorBetterLeaders",2006
29,29,"Arron Oberholser",82,14.83,47,317,"Par3BirdieorBetterLeaders",2006
30,30,"Corey Pavin",74,14.69,42,286,"Par3BirdieorBetterLeaders",2006
31,31,"Justin Rose",98,14.55,56,385,"Par3BirdieorBetterLeaders",2006
32,32,"Ted Purdy",103,14.53,59,406,"Par3BirdieorBetterLeaders",2006
33,33,"KJ Choi",93,14.52,54,372,"Par3BirdieorBetterLeaders",2006
34,34,"Richard Johnson",94,14.51,56,386,"Par3BirdieorBetterLeaders",2006
34,34,"Bob May",65,14.51,37,255,"Par3BirdieorBetterLeaders",2006
36,36,"Padraig Harrington",54,14.5,29,200,"Par3BirdieorBetterLeaders",2006
