"ScramblingfromOtherLocations_RANKTHISWEEK_2016","ScramblingfromOtherLocations_RANKLASTWEEK_2016","ScramblingfromOtherLocations_PLAYERNAME_2016","ScramblingfromOtherLocations_ROUNDS_2016","ScramblingfromOtherLocations_Pct_2016","ScramblingfromOtherLocations_SUCCESSES_2016","ScramblingfromOtherLocations_ATTEMPTS_2016","stat_name","year"
1,4,"Branden Grace",31,74.07,20,27,"ScramblingfromOtherLocations",2016
1,4,"Chris Kirk",51,74.07,60,81,"ScramblingfromOtherLocations",2016
3,1,"Ernie Els",34,73.85,48,65,"ScramblingfromOtherLocations",2016
4,6,"Aaron Baddeley",51,73.74,73,99,"ScramblingfromOtherLocations",2016
5,12,"Jeff Overton",51,72.9,78,107,"ScramblingfromOtherLocations",2016
6,7,"Charl Schwartzel",29,72.73,16,22,"ScramblingfromOtherLocations",2016
7,3,"Luke Donald",49,72.15,57,79,"ScramblingfromOtherLocations",2016
8,35,"Phil Mickelson",37,72.13,44,61,"ScramblingfromOtherLocations",2016
9,8,"Marc Leishman",41,71.93,41,57,"ScramblingfromOtherLocations",2016
10,9,"Kevin Na",52,71.43,40,56,"ScramblingfromOtherLocations",2016
11,2,"Bill Haas",42,71.15,37,52,"ScramblingfromOtherLocations",2016
12,11,"Brian Stuard",24,70,42,60,"ScramblingfromOtherLocations",2016
13,13,"David Lingmerth",54,69.84,44,63,"ScramblingfromOtherLocations",2016
14,17,"William McGirt",54,69.57,80,115,"ScramblingfromOtherLocations",2016
15,9,"Rickie Fowler",42,69.39,34,49,"ScramblingfromOtherLocations",2016
16,135,"Rory McIlroy",37,69.23,18,26,"ScramblingfromOtherLocations",2016
17,33,"Stuart Appleby",39,69.15,65,94,"ScramblingfromOtherLocations",2016
18,13,"Emiliano Grillo",47,68.85,42,61,"ScramblingfromOtherLocations",2016
19,18,"Tim Wilkinson",40,68.82,64,93,"ScramblingfromOtherLocations",2016
20,16,"Lucas Glover",53,68.75,55,80,"ScramblingfromOtherLocations",2016
20,23,"Johnson Wagner",44,68.75,55,80,"ScramblingfromOtherLocations",2016
22,24,"Jerry Kelly",44,68.42,52,76,"ScramblingfromOtherLocations",2016
23,26,"Jason Day",36,68.18,30,44,"ScramblingfromOtherLocations",2016
23,26,"Matt Kuchar",46,68.18,45,66,"ScramblingfromOtherLocations",2016
23,30,"Scott Langley",41,68.18,60,88,"ScramblingfromOtherLocations",2016
26,29,"Russell Henley",42,68,51,75,"ScramblingfromOtherLocations",2016
27,28,"Charles Howell III",63,67.83,78,115,"ScramblingfromOtherLocations",2016
28,32,"Rory Sabbatini",40,67.8,40,59,"ScramblingfromOtherLocations",2016
29,34,"Russell Knox",48,67.57,25,37,"ScramblingfromOtherLocations",2016
29,37,"Adam Scott",39,67.57,25,37,"ScramblingfromOtherLocations",2016
31,21,"Colt Knost",56,67.54,77,114,"ScramblingfromOtherLocations",2016
32,64,"Harris English",51,67.47,56,83,"ScramblingfromOtherLocations",2016
33,31,"Chad Campbell",54,67.39,62,92,"ScramblingfromOtherLocations",2016
34,22,"Whee Kim",54,67.27,74,110,"ScramblingfromOtherLocations",2016
35,55,"Tony Finau",49,67.07,55,82,"ScramblingfromOtherLocations",2016
36,36,"Zac Blair",56,67.03,61,91,"ScramblingfromOtherLocations",2016
37,37,"Keegan Bradley",40,66.67,42,63,"ScramblingfromOtherLocations",2016
37,37,"Billy Hurley III",22,66.67,28,42,"ScramblingfromOtherLocations",2016
37,37,"Freddie Jacobson",54,66.67,64,96,"ScramblingfromOtherLocations",2016
37,37,"Lucas Lee",22,66.67,30,45,"ScramblingfromOtherLocations",2016
37,48,"Ian Poulter",37,66.67,46,69,"ScramblingfromOtherLocations",2016
37,44,"Camilo Villegas",50,66.67,70,105,"ScramblingfromOtherLocations",2016
43,25,"Jamie Lovemark",57,66.41,87,131,"ScramblingfromOtherLocations",2016
44,45,"Bryce Molder",50,66.3,61,92,"ScramblingfromOtherLocations",2016
