"ConsecutiveGIR_RANKTHISWEEK_2011","ConsecutiveGIR_RANKLASTWEEK_2011","ConsecutiveGIR_PLAYERNAME_2011","ConsecutiveGIR_EVENTS_2011","ConsecutiveGIR_STREAK_2011","ConsecutiveGIR_CURRENTSTREAK_2011","ConsecutiveGIR_ROUND_2011","ConsecutiveGIR_HOLE_2011","ConsecutiveGIR_YEARTOURN_2011","stat_name","year"
1,1,"Webb Simpson",26,32,3,3,2,2011440,"ConsecutiveGIR",2011
2,2,"Chris Stroud",28,30,NA,1,12,2011300,"ConsecutiveGIR",2011
3,3,"Jim Furyk",26,28,1,3,3,2011010,"ConsecutiveGIR",2011
4,4,"Mark Wilson",26,27,1,3,1,2011030,"ConsecutiveGIR",2011
5,5,"Matt Kuchar",24,26,2,2,9,2011010,"ConsecutiveGIR",2011
5,5,"William McGirt",32,26,1,1,9,2011420,"ConsecutiveGIR",2011
7,7,"Robert Allenby",25,25,NA,2,5,2011440,"ConsecutiveGIR",2011
7,7,"Joseph Bramlett",25,25,1,3,3,2011300,"ConsecutiveGIR",2011
7,7,"Alexandre Rocha",22,25,5,1,4,2011420,"ConsecutiveGIR",2011
10,10,"Blake Adams",34,24,4,1,11,2011300,"ConsecutiveGIR",2011
10,10,"Jason Bohn",22,24,NA,1,13,2011010,"ConsecutiveGIR",2011
10,10,"Will Ma Kenzie",14,24,6,3,11,2011430,"ConsecutiveGIR",2011
10,10,"Hunter Mahan",25,24,NA,3,17,2011010,"ConsecutiveGIR",2011
10,10,"Roland Thatcher",22,24,NA,3,12,2011440,"ConsecutiveGIR",2011
15,15,"Woody Austin",18,23,NA,3,11,2011300,"ConsecutiveGIR",2011
15,15,"Michael Connell",26,23,4,2,11,2011430,"ConsecutiveGIR",2011
15,15,"Ernie Els",21,23,2,1,4,2011430,"ConsecutiveGIR",2011
15,15,"Robert Garrigus",26,23,1,1,14,2011010,"ConsecutiveGIR",2011
15,15,"Fabian Gomez",26,23,NA,2,1,2011450,"ConsecutiveGIR",2011
15,15,"Bill Haas",26,23,NA,2,5,2011280,"ConsecutiveGIR",2011
15,15,"Sung Kang",21,23,1,3,10,2011290,"ConsecutiveGIR",2011
15,15,"DA Points",26,23,5,1,17,2011360,"ConsecutiveGIR",2011
15,15,"Kyle Stanley",28,23,1,2,18,2011140,"ConsecutiveGIR",2011
24,24,"Arjun Atwal",29,22,NA,3,8,2011010,"ConsecutiveGIR",2011
24,24,"Kris Blanks",29,22,13,2,15,2011370,"ConsecutiveGIR",2011
24,24,"Michael Bradley",24,22,2,3,11,2011440,"ConsecutiveGIR",2011
24,24,"Trevor Immelman",25,22,NA,1,18,2011420,"ConsecutiveGIR",2011
24,24,"Bill Lunde",28,22,5,3,14,2011380,"ConsecutiveGIR",2011
24,24,"Rory Sabbatini",24,22,NA,1,13,2011310,"ConsecutiveGIR",2011
24,24,"Camilo Villegas",25,22,NA,2,8,2011380,"ConsecutiveGIR",2011
24,24,"Jimmy Walker",24,22,NA,2,7,2011330,"ConsecutiveGIR",2011
32,32,"Chris DiMarco",31,21,1,1,15,2011300,"ConsecutiveGIR",2011
32,32,"Hunter Haas",30,21,NA,1,17,2011300,"ConsecutiveGIR",2011
32,32,"David Hearn",26,21,NA,4,15,2011440,"ConsecutiveGIR",2011
32,32,"Jeff Maggert",18,21,21,3,16,2011450,"ConsecutiveGIR",2011
32,32,"Graeme McDowell",16,21,5,3,5,2011010,"ConsecutiveGIR",2011
32,32,"Kevin Sutherland",11,21,2,4,4,2011030,"ConsecutiveGIR",2011
38,38,"Tim Clark",4,20,2,1,6,2011010,"ConsecutiveGIR",2011
38,38,"Jason Dufner",23,20,NA,2,3,2011360,"ConsecutiveGIR",2011
38,38,"Steve Elkington",17,20,NA,3,14,2011300,"ConsecutiveGIR",2011
38,38,"Rickie Fowler",24,20,12,1,13,2011200,"ConsecutiveGIR",2011
38,38,"Paul Goydos",25,20,NA,3,12,2011030,"ConsecutiveGIR",2011
38,38,"Chris Kirk",28,20,NA,2,5,2011150,"ConsecutiveGIR",2011
38,38,"Tom Lehman",5,20,2,2,14,2011050,"ConsecutiveGIR",2011
38,38,"Ian Poulter",16,20,2,1,15,2011180,"ConsecutiveGIR",2011
38,38,"Alex Prugh",29,20,1,1,11,2011420,"ConsecutiveGIR",2011
38,38,"Tag Ridings",28,20,NA,2,12,2011300,"ConsecutiveGIR",2011
38,38,"Vaughn Taylor",27,20,9,4,12,2011430,"ConsecutiveGIR",2011
38,38,"Jhonattan Vegas",25,20,1,4,15,2011270,"ConsecutiveGIR",2011
50,50,"Ricky Barnes",23,19,1,2,6,2011420,"ConsecutiveGIR",2011
50,50,"Chad Campbell",29,19,NA,1,7,2011290,"ConsecutiveGIR",2011
50,50,"Bud Cauley",8,19,2,3,8,2011430,"ConsecutiveGIR",2011
50,50,"Brian Davis",30,19,NA,4,16,2011360,"ConsecutiveGIR",2011
50,50,"Tommy Gainey",34,19,NA,1,2,2011300,"ConsecutiveGIR",2011
50,50,"Adam Hadwin",5,19,NA,4,15,2011430,"ConsecutiveGIR",2011
50,50,"Padraig Harrington",18,19,1,4,6,2011150,"ConsecutiveGIR",2011
50,50,"Billy Horschel",25,19,NA,3,7,2011430,"ConsecutiveGIR",2011
50,50,"Dustin Johnson",21,19,1,2,3,2011120,"ConsecutiveGIR",2011
50,50,"Anthony Kim",26,19,2,2,14,2011330,"ConsecutiveGIR",2011
50,50,"Kevin Kisner",24,19,NA,3,8,2011440,"ConsecutiveGIR",2011
50,50,"David Mathis",25,19,NA,2,7,2011430,"ConsecutiveGIR",2011
50,50,"John Rollins",27,19,NA,2,15,2011370,"ConsecutiveGIR",2011
50,50,"Justin Rose",23,19,NA,1,18,2011010,"ConsecutiveGIR",2011
50,50,"Brendan Steele",27,19,6,4,6,2011150,"ConsecutiveGIR",2011
50,50,"Josh Teater",31,19,11,1,9,2011300,"ConsecutiveGIR",2011
50,50,"DJ Trahan",30,19,4,2,7,2011370,"ConsecutiveGIR",2011
50,50,"Dean Wilson",22,19,NA,1,13,2011290,"ConsecutiveGIR",2011
50,50,"Gary Woodland",25,19,2,2,1,2011030,"ConsecutiveGIR",2011
69,69,"Jonathan Byrd",26,18,NA,3,8,2011010,"ConsecutiveGIR",2011
69,69,"Mark Calcavecchia",6,18,2,2,17,2011450,"ConsecutiveGIR",2011
69,69,"Kevin Chappell",26,18,2,2,14,2011380,"ConsecutiveGIR",2011
69,69,"KJ Choi",22,18,NA,2,4,2011380,"ConsecutiveGIR",2011
69,69,"JP Hayes",19,18,1,2,16,2011250,"ConsecutiveGIR",2011
69,69,"Charles Howell III",30,18,NA,2,6,2011030,"ConsecutiveGIR",2011
69,69,"Jerry Kelly",26,18,NA,1,15,2011370,"ConsecutiveGIR",2011
69,69,"Colt Knost",27,18,NA,3,12,2011030,"ConsecutiveGIR",2011
69,69,"Billy Mayfair",29,18,13,3,14,2011430,"ConsecutiveGIR",2011
69,69,"Jeff Overton",26,18,NA,3,10,2011100,"ConsecutiveGIR",2011
69,69,"Kenny Perry",13,18,3,2,15,2011030,"ConsecutiveGIR",2011
69,69,"Martin Piller",23,18,1,4,9,2011430,"ConsecutiveGIR",2011
69,69,"Aron Price",18,18,2,2,4,2011420,"ConsecutiveGIR",2011
69,69,"John Senden",26,18,3,4,15,2011300,"ConsecutiveGIR",2011
69,69,"Scott Stallings",28,18,NA,1,15,2011130,"ConsecutiveGIR",2011
69,69,"Kirk Triplett",8,18,5,4,12,2011300,"ConsecutiveGIR",2011
85,85,"Cameron Beckman",25,17,1,1,4,2011300,"ConsecutiveGIR",2011
85,85,"Shane Bertsch",20,17,4,2,13,2011440,"ConsecutiveGIR",2011
85,85,"Steven Bowditch",28,17,2,1,3,2011200,"ConsecutiveGIR",2011
85,85,"Keegan Bradley",28,17,1,4,5,2011030,"ConsecutiveGIR",2011
85,85,"Ben Crane",23,17,5,2,13,2011380,"ConsecutiveGIR",2011
85,85,"Ben Curtis",23,17,NA,2,15,2011440,"ConsecutiveGIR",2011
85,85,"Brendon de Jonge",30,17,2,1,12,2011300,"ConsecutiveGIR",2011
85,85,"Joe Durant",25,17,NA,2,12,2011450,"ConsecutiveGIR",2011
85,85,"Bobby Gates",29,17,3,1,12,2011420,"ConsecutiveGIR",2011
85,85,"Retief Goosen",16,17,NA,2,5,2011380,"ConsecutiveGIR",2011
85,85,"Brandt Jobe",28,17,NA,2,1,2011450,"ConsecutiveGIR",2011
85,85,"KT Kim",9,17,NA,1,1,2011370,"ConsecutiveGIR",2011
85,85,"Spencer Levin",31,17,2,3,12,2011440,"ConsecutiveGIR",2011
85,85,"Rory McIlroy",10,17,2,1,15,2011260,"ConsecutiveGIR",2011
85,85,"George McNeill",21,17,1,1,11,2011370,"ConsecutiveGIR",2011
85,85,"Shaun Micheel",27,17,1,4,14,2011330,"ConsecutiveGIR",2011
85,85,"Phil Mickelson",21,17,1,1,8,2011060,"ConsecutiveGIR",2011
85,85,"Sean OHair",24,17,4,3,17,2011360,"ConsecutiveGIR",2011
85,85,"Nick OHern",29,17,NA,3,2,2011060,"ConsecutiveGIR",2011
85,85,"Ryan Palmer",24,17,1,1,1,2011010,"ConsecutiveGIR",2011
85,85,"Tom Pernice Jr",12,17,2,4,5,2011430,"ConsecutiveGIR",2011
85,85,"Tim Petrovic",29,17,2,1,4,2011420,"ConsecutiveGIR",2011
85,85,"Carl Pettersson",27,17,2,1,13,2011390,"ConsecutiveGIR",2011
85,85,"Brett Quigley",10,17,NA,2,2,2011060,"ConsecutiveGIR",2011
85,85,"Jim Renner",22,17,1,2,11,2011420,"ConsecutiveGIR",2011
