"ScramblingfromOtherLocations_RANKTHISWEEK_2010","ScramblingfromOtherLocations_RANKLASTWEEK_2010","ScramblingfromOtherLocations_PLAYERNAME_2010","ScramblingfromOtherLocations_ROUNDS_2010","ScramblingfromOtherLocations_Pct_2010","ScramblingfromOtherLocations_SUCCESSES_2010","ScramblingfromOtherLocations_ATTEMPTS_2010","stat_name","year"
1,1,"Dean Wilson",54,70.83,34,48,"ScramblingfromOtherLocations",2010
2,2,"Jarrod Lyle",54,68.97,60,87,"ScramblingfromOtherLocations",2010
3,3,"Jim Furyk",76,67.35,66,98,"ScramblingfromOtherLocations",2010
4,4,"Boo Weekley",88,67.27,74,110,"ScramblingfromOtherLocations",2010
5,5,"Omar Uresti",74,66.36,71,107,"ScramblingfromOtherLocations",2010
6,6,"Jonathan Byrd",85,66.21,96,145,"ScramblingfromOtherLocations",2010
7,7,"Steve Flesch",78,66.14,84,127,"ScramblingfromOtherLocations",2010
8,8,"Scott Verplank",74,66.09,76,115,"ScramblingfromOtherLocations",2010
9,9,"Skip Kendall",58,66.06,72,109,"ScramblingfromOtherLocations",2010
10,10,"Charles Howell III",103,66.04,105,159,"ScramblingfromOtherLocations",2010
11,11,"Steve Stricker",73,65.63,42,64,"ScramblingfromOtherLocations",2010
12,12,"YE Yang",72,65.38,51,78,"ScramblingfromOtherLocations",2010
13,13,"Steve Elkington",74,65.22,60,92,"ScramblingfromOtherLocations",2010
13,13,"Richard Johnson",90,65.22,75,115,"ScramblingfromOtherLocations",2010
15,15,"Michael Sim",64,65.14,71,109,"ScramblingfromOtherLocations",2010
16,16,"Chris DiMarco",88,65,104,160,"ScramblingfromOtherLocations",2010
17,17,"Craig Bowden",56,64.71,55,85,"ScramblingfromOtherLocations",2010
18,18,"Charlie Wi",95,64.63,106,164,"ScramblingfromOtherLocations",2010
19,19,"Joe Durant",67,64.36,65,101,"ScramblingfromOtherLocations",2010
19,19,"Cameron Percy",73,64.36,65,101,"ScramblingfromOtherLocations",2010
21,21,"JB Holmes",100,64.15,102,159,"ScramblingfromOtherLocations",2010
22,22,"Heath Slocum",97,64.06,82,128,"ScramblingfromOtherLocations",2010
23,23,"Graham DeLaet",88,63.96,71,111,"ScramblingfromOtherLocations",2010
24,24,"Matt Kuchar",97,63.89,69,108,"ScramblingfromOtherLocations",2010
25,25,"Spencer Levin",110,63.27,124,196,"ScramblingfromOtherLocations",2010
26,26,"Paul Casey",64,63.24,43,68,"ScramblingfromOtherLocations",2010
27,27,"Bob Estes",79,63.16,84,133,"ScramblingfromOtherLocations",2010
28,28,"Sean OHair",84,63.1,53,84,"ScramblingfromOtherLocations",2010
29,29,"Greg Chalmers",93,62.94,90,143,"ScramblingfromOtherLocations",2010
30,30,"Angel Cabrera",64,62.9,39,62,"ScramblingfromOtherLocations",2010
30,30,"Kevin Sutherland",86,62.9,78,124,"ScramblingfromOtherLocations",2010
32,32,"Ryuji Imada",90,62.64,114,182,"ScramblingfromOtherLocations",2010
33,33,"Matt Bettencourt",91,62.31,81,130,"ScramblingfromOtherLocations",2010
33,33,"John Rollins",81,62.31,81,130,"ScramblingfromOtherLocations",2010
35,35,"Andres Romero",73,62.16,69,111,"ScramblingfromOtherLocations",2010
36,36,"Freddie Jacobson",83,61.76,84,136,"ScramblingfromOtherLocations",2010
37,37,"Chris Riley",73,61.72,79,128,"ScramblingfromOtherLocations",2010
38,38,"Rocco Mediate",71,61.62,61,99,"ScramblingfromOtherLocations",2010
39,39,"Michael Connell",89,61.44,94,153,"ScramblingfromOtherLocations",2010
40,40,"Matt Jones",89,61.43,86,140,"ScramblingfromOtherLocations",2010
41,41,"Tim Herron",79,61.42,78,127,"ScramblingfromOtherLocations",2010
42,42,"Aron Price",70,61.26,68,111,"ScramblingfromOtherLocations",2010
43,43,"Daniel Chopra",74,61.16,74,121,"ScramblingfromOtherLocations",2010
44,44,"KJ Choi",82,61.11,55,90,"ScramblingfromOtherLocations",2010
44,44,"Ernie Els",72,61.11,44,72,"ScramblingfromOtherLocations",2010
46,46,"Steve Marino",81,60.98,75,123,"ScramblingfromOtherLocations",2010
47,47,"Bryce Molder",84,60.94,78,128,"ScramblingfromOtherLocations",2010
48,48,"Retief Goosen",75,60.92,53,87,"ScramblingfromOtherLocations",2010
49,49,"Chad Collins",87,60.85,115,189,"ScramblingfromOtherLocations",2010
50,50,"Mike Weir",59,60.58,63,104,"ScramblingfromOtherLocations",2010
51,51,"Kevin Na",94,60.53,69,114,"ScramblingfromOtherLocations",2010
52,52,"Jason Dufner",87,60.42,58,96,"ScramblingfromOtherLocations",2010
53,53,"Jason Day",82,60.36,67,111,"ScramblingfromOtherLocations",2010
54,54,"Jay Williamson",76,60.22,56,93,"ScramblingfromOtherLocations",2010
55,55,"Vaughn Taylor",87,60.19,65,108,"ScramblingfromOtherLocations",2010
56,56,"Pat Perez",90,60.14,89,148,"ScramblingfromOtherLocations",2010
57,57,"Lucas Glover",75,60,48,80,"ScramblingfromOtherLocations",2010
57,57,"Josh Teater",101,60,102,170,"ScramblingfromOtherLocations",2010
59,59,"Derek Lamely",81,59.86,88,147,"ScramblingfromOtherLocations",2010
60,60,"Robert Garrigus",71,59.79,58,97,"ScramblingfromOtherLocations",2010
61,61,"John Merrick",109,59.78,107,179,"ScramblingfromOtherLocations",2010
62,62,"Ben Crane",85,59.57,56,94,"ScramblingfromOtherLocations",2010
62,62,"Ryan Moore",80,59.57,56,94,"ScramblingfromOtherLocations",2010
