"AverageApproachDistancePar_RANKTHISWEEK_2005","AverageApproachDistancePar_RANKLASTWEEK_2005","AverageApproachDistancePar_PLAYERNAME_2005","AverageApproachDistancePar_ROUNDS_2005","AverageApproachDistancePar_AVGYARDS_2005","AverageApproachDistancePar_TOTALDISTANCEINCHES_2005","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2005","stat_name","year"
1,1,"Brendan Jones",81,154.1,4592616,828,"AverageApproachDistancePar",2005
2,2,"JP Hayes",63,154.9,3262642,585,"AverageApproachDistancePar",2005
3,3,"Bill Glasson",54,155.9,2885473,514,"AverageApproachDistancePar",2005
4,4,"Bob Heintz",67,156.2,3779804,672,"AverageApproachDistancePar",2005
5,5,"Marco Dawson",82,156.7,5008008,888,"AverageApproachDistancePar",2005
5,5,"Joe Ogilvie",103,156.7,4844566,859,"AverageApproachDistancePar",2005
7,7,"Craig Barlow",81,157,3968620,702,"AverageApproachDistancePar",2005
7,7,"Jeff Hart",63,157,3768921,667,"AverageApproachDistancePar",2005
9,9,"David Hearn",68,157.2,3903996,690,"AverageApproachDistancePar",2005
9,9,"Phillip Price",77,157.2,4194254,741,"AverageApproachDistancePar",2005
9,9,"Darron Stiles",78,157.2,4482832,792,"AverageApproachDistancePar",2005
12,12,"Todd Hamilton",94,157.3,4693389,829,"AverageApproachDistancePar",2005
13,13,"Rory Sabbatini",81,157.5,3753173,662,"AverageApproachDistancePar",2005
14,14,"Justin Bolli",65,157.7,3723234,656,"AverageApproachDistancePar",2005
15,15,"Michael Allen",90,157.8,4929978,868,"AverageApproachDistancePar",2005
16,16,"David Toms",87,157.9,3928082,691,"AverageApproachDistancePar",2005
17,17,"Glen Day",80,158,4710433,828,"AverageApproachDistancePar",2005
18,18,"Zach Johnson",96,158.1,5345261,939,"AverageApproachDistancePar",2005
19,19,"Jonathan Kaye",77,158.2,3993511,701,"AverageApproachDistancePar",2005
20,20,"Ben Curtis",65,158.3,3293861,578,"AverageApproachDistancePar",2005
20,20,"Will Ma Kenzie",75,158.3,4251463,746,"AverageApproachDistancePar",2005
20,20,"Kirk Triplett",55,158.3,2900379,509,"AverageApproachDistancePar",2005
20,20,"Jay Williamson",53,158.3,3077332,540,"AverageApproachDistancePar",2005
24,24,"Retief Goosen",71,158.4,2766372,485,"AverageApproachDistancePar",2005
24,24,"Brenden Pappas",51,158.4,2885258,506,"AverageApproachDistancePar",2005
26,26,"Tommy Armour III",103,158.5,6111684,1071,"AverageApproachDistancePar",2005
26,26,"Mike Weir",71,158.5,3001133,526,"AverageApproachDistancePar",2005
28,28,"Fred Couples",72,158.6,2678486,469,"AverageApproachDistancePar",2005
28,28,"Len Mattiace",86,158.6,4841246,848,"AverageApproachDistancePar",2005
28,28,"Geoff Ogilvy",97,158.6,4760352,834,"AverageApproachDistancePar",2005
31,31,"Mark Brooks",72,158.7,4163679,729,"AverageApproachDistancePar",2005
32,32,"Matt Kuchar",60,158.8,3738578,654,"AverageApproachDistancePar",2005
33,33,"Stuart Appleby",84,158.9,4176392,730,"AverageApproachDistancePar",2005
33,33,"Jim Carter",62,158.9,3706725,648,"AverageApproachDistancePar",2005
35,35,"Loren Roberts",54,159,3285330,574,"AverageApproachDistancePar",2005
36,36,"Brian Gay",101,159.1,6227024,1087,"AverageApproachDistancePar",2005
36,36,"Rod Pampling",89,159.1,4358792,761,"AverageApproachDistancePar",2005
38,38,"Briny Baird",98,159.2,5784077,1009,"AverageApproachDistancePar",2005
38,38,"Matt Davidson",53,159.2,3179964,555,"AverageApproachDistancePar",2005
38,38,"Davis Love III",80,159.2,3617003,631,"AverageApproachDistancePar",2005
41,41,"Kent Jones",99,159.3,5574506,972,"AverageApproachDistancePar",2005
42,42,"Glen Hnatiuk",59,159.4,3333517,581,"AverageApproachDistancePar",2005
42,42,"JL Lewis",98,159.4,5317974,927,"AverageApproachDistancePar",2005
44,44,"Olin Browne",99,159.5,5604891,976,"AverageApproachDistancePar",2005
44,44,"Heath Slocum",103,159.5,6073406,1058,"AverageApproachDistancePar",2005
46,46,"Chris Anderson",66,159.6,3706385,645,"AverageApproachDistancePar",2005
46,46,"Tim Clark",92,159.6,4107751,715,"AverageApproachDistancePar",2005
46,46,"Skip Kendall",80,159.6,4649052,809,"AverageApproachDistancePar",2005
46,46,"Shigeki Maruyama",99,159.6,5660462,985,"AverageApproachDistancePar",2005
46,46,"Adam Scott",72,159.6,3406597,593,"AverageApproachDistancePar",2005
51,51,"Paul Azinger",66,159.7,3656480,636,"AverageApproachDistancePar",2005
52,52,"John Daly",78,159.8,3348530,582,"AverageApproachDistancePar",2005
53,53,"KJ Choi",78,159.9,3504761,609,"AverageApproachDistancePar",2005
54,54,"Bob Tway",87,160,4453041,773,"AverageApproachDistancePar",2005
55,55,"Robert Gamez",91,160.1,5118975,888,"AverageApproachDistancePar",2005
55,55,"Tim Petrovic",97,160.1,5210184,904,"AverageApproachDistancePar",2005
57,57,"Phil Mickelson",81,160.2,3096794,537,"AverageApproachDistancePar",2005
57,57,"Sean OHair",103,160.2,5529176,959,"AverageApproachDistancePar",2005
57,57,"Dennis Paulson",63,160.2,3547660,615,"AverageApproachDistancePar",2005
57,57,"Kenny Perry",82,160.2,3858121,669,"AverageApproachDistancePar",2005
61,61,"Brian Bateman",98,160.3,5476957,949,"AverageApproachDistancePar",2005
61,61,"Dan Forsman",52,160.3,3133961,543,"AverageApproachDistancePar",2005
63,63,"Sergio Garcia",73,160.4,3429541,594,"AverageApproachDistancePar",2005
63,63,"Rocco Mediate",73,160.4,4289057,743,"AverageApproachDistancePar",2005
63,63,"Omar Uresti",84,160.4,4826551,836,"AverageApproachDistancePar",2005
66,66,"Gavin Coles",70,160.5,4195528,726,"AverageApproachDistancePar",2005
66,66,"Hunter Mahan",103,160.5,5860636,1014,"AverageApproachDistancePar",2005
68,68,"Cameron Beckman",96,160.6,5364789,928,"AverageApproachDistancePar",2005
68,68,"Frank Lickliter II",100,160.6,5364566,928,"AverageApproachDistancePar",2005
68,68,"Andrew Magee",82,160.6,4458621,771,"AverageApproachDistancePar",2005
68,68,"Vaughn Taylor",99,160.6,5684011,983,"AverageApproachDistancePar",2005
