"LeftTendency_RANKTHISWEEK_2015","LeftTendency_RANKLASTWEEK_2015","LeftTendency_PLAYERNAME_2015","LeftTendency_EVENTS_2015","LeftTendency_Pct_2015","LeftTendency_NUMBEROFTIMES_2015","LeftTendency_ATTEMPTS_2015","LeftTendency_AVGRTPSCORE_2015","stat_name","year"
1,1,"David Toms",21,31.6,62,196,2.42,"LeftTendency",2015
2,2,"Scott Piercy",28,33.6,152,453,1.38,"LeftTendency",2015
3,3,"Troy Merritt",29,35.5,147,414,1.5,"LeftTendency",2015
4,4,"Bill Lunde",18,35.6,64,180,4.38,"LeftTendency",2015
4,4,"Scott Pinckney",27,35.6,139,390,1.58,"LeftTendency",2015
6,6,"Charles Howell III",30,35.9,222,618,0.77,"LeftTendency",2015
7,7,"Bryce Molder",26,36.8,127,345,1.34,"LeftTendency",2015
8,8,"Ken Duke",30,36.9,125,339,0.96,"LeftTendency",2015
9,9,"Roger Sloan",20,38.1,83,218,3.98,"LeftTendency",2015
10,10,"Charley Hoffman",28,38.2,166,434,1.81,"LeftTendency",2015
10,10,"Mark Wilson",28,38.2,150,393,2.53,"LeftTendency",2015
12,12,"Brice Garnett",29,39.4,136,345,2.57,"LeftTendency",2015
13,13,"Gary Woodland",24,39.6,125,316,1.68,"LeftTendency",2015
14,14,"Aaron Baddeley",25,39.7,169,426,1.42,"LeftTendency",2015
15,15,"Scott Langley",28,40.6,167,411,1.38,"LeftTendency",2015
16,16,"Zac Blair",34,40.9,157,384,1.15,"LeftTendency",2015
17,17,"Gonzalo Fdez Castano",28,41.2,127,308,1.97,"LeftTendency",2015
17,17,"Greg Owen",19,41.2,91,221,0.55,"LeftTendency",2015
19,19,"George McNeill",27,41.4,176,425,0.85,"LeftTendency",2015
19,19,"Cameron Tringale",28,41.4,146,353,1.44,"LeftTendency",2015
21,21,"Whee Kim",23,41.7,128,307,1.33,"LeftTendency",2015
21,21,"Byron Smith",21,41.7,101,242,2.18,"LeftTendency",2015
23,23,"Colt Knost",29,41.9,125,298,2.96,"LeftTendency",2015
24,24,"Jamie Donaldson",16,42.1,80,190,1.13,"LeftTendency",2015
25,25,"Oscar Fraustro",21,42.2,89,211,1.24,"LeftTendency",2015
25,25,"Lee Westwood",15,42.2,76,180,2.24,"LeftTendency",2015
27,27,"Nicholas Thompson",31,42.3,129,305,1.94,"LeftTendency",2015
27,27,"Will Wilcox",17,42.3,74,175,0.27,"LeftTendency",2015
29,29,"Chez Reavie",19,42.5,79,186,2.03,"LeftTendency",2015
30,30,"Chad Collins",24,42.6,130,305,2.15,"LeftTendency",2015
31,31,"Steven Alker",22,42.7,88,206,3.3,"LeftTendency",2015
31,31,"Greg Chalmers",17,42.7,85,199,2.24,"LeftTendency",2015
31,31,"Heath Slocum",22,42.7,76,178,2.37,"LeftTendency",2015
34,34,"David Hearn",30,42.8,176,411,0.68,"LeftTendency",2015
35,35,"Martin Laird",24,42.9,172,401,1.05,"LeftTendency",2015
35,35,"Patrick Rodgers",17,42.9,111,259,1.8,"LeftTendency",2015
37,37,"Marc Leishman",23,43.1,146,339,1.3,"LeftTendency",2015
38,38,"Daniel Berger",31,43.3,185,427,0.97,"LeftTendency",2015
39,39,"Francesco Molinari",16,43.4,62,143,1.77,"LeftTendency",2015
40,40,"Tony Finau",31,43.9,243,553,1.19,"LeftTendency",2015
41,41,"John Huh",31,44,165,375,2.42,"LeftTendency",2015
42,42,"Sangmoon Bae",30,44.1,216,490,1.57,"LeftTendency",2015
42,42,"Michael Putnam",28,44.1,156,354,1.47,"LeftTendency",2015
44,44,"Max Homa",27,44.2,161,364,1.55,"LeftTendency",2015
45,45,"Jason Bohn",27,44.3,149,336,1.68,"LeftTendency",2015
45,45,"Camilo Villegas",27,44.3,198,447,0.61,"LeftTendency",2015
47,47,"Jonas Blixt",26,44.4,127,286,1.81,"LeftTendency",2015
47,47,"Mark Hubbard",25,44.4,127,286,2.83,"LeftTendency",2015
47,47,"Robert Streb",30,44.4,239,538,1.97,"LeftTendency",2015
50,50,"Tom Hoge",26,44.5,162,364,0.86,"LeftTendency",2015
50,50,"Kyle Reifers",31,44.5,185,416,0.65,"LeftTendency",2015
52,52,"KJ Choi",19,44.6,131,294,1.83,"LeftTendency",2015
53,53,"James Hahn",28,45,193,429,1.19,"LeftTendency",2015
53,53,"Ian Poulter",19,45,109,242,1.01,"LeftTendency",2015
55,55,"Charlie Beljan",27,45.1,137,304,2.26,"LeftTendency",2015
56,56,"Sergio Garcia",15,45.4,93,205,1.51,"LeftTendency",2015
57,57,"Ricky Barnes",27,45.6,176,386,1.42,"LeftTendency",2015
58,58,"Harris English",29,45.9,222,484,0.54,"LeftTendency",2015
58,58,"Pat Perez",26,45.9,175,381,1.14,"LeftTendency",2015
58,58,"John Peterson",25,45.9,155,338,1.29,"LeftTendency",2015
58,58,"Alex Prugh",27,45.9,167,364,1.26,"LeftTendency",2015
62,62,"Brendan Steele",24,46.1,178,386,1.8,"LeftTendency",2015
63,63,"Matt Jones",25,46.2,169,366,0.65,"LeftTendency",2015
63,63,"Russell Knox",28,46.2,177,383,1.53,"LeftTendency",2015
63,63,"Sam Saunders",28,46.2,140,303,1.57,"LeftTendency",2015
66,66,"Scott Brown",30,46.3,189,408,2.28,"LeftTendency",2015
67,67,"Hideki Matsuyama",25,46.4,154,332,1.1,"LeftTendency",2015
68,68,"Fabian Gomez",26,46.5,172,370,2.44,"LeftTendency",2015
69,69,"Jim Herman",27,46.6,160,343,1.88,"LeftTendency",2015
70,70,"Jonathan Byrd",22,47.3,115,243,1.3,"LeftTendency",2015
70,70,"Nick Watney",28,47.3,201,425,2.14,"LeftTendency",2015
72,72,"Rickie Fowler",21,47.4,144,304,1.32,"LeftTendency",2015
73,73,"Derek Fathauer",27,47.5,206,434,1.36,"LeftTendency",2015
73,73,"Jeff Overton",30,47.5,200,421,1.45,"LeftTendency",2015
73,73,"Justin Rose",20,47.5,116,244,1.98,"LeftTendency",2015
76,76,"Ryo Ishikawa",28,47.7,204,428,0.93,"LeftTendency",2015
76,76,"Steve Wheatcroft",28,47.7,173,363,2.49,"LeftTendency",2015
78,78,"Derek Ernst",26,47.8,143,299,1.12,"LeftTendency",2015
78,78,"Adam Hadwin",30,47.8,176,368,1.42,"LeftTendency",2015
78,78,"Morgan Hoffmann",26,47.8,200,418,1.35,"LeftTendency",2015
81,81,"Keegan Bradley",24,47.9,139,290,1.29,"LeftTendency",2015
82,82,"John Merrick",27,48,122,254,2.13,"LeftTendency",2015
82,82,"Ryan Palmer",22,48,160,333,0.31,"LeftTendency",2015
84,84,"Daniel Summerhays",29,48.2,226,469,0.58,"LeftTendency",2015
85,85,"Kevin Streelman",27,48.3,140,290,1.14,"LeftTendency",2015
86,86,"Jim Furyk",19,48.5,111,229,0.63,"LeftTendency",2015
87,87,"Dustin Johnson",21,48.6,161,331,1.99,"LeftTendency",2015
87,87,"Charl Schwartzel",19,48.6,105,216,2.1,"LeftTendency",2015
89,89,"Brian Harman",29,48.7,181,372,1.99,"LeftTendency",2015
89,89,"Brooks Koepka",23,48.7,182,374,1.04,"LeftTendency",2015
91,91,"Ryan Moore",24,48.8,121,248,1.9,"LeftTendency",2015
91,91,"Jhonattan Vegas",27,48.8,203,416,0.94,"LeftTendency",2015
91,91,"Jimmy Walker",24,48.8,196,402,1.17,"LeftTendency",2015
94,94,"Retief Goosen",25,48.9,177,362,1.47,"LeftTendency",2015
94,94,"Jim Renner",27,48.9,152,311,2.37,"LeftTendency",2015
94,94,"Chris Stroud",28,48.9,160,327,1.75,"LeftTendency",2015
94,94,"Hudson Swafford",30,48.9,196,401,1.22,"LeftTendency",2015
98,98,"Padraig Harrington",21,49,152,310,1.78,"LeftTendency",2015
98,98,"Jerry Kelly",24,49,128,261,0.94,"LeftTendency",2015
100,100,"Roberto Castro",16,49.1,79,161,2.28,"LeftTendency",2015
100,100,"Brendon Todd",27,49.1,156,318,1.92,"LeftTendency",2015
102,102,"Jason Dufner",21,49.2,117,238,1.62,"LeftTendency",2015
102,102,"Ben Martin",27,49.2,180,366,2.67,"LeftTendency",2015
104,104,"Angel Cabrera",19,49.4,122,247,1.48,"LeftTendency",2015
104,104,"Louis Oosthuizen",20,49.4,124,251,0.81,"LeftTendency",2015
106,106,"Kevin Chappell",26,49.5,185,374,1.84,"LeftTendency",2015
107,107,"Graham DeLaet",22,49.6,127,256,1.81,"LeftTendency",2015
107,107,"Bill Haas",25,49.6,179,361,0.84,"LeftTendency",2015
107,107,"Bo Van Pelt",28,49.6,173,349,3.01,"LeftTendency",2015
110,110,"Jordan Spieth",25,49.7,158,318,1.01,"LeftTendency",2015
110,110,"Brian Stuard",31,49.7,166,334,2.05,"LeftTendency",2015
112,112,"Scott Stallings",19,49.8,130,261,2.92,"LeftTendency",2015
112,112,"Shawn Stefani",26,49.8,217,436,1.29,"LeftTendency",2015
114,114,"Jason Kokrak",28,50.1,237,473,0.84,"LeftTendency",2015
