"Puttingfrom510_RANKTHISWEEK_2010","Puttingfrom510_RANKLASTWEEK_2010","Puttingfrom510_PLAYERNAME_2010","Puttingfrom510_ROUNDS_2010","Puttingfrom510_Pct_2010","Puttingfrom510_ATTEMPTS_2010","Puttingfrom510_PUTTSMADE_2010","stat_name","year"
1,1,"Retief Goosen",75,63.55,214,136,"Puttingfrom510",2010
2,2,"Pat Perez",90,63.14,331,209,"Puttingfrom510",2010
3,3,"Zach Johnson",93,62.93,294,185,"Puttingfrom510",2010
4,4,"Greg Chalmers",93,62.84,366,230,"Puttingfrom510",2010
5,5,"Ricky Barnes",103,62.32,345,215,"Puttingfrom510",2010
6,6,"Matt Jones",89,62.24,339,211,"Puttingfrom510",2010
7,7,"Brian Gay",101,62.16,333,207,"Puttingfrom510",2010
8,8,"Paul Casey",64,61.9,168,104,"Puttingfrom510",2010
9,9,"Michael Sim",64,61.75,217,134,"Puttingfrom510",2010
10,10,"Troy Merritt",86,61.72,337,208,"Puttingfrom510",2010
11,11,"George McNeill",79,61.39,303,186,"Puttingfrom510",2010
12,12,"Alex Prugh",88,61.34,344,211,"Puttingfrom510",2010
13,13,"Brandt Snedeker",89,60.91,330,201,"Puttingfrom510",2010
14,14,"Luke Donald",71,60.58,208,126,"Puttingfrom510",2010
15,15,"Chad Collins",87,60.39,308,186,"Puttingfrom510",2010
16,16,"Paul Stankowski",62,60.27,219,132,"Puttingfrom510",2010
17,17,"Matt Kuchar",97,60.26,307,185,"Puttingfrom510",2010
18,18,"YE Yang",72,60,260,156,"Puttingfrom510",2010
19,19,"Charlie Wi",95,59.95,382,229,"Puttingfrom510",2010
20,20,"Scott McCarron",90,59.87,319,191,"Puttingfrom510",2010
21,21,"Nathan Green",86,59.82,341,204,"Puttingfrom510",2010
22,22,"Chris Riley",73,59.75,241,144,"Puttingfrom510",2010
23,23,"Daniel Chopra",74,59.66,290,173,"Puttingfrom510",2010
23,23,"Tim Clark",88,59.66,295,176,"Puttingfrom510",2010
25,25,"Charles Howell III",103,59.52,331,197,"Puttingfrom510",2010
26,26,"JB Holmes",100,59.43,387,230,"Puttingfrom510",2010
27,27,"Steve Marino",81,59.4,266,158,"Puttingfrom510",2010
28,28,"Dean Wilson",54,59.38,192,114,"Puttingfrom510",2010
29,29,"Brett Quigley",96,59.24,341,202,"Puttingfrom510",2010
30,30,"Geoff Ogilvy",62,59.07,215,127,"Puttingfrom510",2010
31,31,"Hunter Mahan",85,59.04,293,173,"Puttingfrom510",2010
32,32,"Aaron Baddeley",94,58.87,355,209,"Puttingfrom510",2010
33,33,"Ian Poulter",55,58.78,148,87,"Puttingfrom510",2010
34,34,"Carl Pettersson",99,58.72,327,192,"Puttingfrom510",2010
35,35,"Shaun Micheel",70,58.71,201,118,"Puttingfrom510",2010
36,36,"Matt Bettencourt",91,58.52,311,182,"Puttingfrom510",2010
37,37,"Scott Piercy",88,58.43,344,201,"Puttingfrom510",2010
38,38,"Richard Johnson",90,58.27,254,148,"Puttingfrom510",2010
39,39,"Justin Rose",78,58.22,292,170,"Puttingfrom510",2010
40,40,"Skip Kendall",58,58.12,191,111,"Puttingfrom510",2010
41,41,"Kevin Johnson",62,58.03,193,112,"Puttingfrom510",2010
42,42,"Angel Cabrera",64,57.89,209,121,"Puttingfrom510",2010
43,43,"Jeff Quinney",91,57.83,351,203,"Puttingfrom510",2010
44,44,"Dustin Johnson",83,57.82,275,159,"Puttingfrom510",2010
45,45,"Trevor Immelman",55,57.76,161,93,"Puttingfrom510",2010
46,46,"Briny Baird",87,57.74,310,179,"Puttingfrom510",2010
47,47,"Michael Connell",89,57.73,343,198,"Puttingfrom510",2010
47,47,"Brett Wetterich",54,57.73,220,127,"Puttingfrom510",2010
49,49,"Ernie Els",72,57.71,201,116,"Puttingfrom510",2010
50,50,"Ryuji Imada",90,57.67,352,203,"Puttingfrom510",2010
51,51,"David Duval",71,57.58,231,133,"Puttingfrom510",2010
52,52,"John Senden",103,57.54,358,206,"Puttingfrom510",2010
53,53,"Brad Faxon",58,57.51,193,111,"Puttingfrom510",2010
54,54,"Jerod Turner",54,57.49,167,96,"Puttingfrom510",2010
55,55,"Kevin Na",94,57.48,294,169,"Puttingfrom510",2010
56,56,"Jim Furyk",76,57.47,221,127,"Puttingfrom510",2010
56,56,"Steve Wheatcroft",74,57.47,261,150,"Puttingfrom510",2010
58,58,"Rory Sabbatini",79,57.37,312,179,"Puttingfrom510",2010
59,59,"Andres Romero",73,57.34,293,168,"Puttingfrom510",2010
60,60,"Martin Laird",91,57.3,363,208,"Puttingfrom510",2010
61,61,"Bubba Watson",77,57.14,280,160,"Puttingfrom510",2010
62,62,"James Driscoll",78,57.05,298,170,"Puttingfrom510",2010
63,63,"Ryan Moore",80,57.03,256,146,"Puttingfrom510",2010
64,64,"Jeev Milkha Singh",59,57.01,214,122,"Puttingfrom510",2010
65,65,"Mark Wilson",87,56.95,302,172,"Puttingfrom510",2010
66,66,"Mathew Goggin",85,56.91,311,177,"Puttingfrom510",2010
67,67,"Sean OHair",84,56.83,271,154,"Puttingfrom510",2010
68,68,"Brent Delahoussaye",57,56.76,185,105,"Puttingfrom510",2010
69,69,"Steve Stricker",73,56.7,224,127,"Puttingfrom510",2010
70,70,"Robert Garrigus",71,56.68,277,157,"Puttingfrom510",2010
70,70,"James Nitties",92,56.68,367,208,"Puttingfrom510",2010
72,72,"Joe Ogilvie",99,56.66,353,200,"Puttingfrom510",2010
73,73,"David Toms",86,56.64,286,162,"Puttingfrom510",2010
74,74,"Chris Stroud",90,56.63,309,175,"Puttingfrom510",2010
75,75,"Aron Price",70,56.57,274,155,"Puttingfrom510",2010
76,76,"Nick Watney",91,56.56,320,181,"Puttingfrom510",2010
77,77,"Brian Stuard",81,56.43,280,158,"Puttingfrom510",2010
78,78,"Kevin Streelman",90,56.42,335,189,"Puttingfrom510",2010
79,79,"Phil Mickelson",76,56.32,261,147,"Puttingfrom510",2010
80,80,"Ryan Palmer",84,56.31,293,165,"Puttingfrom510",2010
81,81,"Marc Leishman",87,56.25,320,180,"Puttingfrom510",2010
81,81,"Justin Leonard",89,56.25,272,153,"Puttingfrom510",2010
83,83,"Spencer Levin",110,56.23,393,221,"Puttingfrom510",2010
84,84,"Tim Herron",79,56.14,285,160,"Puttingfrom510",2010
85,85,"John Rollins",81,56.09,312,175,"Puttingfrom510",2010
86,86,"Jeff Overton",89,56.06,330,185,"Puttingfrom510",2010
87,87,"Tim Petrovic",105,55.98,368,206,"Puttingfrom510",2010
88,88,"Bryce Molder",84,55.95,311,174,"Puttingfrom510",2010
89,89,"JJ Henry",92,55.94,320,179,"Puttingfrom510",2010
90,90,"Stewart Cink",84,55.92,245,137,"Puttingfrom510",2010
91,91,"Paul Goydos",78,55.82,292,163,"Puttingfrom510",2010
92,92,"Freddie Jacobson",83,55.76,321,179,"Puttingfrom510",2010
93,93,"Webb Simpson",98,55.68,361,201,"Puttingfrom510",2010
94,94,"Jason Day",82,55.59,304,169,"Puttingfrom510",2010
94,94,"Steve Flesch",78,55.59,286,159,"Puttingfrom510",2010
96,96,"John Mallinger",78,55.56,279,155,"Puttingfrom510",2010
97,97,"Ted Purdy",86,55.48,292,162,"Puttingfrom510",2010
98,98,"Jimmy Walker",82,55.36,280,155,"Puttingfrom510",2010
99,99,"Chris Tidland",77,55.35,271,150,"Puttingfrom510",2010
100,100,"Heath Slocum",97,55.25,295,163,"Puttingfrom510",2010
101,101,"KJ Choi",82,55.1,245,135,"Puttingfrom510",2010
102,102,"Steve Elkington",74,55.07,227,125,"Puttingfrom510",2010
103,103,"Jonathan Byrd",85,55.03,318,175,"Puttingfrom510",2010
104,104,"Blake Adams",84,54.86,257,141,"Puttingfrom510",2010
105,105,"Rich Barcelo",70,54.82,228,125,"Puttingfrom510",2010
106,106,"Tom Gillis",97,54.81,374,205,"Puttingfrom510",2010
107,107,"Garrett Willis",82,54.73,296,162,"Puttingfrom510",2010
108,108,"Garth Mulroy",53,54.72,159,87,"Puttingfrom510",2010
109,109,"Justin Bolli",55,54.6,174,95,"Puttingfrom510",2010
110,110,"Jarrod Lyle",54,54.5,211,115,"Puttingfrom510",2010
111,111,"Brenden Pappas",66,54.46,213,116,"Puttingfrom510",2010
112,112,"Charley Hoffman",85,54.39,342,186,"Puttingfrom510",2010
113,113,"Josh Teater",101,54.38,388,211,"Puttingfrom510",2010
114,114,"Roland Thatcher",72,54.24,295,160,"Puttingfrom510",2010
115,115,"Michael Letzig",84,54.19,334,181,"Puttingfrom510",2010
116,116,"Bob Estes",79,54.17,288,156,"Puttingfrom510",2010
117,117,"Tom Pernice Jr",74,54.13,242,131,"Puttingfrom510",2010
118,118,"Chris DiMarco",88,54.05,346,187,"Puttingfrom510",2010
