"EarlyLowestRound_RANKTHISWEEK_2011","EarlyLowestRound_RANKLASTWEEK_2011","EarlyLowestRound_PLAYERNAME_2011","EarlyLowestRound__2011","EarlyLowestRound_LOWRND_2011","stat_name","year"
1,1,"Patrick Cantlay",NA,60,"EarlyLowestRound",2011
2,2,"Hunter Haas",NA,61,"EarlyLowestRound",2011
2,2,"Scott Piercy",NA,61,"EarlyLowestRound",2011
2,2,"Brandt Snedeker",NA,61,"EarlyLowestRound",2011
5,5,"Blake Adams",NA,62,"EarlyLowestRound",2011
5,5,"Steven Bowditch",NA,62,"EarlyLowestRound",2011
5,5,"Rickie Fowler",NA,62,"EarlyLowestRound",2011
5,5,"Brian Gay",NA,62,"EarlyLowestRound",2011
5,5,"Bill Haas",NA,62,"EarlyLowestRound",2011
5,5,"Jeff Maggert",NA,62,"EarlyLowestRound",2011
5,5,"Chez Reavie",NA,62,"EarlyLowestRound",2011
5,5,"Jim Renner",NA,62,"EarlyLowestRound",2011
5,5,"David Toms",NA,62,"EarlyLowestRound",2011
5,5,"DJ Trahan",NA,62,"EarlyLowestRound",2011
5,5,"Jimmy Walker",NA,62,"EarlyLowestRound",2011
16,16,"Jason Day",NA,63,"EarlyLowestRound",2011
16,16,"James Driscoll",NA,63,"EarlyLowestRound",2011
16,16,"Steve Flesch",NA,63,"EarlyLowestRound",2011
16,16,"Robert Garrigus",NA,63,"EarlyLowestRound",2011
16,16,"Dustin Johnson",NA,63,"EarlyLowestRound",2011
16,16,"Chris Kirk",NA,63,"EarlyLowestRound",2011
16,16,"Justin Leonard",NA,63,"EarlyLowestRound",2011
16,16,"Phil Mickelson",NA,63,"EarlyLowestRound",2011
16,16,"Kevin Na",NA,63,"EarlyLowestRound",2011
16,16,"Carl Pettersson",NA,63,"EarlyLowestRound",2011
16,16,"Jeff Quinney",NA,63,"EarlyLowestRound",2011
16,16,"Justin Rose",NA,63,"EarlyLowestRound",2011
16,16,"Webb Simpson",NA,63,"EarlyLowestRound",2011
16,16,"Heath Slocum",NA,63,"EarlyLowestRound",2011
16,16,"Kevin Streelman",NA,63,"EarlyLowestRound",2011
16,16,"Steve Stricker",NA,63,"EarlyLowestRound",2011
16,16,"Chris Stroud",NA,63,"EarlyLowestRound",2011
