"Scrambling1020ydsRTPScore_RANKTHISWEEK_2008","Scrambling1020ydsRTPScore_RANKLASTWEEK_2008","Scrambling1020ydsRTPScore_PLAYERNAME_2008","Scrambling1020ydsRTPScore_ROUNDS_2008","Scrambling1020ydsRTPScore_AVGRTP_2008","Scrambling1020ydsRTPScore_TOTALHOLES_2008","Scrambling1020ydsRTPScore_TOTALRTP_2008","stat_name","year"
1,1,"Corey Pavin",69,0.249,181,45,"Scrambling1020ydsRTPScore",2008
2,2,"Steve Stricker",75,0.25,136,34,"Scrambling1020ydsRTPScore",2008
3,3,"Padraig Harrington",52,0.256,90,23,"Scrambling1020ydsRTPScore",2008
4,4,"John Rollins",94,0.263,243,64,"Scrambling1020ydsRTPScore",2008
5,5,"Phil Mickelson",80,0.273,154,42,"Scrambling1020ydsRTPScore",2008
6,6,"Shigeki Maruyama",50,0.274,124,34,"Scrambling1020ydsRTPScore",2008
7,7,"Retief Goosen",59,0.275,120,33,"Scrambling1020ydsRTPScore",2008
8,8,"Tim Herron",97,0.276,228,63,"Scrambling1020ydsRTPScore",2008
9,9,"Justin Leonard",101,0.282,149,42,"Scrambling1020ydsRTPScore",2008
10,10,"Lee Janzen",89,0.284,194,55,"Scrambling1020ydsRTPScore",2008
11,11,"Brian Gay",102,0.286,231,66,"Scrambling1020ydsRTPScore",2008
12,12,"Chris Riley",51,0.288,118,34,"Scrambling1020ydsRTPScore",2008
13,13,"Glen Day",64,0.289,149,43,"Scrambling1020ydsRTPScore",2008
14,14,"Mike Weir",88,0.292,168,49,"Scrambling1020ydsRTPScore",2008
15,15,"KJ Choi",74,0.293,133,39,"Scrambling1020ydsRTPScore",2008
16,16,"Nick OHern",82,0.294,177,52,"Scrambling1020ydsRTPScore",2008
17,17,"Freddie Jacobson",78,0.295,156,46,"Scrambling1020ydsRTPScore",2008
18,18,"Brett Quigley",80,0.297,202,60,"Scrambling1020ydsRTPScore",2008
18,18,"Scott Sterling",89,0.297,185,55,"Scrambling1020ydsRTPScore",2008
20,20,"Stuart Appleby",87,0.299,187,56,"Scrambling1020ydsRTPScore",2008
20,20,"Steve Flesch",95,0.299,187,56,"Scrambling1020ydsRTPScore",2008
22,22,"Scott McCarron",63,0.3,140,42,"Scrambling1020ydsRTPScore",2008
23,23,"Tom Lehman",51,0.303,109,33,"Scrambling1020ydsRTPScore",2008
23,23,"Jesper Parnevik",88,0.303,218,66,"Scrambling1020ydsRTPScore",2008
25,25,"Charlie Wi",97,0.305,223,68,"Scrambling1020ydsRTPScore",2008
26,26,"Ryuji Imada",80,0.306,186,57,"Scrambling1020ydsRTPScore",2008
26,26,"Richard Johnson",77,0.306,219,67,"Scrambling1020ydsRTPScore",2008
28,28,"Gavin Coles",54,0.307,114,35,"Scrambling1020ydsRTPScore",2008
28,28,"Jeff Quinney",87,0.307,199,61,"Scrambling1020ydsRTPScore",2008
30,30,"Dudley Hart",74,0.315,165,52,"Scrambling1020ydsRTPScore",2008
31,31,"Stephen Ames",83,0.316,155,49,"Scrambling1020ydsRTPScore",2008
31,31,"Jonathan Byrd",88,0.316,206,65,"Scrambling1020ydsRTPScore",2008
33,33,"Omar Uresti",74,0.317,180,57,"Scrambling1020ydsRTPScore",2008
34,34,"Carl Pettersson",110,0.318,267,85,"Scrambling1020ydsRTPScore",2008
35,35,"Vaughn Taylor",103,0.319,226,72,"Scrambling1020ydsRTPScore",2008
36,36,"Eric Axley",113,0.321,243,78,"Scrambling1020ydsRTPScore",2008
36,36,"Tim Clark",90,0.321,212,68,"Scrambling1020ydsRTPScore",2008
36,36,"Pat Perez",93,0.321,190,61,"Scrambling1020ydsRTPScore",2008
36,36,"Tom Pernice Jr",104,0.321,249,80,"Scrambling1020ydsRTPScore",2008
40,40,"Chad Collins",72,0.322,174,56,"Scrambling1020ydsRTPScore",2008
42,42,"Ernie Els",51,0.323,93,30,"Scrambling1020ydsRTPScore",2008
43,43,"Trevor Immelman",70,0.325,123,40,"Scrambling1020ydsRTPScore",2008
44,44,"Rod Pampling",83,0.326,172,56,"Scrambling1020ydsRTPScore",2008
45,45,"Tom Scherrer",56,0.327,113,37,"Scrambling1020ydsRTPScore",2008
45,45,"Scott Verplank",82,0.327,165,54,"Scrambling1020ydsRTPScore",2008
47,47,"JP Hayes",67,0.329,173,57,"Scrambling1020ydsRTPScore",2008
47,47,"Billy Mayfair",103,0.329,234,77,"Scrambling1020ydsRTPScore",2008
47,47,"Tim Petrovic",97,0.329,240,79,"Scrambling1020ydsRTPScore",2008
47,47,"Chez Reavie",102,0.329,216,71,"Scrambling1020ydsRTPScore",2008
51,51,"Daniel Chopra",84,0.33,200,66,"Scrambling1020ydsRTPScore",2008
51,51,"Mathew Goggin",91,0.33,206,68,"Scrambling1020ydsRTPScore",2008
51,51,"Marc Turnesa",87,0.33,212,70,"Scrambling1020ydsRTPScore",2008
54,54,"Mathias Gronberg",87,0.332,205,68,"Scrambling1020ydsRTPScore",2008
55,55,"Brenden Pappas",66,0.333,144,48,"Scrambling1020ydsRTPScore",2008
55,55,"Mark Wilson",107,0.333,255,85,"Scrambling1020ydsRTPScore",2008
57,57,"Kevin Na",97,0.336,274,92,"Scrambling1020ydsRTPScore",2008
58,58,"Cliff Kresge",84,0.337,184,62,"Scrambling1020ydsRTPScore",2008
58,58,"Jon Mills",95,0.337,199,67,"Scrambling1020ydsRTPScore",2008
58,58,"Ian Poulter",51,0.337,101,34,"Scrambling1020ydsRTPScore",2008
61,61,"Paul Claxton",63,0.338,130,44,"Scrambling1020ydsRTPScore",2008
61,61,"Bob Tway",70,0.338,139,47,"Scrambling1020ydsRTPScore",2008
61,61,"Tim Wilkinson",95,0.338,234,79,"Scrambling1020ydsRTPScore",2008
64,64,"Briny Baird",113,0.34,250,85,"Scrambling1020ydsRTPScore",2008
64,64,"Bart Bryant",81,0.34,194,66,"Scrambling1020ydsRTPScore",2008
64,64,"Craig Kanada",65,0.34,153,52,"Scrambling1020ydsRTPScore",2008
64,64,"Andres Romero",69,0.34,153,52,"Scrambling1020ydsRTPScore",2008
68,68,"Dean Wilson",109,0.341,246,84,"Scrambling1020ydsRTPScore",2008
69,69,"Steve Marino",119,0.342,240,82,"Scrambling1020ydsRTPScore",2008
70,70,"Brandt Snedeker",85,0.343,178,61,"Scrambling1020ydsRTPScore",2008
71,71,"Stewart Cink",87,0.345,139,48,"Scrambling1020ydsRTPScore",2008
71,71,"Nathan Green",95,0.345,261,90,"Scrambling1020ydsRTPScore",2008
73,73,"Jason Allred",63,0.348,141,49,"Scrambling1020ydsRTPScore",2008
73,73,"Rory Sabbatini",77,0.348,135,47,"Scrambling1020ydsRTPScore",2008
75,75,"Kevin Sutherland",98,0.349,195,68,"Scrambling1020ydsRTPScore",2008
76,76,"Nick Watney",96,0.351,211,74,"Scrambling1020ydsRTPScore",2008
77,77,"Brian Davis",108,0.353,266,94,"Scrambling1020ydsRTPScore",2008
77,77,"Adam Scott",51,0.353,85,30,"Scrambling1020ydsRTPScore",2008
79,79,"Charles Howell III",101,0.354,206,73,"Scrambling1020ydsRTPScore",2008
80,80,"Kenneth Ferrie",72,0.355,155,55,"Scrambling1020ydsRTPScore",2008
80,80,"Matt Jones",95,0.355,251,89,"Scrambling1020ydsRTPScore",2008
80,80,"Steve Lowery",74,0.355,200,71,"Scrambling1020ydsRTPScore",2008
80,80,"Patrick Sheehan",124,0.355,273,97,"Scrambling1020ydsRTPScore",2008
84,84,"Marco Dawson",64,0.356,146,52,"Scrambling1020ydsRTPScore",2008
84,84,"Jim Furyk",95,0.356,188,67,"Scrambling1020ydsRTPScore",2008
86,86,"Jeff Maggert",86,0.359,192,69,"Scrambling1020ydsRTPScore",2008
87,87,"Doug LaBelle II",65,0.362,127,46,"Scrambling1020ydsRTPScore",2008
88,88,"Todd Hamilton",92,0.363,193,70,"Scrambling1020ydsRTPScore",2008
88,88,"Matt Kuchar",88,0.363,182,66,"Scrambling1020ydsRTPScore",2008
90,90,"Aaron Baddeley",76,0.364,151,55,"Scrambling1020ydsRTPScore",2008
90,90,"Geoff Ogilvy",65,0.364,132,48,"Scrambling1020ydsRTPScore",2008
90,90,"Brett Rumford",72,0.364,165,60,"Scrambling1020ydsRTPScore",2008
93,93,"DJ Trahan",94,0.365,200,73,"Scrambling1020ydsRTPScore",2008
94,94,"Fred Couples",60,0.366,131,48,"Scrambling1020ydsRTPScore",2008
94,94,"Ben Crane",86,0.366,183,67,"Scrambling1020ydsRTPScore",2008
94,94,"JJ Henry",108,0.366,227,83,"Scrambling1020ydsRTPScore",2008
94,94,"Peter Lonard",92,0.366,213,78,"Scrambling1020ydsRTPScore",2008
94,94,"Nicholas Thompson",113,0.366,284,104,"Scrambling1020ydsRTPScore",2008
99,99,"Rocco Mediate",87,0.367,196,72,"Scrambling1020ydsRTPScore",2008
99,99,"Jin Park",85,0.367,199,73,"Scrambling1020ydsRTPScore",2008
101,101,"Hunter Mahan",87,0.368,144,53,"Scrambling1020ydsRTPScore",2008
102,102,"Brad Adamonis",87,0.369,195,72,"Scrambling1020ydsRTPScore",2008
102,102,"Ken Duke",116,0.369,274,101,"Scrambling1020ydsRTPScore",2008
102,102,"Jeff Overton",103,0.369,236,87,"Scrambling1020ydsRTPScore",2008
105,105,"Harrison Frazar",73,0.37,135,50,"Scrambling1020ydsRTPScore",2008
105,105,"Zach Johnson",85,0.37,165,61,"Scrambling1020ydsRTPScore",2008
105,105,"Jerry Kelly",89,0.37,173,64,"Scrambling1020ydsRTPScore",2008
108,108,"Alejandro Canizares",52,0.371,105,39,"Scrambling1020ydsRTPScore",2008
108,108,"Kenny Perry",97,0.371,248,92,"Scrambling1020ydsRTPScore",2008
110,110,"Ben Curtis",80,0.372,172,64,"Scrambling1020ydsRTPScore",2008
110,110,"David Toms",70,0.372,145,54,"Scrambling1020ydsRTPScore",2008
112,112,"Parker McLachlin",88,0.373,185,69,"Scrambling1020ydsRTPScore",2008
113,113,"Chris DiMarco",87,0.376,218,82,"Scrambling1020ydsRTPScore",2008
113,113,"John Huston",56,0.376,101,38,"Scrambling1020ydsRTPScore",2008
113,113,"John Mallinger",95,0.376,263,99,"Scrambling1020ydsRTPScore",2008
116,116,"Kent Jones",68,0.377,122,46,"Scrambling1020ydsRTPScore",2008
117,117,"Rich Beem",90,0.379,195,74,"Scrambling1020ydsRTPScore",2008
117,117,"Todd Demsey",80,0.379,203,77,"Scrambling1020ydsRTPScore",2008
117,117,"Bob Sowards",61,0.379,132,50,"Scrambling1020ydsRTPScore",2008
117,117,"Johnson Wagner",83,0.379,177,67,"Scrambling1020ydsRTPScore",2008
117,117,"Bubba Watson",97,0.379,182,69,"Scrambling1020ydsRTPScore",2008
122,122,"Jeff Gove",50,0.38,100,38,"Scrambling1020ydsRTPScore",2008
122,122,"Anthony Kim",81,0.38,163,62,"Scrambling1020ydsRTPScore",2008
122,122,"Ted Purdy",68,0.38,142,54,"Scrambling1020ydsRTPScore",2008
125,125,"Lucas Glover",91,0.381,210,80,"Scrambling1020ydsRTPScore",2008
125,125,"Boo Weekley",86,0.381,147,56,"Scrambling1020ydsRTPScore",2008
127,127,"Jason Day",81,0.382,220,84,"Scrambling1020ydsRTPScore",2008
127,127,"David Lutterus",59,0.382,131,50,"Scrambling1020ydsRTPScore",2008
129,129,"Woody Austin",109,0.383,188,72,"Scrambling1020ydsRTPScore",2008
130,130,"John Senden",93,0.384,185,71,"Scrambling1020ydsRTPScore",2008
131,131,"David Duval",51,0.385,104,40,"Scrambling1020ydsRTPScore",2008
132,132,"Cameron Beckman",87,0.386,197,76,"Scrambling1020ydsRTPScore",2008
132,132,"Michael Letzig",88,0.386,215,83,"Scrambling1020ydsRTPScore",2008
134,134,"James Driscoll",85,0.387,204,79,"Scrambling1020ydsRTPScore",2008
134,134,"John Merrick",98,0.387,163,63,"Scrambling1020ydsRTPScore",2008
134,134,"Sean OHair",81,0.387,181,70,"Scrambling1020ydsRTPScore",2008
134,134,"Heath Slocum",104,0.387,217,84,"Scrambling1020ydsRTPScore",2008
138,138,"Michael Allen",91,0.388,209,81,"Scrambling1020ydsRTPScore",2008
138,138,"Ryan Palmer",69,0.388,147,57,"Scrambling1020ydsRTPScore",2008
138,138,"Bo Van Pelt",101,0.388,245,95,"Scrambling1020ydsRTPScore",2008
141,141,"Frank Lickliter II",107,0.389,247,96,"Scrambling1020ydsRTPScore",2008
