"SpinRate_RANKTHISWEEK_2011","SpinRate_RANKLASTWEEK_2011","SpinRate_PLAYERNAME_2011","SpinRate_ROUNDS_2011","SpinRate_AVG_2011","SpinRate_TOTALSPINSPEED_2011","SpinRate_TOTALATTEMPTS_2011","SpinRate_HIGHESTSPINRATE_2011","SpinRate_LOWESTSPINRATE_2011","stat_name","year"
75,75,"Jerry Kelly",85,2710.7,170777,63,3638,1978,"SpinRate",2011
76,76,"Woody Austin",59,2708.9,92103,34,3371,2142,"SpinRate",2011
77,77,"Justin Rose",79,2705.6,167747,62,3938,1797,"SpinRate",2011
78,78,"Troy Merritt",63,2702.1,116190,43,3493,2078,"SpinRate",2011
79,79,"Tim Herron",85,2699.8,159286,59,3649,1823,"SpinRate",2011
80,80,"Steven Bowditch",86,2698.2,143002,53,3619,1828,"SpinRate",2011
81,81,"Paul Goydos",81,2696.5,153703,57,3595,1721,"SpinRate",2011
82,82,"JB Holmes",57,2696.3,94371,35,3777,1686,"SpinRate",2011
83,83,"Robert Karlsson",61,2689.7,96828,36,3988,1551,"SpinRate",2011
84,84,"Rod Pampling",72,2689.5,112957,42,3801,2081,"SpinRate",2011
85,85,"John Rollins",85,2689.3,166737,62,3553,1598,"SpinRate",2011
86,86,"Steve Flesch",88,2685.5,150386,56,3906,1700,"SpinRate",2011
87,87,"Jim Renner",65,2682.3,109974,41,3824,1711,"SpinRate",2011
88,88,"Tim Petrovic",88,2680.5,158147,59,3827,1579,"SpinRate",2011
89,89,"Ricky Barnes",78,2675.8,144491,54,3636,1821,"SpinRate",2011
90,90,"Briny Baird",60,2675.5,98995,37,3876,1799,"SpinRate",2011
91,91,"Rocco Mediate",53,2675.4,109693,41,3294,1511,"SpinRate",2011
92,92,"Andres Gonzales",60,2673.6,90904,34,3602,1680,"SpinRate",2011
93,93,"Jarrod Lyle",83,2673.5,125654,47,3656,1602,"SpinRate",2011
94,94,"Vaughn Taylor",89,2671.2,181639,68,3387,1813,"SpinRate",2011
95,95,"Tag Ridings",87,2670.6,128190,48,3644,1719,"SpinRate",2011
96,96,"Josh Teater",104,2664.4,167859,63,3846,1705,"SpinRate",2011
97,97,"Jason Day",76,2660.4,117058,44,3964,1949,"SpinRate",2011
98,98,"Ryan Moore",79,2659.2,140940,53,3940,1881,"SpinRate",2011
99,99,"Brandt Jobe",100,2656.1,148741,56,3619,1854,"SpinRate",2011
100,100,"Harrison Frazar",58,2655.9,103580,39,3427,2065,"SpinRate",2011
101,101,"Martin Laird",77,2654.8,135396,51,3496,1770,"SpinRate",2011
102,102,"Kevin Kisner",70,2653.9,124732,47,3772,1703,"SpinRate",2011
103,103,"Charl Schwartzel",58,2651.8,87508,33,3687,1735,"SpinRate",2011
104,104,"Davis Love III",70,2641.8,92462,35,3733,1752,"SpinRate",2011
105,105,"Garrett Willis",71,2636.8,110746,42,3389,1615,"SpinRate",2011
106,106,"Troy Matteson",91,2631.4,163149,62,3865,1603,"SpinRate",2011
107,107,"Kyle Stanley",98,2629.3,163018,62,3801,1756,"SpinRate",2011
108,108,"Nate Smith",66,2625.3,94509,36,3994,1763,"SpinRate",2011
109,109,"Webb Simpson",98,2623.2,194114,74,3602,1914,"SpinRate",2011
110,110,"Retief Goosen",50,2619.2,96909,37,3407,1571,"SpinRate",2011
111,111,"Chez Reavie",92,2615.1,180445,69,3524,1893,"SpinRate",2011
112,112,"Fabian Gomez",84,2614.9,99365,38,3547,1717,"SpinRate",2011
113,113,"Derek Lamely",65,2613,101906,39,3749,1934,"SpinRate",2011
114,114,"Bio Kim",71,2610.9,96602,37,3762,1745,"SpinRate",2011
115,115,"Lee Janzen",62,2608.6,99127,38,3697,2005,"SpinRate",2011
116,116,"Gary Woodland",93,2603.4,109344,42,3890,1812,"SpinRate",2011
117,117,"Mark Wilson",89,2600.9,148254,57,3704,1903,"SpinRate",2011
118,118,"Padraig Harrington",60,2598.9,85764,33,3967,1674,"SpinRate",2011
119,119,"Chris Stroud",88,2594.6,160865,62,3503,1755,"SpinRate",2011
120,120,"Alexandre Rocha",65,2590.8,98449,38,3392,1502,"SpinRate",2011
121,121,"JJ Henry",96,2589,157926,61,3655,1522,"SpinRate",2011
122,122,"Jason Bohn",74,2582.6,152376,59,3501,1678,"SpinRate",2011
123,123,"Alex Prugh",82,2581.5,134238,52,3270,1645,"SpinRate",2011
124,124,"Jason Dufner",78,2580.3,129013,50,3863,1572,"SpinRate",2011
125,125,"Jim Furyk",87,2580,162539,63,3741,1584,"SpinRate",2011
126,126,"Dustin Johnson",72,2578.2,113440,44,3841,1893,"SpinRate",2011
127,127,"Rich Beem",53,2576.7,97915,38,3203,1741,"SpinRate",2011
128,128,"Stephen Ames",69,2576.4,108208,42,3626,1813,"SpinRate",2011
129,129,"Ian Poulter",52,2574.9,79821,31,3544,2163,"SpinRate",2011
130,130,"Marc Leishman",87,2569.6,172166,67,3407,1725,"SpinRate",2011
131,131,"Rory Sabbatini",85,2564.7,135929,53,3474,1886,"SpinRate",2011
132,132,"Ben Crane",76,2560.6,145955,57,3601,1603,"SpinRate",2011
133,133,"Bill Lunde",92,2559.5,176603,69,3337,1690,"SpinRate",2011
134,134,"Cameron Beckman",71,2558.5,120250,47,3183,1719,"SpinRate",2011
135,135,"Jeff Overton",92,2555.5,135439,53,3310,1883,"SpinRate",2011
136,136,"Matt McQuillan",59,2552.5,84232,33,3614,1965,"SpinRate",2011
137,137,"Aron Price",58,2550,94349,37,3240,1739,"SpinRate",2011
138,138,"Stewart Cink",72,2542.9,101716,40,3619,1733,"SpinRate",2011
139,139,"Michael Putnam",67,2542.2,96605,38,3277,1767,"SpinRate",2011
140,140,"Zach Johnson",79,2540,142242,56,3655,1760,"SpinRate",2011
141,141,"Phil Mickelson",79,2535.3,101410,40,3912,1852,"SpinRate",2011
142,142,"Brandt Snedeker",85,2532.6,149421,59,3785,1952,"SpinRate",2011
143,143,"Bo Van Pelt",92,2531.6,154427,61,3779,1762,"SpinRate",2011
144,144,"KJ Choi",77,2527.1,126357,50,3381,1829,"SpinRate",2011
145,145,"Scott Piercy",78,2513.7,115628,46,3332,1542,"SpinRate",2011
146,146,"Heath Slocum",89,2512.7,173376,69,3698,1786,"SpinRate",2011
147,147,"Billy Horschel",75,2500.1,132504,53,3116,1566,"SpinRate",2011
148,148,"Hunter Mahan",92,2489,154317,62,3978,1685,"SpinRate",2011
149,149,"Vijay Singh",79,2480.9,148852,60,3711,1603,"SpinRate",2011
150,150,"Alex Cejka",59,2476,89135,36,3223,1625,"SpinRate",2011
151,151,"Joe Ogilvie",75,2473.2,113767,46,3044,1570,"SpinRate",2011
152,152,"Scott Gutschewski",67,2472.8,71711,29,3427,1610,"SpinRate",2011
153,153,"Steve Elkington",50,2472.1,71691,29,2994,1702,"SpinRate",2011
153,153,"Tommy Gainey",104,2472.1,168101,68,3564,1554,"SpinRate",2011
155,155,"David Hearn",88,2465.1,125722,51,3556,1651,"SpinRate",2011
156,156,"Nick OHern",89,2455,127662,52,3536,1553,"SpinRate",2011
157,157,"David Duval",67,2453.5,107954,44,3636,1761,"SpinRate",2011
158,158,"Matt Bettencourt",84,2452.9,164342,67,3785,1621,"SpinRate",2011
159,159,"Sean OHair",71,2451.7,105425,43,3259,1512,"SpinRate",2011
160,160,"Spencer Levin",113,2449.1,168989,69,3553,1617,"SpinRate",2011
161,161,"Matt Kuchar",94,2444.8,158914,65,3527,1764,"SpinRate",2011
162,162,"DJ Trahan",91,2441.8,163598,67,3728,1823,"SpinRate",2011
163,163,"Justin Leonard",82,2441.4,136719,56,3684,1646,"SpinRate",2011
164,164,"Brian Gay",90,2441.3,161123,66,3106,1595,"SpinRate",2011
165,165,"Jim Herman",69,2426.1,94618,39,3984,1766,"SpinRate",2011
166,166,"Justin Hicks",60,2422.7,70259,29,3814,1548,"SpinRate",2011
167,167,"Anthony Kim",72,2415.3,101442,42,3728,1555,"SpinRate",2011
168,168,"Camilo Villegas",69,2406.2,120309,50,3625,1804,"SpinRate",2011
169,169,"Robert Allenby",84,2395.6,146132,61,3922,1813,"SpinRate",2011
170,170,"Sung Kang",63,2393.1,83760,35,3207,1648,"SpinRate",2011
171,171,"Chris Riley",76,2389.9,121885,51,3287,1751,"SpinRate",2011
172,172,"Keegan Bradley",91,2383,126299,53,3945,1620,"SpinRate",2011
173,173,"DJ Brigman",67,2363.6,89815,38,3556,1688,"SpinRate",2011
174,174,"JP Hayes",56,2346.5,77434,33,3949,1644,"SpinRate",2011
175,175,"Martin Piller",63,2341.9,84309,36,3381,1686,"SpinRate",2011
176,176,"Michael Thompson",79,2333.9,102690,44,3075,1677,"SpinRate",2011
177,177,"Brian Davis",105,2333,186638,80,3368,1674,"SpinRate",2011
178,178,"Chris Kirk",87,2328.5,149027,64,3734,1737,"SpinRate",2011
179,179,"David Toms",78,2324.5,113902,49,3644,1628,"SpinRate",2011
180,180,"Kevin Chappell",78,2309.4,110849,48,3578,1523,"SpinRate",2011
181,181,"Shane Bertsch",62,2284.1,93650,41,3345,1638,"SpinRate",2011
182,182,"Ryan Palmer",82,2283,109582,48,3668,1618,"SpinRate",2011
183,183,"Robert Garrigus",83,2269.1,106649,47,3511,1502,"SpinRate",2011
184,184,"Arjun Atwal",91,2263.1,131259,58,3389,1575,"SpinRate",2011
185,185,"Ernie Els",71,2225.8,80128,36,3351,1755,"SpinRate",2011
186,186,"Carl Pettersson",95,2122.5,137962,65,3645,1513,"SpinRate",2011
