"SandSavePercentage_RANKTHISWEEK_2008","SandSavePercentage_RANKLASTWEEK_2008","SandSavePercentage_PLAYERNAME_2008","SandSavePercentage_ROUNDS_2008","SandSavePercentage_Pct_2008","SandSavePercentage_SAVES_2008","SandSavePercentage_BUNKERS_2008","SandSavePercentage_TOTALOUPAR_2008","stat_name","year"
1,1,"Dudley Hart",74,63.71,79,124,28,"SandSavePercentage",2008
2,2,"Corey Pavin",69,63.11,65,103,37,"SandSavePercentage",2008
3,3,"Phil Mickelson",80,62.5,80,128,20,"SandSavePercentage",2008
4,4,"Mike Weir",88,62.09,95,153,39,"SandSavePercentage",2008
5,5,"Daniel Chopra",84,61.64,98,159,45,"SandSavePercentage",2008
6,6,"Mark Wilson",107,60.14,86,143,46,"SandSavePercentage",2008
7,7,"Gavin Coles",54,59.42,41,69,26,"SandSavePercentage",2008
8,8,"Craig Kanada",65,58.43,52,89,31,"SandSavePercentage",2008
9,9,"Padraig Harrington",52,58.06,54,93,23,"SandSavePercentage",2008
9,9,"Ian Poulter",51,58.06,54,93,29,"SandSavePercentage",2008
11,11,"Brenden Pappas",66,57.65,49,85,22,"SandSavePercentage",2008
12,12,"Kevin Na",97,57.54,103,179,53,"SandSavePercentage",2008
13,13,"Adam Scott",51,57.47,50,87,14,"SandSavePercentage",2008
14,14,"Ben Curtis",80,57.43,85,148,52,"SandSavePercentage",2008
15,15,"Chris Riley",51,57.35,39,68,19,"SandSavePercentage",2008
16,16,"Ryuji Imada",80,57.24,87,152,51,"SandSavePercentage",2008
17,17,"Brian Davis",108,57.23,95,166,50,"SandSavePercentage",2008
18,18,"Ted Purdy",68,57.14,48,84,14,"SandSavePercentage",2008
19,19,"Freddie Jacobson",78,57.04,81,142,45,"SandSavePercentage",2008
20,20,"Sergio Garcia",72,57.02,69,121,23,"SandSavePercentage",2008
21,21,"Jin Park",85,56.88,62,109,47,"SandSavePercentage",2008
22,22,"Brian Gay",102,56.71,93,164,69,"SandSavePercentage",2008
23,23,"Marco Dawson",64,56.57,56,99,49,"SandSavePercentage",2008
24,24,"Stuart Appleby",87,56.3,76,135,42,"SandSavePercentage",2008
24,24,"JP Hayes",67,56.3,67,119,49,"SandSavePercentage",2008
26,26,"Briny Baird",113,56.25,90,160,46,"SandSavePercentage",2008
27,27,"Richard Johnson",77,56.03,79,141,40,"SandSavePercentage",2008
28,28,"Tom Scherrer",56,56,28,50,18,"SandSavePercentage",2008
29,29,"Pat Perez",93,55.8,77,138,38,"SandSavePercentage",2008
30,30,"Bob Tway",70,55.56,45,81,24,"SandSavePercentage",2008
31,31,"Chad Collins",72,55.34,57,103,37,"SandSavePercentage",2008
32,32,"Joe Ogilvie",100,55.28,89,161,46,"SandSavePercentage",2008
33,33,"Justin Leonard",101,55.17,80,145,49,"SandSavePercentage",2008
34,34,"Glen Day",64,54.95,50,91,28,"SandSavePercentage",2008
35,35,"Camilo Villegas",79,54.61,77,141,36,"SandSavePercentage",2008
36,36,"Billy Mayfair",103,54.6,95,174,56,"SandSavePercentage",2008
36,36,"Kevin Sutherland",98,54.6,89,163,33,"SandSavePercentage",2008
38,38,"Tim Clark",90,54.55,90,165,56,"SandSavePercentage",2008
39,39,"Rich Beem",90,54.49,85,156,43,"SandSavePercentage",2008
40,40,"Ernie Els",51,54.37,56,103,23,"SandSavePercentage",2008
41,41,"Carlos Franco",73,54.21,58,107,29,"SandSavePercentage",2008
42,42,"Jeff Gove",50,54.17,26,48,18,"SandSavePercentage",2008
42,42,"Geoff Ogilvy",65,54.17,65,120,52,"SandSavePercentage",2008
44,44,"Parker McLachlin",88,54.05,80,148,51,"SandSavePercentage",2008
45,45,"Vaughn Taylor",103,54.04,87,161,63,"SandSavePercentage",2008
46,46,"Heath Slocum",104,53.95,82,152,60,"SandSavePercentage",2008
47,47,"Jason Allred",63,53.85,49,91,31,"SandSavePercentage",2008
47,47,"Brett Rumford",72,53.85,56,104,37,"SandSavePercentage",2008
49,49,"Tom Lehman",51,53.66,44,82,29,"SandSavePercentage",2008
50,50,"Tommy Gainey",60,53.57,45,84,26,"SandSavePercentage",2008
51,51,"Robert Gamez",79,53.47,54,101,30,"SandSavePercentage",2008
52,52,"Rod Pampling",83,53.46,85,159,52,"SandSavePercentage",2008
53,53,"Scott Verplank",82,53.44,70,131,53,"SandSavePercentage",2008
