"PGAChampionshipPoints_RANKTHISWEEK_2013","PGAChampionshipPoints_RANKLASTWEEK_2013","PGAChampionshipPoints_PLAYERNAME_2013","PGAChampionshipPoints_EVENTS_2013","PGAChampionshipPoints_POINTS_2013","stat_name","year"
1,1,"Henrik Stenson",6,4184727,"PGAChampionshipPoints",2013
2,2,"Zach Johnson",6,2478617,"PGAChampionshipPoints",2013
3,3,"Tiger Woods",6,2394320,"PGAChampionshipPoints",2013
4,4,"Jason Dufner",6,2257600,"PGAChampionshipPoints",2013
5,5,"Steve Stricker",5,2133786,"PGAChampionshipPoints",2013
6,6,"Adam Scott",6,2092764,"PGAChampionshipPoints",2013
7,7,"Jim Furyk",6,2049600,"PGAChampionshipPoints",2013
8,8,"Jordan Spieth",6,1821000,"PGAChampionshipPoints",2013
9,9,"Gary Woodland",6,1361320,"PGAChampionshipPoints",2013
10,10,"Nick Watney",7,1341700,"PGAChampionshipPoints",2013
11,11,"Keegan Bradley",6,1285867,"PGAChampionshipPoints",2013
12,12,"Graham DeLaet",5,1257600,"PGAChampionshipPoints",2013
13,13,"Justin Rose",6,1113838,"PGAChampionshipPoints",2013
14,14,"Patrick Reed",4,987520,"PGAChampionshipPoints",2013
15,15,"Jason Day",6,956892,"PGAChampionshipPoints",2013
16,16,"Webb Simpson",7,880314,"PGAChampionshipPoints",2013
17,17,"Sergio Garcia",7,793317,"PGAChampionshipPoints",2013
18,18,"Roberto Castro",6,771019,"PGAChampionshipPoints",2013
19,19,"Matt Kuchar",6,758900,"PGAChampionshipPoints",2013
20,20,"Hunter Mahan",5,696467,"PGAChampionshipPoints",2013
21,21,"Luke Donald",6,679950,"PGAChampionshipPoints",2013
22,22,"Dustin Johnson",6,664620,"PGAChampionshipPoints",2013
23,23,"Phil Mickelson",6,634983,"PGAChampionshipPoints",2013
24,24,"Brendon de Jonge",6,615068,"PGAChampionshipPoints",2013
25,25,"Rory Sabbatini",5,604548,"PGAChampionshipPoints",2013
26,26,"Charl Schwartzel",6,578067,"PGAChampionshipPoints",2013
27,27,"Bill Haas",7,573267,"PGAChampionshipPoints",2013
28,28,"Scott Piercy",5,545457,"PGAChampionshipPoints",2013
29,29,"John Huh",5,537000,"PGAChampionshipPoints",2013
30,30,"Matt Jones",5,497650,"PGAChampionshipPoints",2013
31,31,"DA Points",6,493350,"PGAChampionshipPoints",2013
32,32,"Brandt Snedeker",7,488177,"PGAChampionshipPoints",2013
33,33,"Jonas Blixt",5,485781,"PGAChampionshipPoints",2013
34,34,"Kevin Streelman",6,482402,"PGAChampionshipPoints",2013
35,35,"Matt Every",5,451370,"PGAChampionshipPoints",2013
36,36,"Billy Horschel",6,441660,"PGAChampionshipPoints",2013
37,37,"Boo Weekley",7,425726,"PGAChampionshipPoints",2013
38,38,"Rickie Fowler",5,415133,"PGAChampionshipPoints",2013
39,39,"Rory McIlroy",5,411857,"PGAChampionshipPoints",2013
40,40,"Kevin Stadler",6,399207,"PGAChampionshipPoints",2013
41,41,"David Toms",3,387650,"PGAChampionshipPoints",2013
42,42,"Brian Harman",4,379400,"PGAChampionshipPoints",2013
43,43,"Brendan Steele",5,378040,"PGAChampionshipPoints",2013
44,44,"Miguel Angel Jimenez",2,370167,"PGAChampionshipPoints",2013
45,45,"Ian Poulter",5,337564,"PGAChampionshipPoints",2013
46,46,"Ryan Moore",5,334600,"PGAChampionshipPoints",2013
47,47,"Bubba Watson",5,318020,"PGAChampionshipPoints",2013
48,48,"Marc Leishman",4,305426,"PGAChampionshipPoints",2013
49,49,"David Lynn",6,300675,"PGAChampionshipPoints",2013
50,50,"Brian Davis",4,290267,"PGAChampionshipPoints",2013
51,51,"Martin Kaymer",5,282045,"PGAChampionshipPoints",2013
52,52,"Hideki Matsuyama",3,269733,"PGAChampionshipPoints",2013
53,53,"Jonathan Byrd",2,264000,"PGAChampionshipPoints",2013
53,53,"Andres Romero",3,264000,"PGAChampionshipPoints",2013
55,55,"Daniel Summerhays",4,263200,"PGAChampionshipPoints",2013
56,56,"John Merrick",5,249773,"PGAChampionshipPoints",2013
57,57,"Jason Kokrak",5,248304,"PGAChampionshipPoints",2013
58,58,"Kevin Chappell",5,236202,"PGAChampionshipPoints",2013
59,59,"Graeme McDowell",5,233112,"PGAChampionshipPoints",2013
60,60,"Ernie Els",6,229670,"PGAChampionshipPoints",2013
61,61,"Lee Westwood",5,228301,"PGAChampionshipPoints",2013
62,62,"Chris Kirk",5,219418,"PGAChampionshipPoints",2013
63,63,"Chris Wood",2,205000,"PGAChampionshipPoints",2013
64,64,"Jimmy Walker",5,194320,"PGAChampionshipPoints",2013
65,65,"Bryce Molder",5,194314,"PGAChampionshipPoints",2013
66,66,"Bob Estes",3,192207,"PGAChampionshipPoints",2013
67,67,"Harris English",5,191777,"PGAChampionshipPoints",2013
68,68,"Michael Thompson",5,191384,"PGAChampionshipPoints",2013
69,69,"Robert Garrigus",4,175350,"PGAChampionshipPoints",2013
70,70,"Andres Gonzales",2,153700,"PGAChampionshipPoints",2013
71,71,"Richard Sterne",2,145750,"PGAChampionshipPoints",2013
72,72,"Brian Gay",5,139180,"PGAChampionshipPoints",2013
73,73,"Marc Warren",1,132786,"PGAChampionshipPoints",2013
74,74,"Nicholas Thompson",4,131532,"PGAChampionshipPoints",2013
75,75,"David Hearn",4,127395,"PGAChampionshipPoints",2013
76,76,"David Mathis",2,124918,"PGAChampionshipPoints",2013
77,77,"Chris Stroud",5,124313,"PGAChampionshipPoints",2013
78,78,"Russell Henley",5,123420,"PGAChampionshipPoints",2013
79,79,"Jim Herman",2,122960,"PGAChampionshipPoints",2013
80,80,"Kiradech Aphibarnrat",2,120250,"PGAChampionshipPoints",2013
81,81,"Dicky Pride",2,114000,"PGAChampionshipPoints",2013
82,82,"Charley Hoffman",4,113570,"PGAChampionshipPoints",2013
83,83,"Paul Casey",3,112071,"PGAChampionshipPoints",2013
84,84,"Stuart Appleby",4,110075,"PGAChampionshipPoints",2013
85,85,"Peter Hanson",3,106571,"PGAChampionshipPoints",2013
86,86,"Angel Cabrera",5,104404,"PGAChampionshipPoints",2013
87,87,"Martin Flores",3,100470,"PGAChampionshipPoints",2013
88,88,"Bo Van Pelt",4,99264,"PGAChampionshipPoints",2013
89,89,"Chris DiMarco",2,99177,"PGAChampionshipPoints",2013
90,90,"Brendon Todd",2,98810,"PGAChampionshipPoints",2013
91,91,"Seung Yul Noh",2,96750,"PGAChampionshipPoints",2013
92,92,"Camilo Villegas",4,96288,"PGAChampionshipPoints",2013
93,93,"Francesco Molinari",2,96071,"PGAChampionshipPoints",2013
94,94,"Charles Howell III",5,95098,"PGAChampionshipPoints",2013
95,95,"Jamie Donaldson",2,93000,"PGAChampionshipPoints",2013
96,96,"Ryo Ishikawa",3,89310,"PGAChampionshipPoints",2013
97,97,"KJ Choi",4,86175,"PGAChampionshipPoints",2013
98,98,"Charlie Wi",3,83448,"PGAChampionshipPoints",2013
99,99,"Henrik Norlander",2,82150,"PGAChampionshipPoints",2013
100,100,"Thorbjorn Olesen",2,81000,"PGAChampionshipPoints",2013
100,100,"Johnson Wagner",3,81000,"PGAChampionshipPoints",2013
102,102,"Sangmoon Bae",6,79452,"PGAChampionshipPoints",2013
