"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2007","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2007","FirstTeeEarlyScoringAverage_PLAYERNAME_2007","FirstTeeEarlyScoringAverage_ROUNDS_2007","FirstTeeEarlyScoringAverage_AVG_2007","FirstTeeEarlyScoringAverage_TOTALSTROKES_2007","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2007","stat_name","year"
1,1,"Padraig Harrington",64,69,759,11,"FirstTeeEarlyScoringAverage",2007
2,2,"Justin Rose",63,69.29,1178,17,"FirstTeeEarlyScoringAverage",2007
3,3,"Alex Cejka",80,69.52,2016,29,"FirstTeeEarlyScoringAverage",2007
4,4,"Scott Verplank",82,69.57,1600,23,"FirstTeeEarlyScoringAverage",2007
5,5,"Jeff Overton",60,69.62,1462,21,"FirstTeeEarlyScoringAverage",2007
6,6,"Heath Slocum",101,70,2380,34,"FirstTeeEarlyScoringAverage",2007
7,7,"Anthony Kim",93,70.03,2031,29,"FirstTeeEarlyScoringAverage",2007
8,8,"Vijay Singh",102,70.04,1681,24,"FirstTeeEarlyScoringAverage",2007
9,9,"Geoff Ogilvy",84,70.09,1542,22,"FirstTeeEarlyScoringAverage",2007
9,9,"Brandt Snedeker",105,70.09,2243,32,"FirstTeeEarlyScoringAverage",2007
11,11,"Stephen Leaney",82,70.1,1472,21,"FirstTeeEarlyScoringAverage",2007
12,12,"Rocco Mediate",72,70.12,1823,26,"FirstTeeEarlyScoringAverage",2007
13,13,"Jesper Parnevik",88,70.17,2105,30,"FirstTeeEarlyScoringAverage",2007
14,14,"Lucas Glover",98,70.18,1965,28,"FirstTeeEarlyScoringAverage",2007
15,15,"Bo Van Pelt",104,70.19,2597,37,"FirstTeeEarlyScoringAverage",2007
16,16,"Briny Baird",115,70.22,2528,36,"FirstTeeEarlyScoringAverage",2007
17,17,"Hunter Mahan",91,70.24,2037,29,"FirstTeeEarlyScoringAverage",2007
18,18,"Matt Kuchar",85,70.25,1967,28,"FirstTeeEarlyScoringAverage",2007
18,18,"Tiger Woods",63,70.25,562,8,"FirstTeeEarlyScoringAverage",2007
20,20,"Rod Pampling",92,70.26,2178,31,"FirstTeeEarlyScoringAverage",2007
21,21,"JP Hayes",89,70.28,2038,29,"FirstTeeEarlyScoringAverage",2007
21,21,"Sean OHair",98,70.28,2249,32,"FirstTeeEarlyScoringAverage",2007
21,21,"Darron Stiles",65,70.28,1265,18,"FirstTeeEarlyScoringAverage",2007
24,24,"Chris Riley",59,70.31,914,13,"FirstTeeEarlyScoringAverage",2007
25,25,"Steve Allan",63,70.33,1055,15,"FirstTeeEarlyScoringAverage",2007
25,25,"Bart Bryant",87,70.33,1899,27,"FirstTeeEarlyScoringAverage",2007
27,27,"Tim Clark",66,70.35,1196,17,"FirstTeeEarlyScoringAverage",2007
28,28,"Stewart Cink",91,70.36,1970,28,"FirstTeeEarlyScoringAverage",2007
29,29,"Charlie Wi",90,70.38,1478,21,"FirstTeeEarlyScoringAverage",2007
30,30,"Pat Perez",84,70.41,2042,29,"FirstTeeEarlyScoringAverage",2007
31,31,"Dicky Pride",71,70.44,1127,16,"FirstTeeEarlyScoringAverage",2007
32,32,"Ted Purdy",102,70.48,2044,29,"FirstTeeEarlyScoringAverage",2007
32,32,"David Toms",80,70.48,1762,25,"FirstTeeEarlyScoringAverage",2007
34,34,"Bill Haas",93,70.5,1974,28,"FirstTeeEarlyScoringAverage",2007
35,35,"Johnson Wagner",97,70.52,2327,33,"FirstTeeEarlyScoringAverage",2007
36,36,"Kenny Perry",83,70.54,1975,28,"FirstTeeEarlyScoringAverage",2007
37,37,"Boo Weekley",101,70.55,2681,38,"FirstTeeEarlyScoringAverage",2007
38,38,"Jeff Gove",103,70.56,2258,32,"FirstTeeEarlyScoringAverage",2007
38,38,"Doug LaBelle II",104,70.56,2399,34,"FirstTeeEarlyScoringAverage",2007
40,40,"Freddie Jacobson",70,70.57,988,14,"FirstTeeEarlyScoringAverage",2007
41,41,"Mark Calcavecchia",93,70.58,2541,36,"FirstTeeEarlyScoringAverage",2007
41,41,"Steve Stricker",81,70.58,1694,24,"FirstTeeEarlyScoringAverage",2007
43,43,"Jim Furyk",84,70.59,1200,17,"FirstTeeEarlyScoringAverage",2007
43,43,"Vaughn Taylor",91,70.59,2259,32,"FirstTeeEarlyScoringAverage",2007
45,45,"Brian Gay",107,70.6,2118,30,"FirstTeeEarlyScoringAverage",2007
45,45,"JJ Henry",86,70.6,2471,35,"FirstTeeEarlyScoringAverage",2007
45,45,"Steve Marino",106,70.6,2118,30,"FirstTeeEarlyScoringAverage",2007
48,48,"Kent Jones",97,70.62,2613,37,"FirstTeeEarlyScoringAverage",2007
49,49,"Mark Wilson",87,70.63,2260,32,"FirstTeeEarlyScoringAverage",2007
50,50,"Tim Petrovic",106,70.64,2543,36,"FirstTeeEarlyScoringAverage",2007
51,51,"Justin Leonard",95,70.7,2616,37,"FirstTeeEarlyScoringAverage",2007
51,51,"Kevin Na",84,70.7,1909,27,"FirstTeeEarlyScoringAverage",2007
53,53,"Cliff Kresge",107,70.71,2475,35,"FirstTeeEarlyScoringAverage",2007
54,54,"Tom Pernice Jr",104,70.72,2051,29,"FirstTeeEarlyScoringAverage",2007
54,54,"John Rollins",102,70.72,2758,39,"FirstTeeEarlyScoringAverage",2007
54,54,"Nick Watney",87,70.72,2051,29,"FirstTeeEarlyScoringAverage",2007
57,57,"Bob Heintz",85,70.73,1839,26,"FirstTeeEarlyScoringAverage",2007
58,58,"Jonathan Byrd",73,70.74,1627,23,"FirstTeeEarlyScoringAverage",2007
58,58,"Will Ma Kenzie",100,70.74,2405,34,"FirstTeeEarlyScoringAverage",2007
60,60,"Rich Barcelo",80,70.76,1769,25,"FirstTeeEarlyScoringAverage",2007
60,60,"KJ Choi",87,70.76,1486,21,"FirstTeeEarlyScoringAverage",2007
62,62,"Mark Brooks",53,70.77,920,13,"FirstTeeEarlyScoringAverage",2007
63,63,"Woody Austin",95,70.79,2407,34,"FirstTeeEarlyScoringAverage",2007
64,64,"Craig Barlow",52,70.8,1416,20,"FirstTeeEarlyScoringAverage",2007
65,65,"Parker McLachlin",83,70.83,2054,29,"FirstTeeEarlyScoringAverage",2007
66,66,"Chris Couch",76,70.87,1630,23,"FirstTeeEarlyScoringAverage",2007
66,66,"Tim Herron",98,70.87,3189,45,"FirstTeeEarlyScoringAverage",2007
68,68,"Zach Johnson",76,70.89,1347,19,"FirstTeeEarlyScoringAverage",2007
68,68,"Arron Oberholser",69,70.89,1914,27,"FirstTeeEarlyScoringAverage",2007
70,70,"Tommy Armour III",81,70.93,2057,29,"FirstTeeEarlyScoringAverage",2007
70,70,"Jason Bohn",57,70.93,993,14,"FirstTeeEarlyScoringAverage",2007
72,72,"Stuart Appleby",74,70.94,1277,18,"FirstTeeEarlyScoringAverage",2007
73,73,"Daniel Chopra",106,70.97,2413,34,"FirstTeeEarlyScoringAverage",2007
73,73,"Steve Elkington",87,70.97,2058,29,"FirstTeeEarlyScoringAverage",2007
73,73,"Charley Hoffman",97,70.97,2342,33,"FirstTeeEarlyScoringAverage",2007
73,73,"Troy Matteson",87,70.97,2271,32,"FirstTeeEarlyScoringAverage",2007
77,77,"Luke Donald",69,71,1846,26,"FirstTeeEarlyScoringAverage",2007
77,77,"Frank Lickliter II",95,71,2414,34,"FirstTeeEarlyScoringAverage",2007
79,79,"Charles Warren",101,71.03,2202,31,"FirstTeeEarlyScoringAverage",2007
80,80,"Jeff Maggert",79,71.04,1634,23,"FirstTeeEarlyScoringAverage",2007
81,81,"Gavin Coles",87,71.06,2345,33,"FirstTeeEarlyScoringAverage",2007
