"BirdieorBetterPercentage200yards_RANKTHISWEEK_2010","BirdieorBetterPercentage200yards_RANKLASTWEEK_2010","BirdieorBetterPercentage200yards_PLAYERNAME_2010","BirdieorBetterPercentage200yards_ROUNDS_2010","BirdieorBetterPercentage200yards_Pct_2010","BirdieorBetterPercentage200yards_TOTALBIRDIES_2010","BirdieorBetterPercentage200yards_TOTALHOLES_2010","stat_name","year"
1,1,"Paul Stankowski",62,41.49,78,188,"BirdieorBetterPercentage200yards",2010
2,2,"Martin Flores",75,38.37,99,258,"BirdieorBetterPercentage200yards",2010
3,3,"Davis Love III",79,38.04,97,255,"BirdieorBetterPercentage200yards",2010
4,4,"Rory Sabbatini",79,37.36,102,273,"BirdieorBetterPercentage200yards",2010
5,5,"John Daly",63,37.29,66,177,"BirdieorBetterPercentage200yards",2010
6,6,"Charles Warren",64,37.14,78,210,"BirdieorBetterPercentage200yards",2010
7,7,"Phil Mickelson",76,37.04,100,270,"BirdieorBetterPercentage200yards",2010
8,8,"Charley Hoffman",85,36.14,116,321,"BirdieorBetterPercentage200yards",2010
9,9,"Pat Perez",90,35.95,119,331,"BirdieorBetterPercentage200yards",2010
10,10,"Alex Prugh",88,35.91,107,298,"BirdieorBetterPercentage200yards",2010
11,11,"Bo Van Pelt",104,35.8,126,352,"BirdieorBetterPercentage200yards",2010
12,12,"JB Holmes",100,35.77,132,369,"BirdieorBetterPercentage200yards",2010
13,13,"Martin Laird",91,35.67,117,328,"BirdieorBetterPercentage200yards",2010
14,14,"James Driscoll",78,35.62,109,306,"BirdieorBetterPercentage200yards",2010
15,15,"Troy Merritt",86,35.5,109,307,"BirdieorBetterPercentage200yards",2010
16,16,"Graham DeLaet",88,35.49,104,293,"BirdieorBetterPercentage200yards",2010
17,17,"Marc Leishman",87,35.32,95,269,"BirdieorBetterPercentage200yards",2010
18,18,"Aaron Baddeley",94,35.2,132,375,"BirdieorBetterPercentage200yards",2010
19,19,"Chris Couch",66,35,91,260,"BirdieorBetterPercentage200yards",2010
20,20,"Tom Gillis",97,34.93,124,355,"BirdieorBetterPercentage200yards",2010
21,21,"Paul Casey",64,34.86,61,175,"BirdieorBetterPercentage200yards",2010
22,22,"Bill Haas",87,34.85,107,307,"BirdieorBetterPercentage200yards",2010
23,23,"Steve Wheatcroft",74,34.38,77,224,"BirdieorBetterPercentage200yards",2010
24,24,"Sergio Garcia",58,34.31,47,137,"BirdieorBetterPercentage200yards",2010
25,25,"Brett Wetterich",54,34.18,67,196,"BirdieorBetterPercentage200yards",2010
26,26,"John Merrick",109,34.01,118,347,"BirdieorBetterPercentage200yards",2010
27,27,"DJ Trahan",92,33.93,114,336,"BirdieorBetterPercentage200yards",2010
28,28,"Camilo Villegas",78,33.86,85,251,"BirdieorBetterPercentage200yards",2010
29,29,"Brett Quigley",96,33.82,115,340,"BirdieorBetterPercentage200yards",2010
30,30,"Rory McIlroy",54,33.52,59,176,"BirdieorBetterPercentage200yards",2010
31,31,"Retief Goosen",75,33.47,79,236,"BirdieorBetterPercentage200yards",2010
32,32,"Daniel Chopra",74,33.46,85,254,"BirdieorBetterPercentage200yards",2010
33,33,"Matt Jones",89,33.44,106,317,"BirdieorBetterPercentage200yards",2010
34,34,"Josh Teater",101,33.43,113,338,"BirdieorBetterPercentage200yards",2010
35,35,"Bubba Watson",77,33.33,92,276,"BirdieorBetterPercentage200yards",2010
36,36,"Garth Mulroy",53,33.12,52,157,"BirdieorBetterPercentage200yards",2010
37,37,"Dustin Johnson",83,33.09,89,269,"BirdieorBetterPercentage200yards",2010
38,38,"Henrik Bjornstad",72,32.91,77,234,"BirdieorBetterPercentage200yards",2010
39,39,"Charles Howell III",103,32.65,111,340,"BirdieorBetterPercentage200yards",2010
40,40,"Robert Garrigus",71,32.6,74,227,"BirdieorBetterPercentage200yards",2010
41,41,"Steve Marino",81,32.54,82,252,"BirdieorBetterPercentage200yards",2010
42,42,"Scott Piercy",88,32.53,108,332,"BirdieorBetterPercentage200yards",2010
43,43,"Ted Purdy",86,32.36,100,309,"BirdieorBetterPercentage200yards",2010
44,44,"Steve Stricker",73,32.34,76,235,"BirdieorBetterPercentage200yards",2010
45,45,"Jonathan Byrd",85,32.26,100,310,"BirdieorBetterPercentage200yards",2010
46,46,"Joe Ogilvie",99,32.13,107,333,"BirdieorBetterPercentage200yards",2010
47,47,"Jason Day",82,32.06,92,287,"BirdieorBetterPercentage200yards",2010
48,48,"Matt Every",60,32.04,66,206,"BirdieorBetterPercentage200yards",2010
49,49,"John Senden",103,31.9,111,348,"BirdieorBetterPercentage200yards",2010
50,50,"Vaughn Taylor",87,31.75,100,315,"BirdieorBetterPercentage200yards",2010
51,51,"Chris Tidland",77,31.54,82,260,"BirdieorBetterPercentage200yards",2010
52,52,"Michael Letzig",84,31.51,98,311,"BirdieorBetterPercentage200yards",2010
53,53,"Lucas Glover",75,31.45,78,248,"BirdieorBetterPercentage200yards",2010
53,53,"Justin Rose",78,31.45,89,283,"BirdieorBetterPercentage200yards",2010
55,55,"John Rollins",81,31.37,96,306,"BirdieorBetterPercentage200yards",2010
56,56,"Angel Cabrera",64,31.33,73,233,"BirdieorBetterPercentage200yards",2010
57,57,"John Mallinger",78,31.28,71,227,"BirdieorBetterPercentage200yards",2010
58,58,"Matt Bettencourt",91,31.23,84,269,"BirdieorBetterPercentage200yards",2010
59,59,"Chris Stroud",90,31.21,88,282,"BirdieorBetterPercentage200yards",2010
60,60,"Stewart Cink",84,31.2,78,250,"BirdieorBetterPercentage200yards",2010
61,61,"Cameron Percy",73,31.17,72,231,"BirdieorBetterPercentage200yards",2010
62,62,"Matt Kuchar",97,31.13,99,318,"BirdieorBetterPercentage200yards",2010
63,63,"Nick Watney",91,31.09,97,312,"BirdieorBetterPercentage200yards",2010
64,64,"Jason Bohn",84,31.06,91,293,"BirdieorBetterPercentage200yards",2010
65,65,"Bill Lunde",79,31.05,77,248,"BirdieorBetterPercentage200yards",2010
65,65,"George McNeill",79,31.05,86,277,"BirdieorBetterPercentage200yards",2010
67,67,"Cameron Tringale",55,31.03,54,174,"BirdieorBetterPercentage200yards",2010
68,68,"Mathias Gronberg",61,30.98,57,184,"BirdieorBetterPercentage200yards",2010
69,69,"Andrew McLardy",52,30.97,48,155,"BirdieorBetterPercentage200yards",2010
70,70,"Kevin Stadler",86,30.92,94,304,"BirdieorBetterPercentage200yards",2010
71,71,"Kevin Streelman",90,30.91,98,317,"BirdieorBetterPercentage200yards",2010
72,72,"Steve Elkington",74,30.81,61,198,"BirdieorBetterPercentage200yards",2010
73,73,"Brendon de Jonge",114,30.75,107,348,"BirdieorBetterPercentage200yards",2010
74,74,"Robert Allenby",76,30.74,83,270,"BirdieorBetterPercentage200yards",2010
75,75,"Kenny Perry",69,30.66,65,212,"BirdieorBetterPercentage200yards",2010
76,76,"Rickie Fowler",98,30.65,95,310,"BirdieorBetterPercentage200yards",2010
77,77,"Troy Matteson",84,30.49,93,305,"BirdieorBetterPercentage200yards",2010
77,77,"Aron Price",70,30.49,75,246,"BirdieorBetterPercentage200yards",2010
79,79,"Padraig Harrington",57,30.43,56,184,"BirdieorBetterPercentage200yards",2010
80,80,"James Nitties",92,30.38,96,316,"BirdieorBetterPercentage200yards",2010
81,81,"Brian Stuard",81,30.25,72,238,"BirdieorBetterPercentage200yards",2010
82,82,"Andres Romero",73,30.16,92,305,"BirdieorBetterPercentage200yards",2010
83,83,"Bob Estes",79,30.12,75,249,"BirdieorBetterPercentage200yards",2010
84,84,"Webb Simpson",98,30,96,320,"BirdieorBetterPercentage200yards",2010
85,85,"Chris Wilson",65,29.95,56,187,"BirdieorBetterPercentage200yards",2010
86,86,"Jason Dufner",87,29.93,88,294,"BirdieorBetterPercentage200yards",2010
87,87,"KJ Choi",82,29.91,70,234,"BirdieorBetterPercentage200yards",2010
88,88,"Ryan Moore",80,29.52,80,271,"BirdieorBetterPercentage200yards",2010
89,89,"Scott McCarron",90,29.51,103,349,"BirdieorBetterPercentage200yards",2010
90,90,"Rich Barcelo",70,29.49,64,217,"BirdieorBetterPercentage200yards",2010
91,91,"Blake Adams",84,29.41,75,255,"BirdieorBetterPercentage200yards",2010
92,92,"Zach Johnson",93,29.22,90,308,"BirdieorBetterPercentage200yards",2010
93,93,"Sean OHair",84,29.2,80,274,"BirdieorBetterPercentage200yards",2010
94,94,"Ryan Palmer",84,29.18,82,281,"BirdieorBetterPercentage200yards",2010
95,95,"Boo Weekley",88,29.09,80,275,"BirdieorBetterPercentage200yards",2010
96,96,"Kevin Na",94,29.05,95,327,"BirdieorBetterPercentage200yards",2010
97,97,"Jarrod Lyle",54,28.99,49,169,"BirdieorBetterPercentage200yards",2010
98,98,"Johnson Wagner",85,28.98,82,283,"BirdieorBetterPercentage200yards",2010
99,99,"Greg Owen",69,28.7,64,223,"BirdieorBetterPercentage200yards",2010
100,100,"Adam Scott",70,28.69,68,237,"BirdieorBetterPercentage200yards",2010
101,101,"Will Ma Kenzie",72,28.52,73,256,"BirdieorBetterPercentage200yards",2010
102,102,"Derek Lamely",81,28.35,72,254,"BirdieorBetterPercentage200yards",2010
103,103,"Kris Blanks",91,28.28,84,297,"BirdieorBetterPercentage200yards",2010
104,104,"YE Yang",72,28.26,65,230,"BirdieorBetterPercentage200yards",2010
105,105,"Chad Campbell",95,28.23,83,294,"BirdieorBetterPercentage200yards",2010
106,106,"Ernie Els",72,28.21,66,234,"BirdieorBetterPercentage200yards",2010
107,107,"Hunter Mahan",85,28.1,86,306,"BirdieorBetterPercentage200yards",2010
108,108,"Mathew Goggin",85,28.05,85,303,"BirdieorBetterPercentage200yards",2010
109,109,"Steve Lowery",67,28.02,58,207,"BirdieorBetterPercentage200yards",2010
110,110,"Jeff Overton",89,28.01,79,282,"BirdieorBetterPercentage200yards",2010
111,111,"Mark Calcavecchia",50,27.94,38,136,"BirdieorBetterPercentage200yards",2010
112,112,"Mark Wilson",87,27.81,89,320,"BirdieorBetterPercentage200yards",2010
113,113,"Rod Pampling",77,27.8,77,277,"BirdieorBetterPercentage200yards",2010
114,114,"Vijay Singh",75,27.65,60,217,"BirdieorBetterPercentage200yards",2010
115,115,"David Duval",71,27.6,61,221,"BirdieorBetterPercentage200yards",2010
116,116,"JP Hayes",79,27.57,67,243,"BirdieorBetterPercentage200yards",2010
117,117,"Kevin Sutherland",86,27.56,86,312,"BirdieorBetterPercentage200yards",2010
118,118,"Alex Cejka",81,27.31,71,260,"BirdieorBetterPercentage200yards",2010
119,119,"Woody Austin",93,27.27,87,319,"BirdieorBetterPercentage200yards",2010
120,120,"Rocco Mediate",71,27.2,65,239,"BirdieorBetterPercentage200yards",2010
121,121,"Geoff Ogilvy",62,27.19,59,217,"BirdieorBetterPercentage200yards",2010
122,122,"Michael Connell",89,27.14,73,269,"BirdieorBetterPercentage200yards",2010
123,123,"Michael Sim",64,27.08,52,192,"BirdieorBetterPercentage200yards",2010
124,124,"Brenden Pappas",66,27.05,56,207,"BirdieorBetterPercentage200yards",2010
125,125,"Carl Pettersson",99,27.02,77,285,"BirdieorBetterPercentage200yards",2010
126,126,"Garrett Willis",82,27,81,300,"BirdieorBetterPercentage200yards",2010
127,127,"Cameron Beckman",68,26.96,55,204,"BirdieorBetterPercentage200yards",2010
127,127,"JJ Henry",92,26.96,79,293,"BirdieorBetterPercentage200yards",2010
129,129,"Jimmy Walker",82,26.81,74,276,"BirdieorBetterPercentage200yards",2010
