"EarlyScoringAverage_RANKTHISWEEK_2013","EarlyScoringAverage_RANKLASTWEEK_2013","EarlyScoringAverage_PLAYERNAME_2013","EarlyScoringAverage_ROUNDS_2013","EarlyScoringAverage_AVG_2013","EarlyScoringAverage_TOTALSTROKES_2013","EarlyScoringAverage_TOTALEARLYROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,68.18,750,11,"EarlyScoringAverage",2013
2,2,"Justin Rose",62,69.41,1180,17,"EarlyScoringAverage",2013
3,3,"Webb Simpson",92,69.5,2780,40,"EarlyScoringAverage",2013
4,4,"Brendon de Jonge",110,69.58,4105,59,"EarlyScoringAverage",2013
5,5,"Keegan Bradley",88,69.63,2785,40,"EarlyScoringAverage",2013
6,6,"DH Lee",65,69.67,2299,33,"EarlyScoringAverage",2013
6,6,"Charl Schwartzel",69,69.67,1881,27,"EarlyScoringAverage",2013
8,8,"Matt Kuchar",93,69.73,2859,41,"EarlyScoringAverage",2013
9,9,"Jason Day",86,69.84,2654,38,"EarlyScoringAverage",2013
9,9,"Matt Jones",83,69.84,3003,43,"EarlyScoringAverage",2013
11,11,"Billy Horschel",96,69.91,3076,44,"EarlyScoringAverage",2013
12,12,"Tiger Woods",61,69.92,1678,24,"EarlyScoringAverage",2013
13,13,"Ryan Palmer",79,69.95,2868,41,"EarlyScoringAverage",2013
14,14,"Jerry Kelly",75,69.97,2659,38,"EarlyScoringAverage",2013
14,14,"Brandt Snedeker",79,69.97,2309,33,"EarlyScoringAverage",2013
16,16,"Morgan Hoffmann",64,70,2100,30,"EarlyScoringAverage",2013
16,16,"Camilo Villegas",79,70,2940,42,"EarlyScoringAverage",2013
18,18,"Bryce Molder",82,70.06,3293,47,"EarlyScoringAverage",2013
19,19,"Roberto Castro",97,70.07,3153,45,"EarlyScoringAverage",2013
19,19,"Chris Kirk",89,70.07,3083,44,"EarlyScoringAverage",2013
21,21,"Nick Watney",88,70.1,2944,42,"EarlyScoringAverage",2013
22,22,"Luke Donald",60,70.11,1963,28,"EarlyScoringAverage",2013
22,22,"Kevin Stadler",83,70.11,3155,45,"EarlyScoringAverage",2013
24,24,"Jimmy Walker",84,70.13,2805,40,"EarlyScoringAverage",2013
25,25,"Daniel Summerhays",83,70.15,2736,39,"EarlyScoringAverage",2013
26,26,"Jason Kokrak",78,70.16,2245,32,"EarlyScoringAverage",2013
27,27,"Robert Streb",75,70.19,2527,36,"EarlyScoringAverage",2013
28,28,"Phil Mickelson",78,70.22,2528,36,"EarlyScoringAverage",2013
29,29,"Jason Dufner",78,70.23,2739,39,"EarlyScoringAverage",2013
29,29,"John Merrick",79,70.23,2809,40,"EarlyScoringAverage",2013
31,31,"Bob Estes",66,70.24,2669,38,"EarlyScoringAverage",2013
31,31,"Jim Furyk",80,70.24,2388,34,"EarlyScoringAverage",2013
33,33,"Adam Scott",61,70.25,1686,24,"EarlyScoringAverage",2013
34,34,"Charles Howell III",87,70.28,2741,39,"EarlyScoringAverage",2013
35,35,"Rickie Fowler",75,70.29,2671,38,"EarlyScoringAverage",2013
36,36,"Bill Haas",85,70.31,2250,32,"EarlyScoringAverage",2013
37,37,"Hunter Mahan",91,70.33,2532,36,"EarlyScoringAverage",2013
37,37,"Chez Reavie",72,70.33,2813,40,"EarlyScoringAverage",2013
37,37,"Cameron Tringale",80,70.33,3235,46,"EarlyScoringAverage",2013
37,37,"Bubba Watson",76,70.33,2110,30,"EarlyScoringAverage",2013
41,41,"Jordan Spieth",82,70.34,2251,32,"EarlyScoringAverage",2013
42,42,"Justin Leonard",86,70.38,3519,50,"EarlyScoringAverage",2013
43,43,"Erik Compton",74,70.39,2534,36,"EarlyScoringAverage",2013
44,44,"Charley Hoffman",84,70.43,2606,37,"EarlyScoringAverage",2013
45,45,"Sergio Garcia",65,70.48,1621,23,"EarlyScoringAverage",2013
46,46,"Graham DeLaet",94,70.51,3173,45,"EarlyScoringAverage",2013
46,46,"Rory Sabbatini",86,70.51,2750,39,"EarlyScoringAverage",2013
48,48,"Vaughn Taylor",50,70.52,1622,23,"EarlyScoringAverage",2013
49,49,"Charlie Wi",75,70.53,2821,40,"EarlyScoringAverage",2013
50,50,"Harris English",95,70.55,3316,47,"EarlyScoringAverage",2013
50,50,"Zach Johnson",84,70.55,2187,31,"EarlyScoringAverage",2013
52,52,"Henrik Stenson",65,70.56,1764,25,"EarlyScoringAverage",2013
53,53,"Gary Woodland",94,70.59,3459,49,"EarlyScoringAverage",2013
54,54,"Matt Every",89,70.6,2965,42,"EarlyScoringAverage",2013
55,55,"Pat Perez",69,70.64,2331,33,"EarlyScoringAverage",2013
56,56,"Henrik Norlander",70,70.66,2685,38,"EarlyScoringAverage",2013
57,57,"Angel Cabrera",73,70.67,2544,36,"EarlyScoringAverage",2013
57,57,"Chris Stroud",88,70.67,3392,48,"EarlyScoringAverage",2013
59,59,"Ian Poulter",59,70.68,1555,22,"EarlyScoringAverage",2013
60,60,"Freddie Jacobson",63,70.71,2192,31,"EarlyScoringAverage",2013
61,61,"Lee Williams",62,70.72,2546,36,"EarlyScoringAverage",2013
62,62,"Kevin Chappell",80,70.73,3112,44,"EarlyScoringAverage",2013
62,62,"Kevin Streelman",86,70.73,2900,41,"EarlyScoringAverage",2013
64,64,"Brian Davis",91,70.75,3396,48,"EarlyScoringAverage",2013
64,64,"Ken Duke",87,70.75,3396,48,"EarlyScoringAverage",2013
66,66,"George McNeill",68,70.78,2619,37,"EarlyScoringAverage",2013
66,66,"Boo Weekley",100,70.78,3893,55,"EarlyScoringAverage",2013
68,68,"Patrick Reed",83,70.8,2832,40,"EarlyScoringAverage",2013
69,69,"JJ Henry",83,70.81,2974,42,"EarlyScoringAverage",2013
70,70,"DJ Trahan",48,70.82,1558,22,"EarlyScoringAverage",2013
71,71,"Russell Henley",80,70.83,2904,41,"EarlyScoringAverage",2013
72,72,"Ryo Ishikawa",72,70.84,2621,37,"EarlyScoringAverage",2013
72,72,"Cameron Percy",68,70.84,2692,38,"EarlyScoringAverage",2013
74,74,"James Driscoll",76,70.85,2409,34,"EarlyScoringAverage",2013
75,75,"Dicky Pride",71,70.86,2480,35,"EarlyScoringAverage",2013
76,76,"Graeme McDowell",53,70.87,1630,23,"EarlyScoringAverage",2013
77,77,"Chad Campbell",78,70.88,2977,42,"EarlyScoringAverage",2013
77,77,"Jim Herman",59,70.88,1772,25,"EarlyScoringAverage",2013
77,77,"Dustin Johnson",71,70.88,2339,33,"EarlyScoringAverage",2013
80,80,"Lee Westwood",70,70.91,2411,34,"EarlyScoringAverage",2013
81,81,"Ricky Barnes",74,70.93,2979,42,"EarlyScoringAverage",2013
82,82,"Stuart Appleby",88,70.94,3334,47,"EarlyScoringAverage",2013
82,82,"Steve LeBrun",66,70.94,2412,34,"EarlyScoringAverage",2013
82,82,"Jeff Maggert",63,70.94,2412,34,"EarlyScoringAverage",2013
82,82,"Tag Ridings",69,70.94,2199,31,"EarlyScoringAverage",2013
82,82,"Brendan Steele",86,70.94,3405,48,"EarlyScoringAverage",2013
87,87,"Justin Hicks",79,70.95,2838,40,"EarlyScoringAverage",2013
88,88,"Brian Harman",89,70.98,3194,45,"EarlyScoringAverage",2013
88,88,"William McGirt",75,70.98,3123,44,"EarlyScoringAverage",2013
90,90,"Sangmoon Bae",83,71,3337,47,"EarlyScoringAverage",2013
90,90,"Andres Romero",63,71,2130,30,"EarlyScoringAverage",2013
92,92,"Marc Leishman",77,71.03,2344,33,"EarlyScoringAverage",2013
93,93,"Brad Fritsch",81,71.05,2984,42,"EarlyScoringAverage",2013
93,93,"Ben Kohles",75,71.05,2629,37,"EarlyScoringAverage",2013
95,95,"Nicholas Thompson",99,71.06,3766,53,"EarlyScoringAverage",2013
96,96,"Tim Clark",64,71.07,2132,30,"EarlyScoringAverage",2013
96,96,"Martin Flores",83,71.07,3198,45,"EarlyScoringAverage",2013
98,98,"Jason Bohn",70,71.08,2630,37,"EarlyScoringAverage",2013
98,98,"John Senden",79,71.08,2843,40,"EarlyScoringAverage",2013
100,100,"David Hearn",88,71.11,3769,53,"EarlyScoringAverage",2013
100,100,"Brandt Jobe",62,71.11,2560,36,"EarlyScoringAverage",2013
100,100,"David Lingmerth",68,71.11,2631,37,"EarlyScoringAverage",2013
103,103,"KJ Choi",85,71.12,3556,50,"EarlyScoringAverage",2013
103,103,"Andrew Svoboda",46,71.12,1849,26,"EarlyScoringAverage",2013
105,105,"Brian Gay",79,71.14,3557,50,"EarlyScoringAverage",2013
105,105,"Ted Potter Jr",65,71.14,1992,28,"EarlyScoringAverage",2013
107,107,"Luke Guthrie",82,71.17,2562,36,"EarlyScoringAverage",2013
108,108,"Ryan Moore",72,71.18,2420,34,"EarlyScoringAverage",2013
108,108,"Brian Stuard",78,71.18,2705,38,"EarlyScoringAverage",2013
110,110,"James Hahn",78,71.21,2421,34,"EarlyScoringAverage",2013
111,111,"Rod Pampling",46,71.23,1852,26,"EarlyScoringAverage",2013
112,112,"Aaron Baddeley",68,71.24,2351,33,"EarlyScoringAverage",2013
112,112,"Bud Cauley",67,71.24,2351,33,"EarlyScoringAverage",2013
112,112,"Jeff Overton",78,71.24,2921,41,"EarlyScoringAverage",2013
115,115,"Vijay Singh",61,71.26,2423,34,"EarlyScoringAverage",2013
115,115,"Mike Weir",60,71.26,2209,31,"EarlyScoringAverage",2013
117,117,"Rory McIlroy",56,71.27,1568,22,"EarlyScoringAverage",2013
118,118,"Aaron Watkins",46,71.28,1782,25,"EarlyScoringAverage",2013
119,119,"Tim Herron",45,71.29,1711,24,"EarlyScoringAverage",2013
120,120,"Tom Gillis",69,71.3,2638,37,"EarlyScoringAverage",2013
120,120,"Doug LaBelle II",72,71.3,2852,40,"EarlyScoringAverage",2013
122,122,"John Huh",88,71.31,3209,45,"EarlyScoringAverage",2013
122,122,"Richard Lee",81,71.31,2995,42,"EarlyScoringAverage",2013
124,124,"David Toms",49,71.32,1569,22,"EarlyScoringAverage",2013
125,125,"Jin Park",52,71.33,1926,27,"EarlyScoringAverage",2013
126,126,"Will Claxton",67,71.39,2570,36,"EarlyScoringAverage",2013
126,126,"Robert Garrigus",69,71.39,2570,36,"EarlyScoringAverage",2013
128,128,"Stewart Cink",71,71.4,2856,40,"EarlyScoringAverage",2013
128,128,"Bo Van Pelt",72,71.4,3070,43,"EarlyScoringAverage",2013
130,130,"Martin Kaymer",61,71.41,2285,32,"EarlyScoringAverage",2013
