"StrokesGainedTeetoGreen_RANKTHISWEEK_2014","StrokesGainedTeetoGreen_RANKLASTWEEK_2014","StrokesGainedTeetoGreen_PLAYERNAME_2014","StrokesGainedTeetoGreen_ROUNDS_2014","StrokesGainedTeetoGreen_AVERAGE_2014","StrokesGainedTeetoGreen_TOTALSGOTT_2014","StrokesGainedTeetoGreen_SGAPR_2014","StrokesGainedTeetoGreen_TOTALSGARG_2014","StrokesGainedTeetoGreen_MEASUREDROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",66,1.992,1.36,0.6,0.02,48,"StrokesGainedTeetoGreen",2014
2,2,"Sergio Garcia",61,1.818,0.38,1.15,0.28,40,"StrokesGainedTeetoGreen",2014
3,3,"Jim Furyk",84,1.705,0.12,1.17,0.4,66,"StrokesGainedTeetoGreen",2014
4,4,"Hideki Matsuyama",82,1.545,0.32,1.02,0.19,64,"StrokesGainedTeetoGreen",2014
5,5,"Justin Rose",70,1.506,0.4,0.74,0.36,52,"StrokesGainedTeetoGreen",2014
6,6,"Adam Scott",68,1.5,0.72,0.61,0.16,56,"StrokesGainedTeetoGreen",2014
7,7,"Bubba Watson",76,1.402,0.96,0.32,0.11,56,"StrokesGainedTeetoGreen",2014
8,8,"Charl Schwartzel",64,1.286,0.55,0.31,0.42,54,"StrokesGainedTeetoGreen",2014
9,9,"Graham DeLaet",80,1.262,0.36,0.89,NA,64,"StrokesGainedTeetoGreen",2014
10,10,"Dustin Johnson",58,1.249,0.73,0.53,-0.01,41,"StrokesGainedTeetoGreen",2014
11,11,"Henrik Stenson",56,1.162,0.65,0.57,-0.06,38,"StrokesGainedTeetoGreen",2014
12,12,"Matt Kuchar",91,1.117,0.21,0.52,0.38,76,"StrokesGainedTeetoGreen",2014
13,13,"Jason Dufner",57,1.098,0.31,0.59,0.19,42,"StrokesGainedTeetoGreen",2014
14,14,"Jason Day",54,1.073,0.49,0.17,0.4,33,"StrokesGainedTeetoGreen",2014
