"TotalEagles_RANKTHISWEEK_2008","TotalEagles_RANKLASTWEEK_2008","TotalEagles_PLAYERNAME_2008","TotalEagles_ROUNDS_2008","TotalEagles_TOTAL_2008","stat_name","year"
1,1,"Chad Campbell",94,16,"TotalEagles",2008
2,2,"Mathias Gronberg",87,14,"TotalEagles",2008
3,3,"Pat Perez",93,13,"TotalEagles",2008
3,3,"Kevin Streelman",114,13,"TotalEagles",2008
5,5,"Matt Jones",95,12,"TotalEagles",2008
5,5,"Nicholas Thompson",113,12,"TotalEagles",2008
5,5,"Nick Watney",96,12,"TotalEagles",2008
8,8,"Stewart Cink",87,11,"TotalEagles",2008
8,8,"Mathew Goggin",91,11,"TotalEagles",2008
8,8,"Dustin Johnson",92,11,"TotalEagles",2008
8,8,"Martin Laird",98,11,"TotalEagles",2008
8,8,"Charlie Wi",97,11,"TotalEagles",2008
13,13,"Michael Allen",91,10,"TotalEagles",2008
13,13,"Eric Axley",113,10,"TotalEagles",2008
13,13,"Daniel Chopra",84,10,"TotalEagles",2008
13,13,"Steve Flesch",95,10,"TotalEagles",2008
13,13,"Anthony Kim",81,10,"TotalEagles",2008
13,13,"Frank Lickliter II",107,10,"TotalEagles",2008
13,13,"Will Ma Kenzie",62,10,"TotalEagles",2008
13,13,"Parker McLachlin",88,10,"TotalEagles",2008
13,13,"Kevin Na",97,10,"TotalEagles",2008
13,13,"Sean OHair",81,10,"TotalEagles",2008
13,13,"Brenden Pappas",66,10,"TotalEagles",2008
13,13,"Tom Pernice Jr",104,10,"TotalEagles",2008
13,13,"John Rollins",94,10,"TotalEagles",2008
13,13,"Kevin Stadler",90,10,"TotalEagles",2008
13,13,"Chris Stroud",81,10,"TotalEagles",2008
13,13,"Charles Warren",79,10,"TotalEagles",2008
29,29,"Jason Day",81,9,"TotalEagles",2008
29,29,"Jason Gore",94,9,"TotalEagles",2008
29,29,"George McNeill",97,9,"TotalEagles",2008
29,29,"John Merrick",98,9,"TotalEagles",2008
29,29,"Carl Pettersson",110,9,"TotalEagles",2008
