"StrokeDifferentialFieldAverage_RANKTHISWEEK_2012","StrokeDifferentialFieldAverage_RANKLASTWEEK_2012","StrokeDifferentialFieldAverage_PLAYERNAME_2012","StrokeDifferentialFieldAverage_ROUNDS_2012","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2012","StrokeDifferentialFieldAverage_PLAYERSSCORE_2012","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2012","stat_name","year"
1,NA,"Tiger Woods",69,2.23,69.78,72.01,"StrokeDifferentialFieldAverage",2012
2,NA,"Rory McIlroy",60,2.16,69.63,71.79,"StrokeDifferentialFieldAverage",2012
3,NA,"Justin Rose",69,1.72,70.22,71.94,"StrokeDifferentialFieldAverage",2012
4,NA,"Jim Furyk",85,1.69,70.1,71.79,"StrokeDifferentialFieldAverage",2012
5,NA,"Bubba Watson",68,1.67,69.98,71.65,"StrokeDifferentialFieldAverage",2012
6,NA,"Adam Scott",59,1.58,70.53,72.11,"StrokeDifferentialFieldAverage",2012
7,NA,"Jason Dufner",83,1.57,69.89,71.46,"StrokeDifferentialFieldAverage",2012
8,NA,"Luke Donald",63,1.54,70.35,71.89,"StrokeDifferentialFieldAverage",2012
9,NA,"Dustin Johnson",70,1.45,70.18,71.63,"StrokeDifferentialFieldAverage",2012
9,NA,"Matt Kuchar",86,1.45,70.04,71.49,"StrokeDifferentialFieldAverage",2012
11,NA,"Bo Van Pelt",84,1.34,70.23,71.57,"StrokeDifferentialFieldAverage",2012
12,NA,"Steve Stricker",73,1.33,70.1,71.43,"StrokeDifferentialFieldAverage",2012
13,NA,"Phil Mickelson",79,1.24,70.44,71.68,"StrokeDifferentialFieldAverage",2012
13,NA,"Louis Oosthuizen",65,1.24,70.32,71.56,"StrokeDifferentialFieldAverage",2012
13,NA,"Brandt Snedeker",81,1.24,70.1,71.34,"StrokeDifferentialFieldAverage",2012
16,NA,"Padraig Harrington",67,1.18,70.54,71.72,"StrokeDifferentialFieldAverage",2012
16,NA,"Zach Johnson",95,1.18,70.2,71.38,"StrokeDifferentialFieldAverage",2012
18,NA,"Webb Simpson",77,1.15,70.14,71.29,"StrokeDifferentialFieldAverage",2012
19,NA,"Keegan Bradley",90,1.08,70.33,71.41,"StrokeDifferentialFieldAverage",2012
20,NA,"Sergio Garcia",57,1.07,70.68,71.75,"StrokeDifferentialFieldAverage",2012
20,NA,"Robert Garrigus",89,1.07,70.38,71.45,"StrokeDifferentialFieldAverage",2012
20,NA,"John Senden",81,1.07,70.35,71.42,"StrokeDifferentialFieldAverage",2012
23,NA,"Henrik Stenson",51,1.06,70.78,71.84,"StrokeDifferentialFieldAverage",2012
24,NA,"Brendon de Jonge",115,1.05,70.17,71.22,"StrokeDifferentialFieldAverage",2012
25,NA,"Lee Westwood",60,1.02,70.78,71.8,"StrokeDifferentialFieldAverage",2012
26,NA,"Ian Poulter",57,1.01,70.8,71.81,"StrokeDifferentialFieldAverage",2012
27,NA,"Graeme McDowell",55,0.99,70.91,71.9,"StrokeDifferentialFieldAverage",2012
28,NA,"Jonas Blixt",72,0.92,70.14,71.06,"StrokeDifferentialFieldAverage",2012
28,NA,"Ernie Els",80,0.92,70.76,71.68,"StrokeDifferentialFieldAverage",2012
28,NA,"Carl Pettersson",92,0.92,70.37,71.29,"StrokeDifferentialFieldAverage",2012
31,NA,"Ryan Moore",89,0.89,70.54,71.43,"StrokeDifferentialFieldAverage",2012
31,NA,"Geoff Ogilvy",73,0.89,70.99,71.88,"StrokeDifferentialFieldAverage",2012
