"BirdieorBetterPercentageRough_RANKTHISWEEK_2008","BirdieorBetterPercentageRough_RANKLASTWEEK_2008","BirdieorBetterPercentageRough_PLAYERNAME_2008","BirdieorBetterPercentageRough_ROUNDS_2008","BirdieorBetterPercentageRough_Pct_2008","BirdieorBetterPercentageRough_TOTALBIRDIES_2008","BirdieorBetterPercentageRough_TOTALHOLES_2008","stat_name","year"
1,1,"Kevin Stadler",90,20.87,53,254,"BirdieorBetterPercentageRough",2008
2,2,"Anthony Kim",81,19.6,49,250,"BirdieorBetterPercentageRough",2008
3,3,"Pat Perez",93,18.11,44,243,"BirdieorBetterPercentageRough",2008
4,4,"Parker McLachlin",88,18.06,52,288,"BirdieorBetterPercentageRough",2008
5,5,"Jeff Overton",103,18.02,73,405,"BirdieorBetterPercentageRough",2008
6,6,"Daniel Chopra",84,17.99,59,328,"BirdieorBetterPercentageRough",2008
7,7,"Ben Crane",86,17.95,42,234,"BirdieorBetterPercentageRough",2008
8,8,"Mark Calcavecchia",67,17.61,31,176,"BirdieorBetterPercentageRough",2008
9,9,"Padraig Harrington",52,17.46,22,126,"BirdieorBetterPercentageRough",2008
10,10,"Bubba Watson",97,17.35,59,340,"BirdieorBetterPercentageRough",2008
11,11,"Aaron Baddeley",76,17.18,39,227,"BirdieorBetterPercentageRough",2008
11,11,"Bill Haas",99,17.18,61,355,"BirdieorBetterPercentageRough",2008
13,13,"Robert Allenby",108,17.04,46,270,"BirdieorBetterPercentageRough",2008
14,14,"JB Holmes",86,17.03,54,317,"BirdieorBetterPercentageRough",2008
15,15,"Carl Pettersson",110,17,60,353,"BirdieorBetterPercentageRough",2008
16,16,"Steve Elkington",84,16.98,36,212,"BirdieorBetterPercentageRough",2008
17,17,"Joe Ogilvie",100,16.93,54,319,"BirdieorBetterPercentageRough",2008
18,18,"Ryan Moore",72,16.83,35,208,"BirdieorBetterPercentageRough",2008
19,19,"Ryan Palmer",69,16.75,34,203,"BirdieorBetterPercentageRough",2008
20,20,"Brenden Pappas",66,16.74,36,215,"BirdieorBetterPercentageRough",2008
21,21,"Adam Scott",51,16.45,25,152,"BirdieorBetterPercentageRough",2008
22,22,"Vijay Singh",82,16.42,44,268,"BirdieorBetterPercentageRough",2008
23,23,"Camilo Villegas",79,16.36,36,220,"BirdieorBetterPercentageRough",2008
24,24,"Steve Lowery",74,16.26,40,246,"BirdieorBetterPercentageRough",2008
25,25,"John Huston",56,16.25,26,160,"BirdieorBetterPercentageRough",2008
26,26,"Martin Laird",98,16.23,49,302,"BirdieorBetterPercentageRough",2008
27,27,"Robert Garrigus",90,16.16,58,359,"BirdieorBetterPercentageRough",2008
28,28,"David Toms",70,16.11,29,180,"BirdieorBetterPercentageRough",2008
29,29,"Tommy Gainey",60,16.05,26,162,"BirdieorBetterPercentageRough",2008
30,30,"Brett Rumford",72,16.03,38,237,"BirdieorBetterPercentageRough",2008
31,31,"Nick Flanagan",89,15.96,45,282,"BirdieorBetterPercentageRough",2008
32,32,"Travis Perkins",53,15.82,28,177,"BirdieorBetterPercentageRough",2008
33,33,"Marc Turnesa",87,15.71,41,261,"BirdieorBetterPercentageRough",2008
34,34,"Steve Stricker",75,15.65,36,230,"BirdieorBetterPercentageRough",2008
35,35,"Steve Allan",58,15.63,30,192,"BirdieorBetterPercentageRough",2008
35,35,"Stephen Ames",83,15.63,35,224,"BirdieorBetterPercentageRough",2008
37,37,"Mark Hensby",71,15.57,38,244,"BirdieorBetterPercentageRough",2008
38,38,"Phil Mickelson",80,15.48,39,252,"BirdieorBetterPercentageRough",2008
39,39,"Harrison Frazar",73,15.45,34,220,"BirdieorBetterPercentageRough",2008
40,40,"Brett Quigley",80,15.44,42,272,"BirdieorBetterPercentageRough",2008
41,41,"Zach Johnson",85,15.43,29,188,"BirdieorBetterPercentageRough",2008
42,42,"Kenny Perry",97,15.41,53,344,"BirdieorBetterPercentageRough",2008
43,43,"Dustin Johnson",92,15.38,56,364,"BirdieorBetterPercentageRough",2008
44,44,"Davis Love III",78,15.35,37,241,"BirdieorBetterPercentageRough",2008
45,45,"Sergio Garcia",72,15.28,33,216,"BirdieorBetterPercentageRough",2008
46,46,"Ron Whittaker",54,15.24,16,105,"BirdieorBetterPercentageRough",2008
47,47,"Brad Adamonis",87,15.08,49,325,"BirdieorBetterPercentageRough",2008
48,48,"Scott Sterling",89,15.06,36,239,"BirdieorBetterPercentageRough",2008
49,49,"Nathan Green",95,15.04,51,339,"BirdieorBetterPercentageRough",2008
49,49,"Ian Poulter",51,15.04,20,133,"BirdieorBetterPercentageRough",2008
51,51,"Mathew Goggin",91,15.02,41,273,"BirdieorBetterPercentageRough",2008
52,52,"Alejandro Canizares",52,15,24,160,"BirdieorBetterPercentageRough",2008
52,52,"Chad Collins",72,15,36,240,"BirdieorBetterPercentageRough",2008
54,54,"John Merrick",98,14.96,38,254,"BirdieorBetterPercentageRough",2008
55,55,"Kevin Na",97,14.84,42,283,"BirdieorBetterPercentageRough",2008
56,56,"Woody Austin",109,14.75,41,278,"BirdieorBetterPercentageRough",2008
57,57,"Mathias Gronberg",87,14.72,44,299,"BirdieorBetterPercentageRough",2008
58,58,"Nick Watney",96,14.71,49,333,"BirdieorBetterPercentageRough",2008
59,59,"Rich Beem",90,14.69,36,245,"BirdieorBetterPercentageRough",2008
60,60,"Tommy Armour III",77,14.67,33,225,"BirdieorBetterPercentageRough",2008
60,60,"Mike Weir",88,14.67,33,225,"BirdieorBetterPercentageRough",2008
62,62,"Boo Weekley",86,14.66,34,232,"BirdieorBetterPercentageRough",2008
63,63,"Jason Gore",94,14.63,36,246,"BirdieorBetterPercentageRough",2008
64,64,"Tim Petrovic",97,14.55,39,268,"BirdieorBetterPercentageRough",2008
65,65,"Freddie Jacobson",78,14.54,33,227,"BirdieorBetterPercentageRough",2008
66,66,"Gavin Coles",54,14.5,19,131,"BirdieorBetterPercentageRough",2008
67,67,"Jason Allred",63,14.42,31,215,"BirdieorBetterPercentageRough",2008
67,67,"Tag Ridings",88,14.42,47,326,"BirdieorBetterPercentageRough",2008
69,69,"Stewart Cink",87,14.4,36,250,"BirdieorBetterPercentageRough",2008
70,70,"KJ Choi",74,14.35,31,216,"BirdieorBetterPercentageRough",2008
71,71,"John Mallinger",95,14.34,37,258,"BirdieorBetterPercentageRough",2008
72,72,"Charley Hoffman",94,14.33,44,307,"BirdieorBetterPercentageRough",2008
73,73,"Todd Demsey",80,14.29,35,245,"BirdieorBetterPercentageRough",2008
73,73,"Peter Lonard",92,14.29,36,252,"BirdieorBetterPercentageRough",2008
73,73,"Jimmy Walker",73,14.29,40,280,"BirdieorBetterPercentageRough",2008
76,76,"Jonathan Byrd",88,14.22,31,218,"BirdieorBetterPercentageRough",2008
77,77,"Paul Goydos",78,14.21,28,197,"BirdieorBetterPercentageRough",2008
78,78,"Tom Lehman",51,14.17,18,127,"BirdieorBetterPercentageRough",2008
79,79,"Fred Couples",60,14.15,30,212,"BirdieorBetterPercentageRough",2008
80,80,"Jon Mills",95,14.13,40,283,"BirdieorBetterPercentageRough",2008
81,81,"Stuart Appleby",87,14.12,37,262,"BirdieorBetterPercentageRough",2008
82,82,"Chad Campbell",94,14.02,38,271,"BirdieorBetterPercentageRough",2008
83,83,"Chris Stroud",81,14.01,29,207,"BirdieorBetterPercentageRough",2008
84,84,"Michael Letzig",88,13.97,38,272,"BirdieorBetterPercentageRough",2008
84,84,"Troy Matteson",94,13.97,44,315,"BirdieorBetterPercentageRough",2008
86,86,"Angel Cabrera",55,13.92,27,194,"BirdieorBetterPercentageRough",2008
87,87,"Cody Freeman",66,13.84,31,224,"BirdieorBetterPercentageRough",2008
88,88,"James Driscoll",85,13.82,47,340,"BirdieorBetterPercentageRough",2008
89,89,"Nicholas Thompson",113,13.79,44,319,"BirdieorBetterPercentageRough",2008
89,89,"DJ Trahan",94,13.79,36,261,"BirdieorBetterPercentageRough",2008
91,91,"Rory Sabbatini",77,13.78,31,225,"BirdieorBetterPercentageRough",2008
92,92,"Jesper Parnevik",88,13.75,37,269,"BirdieorBetterPercentageRough",2008
93,93,"Brian Davis",108,13.74,36,262,"BirdieorBetterPercentageRough",2008
93,93,"Kenneth Ferrie",72,13.74,25,182,"BirdieorBetterPercentageRough",2008
95,95,"Charles Howell III",101,13.68,48,351,"BirdieorBetterPercentageRough",2008
96,96,"Tom Scherrer",56,13.61,20,147,"BirdieorBetterPercentageRough",2008
96,96,"Scott Verplank",82,13.61,23,169,"BirdieorBetterPercentageRough",2008
98,98,"Steve Marino",119,13.6,48,353,"BirdieorBetterPercentageRough",2008
98,98,"Chez Reavie",102,13.6,31,228,"BirdieorBetterPercentageRough",2008
100,100,"Bob Tway",70,13.59,25,184,"BirdieorBetterPercentageRough",2008
101,101,"Justin Leonard",101,13.57,30,221,"BirdieorBetterPercentageRough",2008
102,102,"Ben Curtis",80,13.56,24,177,"BirdieorBetterPercentageRough",2008
103,103,"Brandt Jobe",52,13.51,25,185,"BirdieorBetterPercentageRough",2008
