"Scramblingfrom_RANKTHISWEEK_2016","Scramblingfrom_RANKLASTWEEK_2016","Scramblingfrom_PLAYERNAME_2016","Scramblingfrom_ROUNDS_2016","Scramblingfrom_Pct_2016","Scramblingfrom_SUCCESSES_2016","Scramblingfrom_ATTEMPTS_2016","stat_name","year"
1,1,"Paul Casey",39,100,23,23,"Scramblingfrom",2016
1,1,"Matthew Fitzpatrick",23,100,9,9,"Scramblingfrom",2016
1,1,"Rickie Fowler",42,100,35,35,"Scramblingfrom",2016
1,1,"Brian Gay",22,100,19,19,"Scramblingfrom",2016
1,1,"Rob Oppenheim",37,100,31,31,"Scramblingfrom",2016
1,1,"Cameron Percy",22,100,10,10,"Scramblingfrom",2016
1,1,"Andres Romero",22,100,20,20,"Scramblingfrom",2016
8,8,"Michael Thompson",46,97.37,37,38,"Scramblingfrom",2016
9,11,"Brandt Snedeker",47,95.65,44,46,"Scramblingfrom",2016
10,16,"Camilo Villegas",50,95.45,42,44,"Scramblingfrom",2016
11,13,"Patrick Rodgers",49,95.35,41,43,"Scramblingfrom",2016
12,16,"Henrik Stenson",30,95.24,20,21,"Scramblingfrom",2016
13,14,"Aaron Baddeley",51,94.87,37,39,"Scramblingfrom",2016
14,16,"Charlie Beljan",26,94.74,18,19,"Scramblingfrom",2016
15,20,"Colt Knost",56,94.12,48,51,"Scramblingfrom",2016
16,9,"Ernie Els",34,93.94,31,33,"Scramblingfrom",2016
16,21,"Chez Reavie",56,93.94,62,66,"Scramblingfrom",2016
18,22,"Peter Malnati",53,93.88,46,49,"Scramblingfrom",2016
19,23,"Charl Schwartzel",29,93.75,15,16,"Scramblingfrom",2016
20,31,"Andres Gonzales",46,93.55,29,31,"Scramblingfrom",2016
20,28,"Phil Mickelson",37,93.55,29,31,"Scramblingfrom",2016
20,28,"Martin Piller",37,93.55,29,31,"Scramblingfrom",2016
23,34,"Harris English",51,93.33,42,45,"Scramblingfrom",2016
23,27,"Ryan Moore",40,93.33,28,30,"Scramblingfrom",2016
23,14,"Scott Stallings",46,93.33,42,45,"Scramblingfrom",2016
23,26,"Bernd Wiesberger",23,93.33,14,15,"Scramblingfrom",2016
23,31,"Mark Wilson",42,93.33,28,30,"Scramblingfrom",2016
28,33,"Stuart Appleby",39,93.02,40,43,"Scramblingfrom",2016
29,48,"Hideki Matsuyama",40,92.86,26,28,"Scramblingfrom",2016
30,34,"Jason Gore",51,92.73,51,55,"Scramblingfrom",2016
31,39,"Tim Wilkinson",40,92.68,38,41,"Scramblingfrom",2016
32,10,"Cameron Smith",45,92.59,25,27,"Scramblingfrom",2016
33,39,"Ben Martin",48,92.5,37,40,"Scramblingfrom",2016
34,24,"Fabian Gomez",49,92.45,49,53,"Scramblingfrom",2016
35,38,"Thomas Aiken",42,92.31,24,26,"Scramblingfrom",2016
35,12,"Derek Ernst",36,92.31,24,26,"Scramblingfrom",2016
35,49,"Emiliano Grillo",47,92.31,36,39,"Scramblingfrom",2016
35,34,"Dicky Pride",33,92.31,36,39,"Scramblingfrom",2016
35,62,"Vaughn Taylor",30,92.31,36,39,"Scramblingfrom",2016
40,51,"Patton Kizzire",57,92.16,47,51,"Scramblingfrom",2016
41,25,"Retief Goosen",37,91.89,34,37,"Scramblingfrom",2016
41,39,"Russell Henley",42,91.89,34,37,"Scramblingfrom",2016
43,43,"Ben Crane",48,91.84,45,49,"Scramblingfrom",2016
44,60,"Brian Stuard",24,91.67,22,24,"Scramblingfrom",2016
44,43,"DJ Trahan",23,91.67,11,12,"Scramblingfrom",2016
46,56,"Whee Kim",54,91.53,54,59,"Scramblingfrom",2016
47,46,"Jerry Kelly",44,91.49,43,47,"Scramblingfrom",2016
48,47,"Seung Yul Noh",54,91.43,32,35,"Scramblingfrom",2016
49,64,"Lucas Glover",53,91.38,53,58,"Scramblingfrom",2016
50,71,"Hunter Mahan",43,91.18,31,34,"Scramblingfrom",2016
50,28,"Adam Scott",39,91.18,31,34,"Scramblingfrom",2016
52,53,"Jon Curran",55,90.91,40,44,"Scramblingfrom",2016
52,72,"Bill Haas",42,90.91,20,22,"Scramblingfrom",2016
52,45,"Mark Hubbard",73,90.91,60,66,"Scramblingfrom",2016
52,53,"Wes Roach",33,90.91,30,33,"Scramblingfrom",2016
52,83,"Gary Woodland",45,90.91,40,44,"Scramblingfrom",2016
57,39,"Sean OHair",45,90.7,39,43,"Scramblingfrom",2016
58,80,"Robert Garrigus",34,90.63,29,32,"Scramblingfrom",2016
58,57,"Zach Johnson",42,90.63,29,32,"Scramblingfrom",2016
58,57,"Rory Sabbatini",40,90.63,29,32,"Scramblingfrom",2016
58,76,"Johnson Wagner",44,90.63,29,32,"Scramblingfrom",2016
62,59,"Chris Kirk",51,90.57,48,53,"Scramblingfrom",2016
63,83,"Angel Cabrera",42,90.48,38,42,"Scramblingfrom",2016
64,67,"Roberto Castro",55,90.38,47,52,"Scramblingfrom",2016
65,64,"Kevin Kisner",49,90.24,37,41,"Scramblingfrom",2016
66,63,"Tyrone Van Aswegen",67,90.16,55,61,"Scramblingfrom",2016
67,19,"David Toms",38,90,36,40,"Scramblingfrom",2016
68,66,"Jamie Lovemark",57,89.83,53,59,"Scramblingfrom",2016
69,67,"KJ Choi",47,89.8,44,49,"Scramblingfrom",2016
70,70,"Billy Horschel",45,89.74,35,39,"Scramblingfrom",2016
71,53,"Jim Herman",55,89.66,52,58,"Scramblingfrom",2016
71,86,"Jeff Overton",51,89.66,52,58,"Scramblingfrom",2016
73,60,"Francesco Molinari",36,89.58,43,48,"Scramblingfrom",2016
74,80,"Kelly Kraft",35,89.47,17,19,"Scramblingfrom",2016
74,72,"Justin Leonard",28,89.47,34,38,"Scramblingfrom",2016
76,80,"Ricky Barnes",57,89.36,42,47,"Scramblingfrom",2016
77,86,"Blayne Barber",44,89.29,25,28,"Scramblingfrom",2016
77,94,"Kevin Chappell",49,89.29,50,56,"Scramblingfrom",2016
77,76,"Hudson Swafford",52,89.29,50,56,"Scramblingfrom",2016
80,112,"Luke Donald",49,89.19,33,37,"Scramblingfrom",2016
81,78,"Freddie Jacobson",54,89.13,41,46,"Scramblingfrom",2016
82,72,"Michael Kim",62,88.89,56,63,"Scramblingfrom",2016
82,86,"Kevin Streelman",46,88.89,24,27,"Scramblingfrom",2016
84,117,"Alex Cejka",47,88.57,31,35,"Scramblingfrom",2016
84,83,"Troy Merritt",41,88.57,31,35,"Scramblingfrom",2016
86,67,"Patrick Reed",53,88.52,54,61,"Scramblingfrom",2016
87,86,"Rhein Gibson",36,88.46,23,26,"Scramblingfrom",2016
87,122,"DH Lee",35,88.46,23,26,"Scramblingfrom",2016
89,97,"Morgan Hoffmann",43,88.37,38,43,"Scramblingfrom",2016
89,93,"Dawie van der Walt",48,88.37,38,43,"Scramblingfrom",2016
91,107,"David Hearn",55,88.24,45,51,"Scramblingfrom",2016
91,91,"Russell Knox",48,88.24,30,34,"Scramblingfrom",2016
91,90,"David Lingmerth",54,88.24,45,51,"Scramblingfrom",2016
91,97,"Ollie Schniederjans",23,88.24,15,17,"Scramblingfrom",2016
95,97,"Tyler Aldridge",53,88.1,37,42,"Scramblingfrom",2016
95,97,"Daniel Berger",52,88.1,37,42,"Scramblingfrom",2016
95,49,"Ian Poulter",37,88.1,37,42,"Scramblingfrom",2016
95,122,"John Senden",48,88.1,37,42,"Scramblingfrom",2016
