"ProximitytoHolefromRough_RANKTHISWEEK_2007","ProximitytoHolefromRough_RANKLASTWEEK_2007","ProximitytoHolefromRough_PLAYERNAME_2007","ProximitytoHolefromRough_ROUNDS_2007","ProximitytoHolefromRough_AVGDTP_2007","ProximitytoHolefromRough_TOTALDISTANCEFEET_2007","ProximitytoHolefromRough_OFSHOTS_2007","ProximitytoHolefromRough_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Jose Coceres",50,NA,681,102,6,"ProximitytoHolefromRough",2007
1,1,"Lee Janzen",66,NA,750.417,112,140,"ProximitytoHolefromRough",2007
3,3,"Jim Furyk",84,NA,1072.583,155,29,"ProximitytoHolefromRough",2007
3,3,"Steve Stricker",81,NA,1034.917,150,21,"ProximitytoHolefromRough",2007
5,5,"Stuart Appleby",74,NA,1295.333,185,71,"ProximitytoHolefromRough",2007
6,6,"Justin Leonard",95,NA,1474.25,209,39,"ProximitytoHolefromRough",2007
6,6,"Vijay Singh",102,NA,1774.083,250,61,"ProximitytoHolefromRough",2007
6,6,"Jeff Sluman",60,NA,837.5,118,187,"ProximitytoHolefromRough",2007
9,9,"Paul Goydos",60,NA,1015.583,142,98,"ProximitytoHolefromRough",2007
9,9,"Geoff Ogilvy",84,NA,1528.667,214,111,"ProximitytoHolefromRough",2007
9,9,"Ian Poulter",63,NA,920.5,128,51,"ProximitytoHolefromRough",2007
12,12,"Kirk Triplett",77,NA,1142.833,157,86,"ProximitytoHolefromRough",2007
13,13,"Steve Elkington",87,NA,1480.333,202,32,"ProximitytoHolefromRough",2007
13,13,"John Mallinger",96,NA,2014.25,274,12,"ProximitytoHolefromRough",2007
15,15,"Craig Bowden",78,NA,1207.167,163,12,"ProximitytoHolefromRough",2007
15,15,"Luke Donald",69,NA,1077.167,145,97,"ProximitytoHolefromRough",2007
15,15,"Steve Flesch",100,NA,1739.833,234,82,"ProximitytoHolefromRough",2007
15,15,"Sergio Garcia",68,NA,1361.667,184,84,"ProximitytoHolefromRough",2007
15,15,"Nick OHern",72,NA,1259.75,169,120,"ProximitytoHolefromRough",2007
15,15,"Heath Slocum",101,NA,1591.417,215,16,"ProximitytoHolefromRough",2007
15,15,"Nick Watney",87,NA,1522.833,205,91,"ProximitytoHolefromRough",2007
22,22,"Anthony Kim",93,NA,1829.083,244,79,"ProximitytoHolefromRough",2007
22,22,"Tom Pernice Jr",104,NA,1777.917,236,40,"ProximitytoHolefromRough",2007
22,22,"Kenny Perry",83,NA,1382.167,184,58,"ProximitytoHolefromRough",2007
22,22,"Bo Van Pelt",104,NA,1831.25,244,35,"ProximitytoHolefromRough",2007
22,22,"Mike Weir",82,NA,1375.667,183,70,"ProximitytoHolefromRough",2007
27,27,"Michael Boyd",61,NA,1073.417,141,73,"ProximitytoHolefromRough",2007
27,27,"Alex Cejka",80,NA,1375.333,182,11,"ProximitytoHolefromRough",2007
27,27,"Trevor Immelman",74,NA,1140.417,150,123,"ProximitytoHolefromRough",2007
27,27,"Jarrod Lyle",77,NA,1374.5,181,81,"ProximitytoHolefromRough",2007
27,27,"Shaun Micheel",91,NA,1387.25,182,100,"ProximitytoHolefromRough",2007
27,27,"Phil Mickelson",73,NA,1237.25,163,53,"ProximitytoHolefromRough",2007
27,27,"Tiger Woods",63,NA,863.167,114,20,"ProximitytoHolefromRough",2007
34,34,"KJ Choi",87,NA,1482.25,194,9,"ProximitytoHolefromRough",2007
34,34,"Bob Estes",88,NA,1301.25,170,105,"ProximitytoHolefromRough",2007
34,34,"Retief Goosen",50,NA,874.25,114,154,"ProximitytoHolefromRough",2007
34,34,"Mark Hensby",81,NA,1559.75,204,85,"ProximitytoHolefromRough",2007
34,34,"Tom Johnson",74,NA,1471.833,192,157,"ProximitytoHolefromRough",2007
34,34,"Jerry Kelly",101,NA,1524.667,199,78,"ProximitytoHolefromRough",2007
34,34,"Rod Pampling",92,NA,1593.5,208,76,"ProximitytoHolefromRough",2007
41,41,"Marco Dawson",73,NA,1377.583,178,44,"ProximitytoHolefromRough",2007
41,41,"Chris DiMarco",79,NA,1236.917,160,156,"ProximitytoHolefromRough",2007
41,41,"Brian Gay",107,NA,1899.833,245,19,"ProximitytoHolefromRough",2007
41,41,"Todd Hamilton",76,NA,1375.833,178,189,"ProximitytoHolefromRough",2007
41,41,"Padraig Harrington",64,NA,1218.25,157,15,"ProximitytoHolefromRough",2007
41,41,"Tim Herron",98,NA,1859.25,240,115,"ProximitytoHolefromRough",2007
41,41,"Matt Kuchar",85,NA,1347.25,174,5,"ProximitytoHolefromRough",2007
41,41,"Tom Lehman",62,NA,964.417,125,160,"ProximitytoHolefromRough",2007
41,41,"Corey Pavin",81,NA,1550.75,201,14,"ProximitytoHolefromRough",2007
41,41,"Chris Riley",59,NA,1085.083,140,1,"ProximitytoHolefromRough",2007
51,51,"Rich Barcelo",80,NA,1696,216,130,"ProximitytoHolefromRough",2007
51,51,"Craig Barlow",52,NA,959.25,123,110,"ProximitytoHolefromRough",2007
51,51,"Daniel Chopra",106,NA,1989.25,253,31,"ProximitytoHolefromRough",2007
51,51,"Bob Heintz",85,NA,1474,189,79,"ProximitytoHolefromRough",2007
51,51,"Kevin Na",84,NA,1817.083,233,3,"ProximitytoHolefromRough",2007
51,51,"Henrik Stenson",52,NA,826.75,105,167,"ProximitytoHolefromRough",2007
51,51,"Scott Verplank",82,NA,1098.833,140,18,"ProximitytoHolefromRough",2007
58,58,"Ken Duke",112,NA,2286.917,290,23,"ProximitytoHolefromRough",2007
58,58,"Ernie Els",59,NA,1057.083,133,37,"ProximitytoHolefromRough",2007
58,58,"Paul Gow",70,NA,1216.333,153,146,"ProximitytoHolefromRough",2007
58,58,"Tim Petrovic",106,NA,2030.75,257,26,"ProximitytoHolefromRough",2007
58,58,"Carl Pettersson",111,NA,2034.667,258,93,"ProximitytoHolefromRough",2007
58,58,"John Rollins",102,NA,2161.083,272,56,"ProximitytoHolefromRough",2007
58,58,"David Toms",80,NA,1192.833,150,66,"ProximitytoHolefromRough",2007
65,65,"Aaron Baddeley",83,NA,1733.5,217,25,"ProximitytoHolefromRough",2007
65,65,"Mark Calcavecchia",93,NA,1861.25,233,117,"ProximitytoHolefromRough",2007
65,65,"Glen Day",85,NA,1535.333,191,62,"ProximitytoHolefromRough",2007
65,65,"Charley Hoffman",97,NA,1981.167,248,175,"ProximitytoHolefromRough",2007
65,65,"Jesper Parnevik",88,NA,1720.417,216,103,"ProximitytoHolefromRough",2007
