"RightRoughTendencyRTPScore_RANKTHISWEEK_2007","RightRoughTendencyRTPScore_RANKLASTWEEK_2007","RightRoughTendencyRTPScore_PLAYERNAME_2007","RightRoughTendencyRTPScore_ROUNDS_2007","RightRoughTendencyRTPScore_RTPSCORE_2007","stat_name","year"
1,1,"Bubba Watson",80,-0.06,"RightRoughTendencyRTPScore",2007
2,2,"Jeff Overton",60,-0.055,"RightRoughTendencyRTPScore",2007
3,3,"Ian Poulter",63,-0.024,"RightRoughTendencyRTPScore",2007
4,4,"John Senden",97,-0.006,"RightRoughTendencyRTPScore",2007
5,5,"Ernie Els",59,0,"RightRoughTendencyRTPScore",2007
5,5,"Padraig Harrington",64,0,"RightRoughTendencyRTPScore",2007
5,5,"Brett Wetterich",88,0,"RightRoughTendencyRTPScore",2007
5,5,"Tiger Woods",63,0,"RightRoughTendencyRTPScore",2007
9,9,"Ken Duke",112,0.009,"RightRoughTendencyRTPScore",2007
9,9,"Robert Garrigus",95,0.009,"RightRoughTendencyRTPScore",2007
11,11,"Rory Sabbatini",81,0.012,"RightRoughTendencyRTPScore",2007
12,12,"Daniel Chopra",106,0.018,"RightRoughTendencyRTPScore",2007
13,13,"Arron Oberholser",69,0.019,"RightRoughTendencyRTPScore",2007
14,14,"John Daly",59,0.021,"RightRoughTendencyRTPScore",2007
15,15,"Jesper Parnevik",88,0.023,"RightRoughTendencyRTPScore",2007
16,16,"Alex Cejka",80,0.03,"RightRoughTendencyRTPScore",2007
16,16,"Anthony Kim",93,0.03,"RightRoughTendencyRTPScore",2007
18,18,"Steve Allan",63,0.031,"RightRoughTendencyRTPScore",2007
18,18,"Kenny Perry",83,0.031,"RightRoughTendencyRTPScore",2007
20,20,"Carl Pettersson",111,0.033,"RightRoughTendencyRTPScore",2007
20,20,"Vijay Singh",102,0.033,"RightRoughTendencyRTPScore",2007
22,22,"Craig Barlow",52,0.036,"RightRoughTendencyRTPScore",2007
23,23,"Tag Ridings",52,0.04,"RightRoughTendencyRTPScore",2007
24,24,"Paul Stankowski",52,0.045,"RightRoughTendencyRTPScore",2007
25,25,"Stephen Leaney",82,0.046,"RightRoughTendencyRTPScore",2007
26,26,"Phil Mickelson",73,0.048,"RightRoughTendencyRTPScore",2007
27,27,"Stewart Cink",91,0.049,"RightRoughTendencyRTPScore",2007
27,27,"Jim Furyk",84,0.049,"RightRoughTendencyRTPScore",2007
27,27,"Heath Slocum",101,0.049,"RightRoughTendencyRTPScore",2007
30,30,"Steve Stricker",81,0.05,"RightRoughTendencyRTPScore",2007
31,31,"Brian Davis",101,0.053,"RightRoughTendencyRTPScore",2007
32,32,"Steve Marino",106,0.055,"RightRoughTendencyRTPScore",2007
33,33,"Jeff Brehaut",59,0.056,"RightRoughTendencyRTPScore",2007
34,34,"Joe Ogilvie",102,0.057,"RightRoughTendencyRTPScore",2007
34,34,"Bob Tway",103,0.057,"RightRoughTendencyRTPScore",2007
36,36,"Billy Mayfair",98,0.06,"RightRoughTendencyRTPScore",2007
37,37,"Sergio Garcia",68,0.061,"RightRoughTendencyRTPScore",2007
38,38,"Cliff Kresge",107,0.065,"RightRoughTendencyRTPScore",2007
39,39,"Geoff Ogilvy",84,0.066,"RightRoughTendencyRTPScore",2007
40,40,"Craig Bowden",78,0.068,"RightRoughTendencyRTPScore",2007
40,40,"Jerry Kelly",101,0.068,"RightRoughTendencyRTPScore",2007
42,42,"Brandt Snedeker",105,0.07,"RightRoughTendencyRTPScore",2007
43,43,"Stephen Ames",81,0.071,"RightRoughTendencyRTPScore",2007
43,43,"John Merrick",92,0.071,"RightRoughTendencyRTPScore",2007
45,45,"Jeff Maggert",79,0.072,"RightRoughTendencyRTPScore",2007
46,46,"Bo Van Pelt",104,0.075,"RightRoughTendencyRTPScore",2007
47,47,"Harrison Frazar",88,0.076,"RightRoughTendencyRTPScore",2007
47,47,"Joey Sindelar",75,0.076,"RightRoughTendencyRTPScore",2007
49,49,"Mark Calcavecchia",93,0.077,"RightRoughTendencyRTPScore",2007
50,50,"Jose Maria Olazabal",52,0.078,"RightRoughTendencyRTPScore",2007
51,51,"JJ Henry",86,0.079,"RightRoughTendencyRTPScore",2007
51,51,"Matt Kuchar",85,0.079,"RightRoughTendencyRTPScore",2007
51,51,"Dean Wilson",92,0.079,"RightRoughTendencyRTPScore",2007
54,54,"Davis Love III",66,0.08,"RightRoughTendencyRTPScore",2007
54,54,"Camilo Villegas",82,0.08,"RightRoughTendencyRTPScore",2007
56,56,"DJ Trahan",99,0.081,"RightRoughTendencyRTPScore",2007
57,57,"Charlie Wi",90,0.083,"RightRoughTendencyRTPScore",2007
58,58,"Sean OHair",98,0.084,"RightRoughTendencyRTPScore",2007
59,59,"George McNeill",95,0.085,"RightRoughTendencyRTPScore",2007
60,60,"Eric Axley",107,0.087,"RightRoughTendencyRTPScore",2007
60,60,"Bill Haas",93,0.087,"RightRoughTendencyRTPScore",2007
62,62,"Michael Putnam",96,0.088,"RightRoughTendencyRTPScore",2007
63,63,"KJ Choi",87,0.089,"RightRoughTendencyRTPScore",2007
64,64,"Scott Gutschewski",67,0.092,"RightRoughTendencyRTPScore",2007
65,65,"Tim Clark",66,0.093,"RightRoughTendencyRTPScore",2007
