"DrivingDistance_RANKTHISWEEK_2009","DrivingDistance_RANKLASTWEEK_2009","DrivingDistance_PLAYERNAME_2009","DrivingDistance_ROUNDS_2009","DrivingDistance_AVG_2009","DrivingDistance_TOTALDISTANCE_2009","DrivingDistance_TOTALDRIVES_2009","stat_name","year"
133,133,"Tim Petrovic",97,282.8,53730,190,"DrivingDistance",2009
133,133,"Ian Poulter",59,282.8,31672,112,"DrivingDistance",2009
136,136,"Kevin Na",91,282.7,49195,174,"DrivingDistance",2009
137,137,"Bob Estes",78,282.6,44091,156,"DrivingDistance",2009
138,138,"Briny Baird",89,282.1,47949,170,"DrivingDistance",2009
139,139,"Lee Janzen",74,282,38354,136,"DrivingDistance",2009
140,140,"Tom Pernice Jr",82,281.9,46235,164,"DrivingDistance",2009
141,141,"Kent Jones",73,281.3,36568,130,"DrivingDistance",2009
141,141,"DA Points",99,281.3,52324,186,"DrivingDistance",2009
143,143,"Alex Cejka",82,281.2,43305,154,"DrivingDistance",2009
143,143,"Zach Johnson",94,281.2,51742,184,"DrivingDistance",2009
145,145,"Scott Verplank",88,281.1,47223,168,"DrivingDistance",2009
146,146,"Patrick Sheehan",51,281,24168,86,"DrivingDistance",2009
147,147,"Jeff Klauk",97,280.9,53375,190,"DrivingDistance",2009
148,148,"David Mathis",82,280.8,42689,152,"DrivingDistance",2009
149,149,"Cliff Kresge",78,280.5,40394,144,"DrivingDistance",2009
150,150,"KJ Choi",65,280.1,35848,128,"DrivingDistance",2009
150,150,"Tim Clark",81,280.1,43697,156,"DrivingDistance",2009
152,152,"Jim Furyk",86,279.9,46471,166,"DrivingDistance",2009
153,153,"Darron Stiles",52,279.8,26857,96,"DrivingDistance",2009
154,154,"Colt Knost",71,279.6,35234,126,"DrivingDistance",2009
154,154,"Aron Price",89,279.6,45296,162,"DrivingDistance",2009
154,154,"Chez Reavie",81,279.6,43065,154,"DrivingDistance",2009
157,157,"Ben Curtis",63,279.5,34661,124,"DrivingDistance",2009
157,157,"Chris DiMarco",97,279.5,51991,186,"DrivingDistance",2009
157,157,"Joe Durant",62,279.5,30190,108,"DrivingDistance",2009
157,157,"Peter Lonard",86,279.5,45844,164,"DrivingDistance",2009
157,157,"Parker McLachlin",71,279.5,39682,142,"DrivingDistance",2009
157,157,"Marc Turnesa",77,279.5,43045,154,"DrivingDistance",2009
163,163,"Mike Weir",85,279.3,46930,168,"DrivingDistance",2009
164,164,"John Mallinger",90,279.1,47998,172,"DrivingDistance",2009
165,165,"Spencer Levin",75,279,39611,142,"DrivingDistance",2009
166,166,"Rick Price",54,278.6,26743,96,"DrivingDistance",2009
167,167,"Chris Riley",77,278.5,39551,142,"DrivingDistance",2009
168,168,"Ryuji Imada",85,278.4,47333,170,"DrivingDistance",2009
169,169,"Brandt Snedeker",81,277.3,42703,154,"DrivingDistance",2009
170,170,"Nick OHern",90,277,47639,172,"DrivingDistance",2009
171,171,"Brendon Todd",53,276.2,28176,102,"DrivingDistance",2009
172,172,"Paul Goydos",79,275.8,42475,154,"DrivingDistance",2009
173,173,"Luke Donald",79,275.7,41901,152,"DrivingDistance",2009
174,174,"Glen Day",79,275,39054,142,"DrivingDistance",2009
175,175,"Bart Bryant",58,274.6,29652,108,"DrivingDistance",2009
176,176,"Richard Johnson",85,274,46028,168,"DrivingDistance",2009
177,177,"Jeff Quinney",78,273.4,42647,156,"DrivingDistance",2009
178,178,"Greg Kraft",51,273.1,25669,94,"DrivingDistance",2009
179,179,"Tom Lehman",55,272.2,27768,102,"DrivingDistance",2009
180,180,"Brad Faxon",59,270.8,31950,118,"DrivingDistance",2009
181,181,"Dean Wilson",81,270.3,41629,154,"DrivingDistance",2009
182,182,"Mark Brooks",55,269.2,25309,94,"DrivingDistance",2009
183,183,"Brian Gay",96,268.5,49400,184,"DrivingDistance",2009
184,184,"Corey Pavin",73,259,33666,130,"DrivingDistance",2009
