"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2008","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2008","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2008","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2008","ofPotentialPtswonFedExCupRegularSeason_Pct_2008","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2008","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2008","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2008","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2008","stat_name","year"
1,1,"Tiger Woods",6,80.05,22695,28350,4,6,"ofPotentialPtswonFedExCupRegularSeason",2008
2,2,"Padraig Harrington",15,27.43,15555,56700,2,6,"ofPotentialPtswonFedExCupRegularSeason",2008
3,3,"Phil Mickelson",21,22.97,18241,79425,2,7,"ofPotentialPtswonFedExCupRegularSeason",2008
4,4,"Kenny Perry",26,21.33,20878,97875,3,7,"ofPotentialPtswonFedExCupRegularSeason",2008
5,5,"Anthony Kim",22,18.28,15178,83025,2,6,"ofPotentialPtswonFedExCupRegularSeason",2008
6,6,"Stewart Cink",23,18.02,15126,83925,1,7,"ofPotentialPtswonFedExCupRegularSeason",2008
7,7,"Vijay Singh",23,17,15034,88425,1,6,"ofPotentialPtswonFedExCupRegularSeason",2008
8,8,"Sergio Garcia",19,14.63,10301,70425,1,3,"ofPotentialPtswonFedExCupRegularSeason",2008
9,9,"Justin Leonard",25,13.7,12734,92925,1,5,"ofPotentialPtswonFedExCupRegularSeason",2008
10,10,"Geoff Ogilvy",20,13.68,10866,79425,1,6,"ofPotentialPtswonFedExCupRegularSeason",2008
11,11,"Adam Scott",15,13.28,7558,56925,1,3,"ofPotentialPtswonFedExCupRegularSeason",2008
12,12,"Ryuji Imada",25,12.46,10903,87525,1,4,"ofPotentialPtswonFedExCupRegularSeason",2008
13,13,"Ernie Els",16,12.34,7023,56925,1,3,"ofPotentialPtswonFedExCupRegularSeason",2008
14,14,"Lee Westwood",10,11.74,5626,47925,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2008
15,15,"Luke Donald",11,11.7,6001,51300,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2008
16,16,"KJ Choi",21,11.13,8843,79425,1,3,"ofPotentialPtswonFedExCupRegularSeason",2008
17,17,"Robert Allenby",28,10.83,10554,97425,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2008
18,18,"Boo Weekley",24,10.39,9655,92925,1,5,"ofPotentialPtswonFedExCupRegularSeason",2008
19,19,"Greg Norman",4,9.85,1595,16200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2008
20,20,"Trevor Immelman",22,9.83,8209,83475,1,2,"ofPotentialPtswonFedExCupRegularSeason",2008
21,21,"Sean OHair",25,9.79,9029,92250,1,3,"ofPotentialPtswonFedExCupRegularSeason",2008
