"RyderCupWorldPoints_RANKTHISWEEK_2013","RyderCupWorldPoints_RANKLASTWEEK_2013","RyderCupWorldPoints_PLAYERNAME_2013","RyderCupWorldPoints__2013","RyderCupWorldPoints_POINTS_2013","stat_name","year"
1,1,"Rory McIlroy",NA,468.81,"RyderCupWorldPoints",2013
2,2,"Luke Donald",NA,363.46,"RyderCupWorldPoints",2013
3,3,"Justin Rose",NA,322.33,"RyderCupWorldPoints",2013
4,4,"Lee Westwood",NA,280.27,"RyderCupWorldPoints",2013
5,5,"Graeme McDowell",NA,262.62,"RyderCupWorldPoints",2013
6,6,"Paul Lawrie",NA,211.49,"RyderCupWorldPoints",2013
7,7,"Sergio Garcia",NA,200.85,"RyderCupWorldPoints",2013
8,8,"Francesco Molinari",NA,191.25,"RyderCupWorldPoints",2013
9,9,"Peter Hanson",NA,189.32,"RyderCupWorldPoints",2013
10,10,"Martin Kaymer",NA,172.26,"RyderCupWorldPoints",2013
11,11,"Ian Poulter",NA,171.64,"RyderCupWorldPoints",2013
12,12,"Nicolas Colsaerts",NA,161.67,"RyderCupWorldPoints",2013
13,13,"Rafa Cabrera Bello",NA,144.2,"RyderCupWorldPoints",2013
14,14,"David Lynn",NA,143.01,"RyderCupWorldPoints",2013
15,15,"Gonzalo Fdez Castano",NA,134.93,"RyderCupWorldPoints",2013
16,16,"Thomas Bjorn",NA,129.34,"RyderCupWorldPoints",2013
17,17,"Marcel Siem",NA,124.83,"RyderCupWorldPoints",2013
18,18,"Simon Dyson",NA,112.84,"RyderCupWorldPoints",2013
19,19,"Padraig Harrington",NA,107.4,"RyderCupWorldPoints",2013
20,20,"Freddie Jacobson",NA,107.08,"RyderCupWorldPoints",2013
21,21,"Jamie Donaldson",NA,106.84,"RyderCupWorldPoints",2013
22,22,"Martin Laird",NA,101.61,"RyderCupWorldPoints",2013
23,23,"Robert Rock",NA,99.86,"RyderCupWorldPoints",2013
24,24,"Bernd Wiesberger",NA,97.53,"RyderCupWorldPoints",2013
25,25,"Joost Luiten",NA,96.8,"RyderCupWorldPoints",2013
26,26,"Alvaro Quiros",NA,94.28,"RyderCupWorldPoints",2013
27,27,"Michael Hoey",NA,91.93,"RyderCupWorldPoints",2013
28,28,"Miguel Angel Jimenez",NA,87.76,"RyderCupWorldPoints",2013
29,29,"Thorbjorn Olesen",NA,82.84,"RyderCupWorldPoints",2013
30,30,"Richie Ramsay",NA,80.2,"RyderCupWorldPoints",2013
31,31,"Alexander Noren",NA,78.79,"RyderCupWorldPoints",2013
32,32,"Shane Lowry",NA,70.22,"RyderCupWorldPoints",2013
33,33,"Robert Karlsson",NA,69.67,"RyderCupWorldPoints",2013
34,34,"Matteo Manassero",NA,66.77,"RyderCupWorldPoints",2013
35,35,"Stephen Gallacher",NA,65.2,"RyderCupWorldPoints",2013
36,36,"Paul Casey",NA,64.4,"RyderCupWorldPoints",2013
37,37,"Henrik Stenson",NA,64.33,"RyderCupWorldPoints",2013
38,38,"Danny Willett",NA,64.15,"RyderCupWorldPoints",2013
39,39,"Soren Kjeldsen",NA,61.2,"RyderCupWorldPoints",2013
40,40,"Gregory Havret",NA,61.01,"RyderCupWorldPoints",2013
41,41,"Pablo Larrazabal",NA,60.47,"RyderCupWorldPoints",2013
42,42,"Anders Hansen",NA,56.92,"RyderCupWorldPoints",2013
43,43,"Ross Fisher",NA,56.42,"RyderCupWorldPoints",2013
44,44,"Lee Slattery",NA,53.68,"RyderCupWorldPoints",2013
45,45,"Julien Quesne",NA,51.21,"RyderCupWorldPoints",2013
46,46,"Chris Wood",NA,51.16,"RyderCupWorldPoints",2013
47,47,"Victor Dubuisson",NA,49.87,"RyderCupWorldPoints",2013
48,48,"Marc Warren",NA,49.64,"RyderCupWorldPoints",2013
49,49,"Romain Wattel",NA,49.27,"RyderCupWorldPoints",2013
50,50,"Peter Lawrie",NA,49.01,"RyderCupWorldPoints",2013
51,51,"Alejandro Canizares",NA,46.72,"RyderCupWorldPoints",2013
52,52,"Tom Lewis",NA,46.54,"RyderCupWorldPoints",2013
53,53,"Anthony Wall",NA,45.98,"RyderCupWorldPoints",2013
55,55,"Simon Wakefield",NA,44.98,"RyderCupWorldPoints",2013
56,56,"Raphael Jacquelin",NA,44.95,"RyderCupWorldPoints",2013
57,57,"James Morrison",NA,44.84,"RyderCupWorldPoints",2013
58,58,"David Drysdale",NA,44.55,"RyderCupWorldPoints",2013
