"StrokeDifferentialFieldAverage_RANKTHISWEEK_2005","StrokeDifferentialFieldAverage_RANKLASTWEEK_2005","StrokeDifferentialFieldAverage_PLAYERNAME_2005","StrokeDifferentialFieldAverage_ROUNDS_2005","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2005","StrokeDifferentialFieldAverage_PLAYERSSCORE_2005","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2005","stat_name","year"
1,1,"Tiger Woods",76,2.67,69.11,71.78,"StrokeDifferentialFieldAverage",2005
2,2,"Vijay Singh",111,2.24,69.59,71.83,"StrokeDifferentialFieldAverage",2005
3,3,"Phil Mickelson",81,1.86,69.86,71.72,"StrokeDifferentialFieldAverage",2005
4,4,"Jim Furyk",94,1.84,69.68,71.52,"StrokeDifferentialFieldAverage",2005
5,5,"Luke Donald",67,1.55,70.27,71.82,"StrokeDifferentialFieldAverage",2005
6,6,"Sergio Garcia",73,1.53,70.24,71.77,"StrokeDifferentialFieldAverage",2005
7,7,"Kenny Perry",82,1.45,70.04,71.49,"StrokeDifferentialFieldAverage",2005
8,8,"David Toms",87,1.41,70.05,71.46,"StrokeDifferentialFieldAverage",2005
9,9,"Davis Love III",80,1.27,70.45,71.72,"StrokeDifferentialFieldAverage",2005
10,10,"Jose Maria Olazabal",55,1.23,70.66,71.89,"StrokeDifferentialFieldAverage",2005
11,11,"Retief Goosen",71,1.16,70.54,71.7,"StrokeDifferentialFieldAverage",2005
12,12,"Tim Herron",100,1.13,70.36,71.49,"StrokeDifferentialFieldAverage",2005
13,13,"Scott Verplank",87,1.1,70.23,71.33,"StrokeDifferentialFieldAverage",2005
14,14,"Tim Clark",92,1.06,70.49,71.55,"StrokeDifferentialFieldAverage",2005
15,15,"Loren Roberts",54,1.02,70.55,71.57,"StrokeDifferentialFieldAverage",2005
16,16,"Adam Scott",72,1.01,70.87,71.88,"StrokeDifferentialFieldAverage",2005
17,17,"Ben Crane",78,1,69.89,70.89,"StrokeDifferentialFieldAverage",2005
18,18,"Shigeki Maruyama",99,0.94,70.55,71.49,"StrokeDifferentialFieldAverage",2005
19,19,"Geoff Ogilvy",97,0.93,70.51,71.44,"StrokeDifferentialFieldAverage",2005
20,20,"Charles Howell III",95,0.91,70.72,71.63,"StrokeDifferentialFieldAverage",2005
20,20,"Billy Mayfair",114,0.91,70.36,71.27,"StrokeDifferentialFieldAverage",2005
22,22,"Bart Bryant",91,0.9,70.24,71.14,"StrokeDifferentialFieldAverage",2005
22,22,"Stewart Cink",98,0.9,70.62,71.52,"StrokeDifferentialFieldAverage",2005
22,22,"Bob Estes",92,0.9,70.41,71.31,"StrokeDifferentialFieldAverage",2005
25,25,"Fred Couples",72,0.86,70.94,71.8,"StrokeDifferentialFieldAverage",2005
26,26,"Chris DiMarco",83,0.85,70.77,71.62,"StrokeDifferentialFieldAverage",2005
27,27,"Justin Leonard",78,0.84,70.53,71.37,"StrokeDifferentialFieldAverage",2005
27,27,"Justin Rose",99,0.84,70.48,71.32,"StrokeDifferentialFieldAverage",2005
29,29,"Zach Johnson",96,0.82,70.81,71.63,"StrokeDifferentialFieldAverage",2005
30,30,"Arjun Atwal",65,0.8,70.4,71.2,"StrokeDifferentialFieldAverage",2005
31,31,"Dudley Hart",84,0.76,70.54,71.3,"StrokeDifferentialFieldAverage",2005
31,31,"Arron Oberholser",65,0.76,70.68,71.44,"StrokeDifferentialFieldAverage",2005
33,33,"Bernhard Langer",67,0.75,71.09,71.84,"StrokeDifferentialFieldAverage",2005
34,34,"Chad Campbell",95,0.74,70.67,71.41,"StrokeDifferentialFieldAverage",2005
35,35,"Steve Elkington",67,0.73,70.64,71.37,"StrokeDifferentialFieldAverage",2005
36,36,"Brandt Jobe",96,0.72,70.73,71.45,"StrokeDifferentialFieldAverage",2005
36,36,"Richard Johnson",50,0.72,70.28,71,"StrokeDifferentialFieldAverage",2005
38,38,"KJ Choi",78,0.71,71.12,71.83,"StrokeDifferentialFieldAverage",2005
38,38,"Tom Pernice Jr",111,0.71,70.95,71.66,"StrokeDifferentialFieldAverage",2005
40,40,"Jason Bohn",91,0.68,70.44,71.12,"StrokeDifferentialFieldAverage",2005
41,41,"Mark Calcavecchia",92,0.66,70.76,71.42,"StrokeDifferentialFieldAverage",2005
41,41,"Fred Funk",102,0.66,70.89,71.55,"StrokeDifferentialFieldAverage",2005
43,43,"Brad Faxon",75,0.65,70.94,71.59,"StrokeDifferentialFieldAverage",2005
43,43,"Brett Quigley",96,0.65,70.85,71.5,"StrokeDifferentialFieldAverage",2005
45,45,"Greg Owen",84,0.64,71.14,71.78,"StrokeDifferentialFieldAverage",2005
45,45,"Kevin Sutherland",89,0.64,70.7,71.34,"StrokeDifferentialFieldAverage",2005
47,47,"John Senden",101,0.63,70.6,71.23,"StrokeDifferentialFieldAverage",2005
48,48,"Stuart Appleby",84,0.61,70.83,71.44,"StrokeDifferentialFieldAverage",2005
48,48,"Jerry Kelly",101,0.61,70.99,71.6,"StrokeDifferentialFieldAverage",2005
50,50,"Rod Pampling",89,0.6,71.15,71.75,"StrokeDifferentialFieldAverage",2005
50,50,"Bob Tway",87,0.6,70.77,71.37,"StrokeDifferentialFieldAverage",2005
52,52,"Robert Allenby",95,0.59,70.89,71.48,"StrokeDifferentialFieldAverage",2005
52,52,"Sean OHair",103,0.59,70.85,71.44,"StrokeDifferentialFieldAverage",2005
54,54,"Vaughn Taylor",99,0.57,70.76,71.33,"StrokeDifferentialFieldAverage",2005
54,54,"Bo Van Pelt",112,0.57,70.67,71.24,"StrokeDifferentialFieldAverage",2005
56,56,"Stephen Ames",82,0.55,71.22,71.77,"StrokeDifferentialFieldAverage",2005
57,57,"Brian Davis",75,0.53,71.07,71.6,"StrokeDifferentialFieldAverage",2005
58,58,"Olin Browne",99,0.52,70.43,70.95,"StrokeDifferentialFieldAverage",2005
58,58,"Tom Lehman",69,0.52,71.07,71.59,"StrokeDifferentialFieldAverage",2005
60,60,"Lucas Glover",88,0.51,70.94,71.45,"StrokeDifferentialFieldAverage",2005
60,60,"Carl Pettersson",109,0.51,70.7,71.21,"StrokeDifferentialFieldAverage",2005
62,62,"Woody Austin",100,0.5,70.94,71.44,"StrokeDifferentialFieldAverage",2005
62,62,"Joe Ogilvie",103,0.5,71.31,71.81,"StrokeDifferentialFieldAverage",2005
62,62,"Jesper Parnevik",84,0.5,71.09,71.59,"StrokeDifferentialFieldAverage",2005
65,65,"Dean Wilson",86,0.49,70.7,71.19,"StrokeDifferentialFieldAverage",2005
66,66,"Harrison Frazar",105,0.48,70.54,71.02,"StrokeDifferentialFieldAverage",2005
67,67,"JL Lewis",98,0.47,71,71.47,"StrokeDifferentialFieldAverage",2005
67,67,"Heath Slocum",103,0.47,70.56,71.03,"StrokeDifferentialFieldAverage",2005
69,69,"JJ Henry",102,0.46,70.69,71.15,"StrokeDifferentialFieldAverage",2005
70,70,"Corey Pavin",77,0.43,70.81,71.24,"StrokeDifferentialFieldAverage",2005
71,71,"Joe Durant",81,0.42,71.01,71.43,"StrokeDifferentialFieldAverage",2005
72,72,"Billy Andrade",83,0.41,71.12,71.53,"StrokeDifferentialFieldAverage",2005
72,72,"Jeff Brehaut",71,0.41,70.54,70.95,"StrokeDifferentialFieldAverage",2005
72,72,"Pat Perez",89,0.41,71.11,71.52,"StrokeDifferentialFieldAverage",2005
75,75,"Mathias Gronberg",60,0.4,70.6,71,"StrokeDifferentialFieldAverage",2005
76,76,"Scott Gutschewski",86,0.39,70.79,71.18,"StrokeDifferentialFieldAverage",2005
77,77,"Padraig Harrington",50,0.35,71.52,71.87,"StrokeDifferentialFieldAverage",2005
78,78,"Carlos Franco",78,0.34,71.07,71.41,"StrokeDifferentialFieldAverage",2005
78,78,"Freddie Jacobson",72,0.34,71.44,71.78,"StrokeDifferentialFieldAverage",2005
78,78,"Peter Lonard",85,0.34,71.31,71.65,"StrokeDifferentialFieldAverage",2005
78,78,"Rocco Mediate",73,0.34,71.03,71.37,"StrokeDifferentialFieldAverage",2005
78,78,"John Rollins",97,0.34,71.09,71.43,"StrokeDifferentialFieldAverage",2005
78,78,"Joey Sindelar",104,0.34,70.95,71.29,"StrokeDifferentialFieldAverage",2005
84,84,"Briny Baird",98,0.33,70.73,71.06,"StrokeDifferentialFieldAverage",2005
84,84,"Ted Purdy",122,0.33,71.23,71.56,"StrokeDifferentialFieldAverage",2005
84,84,"Darron Stiles",78,0.33,70.67,71,"StrokeDifferentialFieldAverage",2005
87,87,"Jonathan Kaye",77,0.31,71.14,71.45,"StrokeDifferentialFieldAverage",2005
87,87,"Stephen Leaney",89,0.31,70.93,71.24,"StrokeDifferentialFieldAverage",2005
89,89,"Marco Dawson",82,0.29,70.77,71.06,"StrokeDifferentialFieldAverage",2005
89,89,"Dan Forsman",52,0.29,70.58,70.87,"StrokeDifferentialFieldAverage",2005
89,89,"Jeff Sluman",94,0.29,70.97,71.26,"StrokeDifferentialFieldAverage",2005
92,92,"Tommy Armour III",103,0.28,71.07,71.35,"StrokeDifferentialFieldAverage",2005
92,92,"Daniel Chopra",108,0.28,70.96,71.24,"StrokeDifferentialFieldAverage",2005
92,92,"Lee Westwood",50,0.28,71.83,72.11,"StrokeDifferentialFieldAverage",2005
95,95,"Craig Barlow",81,0.27,71.29,71.56,"StrokeDifferentialFieldAverage",2005
95,95,"DJ Trahan",81,0.27,70.94,71.21,"StrokeDifferentialFieldAverage",2005
97,97,"Jay Williamson",53,0.26,71.45,71.71,"StrokeDifferentialFieldAverage",2005
98,98,"Rory Sabbatini",81,0.25,71.41,71.66,"StrokeDifferentialFieldAverage",2005
98,98,"Joey Snyder III",102,0.25,71.06,71.31,"StrokeDifferentialFieldAverage",2005
100,100,"Kirk Triplett",55,0.23,71.27,71.5,"StrokeDifferentialFieldAverage",2005
101,101,"Ryuji Imada",78,0.22,70.92,71.14,"StrokeDifferentialFieldAverage",2005
102,102,"Jeff Maggert",79,0.21,71.27,71.48,"StrokeDifferentialFieldAverage",2005
103,103,"Omar Uresti",84,0.18,70.86,71.04,"StrokeDifferentialFieldAverage",2005
104,104,"Jay Haas",54,0.17,71.9,72.07,"StrokeDifferentialFieldAverage",2005
105,105,"Tag Ridings",93,0.15,71.04,71.19,"StrokeDifferentialFieldAverage",2005
106,106,"Jonathan Byrd",103,0.14,71.14,71.28,"StrokeDifferentialFieldAverage",2005
106,106,"Kent Jones",99,0.14,71.15,71.29,"StrokeDifferentialFieldAverage",2005
108,108,"Phillip Price",77,0.13,70.84,70.97,"StrokeDifferentialFieldAverage",2005
109,109,"Robert Gamez",91,0.12,71.04,71.16,"StrokeDifferentialFieldAverage",2005
109,109,"Steve Stricker",62,0.12,70.76,70.88,"StrokeDifferentialFieldAverage",2005
