"Front9Round2ScoringAverage_RANKTHISWEEK_2006","Front9Round2ScoringAverage_RANKLASTWEEK_2006","Front9Round2ScoringAverage_PLAYERNAME_2006","Front9Round2ScoringAverage__2006","Front9Round2ScoringAverage_AVG_2006","Front9Round2ScoringAverage_TOTALSTROKES_2006","Front9Round2ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Luke Donald",NA,34.13,546,16,"Front9Round2ScoringAverage",2006
2,2,"Tiger Woods",NA,34.29,480,14,"Front9Round2ScoringAverage",2006
3,3,"Jim Furyk",NA,34.48,793,23,"Front9Round2ScoringAverage",2006
4,4,"Trevor Immelman",NA,34.54,829,24,"Front9Round2ScoringAverage",2006
5,5,"Matt Hansen",NA,34.57,795,23,"Front9Round2ScoringAverage",2006
6,6,"Brett Wetterich",NA,34.6,865,25,"Front9Round2ScoringAverage",2006
7,7,"Ernie Els",NA,34.63,554,16,"Front9Round2ScoringAverage",2006
7,7,"Steve Stricker",NA,34.63,554,16,"Front9Round2ScoringAverage",2006
9,9,"Arron Oberholser",NA,34.67,728,21,"Front9Round2ScoringAverage",2006
10,10,"David Branshaw",NA,34.68,971,28,"Front9Round2ScoringAverage",2006
11,11,"Michael Allen",NA,34.71,833,24,"Front9Round2ScoringAverage",2006
11,11,"Tim Clark",NA,34.71,729,21,"Front9Round2ScoringAverage",2006
13,13,"Bob Estes",NA,34.72,868,25,"Front9Round2ScoringAverage",2006
14,14,"Ryan Moore",NA,34.75,695,20,"Front9Round2ScoringAverage",2006
14,14,"Brett Quigley",NA,34.75,1112,32,"Front9Round2ScoringAverage",2006
16,16,"Stephen Ames",NA,34.76,591,17,"Front9Round2ScoringAverage",2006
17,17,"Harrison Frazar",NA,34.78,939,27,"Front9Round2ScoringAverage",2006
18,18,"Kevin Sutherland",NA,34.82,975,28,"Front9Round2ScoringAverage",2006
19,19,"Mike Weir",NA,34.83,801,23,"Front9Round2ScoringAverage",2006
20,20,"Daniel Chopra",NA,34.84,1115,32,"Front9Round2ScoringAverage",2006
21,21,"Robert Garrigus",NA,34.88,907,26,"Front9Round2ScoringAverage",2006
22,22,"Adam Scott",NA,34.89,628,18,"Front9Round2ScoringAverage",2006
23,23,"Stewart Cink",NA,34.92,838,24,"Front9Round2ScoringAverage",2006
24,24,"Joe Durant",NA,34.93,978,28,"Front9Round2ScoringAverage",2006
24,24,"Padraig Harrington",NA,34.93,489,14,"Front9Round2ScoringAverage",2006
24,24,"John Senden",NA,34.93,943,27,"Front9Round2ScoringAverage",2006
24,24,"Bo Van Pelt",NA,34.93,978,28,"Front9Round2ScoringAverage",2006
28,28,"Kirk Triplett",NA,34.94,559,16,"Front9Round2ScoringAverage",2006
29,29,"Frank Lickliter II",NA,34.96,979,28,"Front9Round2ScoringAverage",2006
30,30,"Jason Bohn",NA,34.97,1014,29,"Front9Round2ScoringAverage",2006
30,30,"Brian Gay",NA,34.97,1084,31,"Front9Round2ScoringAverage",2006
30,30,"Jeff Sluman",NA,34.97,1014,29,"Front9Round2ScoringAverage",2006
33,33,"Mark Calcavecchia",NA,35,840,24,"Front9Round2ScoringAverage",2006
33,33,"Greg Owen",NA,35,770,22,"Front9Round2ScoringAverage",2006
33,33,"Scott Verplank",NA,35,805,23,"Front9Round2ScoringAverage",2006
36,36,"Dudley Hart",NA,35.04,876,25,"Front9Round2ScoringAverage",2006
36,36,"Charley Hoffman",NA,35.04,981,28,"Front9Round2ScoringAverage",2006
36,36,"Shigeki Maruyama",NA,35.04,946,27,"Front9Round2ScoringAverage",2006
36,36,"Daisuke Maruyama",NA,35.04,841,24,"Front9Round2ScoringAverage",2006
40,40,"Jonathan Byrd",NA,35.05,666,19,"Front9Round2ScoringAverage",2006
41,41,"Sergio Garcia",NA,35.07,526,15,"Front9Round2ScoringAverage",2006
41,41,"Lucas Glover",NA,35.07,1017,29,"Front9Round2ScoringAverage",2006
43,43,"Rod Pampling",NA,35.09,772,22,"Front9Round2ScoringAverage",2006
44,44,"Stuart Appleby",NA,35.1,737,21,"Front9Round2ScoringAverage",2006
44,44,"Craig Barlow",NA,35.1,737,21,"Front9Round2ScoringAverage",2006
44,44,"Skip Kendall",NA,35.1,737,21,"Front9Round2ScoringAverage",2006
47,47,"Camilo Villegas",NA,35.11,983,28,"Front9Round2ScoringAverage",2006
48,48,"Kent Jones",NA,35.13,1089,31,"Front9Round2ScoringAverage",2006
48,48,"Jose Maria Olazabal",NA,35.13,562,16,"Front9Round2ScoringAverage",2006
