"BirdieAverage_RANKTHISWEEK_2009","BirdieAverage_RANKLASTWEEK_2009","BirdieAverage_PLAYERNAME_2009","BirdieAverage_ROUNDS_2009","BirdieAverage_AVG_2009","BirdieAverage_OFBIRDIES_2009","BirdieAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,4.15,257,62,"BirdieAverage",2009
2,2,"Anthony Kim",76,4.11,304,74,"BirdieAverage",2009
2,2,"Hunter Mahan",94,4.11,378,92,"BirdieAverage",2009
4,4,"Jonathan Byrd",89,4.09,364,89,"BirdieAverage",2009
5,5,"Stephen Ames",77,4.07,305,75,"BirdieAverage",2009
6,6,"Dustin Johnson",85,4.06,341,84,"BirdieAverage",2009
7,7,"Steve Stricker",81,4,316,79,"BirdieAverage",2009
8,8,"Fred Couples",54,3.98,215,54,"BirdieAverage",2009
8,8,"Justin Leonard",95,3.98,362,91,"BirdieAverage",2009
10,10,"Bo Van Pelt",100,3.95,395,100,"BirdieAverage",2009
11,11,"Tim Clark",81,3.94,307,78,"BirdieAverage",2009
12,12,"Jason Day",61,3.93,240,61,"BirdieAverage",2009
13,13,"Daniel Chopra",89,3.92,349,89,"BirdieAverage",2009
13,13,"Harrison Frazar",93,3.92,365,93,"BirdieAverage",2009
13,13,"Lucas Glover",93,3.92,365,93,"BirdieAverage",2009
16,16,"Scott Piercy",85,3.88,330,85,"BirdieAverage",2009
16,16,"Dean Wilson",81,3.88,314,81,"BirdieAverage",2009
18,18,"Joe Durant",62,3.87,240,62,"BirdieAverage",2009
19,19,"Charley Hoffman",97,3.84,372,97,"BirdieAverage",2009
20,20,"Nick Watney",86,3.83,329,86,"BirdieAverage",2009
21,21,"Greg Chalmers",85,3.82,325,85,"BirdieAverage",2009
21,21,"Martin Laird",72,3.82,275,72,"BirdieAverage",2009
21,21,"Sean OHair",80,3.82,290,76,"BirdieAverage",2009
21,21,"Geoff Ogilvy",78,3.82,275,72,"BirdieAverage",2009
25,25,"Brian Davis",103,3.81,392,103,"BirdieAverage",2009
25,25,"Ted Purdy",101,3.81,385,101,"BirdieAverage",2009
27,27,"Kevin Streelman",97,3.79,368,97,"BirdieAverage",2009
28,28,"Phil Mickelson",66,3.78,238,63,"BirdieAverage",2009
28,28,"Ryan Moore",89,3.78,336,89,"BirdieAverage",2009
28,28,"Matt Weibring",65,3.78,246,65,"BirdieAverage",2009
31,31,"Matt Kuchar",82,3.77,309,82,"BirdieAverage",2009
32,32,"Jim Furyk",86,3.76,312,83,"BirdieAverage",2009
32,32,"Jerry Kelly",90,3.76,338,90,"BirdieAverage",2009
32,32,"DJ Trahan",96,3.76,361,96,"BirdieAverage",2009
35,35,"Brendon de Jonge",90,3.74,337,90,"BirdieAverage",2009
36,36,"Matt Bettencourt",98,3.73,366,98,"BirdieAverage",2009
36,36,"Kris Blanks",60,3.73,224,60,"BirdieAverage",2009
36,36,"Zach Johnson",94,3.73,343,92,"BirdieAverage",2009
36,36,"Rory Sabbatini",81,3.73,298,80,"BirdieAverage",2009
36,36,"Vaughn Taylor",88,3.73,328,88,"BirdieAverage",2009
41,41,"Mark Calcavecchia",72,3.72,268,72,"BirdieAverage",2009
41,41,"Joe Ogilvie",85,3.72,316,85,"BirdieAverage",2009
43,43,"Kenny Perry",92,3.71,338,91,"BirdieAverage",2009
44,44,"Bill Haas",91,3.7,337,91,"BirdieAverage",2009
44,44,"Matt Jones",56,3.7,207,56,"BirdieAverage",2009
44,44,"Justin Rose",71,3.7,259,70,"BirdieAverage",2009
44,44,"Charlie Wi",92,3.7,340,92,"BirdieAverage",2009
48,48,"David Toms",98,3.69,362,98,"BirdieAverage",2009
49,49,"Michael Letzig",96,3.68,353,96,"BirdieAverage",2009
49,49,"Steve Marino",98,3.68,361,98,"BirdieAverage",2009
49,49,"Scott Verplank",88,3.68,324,88,"BirdieAverage",2009
49,49,"Gary Woodland",53,3.68,195,53,"BirdieAverage",2009
53,53,"Robert Garrigus",83,3.67,305,83,"BirdieAverage",2009
53,53,"Kevin Na",91,3.67,334,91,"BirdieAverage",2009
53,53,"Chris Stroud",88,3.67,323,88,"BirdieAverage",2009
53,53,"YE Yang",83,3.67,305,83,"BirdieAverage",2009
57,57,"Ben Crane",93,3.66,340,93,"BirdieAverage",2009
57,57,"Jason Dufner",90,3.66,329,90,"BirdieAverage",2009
57,57,"Tag Ridings",50,3.66,183,50,"BirdieAverage",2009
57,57,"Bubba Watson",73,3.66,267,73,"BirdieAverage",2009
61,61,"Rod Pampling",72,3.65,259,71,"BirdieAverage",2009
61,61,"DA Points",99,3.65,361,99,"BirdieAverage",2009
61,61,"Nicholas Thompson",96,3.65,350,96,"BirdieAverage",2009
64,64,"Angel Cabrera",55,3.63,196,54,"BirdieAverage",2009
64,64,"Luke Donald",79,3.63,276,76,"BirdieAverage",2009
64,64,"George McNeill",82,3.63,298,82,"BirdieAverage",2009
64,64,"Camilo Villegas",76,3.63,265,73,"BirdieAverage",2009
64,64,"Charles Warren",63,3.63,229,63,"BirdieAverage",2009
69,69,"Chad Campbell",90,3.6,324,90,"BirdieAverage",2009
69,69,"Alex Cejka",82,3.6,295,82,"BirdieAverage",2009
69,69,"Marc Leishman",91,3.6,328,91,"BirdieAverage",2009
69,69,"John Merrick",91,3.6,328,91,"BirdieAverage",2009
69,69,"Andres Romero",58,3.6,205,57,"BirdieAverage",2009
69,69,"Webb Simpson",94,3.6,338,94,"BirdieAverage",2009
75,75,"Freddie Jacobson",83,3.59,298,83,"BirdieAverage",2009
76,76,"Jason Bohn",88,3.58,315,88,"BirdieAverage",2009
76,76,"Paul Goydos",79,3.58,283,79,"BirdieAverage",2009
76,76,"Greg Owen",97,3.58,347,97,"BirdieAverage",2009
76,76,"Pat Perez",74,3.58,258,72,"BirdieAverage",2009
76,76,"Jeff Quinney",78,3.58,279,78,"BirdieAverage",2009
76,76,"Chris Riley",77,3.58,276,77,"BirdieAverage",2009
82,82,"Woody Austin",84,3.57,300,84,"BirdieAverage",2009
82,82,"Jeff Overton",92,3.57,328,92,"BirdieAverage",2009
82,82,"Tim Petrovic",97,3.57,346,97,"BirdieAverage",2009
85,85,"Briny Baird",89,3.56,317,89,"BirdieAverage",2009
85,85,"Bob Heintz",59,3.56,210,59,"BirdieAverage",2009
85,85,"James Nitties",86,3.56,306,86,"BirdieAverage",2009
85,85,"Mark Wilson",99,3.56,352,99,"BirdieAverage",2009
89,89,"Tim Herron",87,3.55,309,87,"BirdieAverage",2009
89,89,"Charles Howell III",99,3.55,351,99,"BirdieAverage",2009
89,89,"Kevin Sutherland",96,3.55,337,95,"BirdieAverage",2009
89,89,"Boo Weekley",79,3.55,273,77,"BirdieAverage",2009
93,93,"Aaron Baddeley",66,3.54,230,65,"BirdieAverage",2009
93,93,"Lee Janzen",74,3.54,262,74,"BirdieAverage",2009
93,93,"Bryce Molder",69,3.54,244,69,"BirdieAverage",2009
93,93,"Mike Weir",85,3.54,297,84,"BirdieAverage",2009
97,97,"Michael Allen",73,3.53,258,73,"BirdieAverage",2009
97,97,"John Senden",100,3.53,353,100,"BirdieAverage",2009
99,99,"Steve Lowery",83,3.52,292,83,"BirdieAverage",2009
99,99,"Scott McCarron",91,3.52,320,91,"BirdieAverage",2009
101,101,"Brian Gay",96,3.51,337,96,"BirdieAverage",2009
101,101,"Ryan Palmer",78,3.51,274,78,"BirdieAverage",2009
101,101,"Brandt Snedeker",81,3.51,284,81,"BirdieAverage",2009
104,104,"Ernie Els",70,3.48,230,66,"BirdieAverage",2009
104,104,"Brett Quigley",92,3.48,320,92,"BirdieAverage",2009
106,106,"JB Holmes",74,3.47,257,74,"BirdieAverage",2009
106,106,"Cliff Kresge",78,3.47,271,78,"BirdieAverage",2009
106,106,"Kirk Triplett",60,3.47,208,60,"BirdieAverage",2009
109,109,"Davis Love III",89,3.46,301,87,"BirdieAverage",2009
110,110,"Patrick Sheehan",51,3.45,176,51,"BirdieAverage",2009
111,111,"Colt Knost",71,3.44,244,71,"BirdieAverage",2009
111,111,"Troy Matteson",95,3.44,327,95,"BirdieAverage",2009
111,111,"Corey Pavin",73,3.44,251,73,"BirdieAverage",2009
114,114,"Rich Beem",77,3.43,264,77,"BirdieAverage",2009
114,114,"John Mallinger",90,3.43,309,90,"BirdieAverage",2009
114,114,"Ian Poulter",59,3.43,192,56,"BirdieAverage",2009
117,117,"Jeff Maggert",79,3.42,270,79,"BirdieAverage",2009
117,117,"John Rollins",92,3.42,315,92,"BirdieAverage",2009
119,119,"Mathew Goggin",76,3.41,252,74,"BirdieAverage",2009
119,119,"Scott Sterling",51,3.41,174,51,"BirdieAverage",2009
121,121,"Tommy Armour III",58,3.4,197,58,"BirdieAverage",2009
121,121,"Bob Estes",78,3.4,265,78,"BirdieAverage",2009
121,121,"Richard Johnson",85,3.4,289,85,"BirdieAverage",2009
121,121,"Nick OHern",90,3.4,306,90,"BirdieAverage",2009
125,125,"Ryuji Imada",85,3.39,288,85,"BirdieAverage",2009
125,125,"Bill Lunde",83,3.39,281,83,"BirdieAverage",2009
125,125,"Vijay Singh",71,3.39,234,69,"BirdieAverage",2009
125,125,"Heath Slocum",95,3.39,322,95,"BirdieAverage",2009
129,129,"Padraig Harrington",66,3.38,220,65,"BirdieAverage",2009
129,129,"Will Ma Kenzie",69,3.38,233,69,"BirdieAverage",2009
129,129,"Johnson Wagner",81,3.38,274,81,"BirdieAverage",2009
132,132,"Jeff Klauk",97,3.37,327,97,"BirdieAverage",2009
132,132,"Parker McLachlin",71,3.37,239,71,"BirdieAverage",2009
132,132,"Tom Pernice Jr",82,3.37,276,82,"BirdieAverage",2009
135,135,"Sergio Garcia",59,3.36,195,58,"BirdieAverage",2009
136,136,"Jason Gore",74,3.35,248,74,"BirdieAverage",2009
136,136,"Leif Olson",51,3.35,171,51,"BirdieAverage",2009
138,138,"Cameron Beckman",87,3.33,290,87,"BirdieAverage",2009
139,139,"David Duval",56,3.32,186,56,"BirdieAverage",2009
140,140,"Chris DiMarco",97,3.31,321,97,"BirdieAverage",2009
140,140,"Steve Elkington",70,3.31,232,70,"BirdieAverage",2009
140,140,"Jimmy Walker",74,3.31,245,74,"BirdieAverage",2009
143,143,"Nathan Green",104,3.3,343,104,"BirdieAverage",2009
144,144,"Adam Scott",53,3.29,171,52,"BirdieAverage",2009
144,144,"Jay Williamson",69,3.29,227,69,"BirdieAverage",2009
146,146,"David Mathis",82,3.27,268,82,"BirdieAverage",2009
146,146,"Darron Stiles",52,3.27,170,52,"BirdieAverage",2009
148,148,"JJ Henry",97,3.26,316,97,"BirdieAverage",2009
149,149,"Glen Day",79,3.25,257,79,"BirdieAverage",2009
149,149,"Derek Fathauer",63,3.25,205,63,"BirdieAverage",2009
149,149,"Retief Goosen",74,3.25,237,73,"BirdieAverage",2009
149,149,"Spencer Levin",75,3.25,244,75,"BirdieAverage",2009
149,149,"Aron Price",89,3.25,289,89,"BirdieAverage",2009
154,154,"KJ Choi",65,3.23,207,64,"BirdieAverage",2009
154,154,"Kent Jones",73,3.23,236,73,"BirdieAverage",2009
154,154,"Carl Pettersson",86,3.23,278,86,"BirdieAverage",2009
154,154,"Chez Reavie",81,3.23,262,81,"BirdieAverage",2009
158,158,"Steve Flesch",77,3.22,248,77,"BirdieAverage",2009
158,158,"Rocco Mediate",79,3.22,254,79,"BirdieAverage",2009
158,158,"Kevin Stadler",65,3.22,209,65,"BirdieAverage",2009
158,158,"Brian Vranesh",51,3.22,164,51,"BirdieAverage",2009
162,162,"Peter Tomasulo",61,3.21,196,61,"BirdieAverage",2009
163,163,"Bart Bryant",58,3.19,185,58,"BirdieAverage",2009
164,164,"Stewart Cink",79,3.18,232,73,"BirdieAverage",2009
165,165,"Robert Allenby",71,3.17,222,70,"BirdieAverage",2009
166,166,"Mark Brooks",55,3.16,174,55,"BirdieAverage",2009
167,167,"Rick Price",54,3.15,170,54,"BirdieAverage",2009
168,168,"Casey Wittenberg",71,3.14,223,71,"BirdieAverage",2009
169,169,"Ben Curtis",63,3.11,193,62,"BirdieAverage",2009
169,169,"Ken Duke",87,3.11,271,87,"BirdieAverage",2009
171,171,"Todd Hamilton",83,3.1,257,83,"BirdieAverage",2009
171,171,"Peter Lonard",86,3.1,267,86,"BirdieAverage",2009
173,173,"Brad Adamonis",70,3.07,215,70,"BirdieAverage",2009
173,173,"Brian Bateman",55,3.07,169,55,"BirdieAverage",2009
175,175,"Ricky Barnes",67,3.06,205,67,"BirdieAverage",2009
176,176,"Stuart Appleby",79,3.03,236,78,"BirdieAverage",2009
177,177,"Billy Mayfair",83,3.02,251,83,"BirdieAverage",2009
178,178,"Eric Axley",71,3,213,71,"BirdieAverage",2009
179,179,"Jarrod Lyle",65,2.92,190,65,"BirdieAverage",2009
180,180,"Brendon Todd",53,2.89,153,53,"BirdieAverage",2009
181,181,"Marc Turnesa",77,2.87,221,77,"BirdieAverage",2009
182,182,"Greg Kraft",51,2.86,146,51,"BirdieAverage",2009
183,183,"Tom Lehman",55,2.78,153,55,"BirdieAverage",2009
184,184,"Brad Faxon",59,2.76,163,59,"BirdieAverage",2009
