"Last15EventsShortGame_RANKTHISWEEK_2009","Last15EventsShortGame_RANKLASTWEEK_2009","Last15EventsShortGame_PLAYERNAME_2009","Last15EventsShortGame_EVENTS_2009","Last15EventsShortGame_RATING_2009","stat_name","year"
1,1,"Vance Veazey",1,8.6,"Last15EventsShortGame",2009
2,2,"Matt Harmon",1,8.5,"Last15EventsShortGame",2009
3,3,"Rick Price",2,8.1,"Last15EventsShortGame",2009
4,4,"Padraig Harrington",6,7.8,"Last15EventsShortGame",2009
5,5,"Soren Kjeldsen",2,7.7,"Last15EventsShortGame",2009
5,5,"Loren Roberts",2,7.7,"Last15EventsShortGame",2009
5,5,"John Senden",10,7.7,"Last15EventsShortGame",2009
8,8,"Thongchai Jaidee",1,7.6,"Last15EventsShortGame",2009
8,8,"Michael Letzig",7,7.6,"Last15EventsShortGame",2009
8,8,"Jamie Lovemark",2,7.6,"Last15EventsShortGame",2009
8,8,"Arron Oberholser",2,7.6,"Last15EventsShortGame",2009
8,8,"Steve Pate",1,7.6,"Last15EventsShortGame",2009
8,8,"Matt Weibring",6,7.6,"Last15EventsShortGame",2009
14,14,"Paul Azinger",2,7.5,"Last15EventsShortGame",2009
14,14,"Steve Stricker",10,7.5,"Last15EventsShortGame",2009
14,14,"Bob Tway",2,7.5,"Last15EventsShortGame",2009
14,14,"Jimmy Walker",7,7.5,"Last15EventsShortGame",2009
14,14,"Tim Wilkinson",5,7.5,"Last15EventsShortGame",2009
14,14,"Tiger Woods",6,7.5,"Last15EventsShortGame",2009
14,14,"Azuma Yano",2,7.5,"Last15EventsShortGame",2009
21,21,"Stephen Leaney",3,7.4,"Last15EventsShortGame",2009
21,21,"Jose Maria Olazabal",4,7.4,"Last15EventsShortGame",2009
23,23,"Shingo Katayama",2,7.3,"Last15EventsShortGame",2009
23,23,"Shigeki Maruyama",3,7.3,"Last15EventsShortGame",2009
25,25,"Ryuji Imada",7,7.2,"Last15EventsShortGame",2009
25,25,"Nick OHern",11,7.2,"Last15EventsShortGame",2009
27,27,"Aaron Baddeley",5,7.1,"Last15EventsShortGame",2009
27,27,"Ben Curtis",8,7.1,"Last15EventsShortGame",2009
27,27,"Marco Dawson",3,7.1,"Last15EventsShortGame",2009
27,27,"Luke Donald",10,7.1,"Last15EventsShortGame",2009
27,27,"Brad Faxon",3,7.1,"Last15EventsShortGame",2009
27,27,"Jim Furyk",11,7.1,"Last15EventsShortGame",2009
27,27,"James Kingston",1,7.1,"Last15EventsShortGame",2009
27,27,"JL Lewis",1,7.1,"Last15EventsShortGame",2009
27,27,"Jeff Overton",7,7.1,"Last15EventsShortGame",2009
27,27,"Tom Pernice Jr",7,7.1,"Last15EventsShortGame",2009
27,27,"Webb Simpson",8,7.1,"Last15EventsShortGame",2009
38,38,"Angel Cabrera",6,7,"Last15EventsShortGame",2009
38,38,"Nick Dougherty",2,7,"Last15EventsShortGame",2009
38,38,"Bill Haas",8,7,"Last15EventsShortGame",2009
38,38,"Robert Karlsson",4,7,"Last15EventsShortGame",2009
38,38,"Frank Lickliter II",5,7,"Last15EventsShortGame",2009
38,38,"Omar Uresti",5,7,"Last15EventsShortGame",2009
38,38,"Mike Weir",11,7,"Last15EventsShortGame",2009
45,46,"Ken Duke",6,6.9,"Last15EventsShortGame",2009
45,46,"Robert Gamez",1,6.9,"Last15EventsShortGame",2009
45,46,"Mark Hensby",2,6.9,"Last15EventsShortGame",2009
45,46,"Tim Herron",10,6.9,"Last15EventsShortGame",2009
45,46,"Kevin Na",10,6.9,"Last15EventsShortGame",2009
45,46,"Greg Norman",1,6.9,"Last15EventsShortGame",2009
45,46,"Vijay Singh",7,6.9,"Last15EventsShortGame",2009
45,46,"Darron Stiles",5,6.9,"Last15EventsShortGame",2009
53,54,"Briny Baird",6,6.8,"Last15EventsShortGame",2009
53,54,"Mark Brown",1,6.8,"Last15EventsShortGame",2009
53,54,"Tom Byrum",1,6.8,"Last15EventsShortGame",2009
53,54,"Chad Campbell",8,6.8,"Last15EventsShortGame",2009
53,54,"Fred Couples",6,6.8,"Last15EventsShortGame",2009
53,54,"Ben Crane",11,6.8,"Last15EventsShortGame",2009
53,68,"Brian Gay",10,6.8,"Last15EventsShortGame",2009
53,54,"Dudley Hart",6,6.8,"Last15EventsShortGame",2009
53,54,"JJ Henry",10,6.8,"Last15EventsShortGame",2009
53,38,"Zach Johnson",9,6.8,"Last15EventsShortGame",2009
53,54,"Bryce Molder",10,6.8,"Last15EventsShortGame",2009
53,54,"Rod Pampling",7,6.8,"Last15EventsShortGame",2009
53,54,"Chris Riley",12,6.8,"Last15EventsShortGame",2009
53,54,"Justin Rose",9,6.8,"Last15EventsShortGame",2009
53,54,"Rory Sabbatini",5,6.8,"Last15EventsShortGame",2009
53,54,"Oliver Wilson",4,6.8,"Last15EventsShortGame",2009
69,68,"Wil Collins",4,6.7,"Last15EventsShortGame",2009
69,68,"Paul Goydos",8,6.7,"Last15EventsShortGame",2009
69,68,"Mathias Gronberg",7,6.7,"Last15EventsShortGame",2009
69,68,"Jerry Kelly",12,6.7,"Last15EventsShortGame",2009
69,68,"David Mathis",4,6.7,"Last15EventsShortGame",2009
69,68,"Ryan Moore",8,6.7,"Last15EventsShortGame",2009
69,68,"Jesper Parnevik",3,6.7,"Last15EventsShortGame",2009
76,76,"Robert Allenby",6,6.6,"Last15EventsShortGame",2009
76,76,"Brian Bateman",2,6.6,"Last15EventsShortGame",2009
76,112,"Tim Clark",9,6.6,"Last15EventsShortGame",2009
76,76,"Steve Elkington",7,6.6,"Last15EventsShortGame",2009
76,76,"Retief Goosen",10,6.6,"Last15EventsShortGame",2009
76,76,"Freddie Jacobson",10,6.6,"Last15EventsShortGame",2009
76,76,"Lee Janzen",8,6.6,"Last15EventsShortGame",2009
76,76,"Spencer Levin",7,6.6,"Last15EventsShortGame",2009
76,76,"Jarrod Lyle",5,6.6,"Last15EventsShortGame",2009
76,76,"Joe Ogilvie",6,6.6,"Last15EventsShortGame",2009
76,76,"Geoff Ogilvy",9,6.6,"Last15EventsShortGame",2009
76,76,"Pat Perez",9,6.6,"Last15EventsShortGame",2009
76,92,"Kenny Perry",9,6.6,"Last15EventsShortGame",2009
76,92,"Ian Poulter",6,6.6,"Last15EventsShortGame",2009
76,76,"Ted Purdy",9,6.6,"Last15EventsShortGame",2009
76,76,"Brett Quigley",9,6.6,"Last15EventsShortGame",2009
76,76,"Jeff Quinney",9,6.6,"Last15EventsShortGame",2009
76,76,"Roland Thatcher",6,6.6,"Last15EventsShortGame",2009
76,76,"Garrett Willis",4,6.6,"Last15EventsShortGame",2009
95,92,"Stuart Appleby",7,6.5,"Last15EventsShortGame",2009
95,92,"Stewart Cink",6,6.5,"Last15EventsShortGame",2009
95,189,"Chris DiMarco",7,6.5,"Last15EventsShortGame",2009
95,92,"Cliff Kresge",3,6.5,"Last15EventsShortGame",2009
95,92,"George McNeill",7,6.5,"Last15EventsShortGame",2009
95,92,"Greg Owen",9,6.5,"Last15EventsShortGame",2009
95,92,"Aron Price",9,6.5,"Last15EventsShortGame",2009
95,92,"Brandt Snedeker",11,6.5,"Last15EventsShortGame",2009
95,92,"Kevin Stadler",9,6.5,"Last15EventsShortGame",2009
95,92,"Kyle Stanley",4,6.5,"Last15EventsShortGame",2009
95,92,"Henrik Stenson",5,6.5,"Last15EventsShortGame",2009
95,92,"Scott Sterling",6,6.5,"Last15EventsShortGame",2009
95,92,"DJ Trahan",8,6.5,"Last15EventsShortGame",2009
95,92,"Kirk Triplett",6,6.5,"Last15EventsShortGame",2009
95,92,"Dean Wilson",6,6.5,"Last15EventsShortGame",2009
95,92,"Casey Wittenberg",5,6.5,"Last15EventsShortGame",2009
95,92,"YE Yang",10,6.5,"Last15EventsShortGame",2009
112,112,"Thomas Aiken",1,6.4,"Last15EventsShortGame",2009
112,112,"Olin Browne",2,6.4,"Last15EventsShortGame",2009
112,112,"Alex Cejka",10,6.4,"Last15EventsShortGame",2009
112,112,"Bob Estes",7,6.4,"Last15EventsShortGame",2009
