"LeftRoughTendencyRTPScore_RANKTHISWEEK_2005","LeftRoughTendencyRTPScore_RANKLASTWEEK_2005","LeftRoughTendencyRTPScore_PLAYERNAME_2005","LeftRoughTendencyRTPScore_ROUNDS_2005","LeftRoughTendencyRTPScore_RTPSCORE_2005","stat_name","year"
1,1,"Phil Mickelson",81,-0.072,"LeftRoughTendencyRTPScore",2005
2,2,"Steve Stricker",62,-0.054,"LeftRoughTendencyRTPScore",2005
3,3,"Vijay Singh",111,-0.052,"LeftRoughTendencyRTPScore",2005
4,4,"Charles Howell III",95,-0.036,"LeftRoughTendencyRTPScore",2005
4,4,"Bernhard Langer",67,-0.036,"LeftRoughTendencyRTPScore",2005
6,6,"Scott Gutschewski",86,-0.035,"LeftRoughTendencyRTPScore",2005
7,7,"Charles Warren",89,-0.032,"LeftRoughTendencyRTPScore",2005
8,8,"David Toms",87,-0.009,"LeftRoughTendencyRTPScore",2005
9,9,"Heath Slocum",103,-0.007,"LeftRoughTendencyRTPScore",2005
10,10,"Lee Janzen",75,0,"LeftRoughTendencyRTPScore",2005
11,11,"Dan Forsman",52,0.009,"LeftRoughTendencyRTPScore",2005
12,12,"Justin Leonard",78,0.01,"LeftRoughTendencyRTPScore",2005
13,13,"Arron Oberholser",65,0.011,"LeftRoughTendencyRTPScore",2005
13,13,"Bo Van Pelt",112,0.011,"LeftRoughTendencyRTPScore",2005
15,15,"JJ Henry",102,0.012,"LeftRoughTendencyRTPScore",2005
16,16,"Tom Pernice Jr",111,0.013,"LeftRoughTendencyRTPScore",2005
17,17,"Daniel Chopra",108,0.014,"LeftRoughTendencyRTPScore",2005
18,18,"Justin Rose",99,0.018,"LeftRoughTendencyRTPScore",2005
19,19,"Luke Donald",67,0.022,"LeftRoughTendencyRTPScore",2005
19,19,"Sergio Garcia",73,0.022,"LeftRoughTendencyRTPScore",2005
21,21,"Hank Kuehne",84,0.023,"LeftRoughTendencyRTPScore",2005
21,21,"Kenny Perry",82,0.023,"LeftRoughTendencyRTPScore",2005
23,23,"James Driscoll",73,0.027,"LeftRoughTendencyRTPScore",2005
23,23,"Retief Goosen",71,0.027,"LeftRoughTendencyRTPScore",2005
23,23,"Adam Scott",72,0.027,"LeftRoughTendencyRTPScore",2005
23,23,"Tiger Woods",76,0.027,"LeftRoughTendencyRTPScore",2005
27,27,"Jonathan Byrd",103,0.028,"LeftRoughTendencyRTPScore",2005
27,27,"Geoff Ogilvy",97,0.028,"LeftRoughTendencyRTPScore",2005
29,29,"Stuart Appleby",84,0.031,"LeftRoughTendencyRTPScore",2005
30,30,"Marco Dawson",82,0.033,"LeftRoughTendencyRTPScore",2005
30,30,"Tim Herron",100,0.033,"LeftRoughTendencyRTPScore",2005
32,32,"Joe Durant",81,0.034,"LeftRoughTendencyRTPScore",2005
32,32,"Jim Furyk",94,0.034,"LeftRoughTendencyRTPScore",2005
34,34,"Aaron Baddeley",84,0.039,"LeftRoughTendencyRTPScore",2005
35,35,"Robert Allenby",95,0.04,"LeftRoughTendencyRTPScore",2005
35,35,"Rocco Mediate",73,0.04,"LeftRoughTendencyRTPScore",2005
37,37,"Jason Allred",75,0.042,"LeftRoughTendencyRTPScore",2005
37,37,"Brenden Pappas",51,0.042,"LeftRoughTendencyRTPScore",2005
37,37,"Phillip Price",77,0.042,"LeftRoughTendencyRTPScore",2005
40,40,"Brad Faxon",75,0.045,"LeftRoughTendencyRTPScore",2005
40,40,"Jay Haas",54,0.045,"LeftRoughTendencyRTPScore",2005
40,40,"Kevin Na",88,0.045,"LeftRoughTendencyRTPScore",2005
43,43,"Brett Quigley",96,0.046,"LeftRoughTendencyRTPScore",2005
44,44,"Justin Bolli",65,0.047,"LeftRoughTendencyRTPScore",2005
44,44,"Stewart Cink",98,0.047,"LeftRoughTendencyRTPScore",2005
46,46,"Nick Watney",91,0.049,"LeftRoughTendencyRTPScore",2005
47,47,"Jason Bohn",91,0.051,"LeftRoughTendencyRTPScore",2005
48,48,"Duffy Waldorf",86,0.053,"LeftRoughTendencyRTPScore",2005
49,49,"Glen Hnatiuk",59,0.054,"LeftRoughTendencyRTPScore",2005
50,50,"Brendan Jones",81,0.055,"LeftRoughTendencyRTPScore",2005
51,51,"Craig Barlow",81,0.057,"LeftRoughTendencyRTPScore",2005
52,52,"Omar Uresti",84,0.063,"LeftRoughTendencyRTPScore",2005
53,53,"Scott McCarron",78,0.065,"LeftRoughTendencyRTPScore",2005
54,54,"Carl Pettersson",109,0.066,"LeftRoughTendencyRTPScore",2005
55,55,"Briny Baird",98,0.067,"LeftRoughTendencyRTPScore",2005
55,55,"Jonathan Kaye",77,0.067,"LeftRoughTendencyRTPScore",2005
57,57,"Kevin Stadler",96,0.069,"LeftRoughTendencyRTPScore",2005
58,58,"Rory Sabbatini",81,0.075,"LeftRoughTendencyRTPScore",2005
59,59,"Lucas Glover",88,0.076,"LeftRoughTendencyRTPScore",2005
59,59,"Bob Tway",87,0.076,"LeftRoughTendencyRTPScore",2005
61,61,"Doug Barron",70,0.078,"LeftRoughTendencyRTPScore",2005
62,62,"Olin Browne",99,0.079,"LeftRoughTendencyRTPScore",2005
62,62,"Carlos Franco",78,0.079,"LeftRoughTendencyRTPScore",2005
64,64,"Steve Elkington",67,0.08,"LeftRoughTendencyRTPScore",2005
65,65,"Dean Wilson",86,0.082,"LeftRoughTendencyRTPScore",2005
66,66,"Arjun Atwal",65,0.083,"LeftRoughTendencyRTPScore",2005
66,66,"Charlie Wi",67,0.083,"LeftRoughTendencyRTPScore",2005
68,68,"Hunter Haas",83,0.084,"LeftRoughTendencyRTPScore",2005
68,68,"JP Hayes",63,0.084,"LeftRoughTendencyRTPScore",2005
68,68,"John Senden",101,0.084,"LeftRoughTendencyRTPScore",2005
71,71,"Brandt Jobe",96,0.086,"LeftRoughTendencyRTPScore",2005
71,71,"Jesper Parnevik",84,0.086,"LeftRoughTendencyRTPScore",2005
73,73,"Greg Owen",84,0.088,"LeftRoughTendencyRTPScore",2005
74,74,"Freddie Jacobson",72,0.089,"LeftRoughTendencyRTPScore",2005
75,75,"Matt Davidson",53,0.091,"LeftRoughTendencyRTPScore",2005
76,76,"Hunter Mahan",103,0.095,"LeftRoughTendencyRTPScore",2005
77,77,"Matt Gogel",78,0.099,"LeftRoughTendencyRTPScore",2005
77,77,"Brett Wetterich",76,0.099,"LeftRoughTendencyRTPScore",2005
79,79,"Jeff Sluman",94,0.101,"LeftRoughTendencyRTPScore",2005
80,80,"Len Mattiace",86,0.102,"LeftRoughTendencyRTPScore",2005
81,81,"Tim Clark",92,0.103,"LeftRoughTendencyRTPScore",2005
81,81,"Gavin Coles",70,0.103,"LeftRoughTendencyRTPScore",2005
81,81,"Bob Estes",92,0.103,"LeftRoughTendencyRTPScore",2005
84,84,"Harrison Frazar",105,0.104,"LeftRoughTendencyRTPScore",2005
84,84,"Brent Geiberger",61,0.104,"LeftRoughTendencyRTPScore",2005
