"BirdieAverage_RANKTHISWEEK_2011","BirdieAverage_RANKLASTWEEK_2011","BirdieAverage_PLAYERNAME_2011","BirdieAverage_ROUNDS_2011","BirdieAverage_AVG_2011","BirdieAverage_OFBIRDIES_2011","BirdieAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Steve Stricker",70,4.28,295,69,"BirdieAverage",2011
2,2,"Luke Donald",73,4.24,284,67,"BirdieAverage",2011
3,3,"Webb Simpson",98,4.23,415,98,"BirdieAverage",2011
4,4,"Dustin Johnson",72,4.2,298,71,"BirdieAverage",2011
5,5,"Nick Watney",80,4.1,316,77,"BirdieAverage",2011
6,6,"Rickie Fowler",84,4.09,331,81,"BirdieAverage",2011
7,7,"Aaron Baddeley",77,4.08,314,77,"BirdieAverage",2011
7,7,"JB Holmes",57,4.08,216,53,"BirdieAverage",2011
9,9,"Hunter Mahan",92,4.06,361,89,"BirdieAverage",2011
10,10,"Jason Day",76,4.01,293,73,"BirdieAverage",2011
11,11,"Charley Hoffman",93,4,368,92,"BirdieAverage",2011
11,11,"Kyle Stanley",98,4,392,98,"BirdieAverage",2011
13,13,"Gary Woodland",93,3.96,368,93,"BirdieAverage",2011
14,14,"Andres Romero",77,3.95,304,77,"BirdieAverage",2011
15,15,"Matt Kuchar",94,3.94,347,88,"BirdieAverage",2011
15,15,"David Toms",78,3.94,307,78,"BirdieAverage",2011
17,17,"Bubba Watson",85,3.91,309,79,"BirdieAverage",2011
18,18,"Robert Garrigus",83,3.87,321,83,"BirdieAverage",2011
19,19,"Martin Laird",77,3.86,293,76,"BirdieAverage",2011
19,19,"Phil Mickelson",79,3.86,297,77,"BirdieAverage",2011
21,21,"Steven Bowditch",86,3.84,330,86,"BirdieAverage",2011
22,22,"Kevin Na",84,3.83,322,84,"BirdieAverage",2011
22,22,"Geoff Ogilvy",69,3.83,253,66,"BirdieAverage",2011
24,24,"Jhonattan Vegas",84,3.82,321,84,"BirdieAverage",2011
25,25,"Chris Couch",73,3.81,278,73,"BirdieAverage",2011
26,26,"Adam Scott",60,3.8,224,59,"BirdieAverage",2011
27,27,"Chris Kirk",87,3.79,330,87,"BirdieAverage",2011
27,27,"Chez Reavie",92,3.79,349,92,"BirdieAverage",2011
29,29,"Brendon de Jonge",105,3.78,397,105,"BirdieAverage",2011
29,29,"Tommy Gainey",104,3.78,393,104,"BirdieAverage",2011
29,29,"Brandt Jobe",100,3.78,378,100,"BirdieAverage",2011
29,29,"Pat Perez",76,3.78,287,76,"BirdieAverage",2011
29,29,"Brandt Snedeker",85,3.78,321,85,"BirdieAverage",2011
34,34,"Angel Cabrera",50,3.76,188,50,"BirdieAverage",2011
34,34,"Freddie Jacobson",92,3.76,346,92,"BirdieAverage",2011
34,34,"Bryce Molder",82,3.76,308,82,"BirdieAverage",2011
34,34,"Carl Pettersson",95,3.76,357,95,"BirdieAverage",2011
34,34,"Rory Sabbatini",85,3.76,320,85,"BirdieAverage",2011
34,34,"Boo Weekley",66,3.76,248,66,"BirdieAverage",2011
40,40,"Steve Marino",76,3.74,284,76,"BirdieAverage",2011
40,40,"John Senden",94,3.74,352,94,"BirdieAverage",2011
42,42,"Blake Adams",116,3.73,433,116,"BirdieAverage",2011
42,42,"Brian Davis",105,3.73,392,105,"BirdieAverage",2011
42,42,"Scott Piercy",78,3.73,291,78,"BirdieAverage",2011
42,42,"Vijay Singh",79,3.73,295,79,"BirdieAverage",2011
46,46,"Bill Haas",93,3.71,341,92,"BirdieAverage",2011
47,47,"Keegan Bradley",91,3.69,336,91,"BirdieAverage",2011
47,47,"Retief Goosen",50,3.69,181,49,"BirdieAverage",2011
47,47,"Hunter Haas",96,3.69,354,96,"BirdieAverage",2011
47,47,"Aron Price",58,3.69,214,58,"BirdieAverage",2011
47,47,"Justin Rose",79,3.69,284,77,"BirdieAverage",2011
52,52,"Jason Dufner",78,3.68,287,78,"BirdieAverage",2011
52,52,"Bill Lunde",92,3.68,339,92,"BirdieAverage",2011
54,54,"Kevin Stadler",88,3.67,323,88,"BirdieAverage",2011
55,55,"Charlie Wi",83,3.66,304,83,"BirdieAverage",2011
56,56,"Lucas Glover",74,3.65,270,74,"BirdieAverage",2011
56,56,"Lee Janzen",62,3.65,226,62,"BirdieAverage",2011
56,56,"Ryan Palmer",82,3.65,292,80,"BirdieAverage",2011
59,59,"Stewart Cink",72,3.64,255,70,"BirdieAverage",2011
59,59,"Brian Gay",90,3.64,328,90,"BirdieAverage",2011
61,61,"DA Points",89,3.63,323,89,"BirdieAverage",2011
61,61,"Charl Schwartzel",58,3.63,203,56,"BirdieAverage",2011
61,61,"Josh Teater",104,3.63,377,104,"BirdieAverage",2011
64,64,"Graeme McDowell",50,3.62,170,47,"BirdieAverage",2011
64,64,"John Merrick",71,3.62,257,71,"BirdieAverage",2011
66,66,"Ben Martin",74,3.61,267,74,"BirdieAverage",2011
66,66,"George McNeill",69,3.61,249,69,"BirdieAverage",2011
66,66,"Ryan Moore",79,3.61,271,75,"BirdieAverage",2011
66,66,"John Rollins",85,3.61,307,85,"BirdieAverage",2011
70,70,"Troy Matteson",91,3.6,328,91,"BirdieAverage",2011
71,71,"Jason Bohn",74,3.59,266,74,"BirdieAverage",2011
71,71,"James Driscoll",71,3.59,255,71,"BirdieAverage",2011
71,71,"Billy Mayfair",94,3.59,337,94,"BirdieAverage",2011
74,74,"Spencer Levin",113,3.58,405,113,"BirdieAverage",2011
74,74,"Bo Van Pelt",92,3.58,322,90,"BirdieAverage",2011
76,76,"Joe Ogilvie",75,3.57,268,75,"BirdieAverage",2011
77,77,"Woody Austin",59,3.56,210,59,"BirdieAverage",2011
78,78,"Cameron Beckman",71,3.55,252,71,"BirdieAverage",2011
78,78,"Jonathan Byrd",83,3.55,291,82,"BirdieAverage",2011
78,78,"Tim Herron",85,3.55,302,85,"BirdieAverage",2011
78,78,"Anthony Kim",72,3.55,252,71,"BirdieAverage",2011
82,82,"Arjun Atwal",91,3.54,322,91,"BirdieAverage",2011
82,82,"Fabian Gomez",84,3.54,297,84,"BirdieAverage",2011
84,84,"Shane Bertsch",62,3.53,219,62,"BirdieAverage",2011
84,84,"Steve Flesch",88,3.53,311,88,"BirdieAverage",2011
84,84,"Zach Johnson",79,3.53,275,78,"BirdieAverage",2011
84,84,"Robert Karlsson",61,3.53,208,59,"BirdieAverage",2011
84,84,"Paul Stankowski",78,3.53,275,78,"BirdieAverage",2011
84,84,"Brendan Steele",89,3.53,314,89,"BirdieAverage",2011
90,90,"Billy Horschel",75,3.52,264,75,"BirdieAverage",2011
90,90,"Michael Thompson",79,3.52,278,79,"BirdieAverage",2011
92,92,"Ian Poulter",52,3.51,179,51,"BirdieAverage",2011
92,92,"Scott Stallings",84,3.51,295,84,"BirdieAverage",2011
92,92,"Chris Stroud",88,3.51,309,88,"BirdieAverage",2011
95,95,"Robert Allenby",84,3.49,290,83,"BirdieAverage",2011
95,95,"Chad Campbell",99,3.49,346,99,"BirdieAverage",2011
95,95,"Matt Jones",71,3.49,248,71,"BirdieAverage",2011
95,95,"Jeff Overton",92,3.49,318,91,"BirdieAverage",2011
95,95,"YE Yang",63,3.49,206,59,"BirdieAverage",2011
100,100,"Briny Baird",60,3.48,209,60,"BirdieAverage",2011
100,100,"Ben Crane",76,3.48,254,73,"BirdieAverage",2011
100,100,"Bio Kim",71,3.48,247,71,"BirdieAverage",2011
100,100,"Kevin Streelman",90,3.48,313,90,"BirdieAverage",2011
100,100,"Vaughn Taylor",89,3.48,310,89,"BirdieAverage",2011
100,100,"Garrett Willis",71,3.48,247,71,"BirdieAverage",2011
106,106,"Charles Howell III",108,3.47,375,108,"BirdieAverage",2011
106,106,"Marc Leishman",87,3.47,302,87,"BirdieAverage",2011
106,106,"Jimmy Walker",79,3.47,274,79,"BirdieAverage",2011
109,109,"Cameron Tringale",110,3.46,381,110,"BirdieAverage",2011
110,110,"KJ Choi",77,3.45,259,75,"BirdieAverage",2011
110,110,"Nick OHern",89,3.45,307,89,"BirdieAverage",2011
110,110,"Jim Renner",65,3.45,224,65,"BirdieAverage",2011
113,113,"Matt Bettencourt",84,3.44,289,84,"BirdieAverage",2011
113,113,"Alex Cejka",59,3.44,203,59,"BirdieAverage",2011
113,113,"Davis Love III",70,3.44,241,70,"BirdieAverage",2011
113,113,"Rod Pampling",72,3.44,248,72,"BirdieAverage",2011
117,117,"Michael Bradley",74,3.43,254,74,"BirdieAverage",2011
117,117,"Ryuji Imada",83,3.43,285,83,"BirdieAverage",2011
117,117,"David Mathis",83,3.43,285,83,"BirdieAverage",2011
120,120,"Stephen Ames",69,3.42,236,69,"BirdieAverage",2011
120,120,"Kris Blanks",92,3.42,315,92,"BirdieAverage",2011
122,122,"Heath Slocum",89,3.4,299,88,"BirdieAverage",2011
123,123,"Sergio Garcia",61,3.39,207,61,"BirdieAverage",2011
123,123,"Tim Petrovic",88,3.39,298,88,"BirdieAverage",2011
125,125,"Chris DiMarco",93,3.38,314,93,"BirdieAverage",2011
125,125,"Harrison Frazar",58,3.38,196,58,"BirdieAverage",2011
125,125,"David Hearn",88,3.38,297,88,"BirdieAverage",2011
128,128,"Matt McQuillan",59,3.37,199,59,"BirdieAverage",2011
128,128,"Camilo Villegas",69,3.37,229,68,"BirdieAverage",2011
128,128,"Mark Wilson",89,3.37,293,87,"BirdieAverage",2011
131,131,"Ricky Barnes",78,3.36,262,78,"BirdieAverage",2011
131,131,"Padraig Harrington",60,3.36,198,59,"BirdieAverage",2011
133,133,"Kevin Chappell",78,3.35,261,78,"BirdieAverage",2011
134,134,"David Duval",67,3.34,224,67,"BirdieAverage",2011
134,134,"Jerry Kelly",85,3.34,284,85,"BirdieAverage",2011
134,134,"Derek Lamely",65,3.34,217,65,"BirdieAverage",2011
134,134,"Alex Prugh",82,3.34,274,82,"BirdieAverage",2011
138,138,"Joseph Bramlett",73,3.33,243,73,"BirdieAverage",2011
138,138,"Andres Gonzales",60,3.33,200,60,"BirdieAverage",2011
138,138,"William McGirt",103,3.33,343,103,"BirdieAverage",2011
138,138,"DJ Trahan",91,3.33,303,91,"BirdieAverage",2011
142,142,"Paul Goydos",81,3.32,269,81,"BirdieAverage",2011
143,143,"Jim Furyk",87,3.31,285,86,"BirdieAverage",2011
143,143,"Zack Miller",86,3.31,285,86,"BirdieAverage",2011
143,143,"Tag Ridings",87,3.31,288,87,"BirdieAverage",2011
143,143,"Johnson Wagner",81,3.31,268,81,"BirdieAverage",2011
147,147,"Jim Herman",69,3.3,228,69,"BirdieAverage",2011
147,147,"Sung Kang",63,3.3,208,63,"BirdieAverage",2011
149,149,"Ernie Els",71,3.29,227,69,"BirdieAverage",2011
149,149,"JJ Henry",96,3.29,316,96,"BirdieAverage",2011
151,151,"Bobby Gates",82,3.28,269,82,"BirdieAverage",2011
151,151,"Nathan Green",81,3.28,266,81,"BirdieAverage",2011
151,151,"Scott McCarron",65,3.28,213,65,"BirdieAverage",2011
154,154,"Michael Putnam",67,3.27,219,67,"BirdieAverage",2011
154,154,"Roland Thatcher",67,3.27,219,67,"BirdieAverage",2011
156,156,"Greg Chalmers",88,3.26,287,88,"BirdieAverage",2011
157,157,"Stuart Appleby",65,3.22,209,65,"BirdieAverage",2011
157,157,"Kent Jones",76,3.22,245,76,"BirdieAverage",2011
159,159,"DJ Brigman",67,3.21,215,67,"BirdieAverage",2011
160,160,"Ben Curtis",66,3.2,211,66,"BirdieAverage",2011
160,160,"Tom Gillis",55,3.2,176,55,"BirdieAverage",2011
160,160,"Trevor Immelman",84,3.2,269,84,"BirdieAverage",2011
163,163,"Scott Gutschewski",67,3.19,214,67,"BirdieAverage",2011
163,163,"Sean OHair",71,3.19,223,70,"BirdieAverage",2011
163,163,"Dean Wilson",62,3.19,198,62,"BirdieAverage",2011
166,166,"Chris Riley",76,3.18,242,76,"BirdieAverage",2011
167,167,"Kevin Kisner",70,3.17,222,70,"BirdieAverage",2011
168,168,"Steve Elkington",50,3.16,158,50,"BirdieAverage",2011
168,168,"Jarrod Lyle",83,3.16,262,83,"BirdieAverage",2011
170,170,"Nate Smith",66,3.15,208,66,"BirdieAverage",2011
171,171,"Will Strickler",51,3.12,159,51,"BirdieAverage",2011
172,172,"JP Hayes",56,3.11,174,56,"BirdieAverage",2011
173,173,"Michael Connell",76,3.09,235,76,"BirdieAverage",2011
173,173,"Marc Turnesa",54,3.09,167,54,"BirdieAverage",2011
175,175,"Martin Piller",63,3.08,194,63,"BirdieAverage",2011
175,175,"Alexandre Rocha",65,3.08,200,65,"BirdieAverage",2011
177,177,"Joe Durant",71,3.06,217,71,"BirdieAverage",2011
177,177,"Rocco Mediate",53,3.06,162,53,"BirdieAverage",2011
179,179,"Colt Knost",80,3.04,243,80,"BirdieAverage",2011
180,180,"Justin Hicks",60,2.97,178,60,"BirdieAverage",2011
181,181,"Justin Leonard",82,2.96,243,82,"BirdieAverage",2011
182,182,"Troy Merritt",63,2.94,185,63,"BirdieAverage",2011
183,183,"Shaun Micheel",77,2.92,225,77,"BirdieAverage",2011
