"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2014","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2014","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2014","FedExCupSeasonPointsforNonMembers_EVENTS_2014","FedExCupSeasonPointsforNonMembers_POINTS_2014","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2014","stat_name","year"
1,1,"Victor Dubuisson",10,662,361,"FedExCupSeasonPointsforNonMembers",2014
2,2,"Brooks Koepka",16,589,NA,"FedExCupSeasonPointsforNonMembers",2014
3,3,"Jamie Donaldson",12,568,396,"FedExCupSeasonPointsforNonMembers",2014
4,4,"Francesco Molinari",12,551,148,"FedExCupSeasonPointsforNonMembers",2014
5,5,"Jason Allred",9,316,NA,"FedExCupSeasonPointsforNonMembers",2014
6,6,"Thomas Bjorn",9,302,158,"FedExCupSeasonPointsforNonMembers",2014
7,7,"Matteo Manassero",10,280,103,"FedExCupSeasonPointsforNonMembers",2014
8,8,"Robert Karlsson",7,270,NA,"FedExCupSeasonPointsforNonMembers",2014
9,9,"Miguel Angel Jimenez",8,261,111,"FedExCupSeasonPointsforNonMembers",2014
10,10,"Richard Sterne",7,252,215,"FedExCupSeasonPointsforNonMembers",2014
11,11,"Stephen Gallacher",12,244,149,"FedExCupSeasonPointsforNonMembers",2014
12,12,"Thongchai Jaidee",9,220,160,"FedExCupSeasonPointsforNonMembers",2014
13,13,"Kiradech Aphibarnrat",9,217,40,"FedExCupSeasonPointsforNonMembers",2014
14,14,"George Coetzee",6,204,121,"FedExCupSeasonPointsforNonMembers",2014
15,15,"Joost Luiten",9,188,99,"FedExCupSeasonPointsforNonMembers",2014
16,16,"Branden Grace",11,182,128,"FedExCupSeasonPointsforNonMembers",2014
17,17,"Mikko Ilonen",5,158,73,"FedExCupSeasonPointsforNonMembers",2014
18,18,"Max Homa",8,136,NA,"FedExCupSeasonPointsforNonMembers",2014
19,19,"Scott Hend",3,126,97,"FedExCupSeasonPointsforNonMembers",2014
20,20,"John Mallinger",14,124,NA,"FedExCupSeasonPointsforNonMembers",2014
21,21,"Edoardo Molinari",2,117,NA,"FedExCupSeasonPointsforNonMembers",2014
22,22,"Shane Lowry",3,102,NA,"FedExCupSeasonPointsforNonMembers",2014
23,23,"Shiv Kapur",2,100,NA,"FedExCupSeasonPointsforNonMembers",2014
24,24,"Chris Wood",3,96,29,"FedExCupSeasonPointsforNonMembers",2014
25,25,"Justin Thomas",7,95,NA,"FedExCupSeasonPointsforNonMembers",2014
26,26,"Patrick Rodgers",7,85,NA,"FedExCupSeasonPointsforNonMembers",2014
27,27,"Marc Warren",2,82,NA,"FedExCupSeasonPointsforNonMembers",2014
28,28,"David Howell",3,78,19,"FedExCupSeasonPointsforNonMembers",2014
29,29,"Bernd Wiesberger",4,76,23,"FedExCupSeasonPointsforNonMembers",2014
30,30,"Gregory Bourdy",2,68,46,"FedExCupSeasonPointsforNonMembers",2014
31,31,"Danny Willett",3,65,NA,"FedExCupSeasonPointsforNonMembers",2014
32,32,"Marcel Siem",3,65,NA,"FedExCupSeasonPointsforNonMembers",2014
33,33,"Hideto Tanihara",3,64,NA,"FedExCupSeasonPointsforNonMembers",2014
34,34,"Jin Jeong",3,63,63,"FedExCupSeasonPointsforNonMembers",2014
35,35,"Fabrizio Zanotti",2,63,43,"FedExCupSeasonPointsforNonMembers",2014
36,36,"WC Liang",2,58,58,"FedExCupSeasonPointsforNonMembers",2014
37,37,"Koumei Oda",2,57,NA,"FedExCupSeasonPointsforNonMembers",2014
37,37,"Brady Watt",4,57,NA,"FedExCupSeasonPointsforNonMembers",2014
39,39,"Austin Cook",1,56,NA,"FedExCupSeasonPointsforNonMembers",2014
40,40,"Peter Uihlein",7,56,56,"FedExCupSeasonPointsforNonMembers",2014
41,41,"Andres Gonzales",2,53,NA,"FedExCupSeasonPointsforNonMembers",2014
42,42,"Tommy Fleetwood",3,53,53,"FedExCupSeasonPointsforNonMembers",2014
43,43,"Alexander Levy",2,52,12,"FedExCupSeasonPointsforNonMembers",2014
43,43,"Jay McLuen",2,52,NA,"FedExCupSeasonPointsforNonMembers",2014
43,43,"Alvaro Quiros",2,52,NA,"FedExCupSeasonPointsforNonMembers",2014
46,46,"Cody Gribble",1,50,NA,"FedExCupSeasonPointsforNonMembers",2014
47,47,"Jaco Van Zyl",1,46,46,"FedExCupSeasonPointsforNonMembers",2014
48,48,"Gaganjeet Bhullar",2,45,7,"FedExCupSeasonPointsforNonMembers",2014
49,49,"Hyung Sung Kim",6,44,35,"FedExCupSeasonPointsforNonMembers",2014
50,50,"Siddikur Rahman",1,44,NA,"FedExCupSeasonPointsforNonMembers",2014
51,51,"Byeong Hun An",1,43,NA,"FedExCupSeasonPointsforNonMembers",2014
52,52,"Daniel Berger",1,40,NA,"FedExCupSeasonPointsforNonMembers",2014
53,53,"Steven Ihm",1,40,NA,"FedExCupSeasonPointsforNonMembers",2014
54,54,"Darren Fichardt",2,39,39,"FedExCupSeasonPointsforNonMembers",2014
55,55,"Jon Curran",1,38,NA,"FedExCupSeasonPointsforNonMembers",2014
56,56,"Kristoffer Broberg",1,38,NA,"FedExCupSeasonPointsforNonMembers",2014
57,57,"Mark Brown",1,35,35,"FedExCupSeasonPointsforNonMembers",2014
57,57,"Wenyi Huang",1,35,35,"FedExCupSeasonPointsforNonMembers",2014
59,59,"Anirban Lahiri",3,34,NA,"FedExCupSeasonPointsforNonMembers",2014
60,60,"Pablo Larrazabal",5,30,30,"FedExCupSeasonPointsforNonMembers",2014
61,61,"Oliver Goss",7,29,NA,"FedExCupSeasonPointsforNonMembers",2014
62,62,"Lucas Bjerregaard",1,29,NA,"FedExCupSeasonPointsforNonMembers",2014
62,62,"Zac Blair",1,29,NA,"FedExCupSeasonPointsforNonMembers",2014
62,62,"Hao Tong Li",1,29,29,"FedExCupSeasonPointsforNonMembers",2014
62,62,"Garth Mulroy",1,29,NA,"FedExCupSeasonPointsforNonMembers",2014
66,66,"Rafa Cabrera Bello",5,29,NA,"FedExCupSeasonPointsforNonMembers",2014
67,67,"Prayad Marksaeng",1,26,NA,"FedExCupSeasonPointsforNonMembers",2014
67,67,"Kevin Penner",1,26,NA,"FedExCupSeasonPointsforNonMembers",2014
69,69,"Sam Saunders",1,24,NA,"FedExCupSeasonPointsforNonMembers",2014
70,70,"Rafael Campos",1,22,NA,"FedExCupSeasonPointsforNonMembers",2014
70,70,"Emiliano Grillo",1,22,NA,"FedExCupSeasonPointsforNonMembers",2014
70,70,"David Skinns",1,22,NA,"FedExCupSeasonPointsforNonMembers",2014
73,73,"Berry Henson",1,22,NA,"FedExCupSeasonPointsforNonMembers",2014
74,74,"Josh Broadaway",1,20,NA,"FedExCupSeasonPointsforNonMembers",2014
75,75,"Oscar Fraustro",1,20,NA,"FedExCupSeasonPointsforNonMembers",2014
76,76,"Hiroyuki Fujita",1,19,19,"FedExCupSeasonPointsforNonMembers",2014
76,76,"Mike Hendry",1,19,19,"FedExCupSeasonPointsforNonMembers",2014
76,76,"Masahiro Kawamura",2,19,19,"FedExCupSeasonPointsforNonMembers",2014
