"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2012","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2012","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2012","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2012","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2012","stat_name","year"
1,1,"Peter Hanson",11,367,"NonWGCFedExCupSeasonPointsforNonMembers",2012
2,2,"Ryo Ishikawa",18,365,"NonWGCFedExCupSeasonPointsforNonMembers",2012
3,3,"David Lynn",1,330,"NonWGCFedExCupSeasonPointsforNonMembers",2012
4,4,"Nicolas Colsaerts",8,266,"NonWGCFedExCupSeasonPointsforNonMembers",2012
5,5,"Luke Guthrie",3,181,"NonWGCFedExCupSeasonPointsforNonMembers",2012
6,6,"Patrick Reed",9,154,"NonWGCFedExCupSeasonPointsforNonMembers",2012
7,7,"John Peterson",8,142,"NonWGCFedExCupSeasonPointsforNonMembers",2012
8,8,"Thomas Aiken",4,138,"NonWGCFedExCupSeasonPointsforNonMembers",2012
9,9,"Martin Kaymer",8,136,"NonWGCFedExCupSeasonPointsforNonMembers",2012
10,10,"Francesco Molinari",8,133,"NonWGCFedExCupSeasonPointsforNonMembers",2012
11,11,"Miguel Angel Jimenez",6,125,"NonWGCFedExCupSeasonPointsforNonMembers",2012
12,12,"Jamie Donaldson",4,120,"NonWGCFedExCupSeasonPointsforNonMembers",2012
13,13,"Thorbjorn Olesen",2,110,"NonWGCFedExCupSeasonPointsforNonMembers",2012
14,14,"Paul Lawrie",6,102,"NonWGCFedExCupSeasonPointsforNonMembers",2012
15,15,"Patrick Cantlay",9,93,"NonWGCFedExCupSeasonPointsforNonMembers",2012
16,16,"Thomas Bjorn",9,86,"NonWGCFedExCupSeasonPointsforNonMembers",2012
17,17,"Scott Langley",4,77,"NonWGCFedExCupSeasonPointsforNonMembers",2012
18,18,"Alexander Noren",4,73,"NonWGCFedExCupSeasonPointsforNonMembers",2012
19,19,"Casey Wittenberg",1,73,"NonWGCFedExCupSeasonPointsforNonMembers",2012
20,20,"Joost Luiten",3,70,"NonWGCFedExCupSeasonPointsforNonMembers",2012
21,21,"Simon Dyson",8,63,"NonWGCFedExCupSeasonPointsforNonMembers",2012
22,22,"Branden Grace",6,59,"NonWGCFedExCupSeasonPointsforNonMembers",2012
23,23,"Hunter Hamrick",3,58,"NonWGCFedExCupSeasonPointsforNonMembers",2012
24,24,"Aaron Watkins",2,56,"NonWGCFedExCupSeasonPointsforNonMembers",2012
25,25,"Jim Herman",2,56,"NonWGCFedExCupSeasonPointsforNonMembers",2012
26,26,"Matthew Baldwin",2,54,"NonWGCFedExCupSeasonPointsforNonMembers",2012
27,27,"Steven Alker",1,51,"NonWGCFedExCupSeasonPointsforNonMembers",2012
28,28,"Tadd Fujikawa",1,51,"NonWGCFedExCupSeasonPointsforNonMembers",2012
29,29,"Andres Gonzales",1,50,"NonWGCFedExCupSeasonPointsforNonMembers",2012
