"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2014","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2014","GoingfortheGreenHitGreenPct_PLAYERNAME_2014","GoingfortheGreenHitGreenPct_ROUNDS_2014","GoingfortheGreenHitGreenPct_Pct_2014","GoingfortheGreenHitGreenPct_SUCCESSES_2014","GoingfortheGreenHitGreenPct_ATTEMPTS_2014","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2014","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2014","stat_name","year"
1,1,"Martin Laird",66,40.98,50,122,-56,NA,"GoingfortheGreenHitGreenPct",2014
2,2,"Charlie Beljan",76,35.48,44,124,-50,NA,"GoingfortheGreenHitGreenPct",2014
3,3,"Lucas Glover",68,32.32,32,99,-32,NA,"GoingfortheGreenHitGreenPct",2014
4,4,"Jonas Blixt",64,31.34,21,67,-22,NA,"GoingfortheGreenHitGreenPct",2014
5,5,"Briny Baird",50,30.88,21,68,-16,NA,"GoingfortheGreenHitGreenPct",2014
6,6,"Jason Dufner",57,30.67,23,75,-25,NA,"GoingfortheGreenHitGreenPct",2014
7,7,"Paul Casey",56,30.56,22,72,-23,NA,"GoingfortheGreenHitGreenPct",2014
8,8,"Will Ma Kenzie",82,30.53,40,131,-41,NA,"GoingfortheGreenHitGreenPct",2014
9,9,"Patrick Reed",92,30.23,39,129,-44,NA,"GoingfortheGreenHitGreenPct",2014
10,10,"Hudson Swafford",75,30.1,31,103,-32,NA,"GoingfortheGreenHitGreenPct",2014
11,11,"Robert Garrigus",80,29.38,52,177,-47,NA,"GoingfortheGreenHitGreenPct",2014
12,12,"Josh Teater",90,29.1,39,134,-37,NA,"GoingfortheGreenHitGreenPct",2014
13,13,"Retief Goosen",94,29.09,32,110,-25,NA,"GoingfortheGreenHitGreenPct",2014
14,14,"James Hahn",82,28.93,35,121,-38,NA,"GoingfortheGreenHitGreenPct",2014
