"ProximitytoHolefrom1020yards_RANKTHISWEEK_2013","ProximitytoHolefrom1020yards_RANKLASTWEEK_2013","ProximitytoHolefrom1020yards_PLAYERNAME_2013","ProximitytoHolefrom1020yards_ROUNDS_2013","ProximitytoHolefrom1020yards_AVGDTP_2013","ProximitytoHolefrom1020yards_TOTALDISTANCEFEET_2013","ProximitytoHolefrom1020yards_OFSHOTS_2013","ProximitytoHolefrom1020yards_SCRAMBLINGRANK_2013","stat_name","year"
1,1,"Steven Bowditch",67,NA,1035.583,192,17,"ProximitytoHolefrom1020yards",2013
1,1,"Charles Howell III",87,NA,1261.083,233,5,"ProximitytoHolefrom1020yards",2013
3,3,"Bob Estes",66,NA,1067.583,195,1,"ProximitytoHolefrom1020yards",2013
3,3,"Jerry Kelly",75,NA,990,181,14,"ProximitytoHolefrom1020yards",2013
5,5,"Jason Day",86,NA,1088.333,195,27,"ProximitytoHolefrom1020yards",2013
5,5,"Luke Donald",60,NA,726.25,131,22,"ProximitytoHolefrom1020yards",2013
5,5,"Padraig Harrington",52,NA,652.833,117,113,"ProximitytoHolefrom1020yards",2013
5,5,"Justin Leonard",86,NA,1268.167,228,72,"ProximitytoHolefrom1020yards",2013
9,9,"Peter Hanson",45,NA,561.333,99,82,"ProximitytoHolefrom1020yards",2013
10,10,"Jim Furyk",80,NA,1029.75,180,57,"ProximitytoHolefrom1020yards",2013
10,10,"Ian Poulter",59,NA,807.583,141,25,"ProximitytoHolefrom1020yards",2013
10,10,"Cameron Tringale",80,NA,1329.167,231,20,"ProximitytoHolefrom1020yards",2013
10,10,"Tiger Woods",61,NA,717,124,46,"ProximitytoHolefrom1020yards",2013
14,14,"Roberto Castro",97,NA,1478.917,254,26,"ProximitytoHolefrom1020yards",2013
14,14,"Luke Guthrie",82,NA,1202.583,207,75,"ProximitytoHolefrom1020yards",2013
14,14,"David Lynn",70,NA,954.75,163,38,"ProximitytoHolefrom1020yards",2013
14,14,"Brandt Snedeker",79,NA,1016.5,174,33,"ProximitytoHolefrom1020yards",2013
14,14,"Mike Weir",60,NA,955.583,164,70,"ProximitytoHolefrom1020yards",2013
19,19,"Tim Clark",64,NA,856,144,45,"ProximitytoHolefrom1020yards",2013
19,19,"Matt Jones",83,NA,1351.5,228,8,"ProximitytoHolefrom1020yards",2013
19,19,"Camilo Villegas",79,NA,1154.833,194,123,"ProximitytoHolefrom1020yards",2013
22,22,"Sergio Garcia",65,NA,808.417,134,99,"ProximitytoHolefrom1020yards",2013
