"Par5EagleLeaders_RANKTHISWEEK_2014","Par5EagleLeaders_RANKLASTWEEK_2014","Par5EagleLeaders_PLAYERNAME_2014","Par5EagleLeaders_ROUNDS_2014","Par5EagleLeaders_TOTAL_2014","Par5EagleLeaders_TOTALPAR5HOLES_2014","Par5EagleLeaders_TOTALHOLEOUTS_2014","stat_name","year"
1,1,"Steven Bowditch",93,14,283,3,"Par5EagleLeaders",2014
1,1,"Billy Horschel",92,14,296,2,"Par5EagleLeaders",2014
3,3,"Matt Jones",83,13,271,1,"Par5EagleLeaders",2014
4,4,"Brian Harman",111,11,328,NA,"Par5EagleLeaders",2014
4,4,"Marc Leishman",81,11,244,NA,"Par5EagleLeaders",2014
4,4,"Will Ma Kenzie",82,11,262,2,"Par5EagleLeaders",2014
4,4,"Patrick Reed",92,11,272,1,"Par5EagleLeaders",2014
4,4,"Nicholas Thompson",85,11,258,1,"Par5EagleLeaders",2014
4,4,"Bubba Watson",76,11,228,1,"Par5EagleLeaders",2014
10,10,"Stewart Cink",91,10,295,1,"Par5EagleLeaders",2014
10,10,"Charles Howell III",106,10,326,4,"Par5EagleLeaders",2014
10,10,"Ryan Palmer",85,10,257,3,"Par5EagleLeaders",2014
10,10,"Justin Rose",70,10,224,1,"Par5EagleLeaders",2014
14,14,"Brian Davis",93,9,293,4,"Par5EagleLeaders",2014
14,14,"James Hahn",82,9,234,3,"Par5EagleLeaders",2014
14,14,"Martin Laird",66,9,204,1,"Par5EagleLeaders",2014
14,14,"John Merrick",87,9,278,2,"Par5EagleLeaders",2014
14,14,"Kevin Na",94,9,292,1,"Par5EagleLeaders",2014
14,14,"Andres Romero",81,9,231,1,"Par5EagleLeaders",2014
14,14,"Kevin Stadler",90,9,280,1,"Par5EagleLeaders",2014
14,14,"Daniel Summerhays",98,9,314,2,"Par5EagleLeaders",2014
14,14,"Bo Van Pelt",83,9,266,2,"Par5EagleLeaders",2014
23,23,"Charlie Beljan",76,8,220,NA,"Par5EagleLeaders",2014
23,23,"Harris English",95,8,276,1,"Par5EagleLeaders",2014
23,23,"Bill Haas",107,8,341,NA,"Par5EagleLeaders",2014
23,23,"Trevor Immelman",84,8,247,4,"Par5EagleLeaders",2014
23,23,"Dustin Johnson",58,8,180,2,"Par5EagleLeaders",2014
23,23,"Russell Knox",92,8,282,1,"Par5EagleLeaders",2014
23,23,"Rory McIlroy",66,8,204,NA,"Par5EagleLeaders",2014
23,23,"Ryan Moore",86,8,272,2,"Par5EagleLeaders",2014
23,23,"Seung Yul Noh",92,8,282,2,"Par5EagleLeaders",2014
23,23,"Carl Pettersson",91,8,267,1,"Par5EagleLeaders",2014
23,23,"Michael Putnam",106,8,314,1,"Par5EagleLeaders",2014
23,23,"Adam Scott",68,8,204,NA,"Par5EagleLeaders",2014
23,23,"Brendan Steele",89,8,281,1,"Par5EagleLeaders",2014
23,23,"Cameron Tringale",111,8,353,4,"Par5EagleLeaders",2014
37,37,"Sangmoon Bae",76,7,247,NA,"Par5EagleLeaders",2014
37,37,"Erik Compton",88,7,276,2,"Par5EagleLeaders",2014
37,37,"Robert Garrigus",80,7,255,1,"Par5EagleLeaders",2014
37,37,"Luke Guthrie",85,7,257,1,"Par5EagleLeaders",2014
37,37,"Morgan Hoffmann",103,7,297,1,"Par5EagleLeaders",2014
37,37,"Chris Kirk",105,7,320,NA,"Par5EagleLeaders",2014
37,37,"Brooks Koepka",56,7,168,NA,"Par5EagleLeaders",2014
37,37,"Hideki Matsuyama",82,7,248,NA,"Par5EagleLeaders",2014
37,37,"George McNeill",79,7,241,NA,"Par5EagleLeaders",2014
37,37,"Geoff Ogilvy",84,7,248,1,"Par5EagleLeaders",2014
37,37,"Rory Sabbatini",82,7,252,NA,"Par5EagleLeaders",2014
37,37,"John Senden",99,7,298,2,"Par5EagleLeaders",2014
37,37,"Scott Stallings",77,7,246,NA,"Par5EagleLeaders",2014
37,37,"Shawn Stefani",60,7,180,1,"Par5EagleLeaders",2014
37,37,"Gary Woodland",93,7,302,2,"Par5EagleLeaders",2014
52,52,"Ricky Barnes",92,6,261,NA,"Par5EagleLeaders",2014
52,52,"Paul Casey",56,6,170,NA,"Par5EagleLeaders",2014
52,52,"Roberto Castro",76,6,240,3,"Par5EagleLeaders",2014
52,52,"Kevin Chappell",100,6,310,1,"Par5EagleLeaders",2014
52,52,"KJ Choi",80,6,259,NA,"Par5EagleLeaders",2014
52,52,"Brendon de Jonge",109,6,333,1,"Par5EagleLeaders",2014
52,52,"Graham DeLaet",80,6,246,1,"Par5EagleLeaders",2014
52,52,"James Driscoll",71,6,222,3,"Par5EagleLeaders",2014
52,52,"Matt Every",85,6,259,1,"Par5EagleLeaders",2014
52,52,"Martin Flores",85,6,277,2,"Par5EagleLeaders",2014
52,52,"Ryo Ishikawa",75,6,248,1,"Par5EagleLeaders",2014
52,52,"Jason Kokrak",65,6,211,2,"Par5EagleLeaders",2014
52,52,"Davis Love III",74,6,224,NA,"Par5EagleLeaders",2014
52,52,"Ben Martin",80,6,261,4,"Par5EagleLeaders",2014
52,52,"Jeff Overton",80,6,228,2,"Par5EagleLeaders",2014
52,52,"Charl Schwartzel",64,6,188,NA,"Par5EagleLeaders",2014
52,52,"Webb Simpson",87,6,250,1,"Par5EagleLeaders",2014
52,52,"Brandt Snedeker",89,6,278,1,"Par5EagleLeaders",2014
52,52,"Robert Streb",75,6,214,2,"Par5EagleLeaders",2014
52,52,"Hudson Swafford",75,6,210,NA,"Par5EagleLeaders",2014
52,52,"Brendon Todd",108,6,324,1,"Par5EagleLeaders",2014
52,52,"Johnson Wagner",69,6,192,1,"Par5EagleLeaders",2014
74,74,"Jason Bohn",81,5,250,2,"Par5EagleLeaders",2014
74,74,"Scott Brown",100,5,319,2,"Par5EagleLeaders",2014
74,74,"Jason Dufner",57,5,174,1,"Par5EagleLeaders",2014
74,74,"Derek Ernst",80,5,239,2,"Par5EagleLeaders",2014
74,74,"Brice Garnett",92,5,262,1,"Par5EagleLeaders",2014
74,74,"Lucas Glover",68,5,221,NA,"Par5EagleLeaders",2014
74,74,"Jim Herman",62,5,183,1,"Par5EagleLeaders",2014
74,74,"Martin Kaymer",65,5,196,1,"Par5EagleLeaders",2014
74,74,"Matt Kuchar",91,5,262,NA,"Par5EagleLeaders",2014
74,74,"William McGirt",96,5,282,NA,"Par5EagleLeaders",2014
74,74,"Pat Perez",84,5,275,1,"Par5EagleLeaders",2014
74,74,"Kevin Streelman",79,5,256,1,"Par5EagleLeaders",2014
74,74,"Camilo Villegas",95,5,290,NA,"Par5EagleLeaders",2014
74,74,"Charlie Wi",72,5,210,1,"Par5EagleLeaders",2014
74,74,"Will Wilcox",51,5,145,1,"Par5EagleLeaders",2014
74,74,"Tim Wilkinson",86,5,240,2,"Par5EagleLeaders",2014
90,90,"Ernie Els",85,4,254,NA,"Par5EagleLeaders",2014
90,90,"Jim Furyk",84,4,252,2,"Par5EagleLeaders",2014
90,90,"Tommy Gainey",73,4,205,NA,"Par5EagleLeaders",2014
90,90,"Russell Henley",92,4,284,1,"Par5EagleLeaders",2014
90,90,"JJ Henry",91,4,260,1,"Par5EagleLeaders",2014
90,90,"John Huh",87,4,256,NA,"Par5EagleLeaders",2014
90,90,"Billy Hurley III",86,4,249,3,"Par5EagleLeaders",2014
90,90,"Freddie Jacobson",91,4,285,NA,"Par5EagleLeaders",2014
90,90,"Zach Johnson",97,4,286,NA,"Par5EagleLeaders",2014
90,90,"David Lingmerth",80,4,238,2,"Par5EagleLeaders",2014
90,90,"Andrew Loupe",65,4,187,1,"Par5EagleLeaders",2014
90,90,"Graeme McDowell",66,4,188,1,"Par5EagleLeaders",2014
90,90,"Phil Mickelson",71,4,237,NA,"Par5EagleLeaders",2014
90,90,"Bryce Molder",77,4,234,2,"Par5EagleLeaders",2014
90,90,"Sean OHair",77,4,235,2,"Par5EagleLeaders",2014
90,90,"Ian Poulter",57,4,184,NA,"Par5EagleLeaders",2014
90,90,"Jhonattan Vegas",77,4,228,NA,"Par5EagleLeaders",2014
90,90,"Jimmy Walker",98,4,302,NA,"Par5EagleLeaders",2014
90,90,"Nick Watney",80,4,238,NA,"Par5EagleLeaders",2014
90,90,"Mark Wilson",69,4,189,1,"Par5EagleLeaders",2014
90,90,"YE Yang",79,4,243,NA,"Par5EagleLeaders",2014
111,111,"Keegan Bradley",89,3,284,NA,"Par5EagleLeaders",2014
111,111,"Jonathan Byrd",76,3,222,1,"Par5EagleLeaders",2014
111,111,"Angel Cabrera",69,3,203,NA,"Par5EagleLeaders",2014
111,111,"Chad Campbell",57,3,152,NA,"Par5EagleLeaders",2014
111,111,"Ken Duke",80,3,234,NA,"Par5EagleLeaders",2014
111,111,"Rickie Fowler",91,3,274,NA,"Par5EagleLeaders",2014
111,111,"Chesson Hadley",84,3,262,2,"Par5EagleLeaders",2014
111,111,"Justin Hicks",103,3,310,1,"Par5EagleLeaders",2014
111,111,"Charley Hoffman",93,3,306,NA,"Par5EagleLeaders",2014
111,111,"Jerry Kelly",80,3,242,NA,"Par5EagleLeaders",2014
111,111,"Scott Langley",95,3,284,NA,"Par5EagleLeaders",2014
111,111,"Richard Lee",80,3,257,1,"Par5EagleLeaders",2014
111,111,"Jamie Lovemark",64,3,181,NA,"Par5EagleLeaders",2014
111,111,"Troy Merritt",62,3,177,1,"Par5EagleLeaders",2014
111,111,"Jim Renner",61,3,177,1,"Par5EagleLeaders",2014
111,111,"Wes Roach",67,3,193,NA,"Par5EagleLeaders",2014
111,111,"Jordan Spieth",102,3,314,NA,"Par5EagleLeaders",2014
111,111,"Kyle Stanley",87,3,256,1,"Par5EagleLeaders",2014
111,111,"Brian Stuard",91,3,265,NA,"Par5EagleLeaders",2014
111,111,"Andrew Svoboda",77,3,234,NA,"Par5EagleLeaders",2014
111,111,"Michael Thompson",74,3,248,NA,"Par5EagleLeaders",2014
111,111,"Tyrone Van Aswegen",79,3,234,NA,"Par5EagleLeaders",2014
133,133,"Robert Allenby",83,2,239,NA,"Par5EagleLeaders",2014
133,133,"Stuart Appleby",92,2,273,1,"Par5EagleLeaders",2014
133,133,"Aaron Baddeley",74,2,225,NA,"Par5EagleLeaders",2014
133,133,"Briny Baird",50,2,157,NA,"Par5EagleLeaders",2014
133,133,"Bud Cauley",56,2,169,1,"Par5EagleLeaders",2014
133,133,"Tim Clark",75,2,206,NA,"Par5EagleLeaders",2014
133,133,"Ben Crane",81,2,241,NA,"Par5EagleLeaders",2014
133,133,"Ben Curtis",77,2,225,NA,"Par5EagleLeaders",2014
133,133,"Luke Donald",57,2,186,1,"Par5EagleLeaders",2014
133,133,"Gonzalo Fdez Castano",83,2,248,1,"Par5EagleLeaders",2014
133,133,"Sergio Garcia",61,2,176,NA,"Par5EagleLeaders",2014
133,133,"Brian Gay",81,2,247,NA,"Par5EagleLeaders",2014
133,133,"Retief Goosen",94,2,273,1,"Par5EagleLeaders",2014
133,133,"Bronson La Cassie",51,2,151,NA,"Par5EagleLeaders",2014
133,133,"DH Lee",54,2,156,NA,"Par5EagleLeaders",2014
133,133,"Danny Lee",84,2,241,NA,"Par5EagleLeaders",2014
133,133,"Hunter Mahan",88,2,270,NA,"Par5EagleLeaders",2014
133,133,"Louis Oosthuizen",50,2,144,NA,"Par5EagleLeaders",2014
133,133,"John Peterson",62,2,183,NA,"Par5EagleLeaders",2014
133,133,"Ted Potter Jr",68,2,207,1,"Par5EagleLeaders",2014
133,133,"Vijay Singh",83,2,248,NA,"Par5EagleLeaders",2014
133,133,"Heath Slocum",71,2,191,NA,"Par5EagleLeaders",2014
133,133,"Henrik Stenson",56,2,176,NA,"Par5EagleLeaders",2014
133,133,"Chris Stroud",88,2,271,NA,"Par5EagleLeaders",2014
133,133,"Josh Teater",90,2,272,NA,"Par5EagleLeaders",2014
133,133,"David Toms",64,2,182,NA,"Par5EagleLeaders",2014
133,133,"Kevin Tway",64,2,179,1,"Par5EagleLeaders",2014
133,133,"Boo Weekley",73,2,217,NA,"Par5EagleLeaders",2014
133,133,"Mike Weir",69,2,203,NA,"Par5EagleLeaders",2014
133,133,"Lee Westwood",57,2,186,NA,"Par5EagleLeaders",2014
163,163,"Woody Austin",63,1,182,NA,"Par5EagleLeaders",2014
163,163,"Jonas Blixt",64,1,211,NA,"Par5EagleLeaders",2014
163,163,"Greg Chalmers",85,1,249,1,"Par5EagleLeaders",2014
163,163,"Chad Collins",78,1,229,NA,"Par5EagleLeaders",2014
163,163,"Jason Day",54,1,148,NA,"Par5EagleLeaders",2014
163,163,"Brad Fritsch",50,1,144,NA,"Par5EagleLeaders",2014
163,163,"David Hearn",97,1,309,NA,"Par5EagleLeaders",2014
163,163,"JB Holmes",86,1,278,NA,"Par5EagleLeaders",2014
163,163,"Kevin Kisner",85,1,262,NA,"Par5EagleLeaders",2014
163,163,"Justin Leonard",75,1,229,NA,"Par5EagleLeaders",2014
163,163,"Spencer Levin",59,1,176,1,"Par5EagleLeaders",2014
163,163,"Jeff Maggert",54,1,162,NA,"Par5EagleLeaders",2014
163,163,"DA Points",75,1,236,NA,"Par5EagleLeaders",2014
163,163,"John Rollins",84,1,243,NA,"Par5EagleLeaders",2014
