"HitFairwayPercentage_RANKTHISWEEK_2010","HitFairwayPercentage_RANKLASTWEEK_2010","HitFairwayPercentage_PLAYERNAME_2010","HitFairwayPercentage_ROUNDS_2010","HitFairwayPercentage_Pct_2010","HitFairwayPercentage_FAIRWAYSHIT_2010","HitFairwayPercentage_POSSIBLEFAIRWAYS_2010","HitFairwayPercentage_RELATIVETOPAR_2010","stat_name","year"
1,1,"Omar Uresti",74,76.36,646,846,-0.09,"HitFairwayPercentage",2010
2,2,"Joe Durant",67,76.05,600,789,-0.19,"HitFairwayPercentage",2010
3,3,"Craig Bowden",56,73.98,492,665,-0.02,"HitFairwayPercentage",2010
4,4,"Brian Gay",101,73.86,845,1144,-0.14,"HitFairwayPercentage",2010
5,5,"Tim Clark",88,73.12,691,945,-0.13,"HitFairwayPercentage",2010
6,6,"Jim Furyk",76,72.03,600,833,-0.2,"HitFairwayPercentage",2010
7,7,"Heath Slocum",97,71.64,730,1019,-0.14,"HitFairwayPercentage",2010
8,8,"David Toms",86,71.52,693,969,-0.16,"HitFairwayPercentage",2010
9,9,"Alex Cejka",81,71.32,664,931,-0.11,"HitFairwayPercentage",2010
10,10,"Richard Johnson",90,70.55,714,1012,-0.17,"HitFairwayPercentage",2010
11,11,"John Mallinger",78,70.54,632,896,-0.15,"HitFairwayPercentage",2010
12,12,"Garrett Willis",82,70.53,694,984,-0.13,"HitFairwayPercentage",2010
13,13,"Zach Johnson",93,70.46,737,1046,-0.17,"HitFairwayPercentage",2010
14,14,"Jeff Quinney",91,70.38,777,1104,-0.14,"HitFairwayPercentage",2010
15,15,"Skip Kendall",58,70.35,477,678,-0.12,"HitFairwayPercentage",2010
16,16,"Ben Curtis",78,70.31,644,916,-0.14,"HitFairwayPercentage",2010
17,17,"Billy Mayfair",78,70.1,633,903,-0.09,"HitFairwayPercentage",2010
18,18,"Ben Crane",85,70.09,642,916,-0.16,"HitFairwayPercentage",2010
19,19,"Jerry Kelly",99,70.02,801,1144,-0.14,"HitFairwayPercentage",2010
20,20,"Paul Goydos",78,69.8,638,914,-0.13,"HitFairwayPercentage",2010
21,21,"Chris DiMarco",88,69.65,746,1071,-0.12,"HitFairwayPercentage",2010
22,22,"Chad Campbell",95,69.4,780,1124,-0.16,"HitFairwayPercentage",2010
23,23,"Chris Riley",73,69.3,605,873,-0.18,"HitFairwayPercentage",2010
24,24,"Justin Leonard",89,69.13,692,1001,-0.16,"HitFairwayPercentage",2010
25,25,"Jay Williamson",76,69.11,584,845,-0.14,"HitFairwayPercentage",2010
26,26,"Tom Gillis",97,69.04,863,1250,-0.16,"HitFairwayPercentage",2010
27,27,"Scott Verplank",74,69.03,535,775,-0.12,"HitFairwayPercentage",2010
28,28,"Rocco Mediate",71,68.93,579,840,-0.15,"HitFairwayPercentage",2010
29,29,"Cliff Kresge",50,68.92,428,621,-0.1,"HitFairwayPercentage",2010
30,30,"Mark Wilson",87,68.91,758,1100,-0.13,"HitFairwayPercentage",2010
31,31,"Jason Dufner",87,68.86,659,957,-0.11,"HitFairwayPercentage",2010
32,32,"Vaughn Taylor",87,68.65,749,1091,-0.15,"HitFairwayPercentage",2010
33,33,"Brian Davis",101,68.1,841,1235,-0.11,"HitFairwayPercentage",2010
34,34,"Brent Delahoussaye",57,68.01,440,647,-0.1,"HitFairwayPercentage",2010
35,35,"Ryan Moore",80,67.97,575,846,-0.17,"HitFairwayPercentage",2010
36,36,"Aron Price",70,67.94,585,861,-0.17,"HitFairwayPercentage",2010
37,37,"Dean Wilson",54,67.85,441,650,-0.16,"HitFairwayPercentage",2010
38,38,"Kris Blanks",91,67.77,694,1024,-0.12,"HitFairwayPercentage",2010
39,39,"Boo Weekley",88,67.74,697,1029,-0.15,"HitFairwayPercentage",2010
40,40,"Matt Kuchar",97,67.66,703,1039,-0.25,"HitFairwayPercentage",2010
41,41,"Steve Elkington",74,67.65,548,810,-0.15,"HitFairwayPercentage",2010
42,42,"Steve Stricker",73,67.39,525,779,-0.2,"HitFairwayPercentage",2010
43,43,"Tim Petrovic",105,67.38,876,1300,-0.16,"HitFairwayPercentage",2010
44,44,"John Merrick",109,67.29,858,1275,-0.16,"HitFairwayPercentage",2010
45,45,"Stephen Ames",75,67.15,642,956,-0.17,"HitFairwayPercentage",2010
46,46,"Kenny Perry",69,67.14,525,782,-0.18,"HitFairwayPercentage",2010
47,47,"Charles Warren",64,67.11,508,757,-0.18,"HitFairwayPercentage",2010
48,48,"Hunter Mahan",85,67.1,622,927,-0.15,"HitFairwayPercentage",2010
49,49,"Will Ma Kenzie",72,67.09,632,942,-0.17,"HitFairwayPercentage",2010
50,50,"Justin Bolli",55,67.01,386,576,-0.04,"HitFairwayPercentage",2010
51,51,"Tom Pernice Jr",74,67,536,800,-0.16,"HitFairwayPercentage",2010
52,52,"Steve Flesch",78,66.93,595,889,-0.08,"HitFairwayPercentage",2010
53,53,"Jeff Maggert",76,66.9,584,873,-0.07,"HitFairwayPercentage",2010
53,53,"Scott McCarron",90,66.9,764,1142,-0.15,"HitFairwayPercentage",2010
55,55,"Blake Adams",84,66.83,691,1034,-0.14,"HitFairwayPercentage",2010
55,55,"Jason Bohn",84,66.83,677,1013,-0.18,"HitFairwayPercentage",2010
57,57,"Kevin Sutherland",86,66.73,718,1076,-0.18,"HitFairwayPercentage",2010
58,58,"Woody Austin",93,66.61,762,1144,-0.14,"HitFairwayPercentage",2010
59,59,"James Nitties",92,66.52,741,1114,-0.16,"HitFairwayPercentage",2010
59,59,"Kevin Streelman",90,66.52,735,1105,-0.15,"HitFairwayPercentage",2010
61,61,"Paul Stankowski",62,66.44,487,733,-0.18,"HitFairwayPercentage",2010
62,62,"Briny Baird",87,66.39,721,1086,-0.14,"HitFairwayPercentage",2010
63,63,"Brendon de Jonge",114,66.19,828,1251,-0.2,"HitFairwayPercentage",2010
64,64,"John Senden",103,66.08,795,1203,-0.18,"HitFairwayPercentage",2010
65,65,"Chris Couch",66,65.97,539,817,-0.18,"HitFairwayPercentage",2010
66,66,"Pat Perez",90,65.94,759,1151,-0.19,"HitFairwayPercentage",2010
66,66,"Justin Rose",78,65.94,635,963,-0.17,"HitFairwayPercentage",2010
68,68,"Spencer Levin",110,65.93,894,1356,-0.16,"HitFairwayPercentage",2010
69,69,"Retief Goosen",75,65.89,481,730,-0.23,"HitFairwayPercentage",2010
70,70,"KJ Choi",82,65.8,554,842,-0.17,"HitFairwayPercentage",2010
70,70,"Kevin Na",94,65.8,687,1044,-0.2,"HitFairwayPercentage",2010
