"EaglesHolesper_RANKTHISWEEK_2013","EaglesHolesper_RANKLASTWEEK_2013","EaglesHolesper_PLAYERNAME_2013","EaglesHolesper_ROUNDS_2013","EaglesHolesper_FREQUENCY_2013","EaglesHolesper_OFHOLES_2013","EaglesHolesper_OFEAGLES_2013","stat_name","year"
1,1,"Dustin Johnson",71,105,1260,12,"EaglesHolesper",2013
2,2,"Chris Kirk",89,106.8,1602,15,"EaglesHolesper",2013
3,3,"Jason Kokrak",78,108,1404,13,"EaglesHolesper",2013
4,4,"Jordan Spieth",82,113.5,1476,13,"EaglesHolesper",2013
5,5,"Nicolas Colsaerts",50,120.9,846,7,"EaglesHolesper",2013
5,5,"Steve Stricker",51,120.9,846,7,"EaglesHolesper",2013
7,7,"George McNeill",68,122.4,1224,10,"EaglesHolesper",2013
8,8,"Sergio Garcia",65,126,1134,9,"EaglesHolesper",2013
9,9,"Kyle Stanley",71,127.8,1278,10,"EaglesHolesper",2013
10,10,"Henrik Stenson",65,128,1152,9,"EaglesHolesper",2013
11,11,"Kevin Stadler",83,129.3,1422,11,"EaglesHolesper",2013
12,12,"Robert Garrigus",69,130,1170,9,"EaglesHolesper",2013
13,13,"Aaron Baddeley",68,132,1188,9,"EaglesHolesper",2013
14,14,"James Hahn",78,133.2,1332,10,"EaglesHolesper",2013
15,15,"Tiger Woods",61,135,1080,8,"EaglesHolesper",2013
16,16,"Patrick Reed",83,135.8,1494,11,"EaglesHolesper",2013
17,17,"Luke List",65,137.3,1098,8,"EaglesHolesper",2013
18,18,"Charley Hoffman",84,137.5,1512,11,"EaglesHolesper",2013
19,19,"Ernie Els",63,139.5,1116,8,"EaglesHolesper",2013
20,20,"Doug LaBelle II",72,140,1260,9,"EaglesHolesper",2013
21,21,"Rory McIlroy",56,141.4,990,7,"EaglesHolesper",2013
22,22,"John Merrick",79,142.2,1422,10,"EaglesHolesper",2013
23,23,"Keegan Bradley",88,142.4,1566,11,"EaglesHolesper",2013
24,24,"Gary Woodland",94,147.3,1620,11,"EaglesHolesper",2013
25,25,"Rickie Fowler",75,148,1332,9,"EaglesHolesper",2013
26,26,"Michael Thompson",66,148.5,1188,8,"EaglesHolesper",2013
27,27,"Camilo Villegas",79,150,1350,9,"EaglesHolesper",2013
28,28,"Scott Gardiner",61,151.7,1062,7,"EaglesHolesper",2013
