"BirdieorBetterPercentage200yards_RANKTHISWEEK_2014","BirdieorBetterPercentage200yards_RANKLASTWEEK_2014","BirdieorBetterPercentage200yards_PLAYERNAME_2014","BirdieorBetterPercentage200yards_ROUNDS_2014","BirdieorBetterPercentage200yards_Pct_2014","BirdieorBetterPercentage200yards_TOTALBIRDIES_2014","BirdieorBetterPercentage200yards_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,40.77,95,233,"BirdieorBetterPercentage200yards",2014
2,2,"Adam Scott",68,37.25,92,247,"BirdieorBetterPercentage200yards",2014
3,3,"Jimmy Walker",98,36.72,123,335,"BirdieorBetterPercentage200yards",2014
4,4,"Charl Schwartzel",64,35.98,86,239,"BirdieorBetterPercentage200yards",2014
5,5,"Charley Hoffman",93,35.28,109,309,"BirdieorBetterPercentage200yards",2014
6,6,"Jordan Spieth",102,34.91,118,338,"BirdieorBetterPercentage200yards",2014
7,7,"Dustin Johnson",58,34.23,51,149,"BirdieorBetterPercentage200yards",2014
8,8,"Ryan Palmer",85,34.06,94,276,"BirdieorBetterPercentage200yards",2014
9,9,"Sangmoon Bae",76,33.82,92,272,"BirdieorBetterPercentage200yards",2014
10,10,"Martin Kaymer",65,33.8,72,213,"BirdieorBetterPercentage200yards",2014
11,11,"Steven Bowditch",93,33.54,108,322,"BirdieorBetterPercentage200yards",2014
12,12,"Harris English",95,33.44,105,314,"BirdieorBetterPercentage200yards",2014
13,13,"Phil Mickelson",71,33.18,74,223,"BirdieorBetterPercentage200yards",2014
14,14,"Lee Westwood",57,33,66,200,"BirdieorBetterPercentage200yards",2014
15,15,"Morgan Hoffmann",103,32.68,117,358,"BirdieorBetterPercentage200yards",2014
16,16,"Jason Kokrak",65,32.58,86,264,"BirdieorBetterPercentage200yards",2014
17,17,"Martin Laird",66,32.44,73,225,"BirdieorBetterPercentage200yards",2014
18,18,"Andrew Loupe",65,32.26,60,186,"BirdieorBetterPercentage200yards",2014
19,19,"Justin Rose",70,32.24,79,245,"BirdieorBetterPercentage200yards",2014
20,20,"Louis Oosthuizen",50,32.14,36,112,"BirdieorBetterPercentage200yards",2014
21,21,"Jamie Lovemark",64,32.11,61,190,"BirdieorBetterPercentage200yards",2014
22,22,"Billy Horschel",92,32.08,94,293,"BirdieorBetterPercentage200yards",2014
23,23,"Brendan Steele",89,32.07,93,290,"BirdieorBetterPercentage200yards",2014
24,24,"Brad Fritsch",50,32,48,150,"BirdieorBetterPercentage200yards",2014
24,24,"Kevin Tway",64,32,56,175,"BirdieorBetterPercentage200yards",2014
26,26,"Graham DeLaet",80,31.88,88,276,"BirdieorBetterPercentage200yards",2014
27,27,"Lucas Glover",68,31.58,60,190,"BirdieorBetterPercentage200yards",2014
27,27,"Bubba Watson",76,31.58,78,247,"BirdieorBetterPercentage200yards",2014
29,29,"Kevin Chappell",100,31.34,110,351,"BirdieorBetterPercentage200yards",2014
30,30,"Robert Streb",75,31.25,75,240,"BirdieorBetterPercentage200yards",2014
31,31,"Patrick Reed",92,31.23,94,301,"BirdieorBetterPercentage200yards",2014
32,32,"Tyrone Van Aswegen",79,31.2,73,234,"BirdieorBetterPercentage200yards",2014
33,33,"Josh Teater",90,31.18,87,279,"BirdieorBetterPercentage200yards",2014
34,34,"Will Wilcox",51,31.14,52,167,"BirdieorBetterPercentage200yards",2014
35,35,"JB Holmes",86,30.95,104,336,"BirdieorBetterPercentage200yards",2014
36,36,"Jeff Overton",80,30.88,84,272,"BirdieorBetterPercentage200yards",2014
37,37,"Nick Watney",80,30.77,68,221,"BirdieorBetterPercentage200yards",2014
38,38,"Matt Kuchar",91,30.67,96,313,"BirdieorBetterPercentage200yards",2014
39,39,"Brooks Koepka",56,30.51,54,177,"BirdieorBetterPercentage200yards",2014
40,40,"Russell Henley",92,30.49,93,305,"BirdieorBetterPercentage200yards",2014
41,41,"Chris Kirk",105,30.48,107,351,"BirdieorBetterPercentage200yards",2014
42,42,"Jhonattan Vegas",77,30.43,77,253,"BirdieorBetterPercentage200yards",2014
43,43,"Kevin Kisner",85,30.42,80,263,"BirdieorBetterPercentage200yards",2014
44,44,"Charlie Beljan",76,30.4,69,227,"BirdieorBetterPercentage200yards",2014
45,45,"Robert Garrigus",80,30.39,93,306,"BirdieorBetterPercentage200yards",2014
46,46,"Kevin Na",94,30.34,108,356,"BirdieorBetterPercentage200yards",2014
47,47,"Kevin Stadler",90,30.26,82,271,"BirdieorBetterPercentage200yards",2014
48,48,"Ernie Els",85,30.17,89,295,"BirdieorBetterPercentage200yards",2014
49,49,"Michael Thompson",74,30.04,70,233,"BirdieorBetterPercentage200yards",2014
50,50,"Hunter Mahan",88,30,90,300,"BirdieorBetterPercentage200yards",2014
51,51,"Charles Howell III",106,29.69,106,357,"BirdieorBetterPercentage200yards",2014
52,52,"Kevin Streelman",79,29.64,75,253,"BirdieorBetterPercentage200yards",2014
53,53,"Matt Jones",83,29.59,79,267,"BirdieorBetterPercentage200yards",2014
54,54,"Ryo Ishikawa",75,29.55,73,247,"BirdieorBetterPercentage200yards",2014
55,55,"Chris Stroud",88,29.5,95,322,"BirdieorBetterPercentage200yards",2014
56,56,"Brendon de Jonge",109,29.44,111,377,"BirdieorBetterPercentage200yards",2014
57,57,"Bill Haas",107,29.39,102,347,"BirdieorBetterPercentage200yards",2014
57,57,"Kyle Stanley",87,29.39,87,296,"BirdieorBetterPercentage200yards",2014
59,59,"Rickie Fowler",91,29.35,81,276,"BirdieorBetterPercentage200yards",2014
60,60,"James Hahn",82,29.3,80,273,"BirdieorBetterPercentage200yards",2014
61,61,"Martin Flores",85,29.25,74,253,"BirdieorBetterPercentage200yards",2014
62,62,"Hideki Matsuyama",82,29.21,78,267,"BirdieorBetterPercentage200yards",2014
63,63,"Michael Putnam",106,29.19,115,394,"BirdieorBetterPercentage200yards",2014
64,64,"Wes Roach",67,29.15,58,199,"BirdieorBetterPercentage200yards",2014
65,65,"Jason Dufner",57,29.01,47,162,"BirdieorBetterPercentage200yards",2014
66,66,"Seung Yul Noh",92,28.99,89,307,"BirdieorBetterPercentage200yards",2014
67,67,"Zach Johnson",97,28.97,104,359,"BirdieorBetterPercentage200yards",2014
68,68,"Briny Baird",50,28.92,48,166,"BirdieorBetterPercentage200yards",2014
69,69,"Brice Garnett",92,28.86,86,298,"BirdieorBetterPercentage200yards",2014
70,70,"Henrik Stenson",56,28.64,61,213,"BirdieorBetterPercentage200yards",2014
71,71,"Jonas Blixt",64,28.49,53,186,"BirdieorBetterPercentage200yards",2014
72,72,"Ricky Barnes",92,28.48,86,302,"BirdieorBetterPercentage200yards",2014
73,73,"Derek Ernst",80,28.46,74,260,"BirdieorBetterPercentage200yards",2014
74,74,"Bo Van Pelt",83,28.45,66,232,"BirdieorBetterPercentage200yards",2014
75,75,"Stewart Cink",91,28.42,79,278,"BirdieorBetterPercentage200yards",2014
76,76,"Chesson Hadley",84,28.37,80,282,"BirdieorBetterPercentage200yards",2014
77,77,"John Senden",99,28.27,95,336,"BirdieorBetterPercentage200yards",2014
78,78,"Shawn Stefani",60,28.26,65,230,"BirdieorBetterPercentage200yards",2014
79,79,"Hudson Swafford",75,28.25,63,223,"BirdieorBetterPercentage200yards",2014
80,80,"Angel Cabrera",69,28.2,75,266,"BirdieorBetterPercentage200yards",2014
81,81,"Andres Romero",81,28.06,87,310,"BirdieorBetterPercentage200yards",2014
82,82,"Jonathan Byrd",76,27.89,70,251,"BirdieorBetterPercentage200yards",2014
83,83,"Vijay Singh",83,27.81,84,302,"BirdieorBetterPercentage200yards",2014
84,84,"Matt Every",85,27.68,75,271,"BirdieorBetterPercentage200yards",2014
85,85,"Bud Cauley",56,27.66,52,188,"BirdieorBetterPercentage200yards",2014
86,86,"Paul Casey",56,27.54,46,167,"BirdieorBetterPercentage200yards",2014
86,86,"Davis Love III",74,27.54,65,236,"BirdieorBetterPercentage200yards",2014
88,88,"John Peterson",62,27.48,61,222,"BirdieorBetterPercentage200yards",2014
89,89,"Keegan Bradley",89,27.3,80,293,"BirdieorBetterPercentage200yards",2014
90,90,"James Driscoll",71,27.27,60,220,"BirdieorBetterPercentage200yards",2014
90,90,"Scott Stallings",77,27.27,66,242,"BirdieorBetterPercentage200yards",2014
92,92,"Luke Guthrie",85,27.15,79,291,"BirdieorBetterPercentage200yards",2014
93,93,"Gary Woodland",93,27.12,96,354,"BirdieorBetterPercentage200yards",2014
94,94,"Will Ma Kenzie",82,26.98,85,315,"BirdieorBetterPercentage200yards",2014
94,94,"Brandt Snedeker",89,26.98,75,278,"BirdieorBetterPercentage200yards",2014
96,96,"Erik Compton",88,26.97,89,330,"BirdieorBetterPercentage200yards",2014
97,97,"John Merrick",87,26.95,83,308,"BirdieorBetterPercentage200yards",2014
98,98,"Aaron Baddeley",74,26.89,64,238,"BirdieorBetterPercentage200yards",2014
99,99,"Robert Allenby",83,26.79,71,265,"BirdieorBetterPercentage200yards",2014
100,100,"Brian Harman",111,26.77,102,381,"BirdieorBetterPercentage200yards",2014
101,101,"Gonzalo Fdez Castano",83,26.74,77,288,"BirdieorBetterPercentage200yards",2014
102,102,"Webb Simpson",87,26.73,85,318,"BirdieorBetterPercentage200yards",2014
103,103,"Sergio Garcia",61,26.6,50,188,"BirdieorBetterPercentage200yards",2014
104,104,"Brian Davis",93,26.51,92,347,"BirdieorBetterPercentage200yards",2014
