"AveragePuttingDistanceAll2putts_RANKTHISWEEK_2009","AveragePuttingDistanceAll2putts_RANKLASTWEEK_2009","AveragePuttingDistanceAll2putts_PLAYERNAME_2009","AveragePuttingDistanceAll2putts_ROUNDS_2009","AveragePuttingDistanceAll2putts_AVG_2009","AveragePuttingDistanceAll2putts_DISTANCEFEET_2009","AveragePuttingDistanceAll2putts_TOTALPUTTS_2009","stat_name","year"
1,1,"Matt Jones",56,NA,12188.167,463,"AveragePuttingDistanceAll2putts",2009
2,2,"Bryce Molder",69,NA,13157.667,536,"AveragePuttingDistanceAll2putts",2009
3,3,"Scott McCarron",91,NA,19984,815,"AveragePuttingDistanceAll2putts",2009
4,4,"Tiger Woods",64,NA,11155.667,458,"AveragePuttingDistanceAll2putts",2009
5,5,"Jeff Klauk",97,NA,22144.833,920,"AveragePuttingDistanceAll2putts",2009
6,6,"Ben Curtis",63,NA,11245.25,469,"AveragePuttingDistanceAll2putts",2009
6,6,"Aron Price",89,NA,19071.333,796,"AveragePuttingDistanceAll2putts",2009
8,8,"JJ Henry",97,NA,22069.667,922,"AveragePuttingDistanceAll2putts",2009
9,9,"Nathan Green",104,NA,21681,911,"AveragePuttingDistanceAll2putts",2009
9,9,"Brendon Todd",53,NA,11728.5,492,"AveragePuttingDistanceAll2putts",2009
11,11,"John Senden",100,NA,24030.833,1011,"AveragePuttingDistanceAll2putts",2009
12,12,"Brian Bateman",55,NA,12104.167,514,"AveragePuttingDistanceAll2putts",2009
12,12,"Spencer Levin",75,NA,16589.5,704,"AveragePuttingDistanceAll2putts",2009
14,14,"Richard Johnson",85,NA,18146.417,773,"AveragePuttingDistanceAll2putts",2009
14,14,"Scott Piercy",85,NA,18510.917,787,"AveragePuttingDistanceAll2putts",2009
14,14,"Kevin Sutherland",96,NA,17507.75,745,"AveragePuttingDistanceAll2putts",2009
17,17,"Ben Crane",93,NA,18304,782,"AveragePuttingDistanceAll2putts",2009
18,18,"Marc Leishman",91,NA,20047,859,"AveragePuttingDistanceAll2putts",2009
18,18,"Pat Perez",74,NA,13790.5,591,"AveragePuttingDistanceAll2putts",2009
20,20,"Stephen Ames",77,NA,13301.917,572,"AveragePuttingDistanceAll2putts",2009
20,20,"Martin Laird",72,NA,14857.833,638,"AveragePuttingDistanceAll2putts",2009
20,20,"Brandt Snedeker",81,NA,14669.583,630,"AveragePuttingDistanceAll2putts",2009
20,20,"Nick Watney",86,NA,16046.083,690,"AveragePuttingDistanceAll2putts",2009
24,24,"Rich Beem",77,NA,14072.5,607,"AveragePuttingDistanceAll2putts",2009
24,24,"Stewart Cink",79,NA,13910.167,601,"AveragePuttingDistanceAll2putts",2009
24,24,"Retief Goosen",74,NA,12802.167,553,"AveragePuttingDistanceAll2putts",2009
24,24,"Freddie Jacobson",83,NA,16685.583,721,"AveragePuttingDistanceAll2putts",2009
24,24,"Colt Knost",71,NA,13744.75,593,"AveragePuttingDistanceAll2putts",2009
24,24,"Marc Turnesa",77,NA,17548.167,758,"AveragePuttingDistanceAll2putts",2009
30,30,"Jason Day",61,NA,10931.583,473,"AveragePuttingDistanceAll2putts",2009
30,30,"Ryan Moore",89,NA,17191.417,746,"AveragePuttingDistanceAll2putts",2009
30,30,"Greg Owen",97,NA,20626.583,893,"AveragePuttingDistanceAll2putts",2009
30,30,"Scott Sterling",51,NA,9579.333,415,"AveragePuttingDistanceAll2putts",2009
30,30,"Kevin Streelman",97,NA,20693.833,895,"AveragePuttingDistanceAll2putts",2009
30,30,"Camilo Villegas",76,NA,13436.917,583,"AveragePuttingDistanceAll2putts",2009
36,36,"Jim Furyk",86,NA,14309.667,623,"AveragePuttingDistanceAll2putts",2009
36,36,"Zach Johnson",94,NA,17962.5,780,"AveragePuttingDistanceAll2putts",2009
36,36,"Steve Marino",98,NA,20032.417,871,"AveragePuttingDistanceAll2putts",2009
36,36,"Mark Wilson",99,NA,20367.25,887,"AveragePuttingDistanceAll2putts",2009
40,40,"Angel Cabrera",55,NA,8190.75,358,"AveragePuttingDistanceAll2putts",2009
40,40,"Bob Estes",78,NA,15553.583,678,"AveragePuttingDistanceAll2putts",2009
40,40,"Anthony Kim",76,NA,12990,567,"AveragePuttingDistanceAll2putts",2009
40,40,"Hunter Mahan",94,NA,17246.583,752,"AveragePuttingDistanceAll2putts",2009
40,40,"Troy Matteson",95,NA,21580.417,940,"AveragePuttingDistanceAll2putts",2009
40,40,"Corey Pavin",73,NA,12705.667,554,"AveragePuttingDistanceAll2putts",2009
46,46,"Briny Baird",89,NA,17531,769,"AveragePuttingDistanceAll2putts",2009
46,46,"Billy Mayfair",83,NA,17060.583,748,"AveragePuttingDistanceAll2putts",2009
46,46,"Sean OHair",80,NA,13009.917,570,"AveragePuttingDistanceAll2putts",2009
46,46,"Kevin Stadler",65,NA,12709.25,557,"AveragePuttingDistanceAll2putts",2009
46,46,"Gary Woodland",53,NA,9012.417,394,"AveragePuttingDistanceAll2putts",2009
51,51,"Geoff Ogilvy",78,NA,12825.833,564,"AveragePuttingDistanceAll2putts",2009
51,51,"Leif Olson",51,NA,9576.917,421,"AveragePuttingDistanceAll2putts",2009
51,51,"Tim Petrovic",97,NA,19281.667,846,"AveragePuttingDistanceAll2putts",2009
51,51,"John Rollins",92,NA,18252.583,803,"AveragePuttingDistanceAll2putts",2009
51,51,"Chris Stroud",88,NA,18441.75,811,"AveragePuttingDistanceAll2putts",2009
51,51,"Charlie Wi",92,NA,17934.917,787,"AveragePuttingDistanceAll2putts",2009
51,51,"YE Yang",83,NA,16128.5,710,"AveragePuttingDistanceAll2putts",2009
58,58,"Brad Adamonis",70,NA,14186.417,625,"AveragePuttingDistanceAll2putts",2009
58,58,"Chad Campbell",90,NA,16662.167,735,"AveragePuttingDistanceAll2putts",2009
58,58,"Brian Gay",96,NA,17510.5,773,"AveragePuttingDistanceAll2putts",2009
58,58,"Bill Haas",91,NA,18668.083,823,"AveragePuttingDistanceAll2putts",2009
58,58,"Ryuji Imada",85,NA,15242.083,672,"AveragePuttingDistanceAll2putts",2009
58,58,"Kent Jones",73,NA,14617,645,"AveragePuttingDistanceAll2putts",2009
58,58,"Bill Lunde",83,NA,17462.083,769,"AveragePuttingDistanceAll2putts",2009
58,58,"Jarrod Lyle",65,NA,12603.417,556,"AveragePuttingDistanceAll2putts",2009
58,58,"James Nitties",86,NA,17308.5,764,"AveragePuttingDistanceAll2putts",2009
58,58,"Carl Pettersson",86,NA,17128.167,757,"AveragePuttingDistanceAll2putts",2009
58,58,"Andres Romero",58,NA,9837.667,434,"AveragePuttingDistanceAll2putts",2009
58,58,"Justin Rose",71,NA,12688.917,559,"AveragePuttingDistanceAll2putts",2009
70,70,"Eric Axley",71,NA,13215.25,585,"AveragePuttingDistanceAll2putts",2009
70,70,"Matt Bettencourt",98,NA,18908.167,838,"AveragePuttingDistanceAll2putts",2009
70,70,"Luke Donald",79,NA,12937.25,573,"AveragePuttingDistanceAll2putts",2009
70,70,"Charles Howell III",99,NA,19955.083,885,"AveragePuttingDistanceAll2putts",2009
70,70,"David Mathis",82,NA,15288.5,676,"AveragePuttingDistanceAll2putts",2009
70,70,"Brett Quigley",92,NA,17416,771,"AveragePuttingDistanceAll2putts",2009
70,70,"Chris Riley",77,NA,14700,650,"AveragePuttingDistanceAll2putts",2009
70,70,"Vaughn Taylor",88,NA,18200.667,807,"AveragePuttingDistanceAll2putts",2009
70,70,"Bubba Watson",73,NA,12902.167,571,"AveragePuttingDistanceAll2putts",2009
79,79,"Aaron Baddeley",66,NA,12323.833,547,"AveragePuttingDistanceAll2putts",2009
79,79,"Greg Chalmers",85,NA,15704.5,698,"AveragePuttingDistanceAll2putts",2009
79,79,"KJ Choi",65,NA,11982.583,533,"AveragePuttingDistanceAll2putts",2009
79,79,"Glen Day",79,NA,15079.083,669,"AveragePuttingDistanceAll2putts",2009
79,79,"Steve Elkington",70,NA,15136.917,673,"AveragePuttingDistanceAll2putts",2009
79,79,"Mathew Goggin",76,NA,14283.583,636,"AveragePuttingDistanceAll2putts",2009
79,79,"Charley Hoffman",97,NA,19503.25,867,"AveragePuttingDistanceAll2putts",2009
79,79,"Steve Lowery",83,NA,17013.917,757,"AveragePuttingDistanceAll2putts",2009
79,79,"George McNeill",82,NA,16764.583,744,"AveragePuttingDistanceAll2putts",2009
79,79,"John Merrick",91,NA,16460,732,"AveragePuttingDistanceAll2putts",2009
79,79,"Joe Ogilvie",85,NA,16030,713,"AveragePuttingDistanceAll2putts",2009
79,79,"DA Points",99,NA,19551.333,870,"AveragePuttingDistanceAll2putts",2009
79,79,"Tag Ridings",50,NA,10046.75,446,"AveragePuttingDistanceAll2putts",2009
79,79,"Steve Stricker",81,NA,13290.25,591,"AveragePuttingDistanceAll2putts",2009
79,79,"Bo Van Pelt",100,NA,17893.167,794,"AveragePuttingDistanceAll2putts",2009
94,94,"Michael Allen",73,NA,13748.417,613,"AveragePuttingDistanceAll2putts",2009
94,94,"Cameron Beckman",87,NA,17350.5,774,"AveragePuttingDistanceAll2putts",2009
94,94,"Jason Dufner",90,NA,17642.333,787,"AveragePuttingDistanceAll2putts",2009
94,94,"Brad Faxon",59,NA,11382.75,508,"AveragePuttingDistanceAll2putts",2009
94,94,"Matt Kuchar",82,NA,15115.917,675,"AveragePuttingDistanceAll2putts",2009
94,94,"John Mallinger",90,NA,15821.833,707,"AveragePuttingDistanceAll2putts",2009
94,94,"Ryan Palmer",78,NA,15922.083,711,"AveragePuttingDistanceAll2putts",2009
94,94,"Kenny Perry",92,NA,16097.417,719,"AveragePuttingDistanceAll2putts",2009
94,94,"Jeff Quinney",78,NA,15571.917,694,"AveragePuttingDistanceAll2putts",2009
94,94,"Adam Scott",53,NA,9981.833,445,"AveragePuttingDistanceAll2putts",2009
104,104,"Woody Austin",84,NA,16978,759,"AveragePuttingDistanceAll2putts",2009
