"1125FinalRoundPerformance_RANKTHISWEEK_2012","1125FinalRoundPerformance_RANKLASTWEEK_2012","1125FinalRoundPerformance_PLAYERNAME_2012","1125FinalRoundPerformance_EVENTS_2012","1125FinalRoundPerformance_PctTIMESIMPROVED_2012","1125FinalRoundPerformance_OFTIMESIMPROVED_2012","stat_name","year"
1,1,"Matt Bettencourt",31,100,2,"1125FinalRoundPerformance",2012
1,1,"Michael Bradley",23,100,1,"1125FinalRoundPerformance",2012
1,1,"Scott Brown",24,100,2,"1125FinalRoundPerformance",2012
1,1,"Will Claxton",28,100,2,"1125FinalRoundPerformance",2012
1,1,"Jason Day",17,100,3,"1125FinalRoundPerformance",2012
1,1,"Luke Donald",17,100,3,"1125FinalRoundPerformance",2012
1,1,"Jim Furyk",24,100,7,"1125FinalRoundPerformance",2012
1,1,"JJ Henry",28,100,1,"1125FinalRoundPerformance",2012
1,1,"John Huh",28,100,3,"1125FinalRoundPerformance",2012
1,1,"Jason Kokrak",27,100,1,"1125FinalRoundPerformance",2012
1,1,"John Merrick",26,100,2,"1125FinalRoundPerformance",2012
1,1,"Bryce Molder",25,100,4,"1125FinalRoundPerformance",2012
1,1,"Rod Pampling",26,100,1,"1125FinalRoundPerformance",2012
1,1,"Charl Schwartzel",16,100,1,"1125FinalRoundPerformance",2012
1,1,"Brendan Steele",24,100,3,"1125FinalRoundPerformance",2012
1,1,"Henrik Stenson",15,100,2,"1125FinalRoundPerformance",2012
1,1,"Steve Stricker",19,100,4,"1125FinalRoundPerformance",2012
1,1,"Michael Thompson",25,100,5,"1125FinalRoundPerformance",2012
1,1,"David Toms",19,100,4,"1125FinalRoundPerformance",2012
1,1,"DJ Trahan",27,100,1,"1125FinalRoundPerformance",2012
1,1,"Boo Weekley",25,100,1,"1125FinalRoundPerformance",2012
22,22,"Bubba Watson",19,85.7,6,"1125FinalRoundPerformance",2012
23,23,"Bo Van Pelt",24,83.3,5,"1125FinalRoundPerformance",2012
24,24,"Blake Adams",32,80,4,"1125FinalRoundPerformance",2012
24,24,"Ryan Moore",24,80,4,"1125FinalRoundPerformance",2012
26,26,"Brian Davis",29,75,3,"1125FinalRoundPerformance",2012
26,26,"Robert Garrigus",26,75,3,"1125FinalRoundPerformance",2012
26,26,"Charley Hoffman",27,75,3,"1125FinalRoundPerformance",2012
29,29,"Aaron Baddeley",22,66.7,4,"1125FinalRoundPerformance",2012
29,29,"Harris English",27,66.7,4,"1125FinalRoundPerformance",2012
29,29,"Rickie Fowler",23,66.7,2,"1125FinalRoundPerformance",2012
