"Approaches50125yardsRghRTP_RANKTHISWEEK_2010","Approaches50125yardsRghRTP_RANKLASTWEEK_2010","Approaches50125yardsRghRTP_PLAYERNAME_2010","Approaches50125yardsRghRTP_ROUNDS_2010","Approaches50125yardsRghRTP_AVGRTP_2010","stat_name","year"
1,1,"Kevin Sutherland",86,-0.232,"Approaches50125yardsRghRTP",2010
2,2,"Dean Wilson",54,-0.229,"Approaches50125yardsRghRTP",2010
3,3,"Vijay Singh",75,-0.127,"Approaches50125yardsRghRTP",2010
4,4,"Adam Scott",70,-0.122,"Approaches50125yardsRghRTP",2010
5,5,"Greg Chalmers",93,-0.12,"Approaches50125yardsRghRTP",2010
6,6,"John Rollins",81,-0.119,"Approaches50125yardsRghRTP",2010
7,7,"Chris Stroud",90,-0.108,"Approaches50125yardsRghRTP",2010
8,8,"Bubba Watson",77,-0.105,"Approaches50125yardsRghRTP",2010
9,9,"Will Ma Kenzie",72,-0.102,"Approaches50125yardsRghRTP",2010
10,10,"Ricky Barnes",103,-0.1,"Approaches50125yardsRghRTP",2010
11,11,"Mark Calcavecchia",50,-0.091,"Approaches50125yardsRghRTP",2010
12,12,"Ben Crane",85,-0.083,"Approaches50125yardsRghRTP",2010
13,13,"Jim Furyk",76,-0.079,"Approaches50125yardsRghRTP",2010
14,14,"Woody Austin",93,-0.077,"Approaches50125yardsRghRTP",2010
14,14,"JJ Henry",92,-0.077,"Approaches50125yardsRghRTP",2010
16,16,"Steve Stricker",73,-0.07,"Approaches50125yardsRghRTP",2010
17,17,"Sergio Garcia",58,-0.063,"Approaches50125yardsRghRTP",2010
17,17,"Cameron Percy",73,-0.063,"Approaches50125yardsRghRTP",2010
17,17,"Jimmy Walker",82,-0.063,"Approaches50125yardsRghRTP",2010
20,20,"Rocco Mediate",71,-0.06,"Approaches50125yardsRghRTP",2010
21,21,"Sean OHair",84,-0.058,"Approaches50125yardsRghRTP",2010
22,22,"Paul Stankowski",62,-0.051,"Approaches50125yardsRghRTP",2010
23,23,"Ryuji Imada",90,-0.049,"Approaches50125yardsRghRTP",2010
24,24,"Luke Donald",71,-0.047,"Approaches50125yardsRghRTP",2010
25,25,"Billy Mayfair",78,-0.044,"Approaches50125yardsRghRTP",2010
26,26,"Jeev Milkha Singh",59,-0.043,"Approaches50125yardsRghRTP",2010
27,27,"Jonathan Byrd",85,-0.039,"Approaches50125yardsRghRTP",2010
28,28,"Hunter Mahan",85,-0.035,"Approaches50125yardsRghRTP",2010
29,29,"Jarrod Lyle",54,-0.032,"Approaches50125yardsRghRTP",2010
30,30,"Freddie Jacobson",83,-0.027,"Approaches50125yardsRghRTP",2010
31,31,"Steve Elkington",74,-0.026,"Approaches50125yardsRghRTP",2010
31,31,"Garth Mulroy",53,-0.026,"Approaches50125yardsRghRTP",2010
31,31,"David Toms",86,-0.026,"Approaches50125yardsRghRTP",2010
34,34,"Chad Campbell",95,-0.023,"Approaches50125yardsRghRTP",2010
34,34,"Padraig Harrington",57,-0.023,"Approaches50125yardsRghRTP",2010
36,36,"Bob Estes",79,-0.019,"Approaches50125yardsRghRTP",2010
37,37,"Brandt Snedeker",89,-0.017,"Approaches50125yardsRghRTP",2010
38,38,"DA Points",90,-0.016,"Approaches50125yardsRghRTP",2010
39,39,"Justin Rose",78,-0.014,"Approaches50125yardsRghRTP",2010
40,40,"Graham DeLaet",88,-0.013,"Approaches50125yardsRghRTP",2010
40,40,"Jeff Overton",89,-0.013,"Approaches50125yardsRghRTP",2010
42,42,"Charles Howell III",103,-0.011,"Approaches50125yardsRghRTP",2010
43,43,"Aaron Baddeley",94,0,"Approaches50125yardsRghRTP",2010
