"BallStriking_RANKTHISWEEK_2013","BallStriking_RANKLASTWEEK_2013","BallStriking_PLAYERNAME_2013","BallStriking_ROUNDS_2013","BallStriking_VALUE_2013","BallStriking_TOTALDRVRANK_2013","BallStriking_GIRRANK_2013","stat_name","year"
1,1,"Graham DeLaet",94,4,1,3,"BallStriking",2013
1,1,"Henrik Stenson",65,4,3,1,"BallStriking",2013
3,3,"Justin Rose",62,13,4,9,"BallStriking",2013
3,3,"Boo Weekley",100,13,7,6,"BallStriking",2013
5,5,"Jim Herman",59,21,5,16,"BallStriking",2013
5,5,"Steve Stricker",51,21,19,2,"BallStriking",2013
7,7,"Adam Scott",61,25,14,11,"BallStriking",2013
8,8,"Kevin Stadler",83,26,18,8,"BallStriking",2013
9,9,"Bubba Watson",76,27,22,5,"BallStriking",2013
10,10,"DJ Trahan",48,28,10,18,"BallStriking",2013
11,11,"Brendon de Jonge",110,33,23,10,"BallStriking",2013
11,11,"Billy Horschel",96,33,6,27,"BallStriking",2013
11,11,"Hunter Mahan",91,33,8,25,"BallStriking",2013
11,11,"Nicholas Thompson",99,33,13,20,"BallStriking",2013
15,15,"Nick Watney",88,39,26,13,"BallStriking",2013
16,16,"Tiger Woods",61,41,17,24,"BallStriking",2013
17,17,"Jordan Spieth",82,45,8,37,"BallStriking",2013
18,18,"Keegan Bradley",88,51,2,49,"BallStriking",2013
19,19,"Justin Hicks",79,60,48,12,"BallStriking",2013
20,20,"Kyle Stanley",71,61,29,32,"BallStriking",2013
21,21,"Steve LeBrun",66,64,36,28,"BallStriking",2013
21,21,"Chez Reavie",72,64,24,40,"BallStriking",2013
23,23,"Jason Dufner",78,65,39,26,"BallStriking",2013
24,24,"Henrik Norlander",70,66,35,31,"BallStriking",2013
25,25,"Kevin Streelman",86,70,16,54,"BallStriking",2013
26,26,"JJ Henry",83,72,55,17,"BallStriking",2013
27,27,"Zach Johnson",84,73,58,15,"BallStriking",2013
28,28,"Lucas Glover",65,74,20,54,"BallStriking",2013
29,29,"Brandt Jobe",62,75,11,64,"BallStriking",2013
30,30,"Matt Jones",83,76,12,64,"BallStriking",2013
31,31,"Roberto Castro",97,77,44,33,"BallStriking",2013
32,32,"Sergio Garcia",65,79,50,29,"BallStriking",2013
32,32,"Pat Perez",69,79,61,18,"BallStriking",2013
32,32,"Gary Woodland",94,79,43,36,"BallStriking",2013
35,35,"Josh Teater",86,81,31,50,"BallStriking",2013
36,36,"Vijay Singh",61,82,75,7,"BallStriking",2013
37,37,"John Huh",88,83,38,45,"BallStriking",2013
38,38,"Kevin Chappell",80,87,27,60,"BallStriking",2013
38,38,"Rory Sabbatini",86,87,64,23,"BallStriking",2013
40,40,"Cameron Tringale",80,89,54,35,"BallStriking",2013
41,41,"John Rollins",77,91,61,30,"BallStriking",2013
42,42,"Bill Haas",85,95,74,21,"BallStriking",2013
43,43,"Jim Furyk",80,98,84,14,"BallStriking",2013
43,43,"Eric Meierdierks",48,98,50,48,"BallStriking",2013
45,45,"Charl Schwartzel",69,99,27,72,"BallStriking",2013
46,46,"Ryan Palmer",79,104,48,56,"BallStriking",2013
47,47,"Ricky Barnes",74,106,102,4,"BallStriking",2013
48,48,"Brad Fritsch",81,109,63,46,"BallStriking",2013
49,49,"Brendan Steele",86,111,45,66,"BallStriking",2013
49,49,"Robert Streb",75,111,29,82,"BallStriking",2013
51,51,"Webb Simpson",92,112,69,43,"BallStriking",2013
52,52,"Mark Wilson",56,113,57,56,"BallStriking",2013
53,53,"Nicolas Colsaerts",50,116,78,38,"BallStriking",2013
53,53,"Lee Westwood",70,116,25,91,"BallStriking",2013
55,55,"George McNeill",68,120,31,89,"BallStriking",2013
